titles,authors,date,source,descriptions,citations
Introduction to software testing,"Paul Ammann, Jeff Offutt",2016/12/13,Publisher Cambridge University Press,"This extensively classroom-tested text takes an innovative approach to explaining software testing that defines it as the process of applying a few precise, general-purpose criteria to a structure or model of the software. The book incorporates cutting-edge developments, including techniques to test modern types of software such as OO, web applications, and embedded software. This revised second edition significantly expands coverage of the basics, thoroughly discussing test automaton frameworks, and it adds new, improved examples and numerous exercises. The theory of coverage criteria is carefully and cleanly explained to help students understand concepts before delving into practical applications, while extensive use of the JUnit test framework gives students practical experience in a test framework popular in the industry. Exercises, meanwhile, feature specifically tailored tools that allow students to check their own work. The book's website also offers an instructor's manual, PowerPoint slides, testing tools for students, and example software programs in Java.",2476
Constraint-based automatic test data generation,"RA DeMillo, A. Jefferson Offutt",1991/9,"Journal Software Engineering, IEEE Transactions on","This paper presents a new technique for automatically generating test data. The technique is based on mutation analysis and creates test data that approximates relative-adequacy. The technique is a fault-based technique that uses algebraic constraints to describe test cases designed to find particular types of faults. A set of tools, collectively called Godzilla, has been implemented that automatically generates constraints and solves them to create test cases for unit and module testing. Godzilla has been integrated with the Mothra testing system and has been used as an effective way to generate test data that kills program mutants.",1186
MuJava: an automated class mutation system,"Yu‐Seung Ma, Jeff Offutt, Yong Rae Kwon",2005/6,"Journal Software Testing, Verification and Reliability","Several module and class testing techniques have been applied to object‐oriented (OO) programs, but researchers have only recently begun developing test criteria that evaluate the use of key OO features such as inheritance, polymorphism, and encapsulation. Mutation testing is a powerful testing technique for generating software tests and evaluating the quality of software. However, the cost of mutation testing has traditionally been so high that it cannot be applied without full automated tool support. This paper presents a method to reduce the execution cost of mutation testing for OO programs by using two key technologies, mutant schemata generation (MSG) and bytecode translation. This method adapts the existing MSG method for mutants that change the program behaviour and uses bytecode translation for mutants that change the program structure. A key advantage is in performance: only two compilations …",882
An Experimental Determination of Sufficient Mutant Operators,"Jeff Offutt, Gregg Rothermel, Roland H Untch, Christian Zapf",1996/4,Journal ACM Transactions on software engineering methodology,"Mutation testing is a technique, originally proposed by DeMillo et al.[1978] and Hamlet [1977], that requires a person testing a program to create test data that causes a finite, well-specified set of faults to result in failure. The tester does this by finding test cases that cause faulty versions of the program to fail. These test cases will then either result in correct output from the test program (demonstrating its quality) or cause the test program to fail (detecting a fault). The technique thus serves two goals: it provides a test adequacy criterion, and it leads to detection of faults in the program being tested.",882
Generating tests from UML specifications,"Jeff Offutt, Aynur Abdurazik",1999,Journal «UML»’99—The Unified Modeling Language,"Although most industry testing of complex software is conducted at the system level, most formal research has focused on the unit level. As a result, most system level testing techniques are only described informally. This paper presents a novel technique that adapts pre-defined state-based specification test data generation criteria to generate test cases from UML statecharts. UML statecharts provide a solid basis for test generation in a form that can be easily manipulated. This technique includes coverage criteria that enable highly effective tests to be developed. To demonstrate this technique, a tool has been developed that uses UML statecharts produced by Rational Software Corporation’s Rational Rose tool to generate test data. Experimental results from using this tool are presented.",676
Combination testing strategies: a survey,"Mats Grindal, Jeff Offutt, Sten F Andler",2005/9,"Source Software Testing, Verification and Reliability","Combination strategies are test case selection methods that identify test cases by combining values of the different test object input parameters based on some combinatorial strategy. This survey presents 16 different combination strategies, covering more than 40 papers that focus on one or several combination strategies. This collection represents most of the existing work performed on combination strategies. This survey describes the basic algorithms used by the combination strategies. Some properties of combination strategies, including coverage criteria and theoretical bounds on the size of test suites, are also included in this description. This survey paper also includes a subsumption hierarchy that attempts to relate the various coverage criteria associated with the identified combination strategies. Copyright © 2005 John Wiley & Sons, Ltd.",600
Quality attributes of web software applications,Jeff Offutt,2002/8/7,Journal IEEE software,"Web applications have very high requirements for numerous quality attributes. This article discusses some of the technological challenges of building today's complex Web software applications, their unique quality requirements, and how to achieve them.",549
Mutation 2000: Uniting the orthogonal,"A Jefferson Offutt, Ronald H Untch",2001/10/6,"Journal Mutation testing for the new century. Kluwer Academic Publishers, Norwell, MA, USA","Mutation testing is a powerful, but computationally expensive, technique for unit testing software. This expense has prevented mutation from becoming widely used in practical situations, but recent engineering advances have given us techniques and algorithms for significantly reducing the cost of mutation testing. These techniques include a new algorithmic execution technique called schema-based mutation, an approximation technique called weak mutation, a reduction technique called selective mutation, heuristics for detecting equivalent mutants, and algorithms for automatic test data generation. This paper reviews experimentation with these advances and outlines a design for a system that will approximate mutation, but in a way that will be accessible to everyday programmers. We envision a system to which a programmer can submit a program unit and get back a set of input/output pairs that are …",539
A fortran language system for mutation‐based software testing,"Kim N King, A Jefferson Offutt",1991/7/1,Journal Software: Practice and Experience,Mutation analysis is a powerful technique for testing software systems. The Mothra software testing project uses mutation analysis as the basis for an integrated software testing environment. Mutation analysis requires executing many slightly differing versions of the same program to evaluate the quality of the data used to test the program. The current version of Mothra includes a complete language system that translates a program to be tested into intermediate code so that it and its mutated versions can be executed by an interpreter.,539
Investigations of the software testing coupling effect,A Jefferson Offutt,1992/1/2,Journal ACM Transactions on Software Engineering and Methodology (TOSEM),"Fault-based testing strategies test software by focusing on specific, common types of faults. The coupling effect hypothesizes that test data sets that detect simple types of faults are sensitive enough to detect more complex types of faults. This paper describes empirical investigations into the coupling effect over a specific class of software faults. All of the results from this investigation support the validity of the coupling effect. The major conclusion from this investigation is the fact that by explicitly testing for simple faults, we are also implicitly testing for more complicated faults, giving us confidence that fault-based testing is an effective way to test software.",508
Testing web applications by modeling with FSMs,"Anneliese A Andrews, Jeff Offutt, Roger T Alexander",2005/7,Journal Software & Systems Modeling,"Researchers and practitioners are still trying to find effective ways to model and test Web applications. This paper proposes a system-level testing technique that combines test generation based on finite state machines with constraints. We use a hierarchical approach to model potentially large Web applications. The approach builds hierarchies of Finite State Machines (FSMs) that model subsystems of the Web applications, and then generates test requirements as subsequences of states in the FSMs. These subsequences are then combined and refined to form complete executable tests. The constraints are used to select a reduced set of inputs with the goal of reducing the state space explosion otherwise inherent in using FSMs. The paper illustrates the technique with a running example of a Web-based course student information system and introduces a prototype implementation to support the technique. ",496
Generating test data from state‐based specifications,"Jeff Offutt, Shaoying Liu, Aynur Abdurazik, Paul Ammann",2003/1,"Journal Software testing, verification and reliability","Although the majority of software testing in industry is conducted at the system level, most formal research has focused on the unit level. As a result, most system‐level testing techniques are only described informally. This paper presents formal testing criteria for system level testing that are based on formal specifications of the software. Software testing can only be formalized and quantified when a solid basis for test generation can be defined. Formal specifications represent a significant opportunity for testing because they precisely describe what functions the software is supposed to provide in a form that can be automatically manipulated.",490
An experimental evaluation of selective mutation,"A Jefferson Offutt, Gregg Rothermel, Christian Zapf",1993/5/21,Conference Proceedings of the 15th international conference on Software Engineering,"Mutation testing is a technique for unit-testing software that, although powerful, is computationally expensive. The principal expense of mutation is that many variants of the test program, called mutants, must be repeatedly executed. Selective mutation is a way to approximate mutation testing that saves execution by reducing the number of mutants that must be executed. The authors report experimental results that compare selective mutation testing to standard, or nonselective, mutation testing. The results support the hypothesis that selective mutation is almost as strong as nonselective mutation. In experimental trials, selective mutations provide almost the same coverage as nonselective mutation, with significant reductions in cost.< >",418
Automatically detecting equivalent mutants and infeasible paths,"A Jefferson Offutt, Jie Pan",1997/9/1,"Journal Software Testing, Verification and Reliability","Mutation testing is a technique for testing software units that has great potential for improving the quality of testing, and thereby increasing the ability to assure the high reliability of critical software. It will be shown that recent advances in mutation research have brought a practical mutation testing system closer to reality. One recent advance is a partial solution to the problem of automatically detecting equivalent mutant programs. Equivalent mutants are currently detected by hand, which makes it very expensive and time‐consuming. The problem of detecting equivalent mutants is a specific instance of a more general problem, commonly called the feasible path problem, which says that for certain structural testing criteria some of the test requirements are infeasible in the sense that the semantics of the program imply that no test case satisfies the test requirements. Equivalent mutants, unreachable statements in path …",398
An extended overview of the Mothra software testing environment,"Richard A DeMillo, Dany S Guindi, WM McCracken, AJ Offutt, KN King",1988/7/19,"Conference Software Testing, Verification, and Analysis, 1988., Proceedings of the Second Workshop on","The authors give a brief introduction to mutation analysis. They they discuss Mothra, emphasizing how it interacts with the tester. The authors present some major problems with using mutation analysis and discuss possible solutions. They conclude with a solution to one of these problems-a method of automatically generating mutation-adequate data.<>",394
Using UML collaboration diagrams for static checking and test generation,"Aynur Abdurazik, Jeff Offutt",2000,Journal «UML» 2000—The Unified Modeling Language,"Software testing can only be formalized and quantified when a solid basis for test generation can be defined. Tests are commonly generated from program source code, graphical models of software (such as control flow graphs), and specifications/requirements. UML collaboration diagrams represent a significant opportunity for testing because they precisely describe how the functions the software provides are connected in a form that can be easily manipulated by automated means. This paper presents novel test criteria that are based on UML collaboration diagrams. The most novel aspect of this is that tests can be generated automatically from the software design, rather than the code or the specifications. Criteria are defined for both static and dynamic testing of specification-level and instance-level collaboration diagrams. These criteria allow a formal integration tests to be based on high level design notations …",371
Inter-class mutation operators for Java,"Yu-Seung Ma, Yong-Rae Kwon, Jeff Offutt",2002/11/12,"Conference 13th International Symposium on Software Reliability Engineering, 2002. Proceedings.","The effectiveness of mutation testing depends heavily on the types of faults that the mutation operators are designed to represent. Therefore, the quality of the mutation operators is key to mutation testing. Mutation testing has traditionally been applied to procedural-based languages, and mutation operators have been developed to support most of their language features. Object-oriented programming languages contain new language features, most notably inheritance, polymorphism, and dynamic binding. Not surprisingly; these language features allow new kinds of faults, some of which are not modeled by traditional mutation operators. Although mutation operators for OO languages have previously been suggested, our work in OO faults indicate that the previous operators are insufficient to test these OO language features, particularly at the class testing level. This paper introduces a new set of class mutation …",328
Mutation testing using mutant schemata,"Roland Untch, A Jefferson Offutt, Mary Jean Harrold",1993/6,Journal Proc. International Symposium on Software Testing and Analysis (ISSTA),,295
Generating test cases for web services using data perturbation,"Jeff Offutt, Wuzhi Xu",2004/9/1,Journal ACM SIGSOFT Software Engineering Notes,"Web services have the potential to dramatically reduce the complexities and costs of software integration projects. The most obvious and perhaps most significant difference between Web services and traditional applications is that Web services use a common communication infrastructure, XML and SOAP, to communicate through the Internet. The method of communication introduces complexities to the problems of verifying and validating Web services that do not exist in traditional software. This paper presents a new approach to testing Web services based on data perturbation. Existing XML messages are modified based on rules defined on the message grammars, and then used as tests. Data perturbation uses two methods to test Web services: data value perturbation and interaction perturbation. Data value perturbation modifies values according to the data type. Interaction perturbation classifies the …",279
An empirical evaluation of weak mutation,"A. Jefferson  Offutt, Stephen D.  Lee",1994/5,"Journal Software Engineering, IEEE Transactions on","Mutation testing is a fault-based technique for unit-level software testing. Weak mutation was proposed as a way to reduce the expense of mutation testing. Unfortunately, weak mutation is also expected to provide a weaker test of the software than mutation testing does. This paper presents results from an implementation of weak mutation, which we used to evaluate the effectiveness versus the efficiency of weak mutation. Additionally, we examined several options in an attempt to find the most appropriate way to implement weak mutation. Our results indicate that weak mutation can be applied in a manner that is almost as effective as mutation testing, and with significant computational savings.< >",277
MuJava: a mutation system for Java,"Yu-Seung Ma, Jeff Offutt, Yong-Rae Kwon",2006/5/28,Book Proceedings of the 28th international conference on Software engineering,"Mutation testing is a valuable experimental research technique that has been used in many studies. It has been experimentally compared with other test criteria, and also used to support experimental comparisons of other test criteria, by using mutants as a method to create faults. In effect, mutation is often used as a ``gold standard'' for experimental evaluations of test methods. Although mutation testing is powerful, it is a complicated and computationally expensive testing method. Therefore, automated tool support is indispensable for conducting mutation testing. This demo presents a publicly available mutation system for Java that supports both method-level mutants and class-level mutants. MuJava can be freely downloaded and installed with relative ease under both Unix and Windows. MuJava is offered as a free service to the community and we hope that it will promote the use of mutation analysis for …",274
