titles,authors,date,source,descriptions,citations
Phoretic self-propulsion,"Jeffrey L Moran, Jonathan D Posner",2017/1/3,Source Annual Review of Fluid Mechanics,"It is well-known that micro- and nanoparticles can move by phoretic effects in response to externally imposed gradients of scalar quantities such as chemical concentration or electric potential. A class of active colloids can propel themselves through aqueous media by generating local gradients of concentration and electrical potential via surface reactions. Phoretic active colloids can be controlled using external stimuli and can mimic collective behaviors exhibited by many biological swimmers. Low–Reynolds number physicochemical hydrodynamics imposes unique challenges and constraints that must be understood for the practical potential of active colloids to be realized. Here, we review the rich physics underlying the operation of phoretic active colloids, describe their interactions and collective behaviors, and discuss promising directions for future research.",286
Electrokinetic locomotion due to reaction-induced charge auto-electrophoresis,"Jeffrey L Moran, Jonathan D Posner",2011/8,Journal Journal of Fluid Mechanics,"Mitchell originally proposed that an asymmetric ion flux across an organism's membrane could generate electric fields that drive locomotion. Although this locomotion mechanism was later rejected for some species of bacteria, engineered Janus particles have been realized that can swim due to ion fluxes generated by asymmetric electrochemical reactions. Here we present governing equations, scaling analyses and numerical simulations that describe the motion of bimetallic rod-shaped motors in hydrogen peroxide solutions due to reaction-induced charge auto-electrophoresis. The coupled Poisson–Nernst–Planck–Stokes equations are numerically solved using Frumkin-corrected Butler–Volmer equations to represent electrochemical reactions at the rod surface. Our simulations show strong agreement with the scaling analysis and experiments. The analysis shows that electrokinetic locomotion results from …",164
Locomotion of electrocatalytic nanomotors due to reaction induced charge autoelectrophoresis,"JL Moran, PM Wheat, JD Posner",2010/6/23,Journal Physical Review E,"Bimetallic rod-shaped nanomotors swim autonomously in hydrogen peroxide solutions. Here, we present a scaling analysis, computational simulations, and experimental data that show that the nanomotor locomotion is driven by fluid slip around the nanomotor surface due to electrical body forces. The body forces are generated by a coupling of charge density and electric fields induced by electrochemical reactions occurring on the nanomotor surface. We describe the dependence of nanomotor motion on the nanomotor surface potential and reaction-driven flux.",137
Rapid fabrication of bimetallic spherical motors,"Philip M Wheat, Nathan A Marine, Jeffrey L Moran, Jonathan D Posner",2010/8/17,Journal Langmuir,"Catalytic bimetallic nanomotors can swim at 100 body lengths per second as well as pick up, haul, and release micrometer-scale cargo. The electrokinetic locomotion of bimetallic nanomotors is driven by the electrocatalytic decomposition of hydrogen peroxide. The motors are typically fabricated by electrodeposition-based template synthesis techniques that result in heterogeneous samples and require specialized knowledge of electrochemistry, a three-electrode potentiostat setup, cyanide-based chemistry, and porous membranes. This paper presents a rapid and facile method for fabrication of spherical bimetallic motors that only requires access to metal deposition equipment and commercially available microspheres. The resulting spherical motors swim at speeds comparable to rod-shaped motors with the same dimensions and composition. The spherical motors’ velocity increases with fuel concentration and …",125
Microfluidic assay for rapid optimization of cell electroporation,"Cullen Richard Buie, Paulo Andres Garcia Dominguez, Zhifei Ge, Jeffrey Lawrence Moran",2021/3/16,Patent office US,An electroporation device with a volume of varying cross sectional area that as a fast assay device for determining the optimal conditions for plasma membrane electroporation.,68
Microfluidic screening of electric fields for electroporation,"Paulo A Garcia, Zhifei Ge, Jeffrey L Moran, Cullen R Buie",2016/2/19,Journal Scientific reports,"Electroporation is commonly used to deliver molecules such as drugs, proteins, and/or DNA into cells, but the mechanism remains poorly understood. In this work a rapid microfluidic assay was developed to determine the critical electric field threshold required for inducing bacterial electroporation. The microfluidic device was designed to have a bilaterally converging channel to amplify the electric field to magnitudes sufficient to induce electroporation. The bacterial cells are introduced into the channel in the presence of SYTOX®, which fluorescently labels cells with compromised membranes. Upon delivery of an electric pulse, the cells fluoresce due to transmembrane influx of SYTOX® after disruption of the cell membranes. We calculate the critical electric field by capturing the location within the channel of the increase in fluorescence intensity after electroporation. Bacterial strains with industrial and therapeutic …",67
Role of solution conductivity in reaction induced charge auto-electrophoresis,"Jeffrey L Moran, Jonathan D Posner",2014/4/1,Journal Physics of Fluids,"Catalytic bimetallic Janus particles swim by a bipolar electrochemical propulsion mechanism that results from electroosmotic fluid slip around the particle surface. The flow is driven by electrical body forces which are generated from a coupling of a reaction-induced electric field and net charge in the diffuse layer surrounding the particle. This paper presents simulations, scaling, and physical descriptions of the experimentally observed trend that the swimming speed decays rapidly with increasing solution conductivity. The simulations solve the full Poisson-Nernst-Planck-Stokes equations with multiple ionic species, a cylindrical particle in an infinite fluid, and nonlinear Butler-Volmer boundary conditions to represent the electrochemical surface reactions. The speed of bimetallic particles is reduced in high-conductivity solutions because of reductions in the induced electric field in the diffuse layer near the rod, the total …",57
A practical guide to active colloids: choosing synthetic model systems for soft matter physics research,"Wei Wang, Xianglong Lv, Jeffrey L Moran, Shifang Duan, Chao Zhou",2020,Source Soft Matter,"Synthetic active colloids that harvest energy stored in the environment and swim autonomously are a popular model system for active matter. This emerging field of research sits at the intersection of materials chemistry, soft matter physics, and engineering, and thus cross-talk among researchers from different backgrounds becomes critical yet difficult. To facilitate this interdisciplinary communication, and to help soft matter physicists with choosing the best model system for their research, we here present a tutorial review article that describes, in appropriate detail, six experimental systems of active colloids commonly found in the physics literature. For each type, we introduce their background, material synthesis and operating mechanisms and notable studies from the soft matter community, and comment on their respective advantages and limitations. In addition, the main features of each type of active colloid are …",40
Identification and molecular tagging of a gene from PI 289824 conferring resistance to leaf rust (Puccinia triticina) in wheat,"DE Obert, AK Fritz, JL Moran, Sukhwinder Singh, Jackie C Rudd, MA Menz",2005/5,Journal Theoretical and Applied Genetics,"Host-plant resistance is the most economically viable and environmentally responsible method of control for Puccinia triticina, the causal agent of leaf rust in wheat (Triticum aestivum L.). The identification and utilization of new resistance sources is critical to the continued development of improved cultivars as shifts in pathogen races cause the effectiveness of widely deployed genes to be short lived. The objectives of this research were to identify and tag new leaf rust resistance genes. Forty landraces from Afghanistan and Iran were obtained from the National Plant Germplasm System and evaluated under field conditions at two locations in Texas. PI 289824, a landrace from Iran, was highly resistant under field infection. Further evaluation revealed that PI 289824 is highly resistant to a broad spectrum of leaf rust races, including the currently prevalent races of leaf rust in the Great Plains area of the USA …",36
Microswimmers with no moving parts,"Jeffrey L Moran, Jonathan D Posner",2019,Journal Physics today,Microscopic self-propelled particles could one day be used to clean up wastewater or deliver drugs in the body.,19
Three-dimensional three-component particle velocimetry for microscale flows using volumetric scanning,"SA Klein, JL Moran, DH Frakes, JD Posner",2012/6/14,Journal Measurement Science and Technology,"We present a diagnostic platform for measuring three-dimensional three-component (3D3C) velocity fields in microscopic volumes. The imaging system uses high-speed Nipkow spinning disk confocal microscopy. Confocal microscopy provides optical sectioning using pinhole spatial filtering which rejects light originating from out-of-focus objects. The system accomplishes volumetric scanning by rapid translation of the high numerical aperture objective using a piezo objective positioner. The motion of fluorescent microspheres is quantified using 3D3C super resolution particle-imaging velocimetry with instantaneous spatial resolutions of the order of 5 µm or less in all three dimensions. We examine 3D3C flow in a PDMS microchannel with an expanding section at 3D acquisition rates of 30 Hz, and find strong agreement with a computational model. Equations from the PIV and PTV literature adapted for a scanning …",19
