titles,authors,date,source,descriptions,citations
Future Edge Cloud and Edge Computing for Internet of Things Applications,"Jianli Pan, James McElhannon",2017/10,Journal IEEE Internet of Things Journal (IOT-J),"The Internet is evolving rapidly toward the future Internet of Things (IoT) which will potentially connect billions or even trillions of edge devices which could generate huge amount of data at a very high speed and some of the applications may require very low latency. The traditional cloud infrastructure will run into a series of difficulties due to centralized computation, storage, and networking in a small number of datacenters, and due to the relative long distance between the edge devices and the remote datacenters. To tackle this challenge, edge cloud and edge computing seem to be a promising possibility which provides resources closer to the resource-poor edge IoT devices and potentially can nurture a new IoT innovation ecosystem. Such prospect is enabled by a series of emerging technologies, including network function virtualization and software defined networking. In this survey paper, we investigate the …",649
A survey of the research on future internet architectures,"Jianli Pan, Subharthi Paul, Raj Jain",2011/6/30,Source IEEE Communications Magazine,"The current Internet, which was designed over 40 years ago, is facing unprecedented challenges in many aspects, especially in the commercial context. The emerging demands for security, mobility, content distribution, etc. are hard to be met by incremental changes through ad-hoc patches. New clean-slate architecture designs based on new design principles are expected to address these challenges. In this survey article, we investigate the key research topics in the area of future Internet architecture. Many ongoing research projects from United States, the European Union, Japan, China, and other places are introduced and discussed. We aim to draw an overall picture of the current research progress on the future Internet architecture.",555
"An internet of things framework for smart energy in buildings: designs, prototype, and experiments","Jianli Pan, Raj Jain, Subharthi Paul, et al.",2015/12,Journal IEEE Internet of Things Journal (IOT-J),"Smart energy in buildings is an important research area of Internet of Things (IoT). As important parts of the smart grids, the energy efficiency of buildings is vital for the environment and global sustainability. Using a LEED-gold-certificated green office building, we built a unique IoT experimental testbed for our energy efficiency and building intelligence research. We first monitor and collect 1-year-long building energy usage data and then systematically evaluate and analyze them. The results show that due to the centralized and static building controls, the actual running of green buildings may not be energy efficient even though they may be “green” by design. Inspired by “energy proportional computing” in modern computers, we propose an IoT framework with smart location-based automated and networked energy control, which uses smartphone platform and cloud-computing technologies to enable multiscale …",364
Architectures for the future networks and the next generation Internet: A survey,"Subharthi Paul, Jianli Pan, Raj Jain",2011/1/15,Journal Computer Communications,"Networking research funding agencies in USA, Europe, Japan, and other countries are encouraging research on revolutionary networking architectures that may or may not be bound by the restrictions of the current TCP/IP based Internet. We present a comprehensive survey of such research projects and activities. The topics covered include various testbeds for experimentations for new architectures, new security mechanisms, content delivery mechanisms, management and control frameworks, service architectures, and routing mechanisms. Delay/disruption tolerant networks which allow communications even when complete end-to-end path is not available are also discussed.",349
EdgeChain: An Edge-IoT Framework and Prototype Based on Blockchain and Smart Contracts,"Jianli Pan, Jianyu Wang, Austin Hester, Ismail Alqerm, Yuanni Liu, Ying Zhao",2018/6/16,Journal IEEE Internet of Things Journal (IOT-J),"The emerging Internet of Things (IoT) is facing significant scalability and security challenges. On one hand, IoT devices are “weak” and need external assistance. Edge computing provides a promising direction addressing the deficiency of centralized cloud computing in scaling massive number of devices. On the other hand, IoT devices are also relatively “vulnerable” facing malicious hackers due to resource constraints. The emerging blockchain and smart contracts technologies bring a series of new security features for IoT and edge computing. In this paper, to address the challenges, we design and prototype an edge-IoT framework named “EdgeChain” based on blockchain and smart contracts. The core idea is to integrate a permissioned blockchain and the internal currency or “coin” system to link the edge cloud resource pool with each IoT device' account and resource usage, and hence behavior of the IoT …",235
A survey of network simulation tools: Current status and future developments,"Jianli Pan, Raj Jain",2008/11/24,"Journal Technical Report, Washington University, Email: jp10@cse.wustl.edu","In the network research area, it is very costly to deploy a complete test bed containing multiple networked computers, routers and data links to validate and verify a certain network protocol or a specific network algorithm. The network simulators in these circumstances save a lot of money and time in accomplishing this task. Network simulators are also particularly useful in allowing the network designers to test new networking protocols or to change the existing protocols in a controlled and reproducible manner. In this paper, we present a comprehensive survey on current network simulators. We introduce their main features, consider their advantages and disadvantages, and discuss the current and future developments. We hope this survey to be a good reference source for those who feel difficult to find the appropriate network simulators for their research or practical requirements.",157
"Edge Cloud Offloading Algorithms: Issues, Methods, and Perspectives","Jianyu Wang, Jianli Pan, Flavio Esposito, Prasad Calyam, Zhicheng Yang, Prasant Mohapatra",2019/2,Journal ACM Computing Surveys (CSUR),"Mobile devices supporting the “Internet of Things” often have limited capabilities in computation, battery energy, and storage space, especially to support resource-intensive applications involving virtual reality, augmented reality, multimedia delivery, and artificial intelligence, which could require broad bandwidth, low response latency, and large computational power. Edge cloud or edge computing is an emerging topic and a technology that can tackle the deficiencies of the currently centralized-only cloud computing model and move the computation and storage resources closer to the devices in support of the above-mentioned applications. To make this happen, efficient coordination mechanisms and “offloading” algorithms are needed to allow mobile devices and the edge cloud to work together smoothly. In this survey article, we investigate the key issues, methods, and various state-of-the-art efforts related to the …",146
MILSA: a mobility and multihoming supporting identifier locator split architecture for naming in the next generation internet,"Jianli Pan, Subharthi Paul, Raj Jain, Mic Bowman",2008/11/30,Conference IEEE Global Telecommunications Conference (GLOBECOM),"Naming and addressing are important issues for next generation Internet (NGI). In this paper, we discuss a new mobility and multihoming supporting identifier locator split architecture (MILSA). There are three main contributions of our solution. First, we separate trust relationships (realms) from connectivity (zones). A hierarchical identifier system for the realms and a Realm Zone Bridging Server (RZBS) infrastructure that performs the bridging function is introduced. Second, we separate the signaling and data plane functions to improve the performance and support mobility. Third, to provide transparency to the upper layer applications, identifier locator split happens in network layer. A Hierarchical URI-like Identifier (HUI) is used by the upper layers and is mapped to a locators set by HUI Mapping Sublayer (HMS) through interaction with RZBS infrastructure. Further scenarios description and analysis show the benefits …",118
"MILSA: A new evolutionary architecture for scalability, mobility, and multihoming in the future Internet","Jianli Pan, Raj Jain, Subharthi Paul, Chakchai So-In",2010/10,Journal IEEE Journal on Selected Areas in Communications (JSAC),"Many challenges to the Internet including global routing scalability have drawn significant attention from both industry and academia, and have generated several new ideas for the next generation. MILSA (Mobility and Multihoming supporting Identifier Locator Split Architecture) and related enhancements are designed to address the naming, addressing, and routing scalability challenges, provide mobility and multihoming support, and easy transition from the current Internet. In this paper, we synthesize our research into a multiple-tier realm-based framework and present the fundamental principles behind the architecture. Through detailed presentation of these principles and different aspects of our architecture, the underlying design rationale is justified. We also discuss how our proposal can meet the IRTF RRG design goals. As an evolutionary architecture, MILSA balances the high-level long-run architecture …",93
"Cybersecurity Challenges and Opportunities in the New ""Edge Computing + IoT"" World","Jianli Pan, Zhicheng Yang",2018/3/21,Conference ACM International Workshop on Security in Software Defined Networks & Network Function Virtualization (SDN-NFV Sec’18),"The paradigm shift to the Internet of Things (IoT) and the emergence of the edge computing concept have brought huge potentials for various future IoT application scenes such as smart home, smart transportation, smart health, smart grids, and smart energy. It also brings a series of new Cybersecurity challenges. We envision that many new research and innovation opportunities will emerge in the conjunction of ""Cybersecurity + edge computing + IoT + AI"". In this article, we will discuss the major new Cybersecurity challenges and the related opportunities in such a vision.",73
