titles,authors,date,source,descriptions,citations
Simulation optimization: A review and exploration in the new era of cloud computing and big data,"Jie Xu, Edward Huang, Chun-Hung Chen, Loo Hay Lee",2015/6/21,Source Asia-Pacific Journal of Operational Research,"Recent advances in simulation optimization research and explosive growth in computing power have made it possible to optimize complex stochastic systems that are otherwise intractable. In the first part of this paper, we classify simulation optimization techniques into four categories based on how the search is conducted. We provide tutorial expositions on representative methods from each category, with a focus in recent developments, and compare the strengths and limitations of each category. In the second part of this paper, we review applications of simulation optimization in various contexts, with detailed discussions on health care, logistics, and manufacturing systems. Finally, we explore the potential of simulation optimization in the new era. Specifically, we discuss how simulation optimization can benefit from cloud computing and high-performance computing, its integration with big data analytics, and the …",209
Industrial strength COMPASS: A comprehensive algorithm and software for optimization via simulation,"Jie Xu, Barry L Nelson, Jeff L Hong",2010/2/8,Journal ACM Transactions on Modeling and Computer Simulation (TOMACS),"Industrial Strength COMPASS (ISC) is a particular implementation of a general framework for optimizing the expected value of a performance measure of a stochastic simulation with respect to integer-ordered decision variables in a finite (but typically large) feasible region defined by linear-integer constraints. The framework consists of a global-search phase, followed by a local-search phase, and ending with a “clean-up” (selection of the best) phase. Each phase provides a probability 1 convergence guarantee as the simulation effort increases without bound: Convergence to a globally optimal solution in the global-search phase; convergence to a locally optimal solution in the local-search phase; and convergence to the best of a small number of good solutions in the clean-up phase. In practice, ISC stops short of such convergence by applying an improvement-based transition rule from the global phase to the local …",188
A comparison study of validity indices on swarm-intelligence-based clustering,"Rui Xu, Jie Xu, Donald C Wunsch",2012/3/15,"Journal IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","Swarm intelligence has emerged as a worthwhile class of clustering methods due to its convenient implementation, parallel capability, ability to avoid local minima, and other advantages. In such applications, clustering validity indices usually operate as fitness functions to evaluate the qualities of the obtained clusters. However, as the validity indices are usually data dependent and are designed to address certain types of data, the selection of different indices as the fitness functions may critically affect cluster quality. Here, we compare the performances of eight well-known and widely used clustering validity indices, namely, the Caliński–Harabasz index, the    index, the Davies–Bouldin index, the Dunn index with two of its generalized versions, the    index, and the silhouette statistic index, on both synthetic and real data sets in the framework of differential-evolution–particle-swarm-optimization (DEPSO)-based …",138
Simulation optimization in the era of Industrial 4.0 and the Industrial Internet,"Jie Xu, Edward Huang, Liam Hsieh, Loo Hay Lee, Qing-Shan Jia, Chun-Hung Chen",2016/11/1,Journal Journal of Simulation,"Simulation is an established tool for predicting and evaluating the performance of complex stochastic systems that are analytically intractable. Recent research in simulation optimization and explosive growth in computing power have made it feasible to use simulations to optimize the design and operations of systems directly. Concurrently, ubiquitous sensing, pervasive computing, and unprecedented systems interconnectivity have ushered in a new era of industrialization (the so-called Industrial 4.0/Industrial Internet). In this article, we argue that simulation optimization is a decision-making tool that can be applied to many scenarios to tremendous effect. By capitalizing on an unprecedented integration of sensing, computing, and control, simulation optimization provides the “smart brain” required to drastically improve the efficiency of industrial systems. We explore the potential of simulation optimization and discuss …",132
An adaptive hyperbox algorithm for high-dimensional discrete optimization via simulation problems,"Jie Xu, Barry L Nelson, L Jeff Hong",2013/2,Journal INFORMS Journal on Computing,"We propose an adaptive hyperbox algorithm (AHA), which is an instance of a locally convergent, random search algorithm for solving discrete optimization via simulation problems. Compared to the COMPASS algorithm, AHA is more efficient in high-dimensional problems. By analyzing models of the behavior of COMPASS and AHA, we show why COMPASS slows down significantly as dimension increases, whereas AHA is less affected. Both AHA and COMPASS can be used as the local search algorithm within the Industrial Strength COMPASS framework, which consists of a global search phase, a local search phase, and a final cleanup phase. We compare the performance of AHA to COMPASS within the framework of Industrial Strength COMPASS and as stand-alone algorithms. Numerical experiments demonstrate that AHA scales up well in high-dimensional problems and has similar performance to …",92
MO2TOS: Multi-Fidelity Optimization with Ordinal Transformation and Optimal Sampling,"Jie Xu, Si Zhang, Edward Huang, Chun-Hung Chen, Loo Hay Lee, Nurcin Celik",2016/6/20,Journal Asia-Pacific Journal of Operational Research,"Simulation optimization can be used to solve many complex optimization problems in automation applications such as job scheduling and inventory control. We propose a new framework to perform efficient simulation optimization when simulation models with different fidelity levels are available. The framework consists of two novel methodologies: ordinal transformation (OT) and optimal sampling (OS). The OT methodology uses the low-fidelity simulations to transform the original solution space into an ordinal space that encapsulates useful information from the low-fidelity model. The OS methodology efficiently uses high-fidelity simulations to sample the transformed space in search of the optimal solution. Through theoretical analysis and numerical experiments, we demonstrate the promising performance of the multi-fidelity optimization with ordinal transformation and optimal sampling (MO2TOS) framework.",87
Optimal computing budget allocation for particle swarm optimization in stochastic optimization,"Si Zhang, Jie Xu, Loo Hay Lee, Ek Peng Chew, Wai Peng Wong, Chun-Hung Chen",2016/7/18,Journal IEEE Transactions on Evolutionary Computation,"Particle swarm optimization (PSO) is a popular metaheuristic for deterministic optimization. Originated in the interpretations of the movement of individuals in a bird flock or fish school, PSO introduces the concept of personal best and global best to simulate the pattern of searching for food by flocking and successfully translate the natural phenomena to the optimization of complex functions. Many real-life applications of PSO cope with stochastic problems. To solve a stochastic problem using PSO, a straightforward approach is to equally allocate computational effort among all particles and obtain the same number of samples of fitness values. This is not an efficient use of computational budget and leaves considerable room for improvement. This paper proposes a seamless integration of the concept of optimal computing budget allocation into PSO to improve the computational efficiency of PSO for stochastic …",64
A simulation budget allocation procedure for enhancing the efficiency of optimal subset selection,"Si Zhang, Loo Hay Lee, Ek Peng Chew, Jie Xu, Chun-Hung Chen",2015/4/17,Journal IEEE Transactions on Automatic Control,"Selecting the optimal subset is highly beneficial to numerous developments in simulation optimization. This paper studies the problem of maximizing the probability of correctly selecting the top-  designs out of  designs under a computing budget constraint. We develop a new procedure which is more efficient and robust than currently existing procedures in the literature. We also provide an analysis on its asymptotic convergence rate. Based on this analysis, we show that our new procedure achieves a higher convergence rate than other procedures under certain conditions. Numerical testing supports our analytical analysis and shows that the new procedure is significantly more efficient and robust.",64
Discrete optimization via simulation,"L Jeff Hong, Barry L Nelson, Jie Xu",2015,Journal Handbook of simulation optimization,"This chapter describes tools and techniques that are useful for optimization via simulation—maximizing or minimizing the expected value of a performance measure of a stochastic simulation—when the decision variables are discrete. Ranking and selection, globally and locally convergent random search and ordinal optimization are covered, along with a collection of “enhancements” that may be applied to many different discrete optimization via simulation algorithms. We also provide strategies for using commercial solvers.",60
Efficient multi-fidelity simulation optimization,"Jie Xu, Si Zhang, Edward Huang, Chun-Hung Chen, Loo Hay Lee, Nurcin Celik",2014/12/7,Book Proceedings of the 2014 winter simulation conference,"Simulation models of different fidelity levels are often available for a complex system. High-fidelity simulations are accurate but time-consuming. Therefore, they can only be applied to a small number of solutions. Low-fidelity simulations are faster and can evaluate a large number of solutions. But their results may contain significant bias and variability. We propose an Multi-fidelity Optimization with Ordinal Transformation and Optimal Sampling (MO2TOS) framework to exploit the benefits of high- and low-fidelity simulations to efficiently identify a (near) optimal solution. MO2TOS uses low-fidelity simulations for all solutions and then assigns a fixed budget of high-fidelity simulations to solutions based on low-fidelity simulation results. We show the benefits of MO2TOS via theoretical analysis and numerical experiments with deterministic simulations and stochastic simulations where noise is negligible with sufficient …",49
