titles,authors,date,source,descriptions,citations
Fundamentals of queueing theory,"John F Shortle, James M Thompson, Donald Gross, Carl M Harris",2018/3/29,Volume 399,"The definitive guide to queueing theory and its practical applications—features numerous real-world examples of scientific, engineering, and business applications Thoroughly updated and expanded to reflect the latest developments in the field, Fundamentals of Queueing Theory, Fifth Edition presents the statistical principles and processes involved in the analysis of the probabilistic nature of queues. Rather than focus narrowly on a particular application area, the authors illustrate the theory in practice across a range of fields, from computer science and various engineering disciplines to business and operations research. Critically, the text also provides a numerical approach to understanding and making estimations with queueing theory and provides comprehensive coverage of both simple and advanced queueing models. As with all preceding editions, this latest update of the classic text features a unique blend of the theoretical and timely real-world applications. The introductory section has been reorganized with expanded coverage of qualitative/non-mathematical approaches to queueing theory, including a high-level description of queues in everyday life. New sections on non-stationary fluid queues, fairness in queueing, and Little’s Law have been added, as has expanded coverage of stochastic processes, including the Poisson process and Markov chains.• Each chapter provides a self-contained presentation of key concepts and formulas, to allow readers to focus independently on topics relevant to their interests• A summary table at the end of the book outlines the queues that have been discussed and the types of results that have …",403
Method and tool for calculating impact of voice traffic on fast packet networks,"Harvey J Benson, John F Shortle",2003/3/11,Patent office US,"An analysis method provides a bandwidth calculation for employing voice communications over fast packet (FP) networks such as frame relay or ATM. Many companies currently have internal phone systems such as private branch exchange (PBX), which provide for the transmission of voice communication within an enterprise, but also a connection to the public switch telephone network (PSTN). In addition, PBX systems may be interconnected via a system of inter-PBX tie trunks, generally used for internal PBX-PBX communication. If a PBX system employs a private data network utilizing FP technology such as frame relay, it is now possible to route this inter-PBX voice traffic over the data network. In situations where the data network is a FP network such as frame relay or ATM, an analysis is performed to determine whether there is sufficient bandwidth to handle the voice traffic. A software tool uses historical data on …",225
An algorithm to compute the waiting time distribution for the M/G/1 queue,"John F Shortle, Percy H Brill, Martin J Fischer, Donald Gross, Denise MB Masi",2004/5,Journal INFORMS Journal on Computing,"In many modern applications of queueing theory, the classical assumption of exponentially decaying service distributions does not apply. In particular, Internet and insurance risk problems may involve heavy-tailed distributions. A difficulty with heavy-tailed distributions is that they may not have closed-form, analytic Laplace transforms. This makes numerical methods, which use the Laplace transform, challenging. In this paper, we develop a method for approximating Laplace transforms. Using the approximation, we give algorithms to compute the steady state probability distribution of the waiting time of an M/G/1 queue to a desired accuracy. We give several numerical examples, and we validate the approximation with known results where possible or with simulations otherwise. We also give convergence proofs for the methods.",59
Difficulties in simulating queues with Pareto service,"Donald Gross, John F Shortle, Martin J Fischer, Denise M Bevilacqua Masi",2002/12/8,Conference Proceedings of the Winter Simulation Conference,"M/G/1 queues, where G is a heavy-tailed distribution, have applications in Internet modeling and modeling for insurance claim risk. The Pareto distribution is a special heavy-tailed distribution called a power-tailed distribution, and has been found to serve as adequate models for many of these situations. However, to get the waiting time distribution, one must resort to numerical methods, e.g., simulation. Many difficulties arise in simulating queues with Pareto service and we investigate why this may be so. Even if we are willing to consider truncated Pareto service, there still can be problems in simulating if the truncation point (maximum service time possible) is too large.",56
Transmission-capacity expansion for minimizing blackout probabilities,"John Shortle, Steffen Rebennack, Fred W Glover",2013/9/13,Journal IEEE Transactions on Power Systems,"The objective of this paper is to determine an optimal plan for expanding the capacity of a power grid in order to minimize the likelihood of a large cascading blackout. Capacity-expansion decisions considered in this paper include the addition of new transmission lines and the addition of capacity to existing lines. We embody these interacting considerations in a simulation optimization model, where the objective is to minimize the probability of a large blackout subject to a budget constraint. The probability of a large-scale blackout is estimated via Monte Carlo simulation of a probabilistic cascading blackout model. Because the events of interest are rare, standard simulation is often intractable from a computational perspective. We apply a variance-reduction technique within the simulation to provide results in a reasonable time frame. Numerical results are given for some small test networks including an IEEE 14-bus …",52
Simulating collision probabilities of landing airplanes at nontowered airports,"John F Shortle, Yue Xie, CH Chen, George L Donohue",2004/1,Journal Simulation,"Making greater use of smaller airports is one way that has been proposed to increase                the capacity of the National Airspace System. A major difficulty is that many small                airports do not have control towers, and thus capacity is severely limited during                poor visibility. The authors consider a proposed system in which airplanes                self-separate, so they are able to land at higher capacities without a control                tower. Before such a system is implemented, it must first be shown to be safe.                Safety is a difficult metric to measure and predict because accidents are so rare.                Even computer simulation can be slow because of the long time to observe accidents.                One methodology that has been successful in assessing aviation safety through                simulation is TOPAZ (Traffic Organizer and Perturbation AnalyZer). In this study,                the authors apply the methodology to …",44
Analyzing the waiting time process in internet queueing systems with the transform approximation method,"Martin J Fischer, Donald Gross, DM Bevilacqua Masi, John F Shortle",2001,Journal The Telecommunications Review,"The underlying arrival and service distributions of Internet traffic are drawn from a family of distributions, which are known as heavy-tailed distributions. These distributions have tails that decay much slower than exponential and do not possess a closed form Laplace transform. This feature significantly limits the use of standard queueing theory analysis techniques on Internet-type queueing systems. We have developed an analysis method, known as the Transform Approximation Method (TAM), to overcome this problem. TAM has been successfully applied to the analysis of the queue length process of systems with heavy-tailed service distributions and to systems with heavy-tailed arrivals. In this paper, we examine the use of TAM in analyzing the waiting time process in systems with heavy-tailed service times. The original version of TAM was modified and successfully applied to this problem. The modification and …",44
Using the transform approximation method to analyze queues with heavy-tailed service,"John F Shortle, Martin J Fischer, Donald Gross, Denise MB Masi",2003/2,Journal Journal of Probability and Statistical Science,"Many modern queueing problems involve probability distributions which are heavy-tailed. This means their distribution functions decay more slowly than any exponential function. Analyzing queues with these distributions is difficult since they do not have closed-form, analytic Laplace transforms. This paper investigates a recently proposed method for numerically approximating Laplace transforms, called the Transform Approximation Method (TAM). While TAM can be used to approximate the Laplace transform of a heavy-tailed distribution, one must still invert a Laplace transform to recover the desired probability distribution. This paper investigates using TAM with two numerical methods for inverting Laplace transforms. In particular, we compare the well-known Fourier-series method with a recursion method. We give several benchmark problems and algorithms to compare the methods. In general, the Fourier method is better at finding P (Wq≤ t) for a single t. For the inverse problem, neither method clearly dominates.",35
Measuring resilience in network-based infrastructures,"David A Garbin, John F Shortle",2007/2,Journal Critical Thinking: Moving from infrastructure protection to infrastructure resilience,,33
Efficient simulation of blackout probabilities using splitting,John F Shortle,2013/1/1,Journal International Journal of Electrical Power & Energy Systems,"Standard Monte-Carlo simulation may be computationally intractable when the events of interest are extremely rare. This paper applies the rare-event simulation technique of splitting to the problem of estimating large-scale blackout probabilities. First, a stochastic model of cascading line failures is developed. Then, a simple network is presented and an analytical solution is derived for the simple network. Exploration of the analytical solution provides some guidance for setting splitting parameters in more complicated networks. In particular, geometrically increasing levels typically give an improvement over equally-spaced levels, due to the cascading nature of blackouts. The splitting methodology is applied to several different network topologies of varying complexity – a mesh network, a grid network, and the IEEE 118-bus network. Numerical results indicate that splitting has the potential to be effective on problems …",32
