titles,authors,date,source,descriptions,citations
Orthogonal arrays: theory and applications,"A Samad Hedayat, Neil James Alexander Sloane, John Stufken",1999/6/22,Publisher Springer Science & Business Media,"This is the first book on the subject since its introduction more than fifty years ago, and it can be used as a graduate text or as a reference work. It features all of the key results, many very useful tables, and a large number of research problems. The book will be of interest to those interested in one of the most fascinating areas of discrete mathematics, connected to statistics and coding theory, with applications to computer science and cryptography. It will be useful for anyone who is running experiments, whether in a chemistry lab or a manufacturing plant (trying to make those alloys stronger), or in agricultural or medical research.",2250
Handbook of design and analysis of experiments,"Angela M Dean, Max Morris, John Stufken, Derek Bingham",2015/6/26,Volume 7,"Experiments are run for many purposes and are prevalent in a wide range of application areas. Examples of experimental contexts include engineering for the design and improvement of complex systems, pharmaceutical industry efforts to discover and develop new drugs, and the improvement of crop yield and sustainability in agriculture. Recent improvements in computer speed and memory have led to important developments in the computational aspects of the statistical challenges associated with the various components of experimentation. This handbook provides a description of many of the recent advances in the field, as well as a detailed, comprehensive overview of the basic tools required for the optimal design of experiments and their analyses. Although there are textbooks available that deal with the traditional areas of design of experiments such as block designs and factorial experiments and a few …",155
Information-based optimal subdata selection for big data linear regression,"HaiYing Wang, Min Yang, John Stufken",2019/1/2,Journal Journal of the American Statistical Association,"Extraordinary amounts of data are being produced in many branches of science. Proven statistical methods are no longer applicable with extraordinary large datasets due to computational limitations. A critical step in big data analysis is data reduction. Existing investigations in the context of linear regression focus on subsampling-based methods. However, not only is this approach prone to sampling errors, it also leads to a covariance matrix of the estimators that is typically bounded from below by a term that is of the order of the inverse of the subdata size. We propose a novel approach, termed information-based optimal subdata selection (IBOSS). Compared to leading existing subdata methods, the IBOSS approach has the following advantages: (i) it is significantly faster; (ii) it is suitable for distributed parallel computing; (iii) the variances of the slope parameter estimators converge to 0 as the full data size …",151
Sampling plans excluding contiguous units,"AS Hedayat, CR Rao, J Stufken",1988/1/1,Journal Journal of Statistical Planning and Inference,We consider fixed size sampling plans for which the second order inclusion probabilities are zero for pairs of contiguous units and constant for pairs of non-contiguous units. A practical motivation for the use of such plans is pointed out and a statistical condition is identified under which these plans are more efficient than the corresponding simple random sampling plans. Results on the existence and construction of these plans are obtained.,110
Multi-objective optimal experimental designs for event-related fMRI studies,"Ming-Hung Kao, Abhyuday Mandal, Nicole Lazar, John Stufken",2009/2/1,Journal NeuroImage,"In this article, we propose an efficient approach to find optimal experimental designs for event-related functional magnetic resonance imaging (ER-fMRI). We consider multiple objectives, including estimating the hemodynamic response function (HRF), detecting activation, circumventing psychological confounds and fulfilling customized requirements. Taking into account these goals, we formulate a family of multi-objective design criteria and develop a genetic-algorithm-based technique to search for optimal designs. Our proposed technique incorporates existing knowledge about the performance of fMRI designs, and its usefulness is shown through simulations. Although our approach also works for other linear combinations of parameters, we primarily focus on the case when the interest lies either in the individual stimulus effects or in pairwise contrasts between stimulus types. Under either of these popular cases …",103
Support points of locally optimal designs for nonlinear models with two parameters,"Min Yang, John Stufken",2009/2/1,Journal The Annals of Statistics,"We propose a new approach for identifying the support points of a locally optimal design when the model is a nonlinear model. In contrast to the commonly used geometric approach, we use an approach based on algebraic tools. Considerations are restricted to models with two parameters, and the general results are applied to often used special cases, including logistic, probit, double exponential and double reciprocal models for binary data, a loglinear Poisson regression model for count data, and the Michaelis-Menten model. The approach, which is also of value for multi-stage experiments, works both with constrained and unconstrained design regions and is relatively easy to implement.",102
3 Optimal crossover designs,John Stufken,1996/1/1,Source Handbook of statistics,"This chapter focuses on optimal crossover designs. The principal idea associated with crossover designs is to use a number of available units for several measurements at different occasions. One possible motive for using a crossover design is that a crossover design requires fewer subjects for the same number of observations. This can obviously be an important consideration when subjects are scarce and when including a large number of subjects in the experiment can be prohibitively expensive. Another possible motive for using crossover designs is that these designs provide within subject information about treatment differences. In many applications, the different subjects would exhibit large natural differences, and inferences concerning treatment comparisons based on between subject information—available if subject effects are assumed to be random effects—would require a much …",88
Some families of optimal and efficient repeated measurements designs,John Stufken,1991/1/1,Journal Journal of Statistical Planning and Inference,"Conditions that ensure simple information matrices for the estimation of direct and residual treatment effects under an additive, homoscedastic model are given. Examples of designs that satisfy these conditions are presented.",71
Optimal crossover designs in a model with self and mixed carryover effects,"Joachim Kunert, J Stufken",2002/9/1,Journal Journal of the American Statistical Association,"We consider a variant of the usual model for crossover designs with carryover effects. Instead of assuming that the carryover effect of a treatment is the same regardless of the treatment in the next period, the model assumes that the carryover effect of a treatment on itself is different from the carryover effect on other treatments. For the traditional model, optimal designs tend to have pairs of consecutive identical treatments; for the model considered here, they tend to avoid such pairs. Practitioners have long expressed reservations about designs that exhibit such pairs and about the traditional model. The new model provides an attractive alternative that leads to appealing optimal designs.",69
Combinatorial and statistical aspects of sampling plans to avoid the selection of adjacent units,J Stufken,1991,Publisher Iowa State University. Department of Statistics. Statistical Laboratory,,61
Identifying locally optimal designs for nonlinear models: A simple extension with profound consequences,"Min Yang, John Stufken",2012/6/1,Volume 40," We extend the approach in [Ann. Statist. 38 (2010) 2499–2524] for identifying locally optimal designs for nonlinear models. Conceptually the extension is relatively simple, but the consequences in terms of applications are profound. As we will demonstrate, we can obtain results for locally optimal designs under many optimality criteria and for a larger class of models than has been done hitherto. In many cases the results lead to optimal designs with the minimal number of support points. ",60
