titles,authors,date,source,descriptions,citations
An obstacle-based rapidly-exploring random tree,"Samuel Rodriguez, Xinyu Tang, Jyh-Ming Lien, Nancy M Amato",2006/5/15,"Conference Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.","Tree-based path planners have been shown to be well suited to solve various high dimensional motion planning problems. Here we present a variant of the Rapidly-Exploring Random Tree (RRT) path planning algorithm that is able to explore narrow passages or difficult areas more effectively. We show that both workspace obstacle information and C-space information can be used when deciding which direction to grow. The method includes many ways to grow the tree, some taking into account the obstacles in the environment. This planner works best in difficult areas when planning for free flying rigid or articulated robots. Indeed, whereas the standard RRT can face difficulties planning in a narrow passage, the tree based planner presented here works best in these areas",248
Approximate convex decomposition of polygons,"Jyh-Ming Lien, Nancy M Amato",2004,Conference SCG '04 Proceedings of the twentieth annual symposium on Computational geometry,"We propose a strategy to decompose a polygon, containing zero or more holes, into ``approximately convex'' pieces. For many applications, the approximately convex components of this decomposition provide similar benefits as convex components, while the resulting decomposition is significantly smaller and can be computed more efficiently. Moreover, our approximate convex decomposition (ACD) provides a mechanism to focus on key structural features and ignoreless significant artifacts such as wrinkles and surface texture a user specified tolerance determines allowable concavity. We propose a simple algorithm that computes an ACD of a polygon by iteratively removing (resolving) the most significant non-convex feature (notch). As a by product, it produces an elegant hierarchical representation that provides a series of `increasingly convex' decompositions. Our algorithm computes an ACD of a simple …",230
Approximate convex decomposition of polyhedra,"Jyh-Ming Lien, Nancy M Amato",2007/6/4,Book Proceedings of the 2007 ACM symposium on Solid and physical modeling,"Decomposition is a technique commonly used to partition complex models into simpler components. While decomposition into convex components results in pieces that are easy to process, such decompositions can be costly to construct and can result in representations with an unmanageable number of components. In this paper we explore an alternative partitioning strategy that decomposes a given model into ""approximately convex"" pieces that may provide similar benefits as convex components, while the resulting decomposition is both significantly smaller (typically by orders of magnitude) and can be computed more efficiently. Indeed, for many applications, an approximate convex decomposition (ACD) can more accurately represent the important structural features of the model by providing a mechanism for ignoring less significant features, such as surface texture. We describe a technique for computing …",205
Shepherding behaviors,"Jyh-Ming Lien, O Burchan Bayazit, Ross T Sowell, Samuel Rodriguez, Nancy M Amato",2004/4/26,"Conference IEEE International Conference on Robotics and Automation, 2004. Proceedings. ICRA'04. 2004","Shepherding behaviors are a type of flocking behavior in which outside agents guide or control members of a flock. Shepherding behaviors can be found in various forms in nature. For example, herding, covering, patrolling and collecting are common types of shepherding behaviors. In this work, we investigate ways to simulate these types of behaviors. A shepherd uses roadmaps to steer the flock and to re-group separated flock members. This paper focuses on improving the shepherd's movements to gain better control of the flock's motion and use this improved control to demonstrate a wider variety of shepherding behaviors.",185
Simultaneous shape decomposition and skeletonization,"Jyh-Ming Lien, John Keyser, Nancy M Amato",2006/6/6,Book Proceedings of the 2006 ACM symposium on Solid and physical modeling,"Shape decomposition and skeletonization share many common properties and applications. However, they are generally treated as independent computations. In this paper, we propose an iterative approach that simultaneously generates a hierarchical shape decomposition and a corresponding set of multi-resolution skeletons. In our method, a skeleton of a model is extracted from the components of its decomposition --- that is, both processes and the qualities of their results are interdependent. In particular, if the quality of the extracted skeleton does not meet some user specified criteria, then the model is decomposed into finer components and a new skeleton is extracted from these components. The process of simultaneous shape decomposition and skeletonization iterates until the quality of the skeleton becomes satisfactory. We provide evidence that the proposed framework is efficient and robust under …",174
Shepherding behaviors with multiple shepherds,"Jyh-Ming Lien, Samuel Rodriguez, J Malric, Nancy M Amato",2005/4/18,Conference Proceedings of the 2005 IEEE International Conference on Robotics and Automation,"Shepherding behaviors are a type of group be haviors in which one group (the shepherds) tries to control the motion of another group (the flock). Shepherding behaviors can be found in many forms in nature and have various important robotic applications. In this paper we extend our previous work of shepherding behaviors with a single shepherd to multiple shepherds. More specifically, we study how a group of shepherds can work cooperatively without communication to efficiently control the flock.",164
Better group behaviors in complex environments using global roadmaps,"O Burchan Bayazit, Jyh-Ming Lien, Nancy M Amato",2002/12/9,Journal Artif. Life,"While many methods to simulate flocking behaviors have been proposed, these techniques usually only provide simplistic navigation and planning capabilities because each flock member’s behavior depends only on its local environment. In this work, we investigate how the addition of global information in the form of a roadmap of the environment enables more sophisticated flocking behaviors and supports global navigation and planning. In this paper, we propose new techniques for four distinct group behaviors: homing, goal searching, traversing narrow areas and shepherding. Extending ideas from cognitive modeling, we embed behavior rules in individual flock members and in the roadmap. These embedded behaviors enable the creatures to modify their actions based on their current location and state. For example, the flock might move as an unordered group in open regions and in a follow-the-leader fashion through narrow passages. These behaviors exploit global knowledge of the environment and utilize information gathered by all flock members which is communicated by allowing individual flock members to dynamically update the shared roadmap to reflect (un) desirable routes or regions. We present experimental results showing how the judicious use of simple roadmaps of the environment enables complex behaviors to be obtained at minimal cost. Animations can be viewed at http://parasol. tamu. edu.",140
A general framework for sampling on the medial axis of the free space,"Jyh-Ming Lien, Shawna L Thomas, Nancy M Amato",2003/9/14,Conference 2003 IEEE International Conference on Robotics and Automation (Cat. No. 03CH37422),"We propose a general framework for sampling the configuration space in which randomly generated configurations, free or not, are retracted onto the medial axis of the free space. Generalizing our previous work, this framework provides a template encompassing all possible retraction approaches. It also removes the requirement of exactly computing distance metrics thereby enabling application to more realistic high dimensional problems. In particular, our framework supports methods that retract a given configuration exactly or approximately onto the medial axis. As in our previous work, exact methods provide fast and accurate retraction in low (2 or 3) dimensional space. We also propose new approximate methods that can be applied to high dimensional problems, such as many DOF articulated robots. Theoretical and experimental results show improved performance on problems requiring traversal of narrow …",118
Probabilistic roadmap motion planning for deformable objects,"O Burchan Bayazit, Jyh-Ming Lien, Nancy M Amato",2002/5/11,Conference Proceedings 2002 IEEE International Conference on Robotics and Automation (Cat. No. 02CH37292),"In this paper, we investigate methods for motion planning for deformable robots. Our framework is based on a probabilistic roadmap planner. As with traditional motion planning, the planner's goal is to find a valid path for the robot. Unlike typical motion planning, the robot is allowed to change its shape (deform) to avoid collisions as it moves along the path. We propose a two-stage approach. First, an 'approximate' path which may contain collisions is found. Next, we attempt to correct any collisions on this path by deforming the robot. We propose and analyze two methods for performing the deformations. Both techniques are inspired by a physically correct behavior, but are more efficient than completely, physically correct methods. Our approach can be applied in several domains, including flexible robots, computer modeling and animation, and biological simulations.",114
Roadmap-based flocking for complex environments,"O Burchan Bayazit, Jyh-Ming Lien, Nancy M Amato",2002/10/9,"Conference 10th Pacific Conference on Computer Graphics and Applications, 2002. Proceedings.","Flocking behavior is very common in nature, and there have been ongoing research efforts to simulate such behavior in computer animations and robotics applications. Generally, such work considers behaviors that can be determined independently by each flock member solely by observing its local environment, e.g., the speed and direction of its neighboring flock members. Since flock members are not assumed to have global information about the environment, only very simple navigation and planning techniques have been considered for such flocks. In this paper, we investigate how the addition of global information in the form of a roadmap of the environment enables more sophisticated flocking behaviors. In particular, we study and propose new techniques for three distinct group behaviors: homing, exploring and shepherding. These behaviors exploit global knowledge of the environment and utilize …",113
