titles,authors,date,source,descriptions,citations
Non-cryptographic authentication and identification in wireless networks [security and privacy in emerging wireless networks],"Kai Zeng, Kannan Govindan, Prasant Mohapatra",2010/10/14,Journal IEEE Wireless Communications,Lower/physical layer characteristics have been considered as potential alternatives/complements to provide security services in wireless networks. This article provides an overview of various noncryptographic mechanisms for user authentication and device identification in wireless networks using lower/physical layer properties or information. We discuss merits and demerits of these authentication/identification schemes and the practical implementation issues. Future research on cross-layer security design concludes this article.,295
Exploiting multiple-antenna diversity for shared secret key generation in wireless networks,"Kai Zeng, Daniel Wu, An Chan, Prasant Mohapatra",2010/3/14,Conference 2010 Proceedings IEEE INFOCOM,"Generating a secret key between two parties by extracting the shared randomness in the wireless fading channel is an emerging area of research. Previous works focus mainly on single-antenna systems. Multiple-antenna devices have the potential to provide more randomness for key generation than single-antenna ones. However, the performance of key generation using multiple-antenna devices in a real environment remains unknown. Different from the previous theoretical work on multiple-antenna key generation, we propose and implement a shared secret key generation protocol, Multiple-Antenna KEy generator (MAKE) using off-the-shelf 802.11n multiple-antenna devices. We also conduct extensive experiments and analysis in real indoor and outdoor mobile environments. Using the shared randomness extracted from measured Received Signal Strength Indicator (RSSI) to generate keys, our experimental …",263
On end-to-end throughput of opportunistic routing in multirate and multihop wireless networks,"Kai Zeng, Wenjing Lou, Hongqiang Zhai",2008/4/13,Conference IEEE INFOCOM 2008-The 27th Conference on Computer Communications,"Routing in multi-hop wireless networks presents a great challenge mainly due to unreliable wireless links and interference among concurrent transmissions. Recently, a new routing paradigm, opportunistic routing (OR), is proposed to cope with the unreliable transmissions by exploiting the broadcast nature and spatial diversity of the wireless medium. Previous studies on OR focused on networks with a single channel rate. The performance of OR in a multi-rate scenario is not carefully studied. In addition, although simulation and practical implementation have shown that OR achieves better throughput performance than that of traditional routing, there is no theoretical results on capacity enhancement provided by OR or network capacity bounds of OR. In this paper, we bridge these gaps by carrying out a comprehensive study on the impacts of multiple rates, interference, candidate selection and prioritization on the …",240
Energy-aware geographic routing in lossy wireless sensor networks with environmental energy supply,"Kai Zeng, Kui Ren, Wenjing Lou, Patrick J Moran",2006/8/7,Book Proceedings of the 3rd international conference on Quality of service in heterogeneous wired/wireless networks,"Wireless sensor networks are characterized by multihop wireless lossy links and resource constrained nodes. Energy efficiency is a major concern in such networks. In this paper, we study Geographic Routing with Environmental Energy Supply (GREES) and propose two protocols, GREES-L and GREES-M, which combine geographic routing and energy-aware routing techniques and take into account the realistic lossy wireless channel condition and the renewal capability of environmental energy supply when making routing decisions. Simulation results show that GREESs are more energy efficient than the corresponding residual energy based protocols and geographic routing protocols without energy awareness. GREESs can maintain higher mean residual energy on nodes, and achieve better load balancing in terms of having smaller standard deviation of residual energy on nodes. Both GREES-L and GREES …",224
Physical layer key generation in wireless networks: challenges and opportunities,Kai Zeng,2015/6/10,Source IEEE Communications Magazine,"Physical layer key generation that exploits reciprocity and randomness of wireless fading channels has attracted considerable research attention in recent years. Although theoretical study has shown its potential to generate information- theoretic secure keys, great challenges remain when transforming the theory into practice. This article provides an overview of the physical layer key generation process and discusses its practical challenges. Different passive and active attacks are analyzed and evaluated through numerical study. A new key generation scheme using random probing signals, and combining user generated randomness and channel randomness, is introduced as a countermeasure against active attacks. The numerical results show that the proposed scheme achieves higher security strength than existing schemes using constant probing signals under active attacks. Future research topics on …",223
Physical-layer security of 5G wireless networks for IoT: Challenges and opportunities,"Ning Wang, Pu Wang, Amir Alipour-Fanid, Long Jiao, Kai Zeng",2019/7/9,Source IEEE Internet of Things Journal,"The fifth generation (5G) wireless technologies serve as a key propellent to meet the increasing demands of the future Internet of Things (IoT) networks. For wireless communication security in 5G IoT networks, physical-layer security (PLS) has recently received growing interest. This paper aims to provide a comprehensive survey of the PLS techniques in 5G IoT communication systems. The investigation consists of four hierarchical parts. In the first part, we review the characteristics of 5G IoT under typical application scenarios. We then introduce the security threats from the 5G IoT physical-layer and categorize them according to the different purposes of the attacker. In the third part, we examine the 5G communication technologies in 5G IoT systems and discuss their challenges and opportunities when coping with physical-layer threats, including massive multiple-input-multiple-output (MIMO), millimeter wave …",220
On broadcast authentication in wireless sensor networks,"Kui Ren, Wenjing Lou, Kai Zeng, Patrick J Moran",2007/11/12,Journal IEEE Transactions on Wireless Communications,"Broadcast authentication is a critical security service in wireless sensor networks (WSNs), since it enables users to broadcast the WSN in an authenticated way. Symmetric key based schemes such as muTESLA and multilevel muTESLA have been proposed to provide such services for WSNs; however, these schemes all suffer from serious DoS attacks due to the delay in message authentication. This paper presents several effective public key based schemes to achieve immediate broadcast authentication and thus overcome the vulnerability presented in the muTESLA-like schemes. Several cryptographic techniques, including Merkle hash tree and identity-based signature scheme, are adopted to minimize the scheme overhead regarding the costs on both computation and communication. A quantitative energy consumption analysis of the proposed schemes is given in detail. We believe that this paper can serve …",208
On geographic collaborative forwarding in wireless ad hoc and sensor networks,"Kai Zeng, Wenjing Lou, Jie Yang, D Richard III Brown",2007/8/1,"Conference International Conference on Wireless Algorithms, Systems and Applications (WASA 2007)","In this paper, we study the geographic collaborative forwarding (GCF) scheme, a variant of opportunistic routing, which exploits the broadcast nature and spatial diversity of the wireless medium to improve the packet delivery efficiency. Our goal is to fully understand the principles, the gains, and the tradeoffs of the node collaboration and its associated cost, thus provide insightful analysis and guidance to the design of more efficient routing/forwarding protocols. We first identify the upper bound of the expected packet advancement (EPA) that GCF can achieve and prove the concavity of the maximum EPA. With energy efficiency as a major concern, we propose a new metric, EPA per unit energy consumption, which balances the packet advancement, reliability and energy consumption. By leveraging the proved properties, we then propose an efficient algorithm which selects a feasible candidate set that maximizes this …",138
On throughput efficiency of geographic opportunistic routing in multihop wireless networks,"Kai Zeng, Wenjing Lou, Jie Yang, D Richard Brown III",2007/8/14,"Book The Fourth International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness & Workshops","Geographic opportunistic routing (GOR) is a new routing concept in multihop wireless networks. In stead of picking one node to forward a packet to, GOR forwards a packet to a set of candidate nodes and one node is selected dynamically as the actual forwarder based on the instantaneous wireless channel condition and node position and availability at the time of transmission. GOR takes advantages of the spatial diversity and broadcast nature of wireless communications and is an efficient mechanism to combat the unreliable links. The existing GOR schemes typically involve as many as available next-hop neighbors into the local opportunistic forwarding, and give the nodes closer to the destination higher relay priorities. In this paper, we focus on realizing GOR's potential in maximizing throughput. We start with an insightful analysis of various factors and their impact on the throughput of GOR, and propose a local …",134
"A survey on security, privacy, and trust in mobile crowdsourcing","Wei Feng, Zheng Yan, Hengrun Zhang, Kai Zeng, Yu Xiao, Y Thomas Hou",2017/10/23,Journal IEEE Internet of Things Journal,"With the popularity of sensor-rich mobile devices (e.g., smart phones and wearable devices), mobile crowdsourcing (MCS) has emerged as an effective method for data collection and processing. Compared with traditional wireless sensor networking, MCS holds many advantages such as mobility, scalability, cost-efficiency, and human intelligence. However, MCS still faces many challenges with regard to security, privacy, and trust. This paper provides a survey of these challenges and discusses potential solutions. We analyze the characteristics of MCS, identify its security threats, and outline essential requirements on a secure, privacy-preserving, and trustworthy MCS system. Further, we review existing solutions based on these requirements and compare their pros and cons. Finally, we point out open issues and propose some future research directions.",117
