titles,authors,date,source,descriptions,citations
Extracting COVID-19 diagnoses and symptoms from clinical text: A new annotated corpus and neural event extraction framework,"Kevin Lybarger, Mari Ostendorf, Matthew Thompson, Meliha Yetisgen",2021/5/1,Journal Journal of Biomedical Informatics,"Coronavirus disease 2019 (COVID-19) is a global pandemic. Although much has been learned about the novel coronavirus since its emergence, there are many open questions related to tracking its spread, describing symptomology, predicting the severity of infection, and forecasting healthcare utilization. Free-text clinical notes contain critical information for resolving these questions. Data-driven, automatic information extraction models are needed to use this text-encoded information in large-scale studies. This work presents a new clinical corpus, referred to as the COVID-19 Annotated Clinical Text (CACT) Corpus, which comprises 1,472 notes with detailed annotations characterizing COVID-19 diagnoses, testing, and clinical presentation. We introduce a span-based event extraction model that jointly extracts all annotated phenomena, achieving high performance in identifying COVID-19 and symptom events …",31
"Annotating social determinants of health using active learning, and characterizing determinants using neural event extraction","Kevin Lybarger, Mari Ostendorf, Meliha Yetisgen",2021/1/1,Journal Journal of Biomedical Informatics,"Social determinants of health (SDOH) affect health outcomes, and knowledge of SDOH can inform clinical decision-making. Automatically extracting SDOH information from clinical text requires data-driven information extraction models trained on annotated corpora that are heterogeneous and frequently include critical SDOH. This work presents a new corpus with SDOH annotations, a novel active learning framework, and the first extraction results on the new corpus. The Social History Annotation Corpus (SHAC) includes 4480 social history sections with detailed annotation for 12 SDOH characterizing the status, extent, and temporal information of 18K distinct events. We introduce a novel active learning framework that selects samples for annotation using a surrogate text classification task as a proxy for a more complex event extraction task. The active learning framework successfully increases the frequency of …",31
Using voice to create hospital progress notes: description of a mobile application and supporting system integrated with a commercial electronic health record,"Thomas H Payne, W David Alonso, J Andrew Markiel, Kevin Lybarger, Andrew A White",2018/1/1,Journal Journal of biomedical informatics,"We describe the development and design of a smartphone app-based system to create inpatient progress notes using voice, commercial automatic speech recognition software, with text processing to recognize spoken voice commands and format the note, and integration with a commercial EHR. This new system fits hospital rounding workflow and was used to support a randomized clinical trial testing whether use of voice to create notes improves timeliness of note availability, note quality, and physician satisfaction with the note creation process. The system was used to create 709 notes which were placed in the corresponding patient’s EHR record. The median time from pressing the Send button to appearance of the formatted note in the Inbox was 8.8 min. It was generally very reliable, accepted by physician users, and secure. This approach provides an alternative to use of keyboard and templates to create …",30
"Using voice to create inpatient progress notes: effects on note timeliness, quality, and physician satisfaction","Thomas H Payne, W David Alonso, J Andrew Markiel, Kevin Lybarger, Ross Lordon, Meliha Yetisgen, Jennifer M Zech, Andrew A White",2018/10,Journal JAMIA open,"We describe the evaluation of a system to create hospital progress notes using voice and electronic health record integration to determine if note timeliness, quality, and physician satisfaction are improved.",14
Vertically Integrated Projects (VIP) Programs: Multidisciplinary Projects with Homes in Any Discipline,"Jocelyn Cullers, William L Hughes, Donna C Llewellyn",2017,"Description A survey of papers in the ASEE Multidisciplinary Engineering Division over the last three years shows three main areas of emphasis: individual courses; profiles of specific projects; and capstone design courses. However, propagating multidisciplinary education across the vast majority of disciplines offered at educational institutions with varying missions requires models that are independent of the disciplines, programs, and institutions in which they were originally conceived. Further, models that can propagate must be cost effective, scalable, and engage and benefit participating faculty. Since 2015, a consortium of twenty-four institutions has come together around one such model, the Vertically Integrated Projects (VIP) Program. VIP unites undergraduate education and faculty research in a team-based context, with students earning academic credits toward their degrees, and faculty and graduate students benefitting from the design/discovery efforts of their multidisciplinary teams. VIP integrates rich student learning experiences with faculty research, transforming both contexts for undergraduate learning and concepts of faculty research as isolated from undergraduate teaching. It provides a rich, cost-effective, scalable, and sustainable model for multidisciplinary project-based learning.(1) It is rich because students participate multiple years as they progress through their curriculum;(2) It is cost-effective since students earn academic credit instead of stipends;(3) It is scalable because faculty can work with teams of students instead of individual undergraduate research fellows, and typical teams consist of fifteen or more students from different …","A survey of papers in the ASEE Multidisciplinary Engineering Division over the last three years shows three main areas of emphasis: individual courses; profiles of specific projects; and capstone design courses. However, propagating multidisciplinary education across the vast majority of disciplines offered at educational institutions with varying missions requires models that are independent of the disciplines, programs, and institutions in which they were originally conceived. Further, models that can propagate must be cost effective, scalable, and engage and benefit participating faculty. Since 2015, a consortium of twenty-four institutions has come together around one such model, the Vertically Integrated Projects (VIP) Program. VIP unites undergraduate education and faculty research in a team-based context, with students earning academic credits toward their degrees, and faculty and graduate students benefitting from the design/discovery efforts of their multidisciplinary teams. VIP integrates rich student learning experiences with faculty research, transforming both contexts for undergraduate learning and concepts of faculty research as isolated from undergraduate teaching. It provides a rich, cost-effective, scalable, and sustainable model for multidisciplinary project-based learning.(1) It is rich because students participate multiple years as they progress through their curriculum;(2) It is cost-effective since students earn academic credit instead of stipends;(3) It is scalable because faculty can work with teams of students instead of individual undergraduate research fellows, and typical teams consist of fifteen or more students from different …",8
Using neural multi-task learning to extract substance abuse information from clinical notes,"Kevin Lybarger, Meliha Yetisgen, Mari Ostendorf",2018,Journal AMIA Annual Symposium Proceedings,"Substance abuse carries many negative health consequences. Detailed information about patients’ substance abuse history is usually captured in free-text clinical notes. Automatic extraction of substance abuse information is vital to assess patients’ risk for developing certain diseases and adverse outcomes. We introduce a novel neural architecture to automatically extract substance abuse information. The model, which uses multi-task learning, outperformed previous work and several baselines created using discrete models. The classifier obtained 0.88-0.95 F1 for detecting substance abuse status (current, none, past, unknown) on a withheld test set. Other substance abuse entities (amount, frequency, exposure history, quit history, and type) were also extracted with high-performance. Our results demonstrate the feasibility of extracting substance abuse information with little annotated data. Additionally, we used …",6
Automatically detecting likely edits in clinical notes created using automatic speech recognition,"Kevin Lybarger, Mari Ostendorf, Meliha Yetisgen",2017,Journal AMIA Annual Symposium Proceedings,"The use of automatic speech recognition (ASR) to create clinical notes has the potential to reduce costs associated with note creation for electronic medical records, but at current system accuracy levels, post-editing by practitioners is needed to ensure note quality. Aiming to reduce the time required to edit ASR transcripts, this paper investigates novel methods for automatic detection of edit regions within the transcripts, including both putative ASR errors but also regions that are targets for cleanup or rephrasing. We create detection models using logistic regression and conditional random field models, exploring a variety of text-based features that consider the structure of clinical notes and exploit the medical context. Different medical text resources are used to improve feature extraction. Experimental results on a large corpus of practitioner-edited clinical notes show that 67% of sentence-level edits and 45% of word …",5
Symptoms and signs of lung cancer prior to diagnosis: Comparative study using electronic health records,"Matthew J Thompson, Maria G Prado, Larry G Kessler, Margaret A Au, Hannah A Burkhardt, Monica Zigman Suchsland, Lesleigh Kowalski, Kari A Stephens, Meliha Yetisgen, Fiona M Walter, Richard D Neal, Kevin Lybarger, Caroline A Thompson, Morhaf Al Achkar, Elizabeth A Sarma, Grace Turner, Farhood Farjah",2022,Journal medRxiv,"Background:  Lung cancer is the most common cause of cancer-related death in the United States (US), with most patients diagnosed at later stages (3 or 4). While most patients are diagnosed following symptomatic presentation, no studies have compared symptoms and physical examination signs at or prior to diagnosis from electronic health records (EHR) in the United States (US). Objective: To identify symptoms and signs in patients prior to lung cancer diagnosis in EHR data. Study Design: Case-control study. Methods: We studied 698 primary lung cancer cases in adults diagnosed between January 1, 2012 and December 31, 2019, and 6,841 controls matched by age, sex, smoking status, and type of clinic. Coded and free-text data from the EHR were extracted from 2 years prior to diagnosis date for cases and index date for controls. Univariate and multivariate conditional logistic regression were used to identify symptoms and signs associated with lung cancer. Analyses were repeated excluding symptom data from 1, 3, 6, and 12 months before the diagnosis/index dates.  Results: Eleven symptoms and signs recorded during the study period were associated with a significantly higher chance of being a lung cancer case in multivariate analyses. Of these, seven were significantly associated with lung cancer six months prior to diagnosis: hemoptysis (OR 3.2, 95%CI 1.9-5.3), cough (OR 3.1, 95%CI 2.4-4.0), chest crackles or wheeze (OR 3.1, 95%CI 2.3-4.1), bone pain (OR 2.7, 95%CI 2.1-3.6), back pain (OR 2.5, 95%CI 1.9-3.2), weight loss (OR 2.1, 95%CI 1.5-2.8) and fatigue (OR 1.6, 95%CI 1.3-2.1).  Conclusions: Patients diagnosed with lung …",2
Advances in Wind Turbine Site Assessment,"David Malcolm, Kevin Lybarger, Gordon Randall",2011,Book 49th AIAA Aerospace Sciences Meeting including the New Horizons Forum and Aerospace Exposition,"A number of areas are discussed in which DNV is carrying out development to improve the ability to quickly and accurately assess the suitability of a wind turbine for a specific site. An important tool is the application of a generic model to turbines of similar architecture. The influence of independent blade pitch on the use of the generic model is examined. The incorporation of uncertainty to the inflow parameters is described and an example included. In addition, the use of effective turbulence and effective wind shear is discussed.",2
Automated detection of cognitive distortions in text exchanges between clinicians and people with serious mental illness,"Justin S Tauscher, Kevin Lybarger, Xiruo Ding, Ayesha Chander, William J Hudenko, Trevor Cohen, Dror Ben-Zeev",2022/9/27,Journal Psychiatric services,The authors tested whether natural language processing (NLP) methods can detect and classify cognitive distortions in text messages between clinicians and people with serious mental illness as effectively as clinically trained human raters.,1
