titles,authors,date,source,descriptions,citations
Hydraulic conductivity of geosynthetic clay liners to low-level radioactive waste leachate,"Kuo Tian, Craig H Benson, William J Likos",2016/8/1,Journal Journal of Geotechnical and Geoenvironmental Engineering,"Hydraulic conductivity was evaluated for eight commercially available geosynthetic clay liners (GCLs) permeated with leachate characteristic of low-level radioactive waste (LLW) disposal facilities operated by the U.S. Department of Energy (DOE). Two of the GCLs (CS and GS) contained conventional sodium bentonite (Na-B). The others contained a bentonite–polymer mixture (CPL, CPH, GPL1, GPL2, and GPH) or bentonite–polymer composite (BPC). All GCLs (except GPL2 and GPH) were permeated directly with two synthetic LLW leachates that are essentially identical, except one has no radionuclides (nonradioactive synthetic leachate, or NSL) and the other has radionuclides (radioactive synthetic leachate, or RSL). Hydraulic conductivities to RSL and NSL were identical. For the CS and GS GCLs, the hydraulic conductivity gradually increased by a factor of 5–25 because divalent cations in the leachate replaced …",96
Polymer elution and hydraulic conductivity of bentonite–polymer composite geosynthetic clay liners,"Kuo Tian, William J Likos, Craig H Benson",2019/10/1,Journal Journal of Geotechnical and Geoenvironmental Engineering,Hydraulic conductivity tests were conducted on two commercially available bentonite–polymer composite (BPC) geosynthetic clay liners (GCLs) containing the same dry blend of sodium bentonite (NaB) and polymer sandwiched between two nonwoven geotextiles (GTs) bound by needlepunching: a bentonite–polymer GCL (BP GCL) and bentonite–polymer GCL with silt film (BPS GCL). The GCLs were essentially identical except that the BPS GCL contained a woven slit-film GT to constrain polymer elution. The slit-film GT was located inside the GCL adjacent to the downstream nonwoven GT. The test liquids were deionized (DI) water and 20–500 mM  representing dilute to high-concentration permeant solutions. Effluent from the hydraulic conductivity tests was analyzed for total organic carbon (TOC) to quantify polymer elution. Scanning electron microscopy (SEM) was used to capture how the solution chemistry …,55
Effect of ammonium on the hydraulic conductivity of geosynthetic clay liners,"Melissa C Setz, Kuo Tian, Craig H Benson, Sabrina L Bradshaw",2017/12/1,Journal Geotextiles and Geomembranes,"Hydraulic conductivity and swell index tests were conducted on a conventional geosynthetic clay liner (GCL) containing sodium-bentonite (Na-B) using 5, 50, 100, 500, and 1000 mM ammonium acetate (NH4OAc) solutions to investigate how NH4+ accumulation in leachates in bioreactor and recirculation landfills may affect GCLs. Control tests were conducted with deionized (DI) water. Swell index of the Na-B was 27.7 mL/2 g in 5 mM NH4+ solution and decreased to 5.0 mL/2 g in 1000 mM NH4+ solution, whereas the swell index of Na-B in DI water was 28.0 mL/2 g. Hydraulic conductivity of the Na-B GCL to 5, 50, and 100 mM NH4+ was low, ranging from 1.6–5.9 × 10−11 m/s, which is comparable to the hydraulic conductivity to DI water (2.1 × 10−11 m/s). Hydraulic conductivities of the Na-B GCL permeated with 500 and 1000 mM NH4+ solutions were much higher (e.g., 1.6–5.2 × 10−6 m/s) due to suppression of …",44
Antioxidant depletion and service life prediction for HDPE geomembranes exposed to low-level radioactive waste leachate,"Kuo Tian, Craig H Benson, James M Tinjum, Tuncer B Edil",2017/6/1,Journal Journal of Geotechnical and Geoenvironmental Engineering,"Antioxidant depletion was evaluated in high-density polyethylene (HDPE) geomembrane (GM) coupons immersed in radioactive synthetic leachate (RSL) representative of leachate in low-level radioactive waste (LLW) disposal facilities operated by the U.S. Department of Energy’s environmental restoration programs. Depletion was assessed at four temperatures (25, 50, 70, and 90°C). Comparative tests were conducted with nonradioactive synthetic leachate (NSL) having the same chemistry as RSL, except radionuclides were excluded. Control tests were conducted with deionized (DI) water. One-sided exposure tests were also conducted with the HDPE GM in RSL at 70 and 90°C. Specimens were removed periodically and tested to determine antioxidant depletion, melt flow index (MFI), crystallinity, and stress crack resistance. Standard and high-pressure oxidative induction time (OIT) tests were conducted to …",27
Effect of an anion ratio on the hydraulic conductivity of a bentonite-polymer geosynthetic clay liner,"Kuo Tian, Craig H Benson, William J Likos",2017,Book Geotechnical Frontiers 2017,"Hydraulic conductivity and swell index tests were conducted on a commercially available geosynthetic clay liner (GCL) containing a dry-blended bentonite-polymer (B-P) mixture using solutions with a single monovalent cation (Na+) and varying anion ratio, R, defined as the molar concentration ratio of Cl- to SO42-. Na+ solutions with pure Cl- or SO42- and with anion ratios of 5 and 20 were used as permeant liquids. Swell index of the B-P in 300 mM Na+ solutions was independent of anion ratio (SI ≈ 22.5 mL/2 g for all solutions). However, hydraulic conductivity of the B-P GCL permeated with NaCl was approximately three orders of magnitude greater than the hydraulic conductivity to Na2SO4. Comparative tests were conducted on a conventional GCL with sodium-bentonite (Na-B) with 100 and 300 mM Na+ solutions with pure SO42- and pure Cl- as anions. Hydraulic conductivity of the Na-B GCL was unaffected …",27
Geochemical characteristics and toxic elements in alumina refining wastes and leachates from management facilities,"Chunwei Sun, Jiannan Chen, Kuo Tian, Daoping Peng, Xin Liao, Xiyong Wu",2019/4,Journal International Journal of Environmental Research and Public Health,"A nationwide investigation was carried out to evaluate the geochemical characteristics and environmental impacts of red mud and leachates from the major alumina plants in China. The chemical and mineralogical compositions of red mud were investigated, and major, minor, and trace elements in the leachates were analyzed. The mineral and chemical compositions of red mud vary over refining processes (i.e., Bayer, sintering, and combined methods) and parental bauxites. The main minerals in the red mud are quartz, calcite, dolomite, hematite, hibschite, sodalite, anhydrite, cancrinite, and gibbsite. The major chemical compositions of red mud are Al, Fe, Si, Ca, Ti, and hydroxides. The associated red mud leachate is hyperalkaline (pH > 12), which can be toxic to aquatic life. The concentrations of Al, Cl−, F−, Na, NO32−, and SO42− in the leachate exceed the recommended groundwater quality standard of China by up to 6637 times. These ions are likely to increase the salinization of the soil and groundwater. The minor elements in red mud leachate include As, B, Ba, Cr, Cu, Fe, Ni, Mn, Mo, Ti, V, and Zn, and the trace elements in red mud leachate include Ag, Be, Cd, Co, Hg, Li, Pb, Sb, Se, Sr, and Tl. Some of these elements have the concentration up to 272 times higher than those of the groundwater quality standard and are toxic to the environment and human health. Therefore, scientific guidance is needed for red mud management, especially for the design of the containment system of the facilities.",26
Pore-scale imaging of polymer-modified bentonite in saline solutions,"Kuo Tian, William J Likos, Craig H Benson",2016,Book Geo-Chicago 2016,"Bentonite-polymer mixtures (B-P) used in geosynthetic clay liners (GCLs) have been shown to maintain low hydraulic conductivity in aggressive (e.g., high ionic strength) permeant solutions detrimental to untreated sodium-bentonite (Na-B). While a number of hypotheses have been proposed, the underlying physical and chemical mechanisms for improved chemical compatibility and low hydraulic conductivity of B-P GCL remain poorly understood. This paper describes a suite of scanning electronic microscopy (SEM) analyses conducted to observe pore-scale structure of B-P hydrated with deionized water and saline solutions. Polymer observed in B-P exposed to deionized water had a remnant three-dimensional network structure, with polymer chains forming bridges among clay clusters and filling large voids in the inter-cluster pore space. Polymer observed in specimens exposed to 20 and 200 mM CaCl2 …",22
Effect of specimen preparation on the swell index of bentonite-polymer GCLs,"Christian Wireko, Binte Zainab, Kuo Tian, Tarek Abichou",2020/12/1,Journal Geotextiles and Geomembranes,"Experiments were conducted to investigate how specimen preparation (crushing and sieving) affects the swell index (SI) of bentonite-polymer (B–P) composites and the relationship between SI and hydraulic conductivity of B–P GCLs. Seven B–P and one Na–B GCLs were used in this study. Tests were conducted using DI water and synthetic municipal solid waste incineration ash leachates. Specimens were prepared using the ASTM D5890 and two alternative methods prior to SI testing. For both Na–B and B–P composites, <100% of the specimen passed through the #100 sieve regardless of the amount of crushing performed using a mortar and pestle. SIs and loss on ignitions (LOI) of the portion of the B–P composites passing #100 sieve were comparable to the Na–B, whereas the B–P specimen retained on #100 sieve had very high SIs and LOIs. These observations indicate that crushing and sieving of the B–P …",16
Radiation dose and antioxidant depletion in a HDPE geomembrane,"Kuo Tian, Craig H Benson, Youming Yang, James M Tinjum",2018/8/1,Journal Geotextiles and Geomembranes,"The impact of α and β radiation on antioxidant depletion in smooth high-density polyethylene (HDPE) geomembranes (GMs) is described. Smooth HDPE GMs having different thickness (0.04-mm, 0.1-mm, 0.2-mm) were created by mechanically pulverizing sections of 2-mm-thick smooth HDPE GM and extruding the polymer at different thicknesses using a film blowing machine. The 2-mm-thick smooth HDPE GM was also used in the experiments. HDPE GM specimens were exposed to sealed sources of 241Am and 99Tc for 1–50 h to simulate the impact of α and β radiation from U and 99Tc in low-level radioactive waste (LLW) leachate. Standard oxidative induction time (OIT) tests were conducted to determine antioxidant depletion. No change in OIT occurred in the 2-mm-thick HDPE GM after exposure to sealed sources of 241Am and 99Tc for 50 h. In much thinner GMs (e.g., 0.04 mm), however, significant …",16
Hydraulic conductivity of bentonite-polymer geosynthetic clay liners to coal combustion product leachates,"Binte Zainab, Christian Wireko, Dong Li, Kuo Tian, Tarek Abichou",2021/10/1,Journal Geotextiles and Geomembranes,"Hydraulic conductivity of seven geosynthetic clay liners (GCLs) to synthetic coal combustion product (CCP) leachates were evaluated in this study. The leachates are chemically representative of typical and worst scenarios observed in CCP landfills. The ionic strength (I) of the synthetic CCP leachates ranged from 50 mM to 4676 mM (TCCP-50, LRMD-96, TFGDS-473, LR-2577, HI-3179 and HR-4676). One of the GCLs contained conventional sodium bentonite (Na–B) and the other six contained bentonite-polymer (B–P) mixture with polymer loadings ranging from 0.5% to 12.7%. Hydraulic conductivity tests were conducted at an effective confining stress of 20 kPa. The hydraulic conductivity of the Na–B GCLs were >1 × 10−10 m/s when permeated with all six CCP leachates, whereas the B–P GCLs with sufficient polymer loading maintained low hydraulic conductivity to synthetic CCP leachates. All the B–P GCLs …",15
