titles,authors,date,source,descriptions,citations
Spline-backfitted kernel smoothing of nonlinear additive autoregression model,"Li Wang, Lijian Yang",2007/12/1,Volume 35,"Application of nonparametric and semiparametric regression techniques to high-dimensional time series data has been hampered due to the lack of effective tools to address the “curse of dimensionality.” Under rather weak conditions, we propose spline-backfitted kernel estimators of the component functions for the nonlinear additive time series data that are both computationally expedient so they are usable for analyzing very high-dimensional time series, and theoretically reliable so inference can be made on the component functions with confidence. Simulation experiments have provided strong evidence that corroborates the asymptotic theory.",159
Ensemble forecasts of coronavirus disease 2019 (COVID-19) in the US,"Evan L Ray, Nutcha Wattanachit, Jarad Niemi, Abdul Hannan Kanji, Katie House, Estee Y Cramer, Johannes Bracher, Andrew Zheng, Teresa K Yamana, Xinyue Xiong, Spencer Woody, Yuanjia Wang, Lily Wang, Robert L Walraven, Vishal Tomar, Katharine Sherratt, Daniel Sheldon, Robert C Reiner Jr, B Aditya Prakash, Dave Osthus, Michael Lingzhi Li, Elizabeth C Lee, Ugur Koyluoglu, Pinar Keskinocak, Youyang Gu, Quanquan Gu, Glover E George, Guido España, Sabrina Corsetti, Jagpreet Chhatwal, Sean Cavany, Hannah Biegel, Michal Ben-Nun, Jo Walker, Rachel Slayton, Velma Lopez, Matthew Biggerstaff, Michael A Johansson, Nicholas G Reich",2020/8/22,Journal MedRXiv,"The COVID-19 pandemic has driven demand for forecasts to guide policy and planning. Previous research has suggested that combining forecasts from multiple models into a single “ensemble” forecast can increase the robustness of forecasts. Here we evaluate the real-time application of an open, collaborative ensemble to forecast deaths attributable to COVID-19 in the U.S.",145
Estimation and variable selection for generalized additive partial linear models,"Li Wang, Xiang Liu, Hua Liang, Raymond J Carroll",2011,Journal Annals of statistics,"We study generalized additive partial linear models, proposing the use of polynomial spline smoothing for estimation of nonparametric functions, and deriving quasi-likelihood based estimators for the linear parameters. We establish asymptotic normality for the estimators of the parametric components. The procedure avoids solving large systems of equations as in kernel-based procedures and thus results in gains in computational simplicity. We further develop a class of variable selection procedures for the linear parameters by employing a nonconcave penalized quasi-likelihood, which is shown to have an asymptotic oracle property. Monte Carlo simulations and an empirical example are presented for illustration.",145
Evaluation of individual and ensemble probabilistic forecasts of COVID-19 mortality in the United States,"Estee Y Cramer, Evan L Ray, Velma K Lopez, Johannes Bracher, Andrea Brennen, Alvaro J Castro Rivadeneira, Aaron Gerding, Tilmann Gneiting, Katie H House, Yuxin Huang, Dasuni Jayawardena, Abdul H Kanji, Ayush Khandelwal, Khoa Le, Anja Mühlemann, Jarad Niemi, Apurv Shah, Ariane Stark, Yijin Wang, Nutcha Wattanachit, Martha W Zorn, Youyang Gu, Sansiddh Jain, Nayana Bannur, Ayush Deva, Mihir Kulkarni, Srujana Merugu, Alpan Raval, Siddhant Shingi, Avtansh Tiwari, Jerome White, Neil F Abernethy, Spencer Woody, Maytal Dahan, Spencer Fox, Kelly Gaither, Michael Lachmann, Lauren Ancel Meyers, James G Scott, Mauricio Tec, Ajitesh Srivastava, Glover E George, Jeffrey C Cegan, Ian D Dettwiller, William P England, Matthew W Farthing, Robert H Hunter, Brandon Lafferty, Igor Linkov, Michael L Mayo, Matthew D Parno, Michael A Rowland, Benjamin D Trump, Yanli Zhang-James, Samuel Chen, Stephen V Faraone, Jonathan Hess, Christopher P Morley, Asif Salekin, Dongliang Wang, Sabrina M Corsetti, Thomas M Baer, Marisa C Eisenberg, Karl Falb, Yitao Huang, Emily T Martin, Ella McCauley, Robert L Myers, Tom Schwarz, Daniel Sheldon, Graham Casey Gibson, Rose Yu, Liyao Gao, Yian Ma, Dongxia Wu, Xifeng Yan, Xiaoyong Jin, Yu-Xiang Wang, YangQuan Chen, Lihong Guo, Yanting Zhao, Quanquan Gu, Jinghui Chen, Lingxiao Wang, Pan Xu, Weitong Zhang, Difan Zou, Hannah Biegel, Joceline Lega, Steve McConnell, VP Nagraj, Stephanie L Guertin, Christopher Hulme-Lowe, Stephen D Turner, Yunfeng Shi, Xuegang Ban, Robert Walraven, Qi-Jun Hong, Stanley Kong, Axel van de Walle, James A Turtle, Michal Ben-Nun, Steven Riley, Pete Riley, Ugur Koyluoglu, David DesRoches, Pedro Forli, Bruce Hamory, Christina Kyriakides, Helen Leis, John Milliken, Michael Moloney, James Morgan, Ninad Nirgudkar, Gokce Ozcan, Noah Piwonka, Matt Ravi, Chris Schrader, Elizabeth Shakhnovich, Daniel Siegel, Ryan Spatz, Chris Stiefeling, Barrie Wilkinson, Alexander Wong, Sean Cavany, Guido España, Sean Moore, Rachel Oidtman, Alex Perkins, David Kraus, Andrea Kraus, Zhifeng Gao, Jiang Bian, Wei Cao, Juan Lavista Ferres, Chaozhuo Li, Tie-Yan Liu, Xing Xie, Shun Zhang, Shun Zheng, Alessandro Vespignani, Matteo Chinazzi, Jessica T Davis, Kunpeng Mu, Ana Pastore y Piontti, Xinyue Xiong, Andrew Zheng, Jackie Baek, Vivek Farias, Andreea Georgescu",2022/4/12,Journal Proceedings of the National Academy of Sciences," Short-term probabilistic forecasts of the trajectory of the COVID-19 pandemic in the United States have served as a visible and important communication channel between the scientific modeling community and both the general public and decision-makers. Forecasting models provide specific, quantitative, and evaluable predictions that inform short-term decisions such as healthcare staffing needs, school closures, and allocation of medical supplies. Starting in April 2020, the US COVID-19 Forecast Hub ( https://covid19forecasthub.org/ ) collected, disseminated, and synthesized tens of millions of specific predictions from more than 90 different academic, industry, and independent research groups. A multimodel ensemble forecast that combined predictions from dozens of groups every week provided the most consistently accurate probabilistic forecasts of incident deaths due to COVID-19 at the state and national …",128
Spline estimation of single-index models,"Li Wang, Lijian Yang",2009/4/1,Journal Statistica Sinica,"For the past two decades, the single-index model, a special case of projection pursuit regression, has proven to be an efficient way of coping with the high-dimensional problem in nonparametric regression. In this paper, based on a weakly dependent sample, we investigate a robust single-index model, where the single-index is identified by the best approximation to the multivariate prediction function of the response variable, regardless of whether the prediction function is a genuine single-index function. A polynomial spline estimator is proposed for the single-index coefficients, and is shown to be root-n consistent and asymptotically normal. An iterative optimization routine is used that is sufficiently fast for the user to analyze large data sets of high dimension within seconds. Simulation experiments have provided strong evidence corroborating the asymptotic theory. Application of the proposed procedure to the river …",119
Estimation and variable selection for semiparametric additive partial linear models,"Xiang Liu, Li Wang, Hua Liang",2011/7/1,Journal Statistica Sinica,"Semiparametric additive partial linear models, containing both linear and nonlinear additive components, are more flexible than linear models, and they are more efficient compared to general nonparametric regression models because they reduce the ""curse of dimensionality"". In this paper, we propose a new estimation approach for these models, in which we use polynomial splines to approximate the additive nonparametric components and derive the asymptotic normality for the resulting estimators of the parameters. We also develop a variable selection procedure to identify significant linear components using the smoothly clipped absolute deviation penalty (SCAD), and we show that the SCAD-based estimators of non-zero linear components have an oracle property. Simulations are performed to examine the performance of our approach as compared to several other variable selection methods, such as the …",114
Estimation and model selection in generalized additive partial linear models for correlated data with diverging number of covariates,"Li Wang, Lan Xue, Annie Qu, Hua Liang",2014/4/1,Volume 42,Supplement to “Estimation and model selection in generalized additive partial linear models for correlated data with diverging number of covariates”. The supplementary material provides a number of technical lemmas and their proofs. The technical lemmas are used in the proofs of Theorems 1–5 in the paper.,69
Bivariate penalized splines for regression,"Ming-Jun Lai, Li Wang",2013/7/1,Journal Statistica Sinica,"In this paper, the asymptotic behavior of penalized spline estimators is studied using bivariate splines over triangulations and an energy functional as the penalty. A convergence rate for the penalized spline estimators is derived that achieves the optimal nonparametric convergence rate established by Stone (1982). The asymptotic normality of the proposed estimators is established and shown to hold uniformly over the points where the regression function is estimated. The size of the asymptotic conditional variance is evaluated, and a simple expression for the asymptotic variance is given. Simulation experiments have provided strong evidence that corroborates the asymptotic theory. A comparison with thin-plate splines is provided to illustrate some advantages of this spline smoothing approach.",68
Management effects on relationships of crop yields with topography represented by wetness index and precipitation,"Xuewen Huang, Li Wang, Lijian Yang, Alexandra N Kravchenko",2008/9,Journal Agronomy Journal,"Crop yields are highly variable spatially and temporally as a result of complex interactions among topography, weather conditions, and management practices. The objective of this study was to analyze the effects of management practices on the relationship between crop yields and precipitation and crop yields and topography using 10 yr of yield data from a long‐term corn (Zea mays L.)‐soybean [Glycine max (L.) Merr.]‐wheat (Triticum aestivum L.) rotation experiment in southwest Michigan. The four agronomic treatments studied were chisel plowed with conventional chemical inputs (CT), no‐till with conventional chemical inputs (NT), chisel plowed with low chemical input and a winter leguminous cover crop (CTL), and organic‐based chisel plowed with a winter leguminous cover crop (CTO). A nonparametric (spline) regression was used to characterize the relationship between the maximal yields, as …",59
Simultaneous variable selection and estimation in semiparametric modeling of longitudinal/clustered data,"Shujie Ma, Qiongxia Song, Li Wang",2013/2/1,Volume 19,Supplement to “Simultaneous variable selection and estimation in semiparametric modeling of longitudinal/clustered data”. We provide detailed proofs of Lemmas A.2 to A.7 stated in the Appendix.,43
