titles,authors,date,source,descriptions,citations
Bayesian belief networks for predicting drinking water distribution system pipe breaks,"Royce A Francis, Seth D Guikema, Lucas Henneman",2014/10/1,Journal Reliability Engineering & System Safety,"In this paper, we use Bayesian Belief Networks (BBNs) to construct a knowledge model for pipe breaks in a water zone. To the authors’ knowledge, this is the first attempt to model drinking water distribution system pipe breaks using BBNs. Development of expert systems such as BBNs for analyzing drinking water distribution system data is not only important for pipe break prediction, but is also a first step in preventing water loss and water quality deterioration through the application of machine learning techniques to facilitate data-based distribution system monitoring and asset management. Due to the difficulties in collecting, preparing, and managing drinking water distribution system data, most pipe break models can be classified as “statistical–physical” or “hypothesis-generating.” We develop the BBN with the hope of contributing to the “hypothesis-generating” class of models, while demonstrating the possibility …",108
Evaluating the effectiveness of air quality regulations: A review of accountability studies and frameworks,"Lucas RF Henneman, Cong Liu, James A Mulholland, Armistead G Russell",2017/2/1,Source Journal of the Air & Waste Management Association,"Assessments of past environmental policies—termed accountability studies—contribute important information to the decision-making process used to review the efficacy of past policies, and subsequently aid in the development of effective new policies. These studies have used a variety of methods that have achieved varying levels of success at linking improvements in air quality and/or health to regulations. The Health Effects Institute defines the air pollution accountability framework as a chain of events that includes the regulation of interest, air quality, exposure/dose, and health outcomes, and suggests that accountability research should address impacts for each of these linkages. Early accountability studies investigated short-term, local regulatory actions (for example, coal use banned city-wide on a specific date or traffic pattern changes made for Olympic Games). Recent studies assessed regulations …",82
A policy review of synergies and trade-offs in South African climate change mitigation and air pollution control strategies,"Carmen Klausbruckner, Harold Annegarn, Lucas RF Henneman, Peter Rafaj",2016/3/1,Source Environmental Science & Policy,"Climate change mitigation and air quality management are mostly addressed separately in South African legal acts and policies. This approach is not always coherent, especially in the context of other serious issues South Africa is facing, such as poverty alleviation. Policies implemented to mitigate climate change might increase negative health affects due to unanticipated outcomes (e.g. increased local air pollution), and these indirect consequences must therefore be taken into account when devising mitigation strategies. However, greenhouse gas mitigation policies can also have co-benefits and positive impacts on local air pollution. An evidence-based approach that takes into account greenhouse gas emissions, ambient air pollutants, economic factors (affordability, cost optimisation), social factors (poverty alleviations, public health benefits), and political acceptability is needed tackle these challenges. A …",56
Meteorological detrending of primary and secondary pollutant concentrations: Method application and evaluation using long-term (2000–2012) data in Atlanta,"Lucas RF Henneman, Heather A Holmes, James A Mulholland, Armistead G Russell",2015/10/1,Journal Atmospheric Environment,"The effectiveness of air pollution regulations and controls are evaluated based on measured air pollutant concentrations. Air pollution levels, however, are highly sensitive to both emissions and meteorological fluctuations. Therefore, an assessment of the change in air pollutant levels due to emissions controls must account for these meteorological fluctuations. Two empirical methods to quantify the impact of meteorology on pollutant levels are discussed and applied to the 13-year time period between 2000 and 2012 in Atlanta, GA. The methods employ Kolmogorov–Zurbenko filters and linear regressions to detrended pollutant signals into long-term, seasonal, weekly, short-term, and white-noise components. The methods differ in how changes in weekly and holiday emissions are accounted for. Both can provide meteorological adjustments on a daily basis for future use in acute health analyses.",56
Accountability assessment of health improvements in the United States associated with reduced coal emissions between 2005 and 2012,"Lucas RF Henneman, Christine Choirat, Corwin M Zigler",2019/7,"Journal Epidemiology (Cambridge, Mass.)",Background:,40
Assessing emissions levels and costs associated with climate and air pollution policies in South Africa,"Lucas RF Henneman, Peter Rafaj, Harold J Annegarn, Carmen Klausbruckner",2016/2/1,Journal Energy Policy,"Affordable energy supply and reductions in emissions of local air pollution and greenhouse gases are each important aspects of South Africa's goals. Many traditional solutions, however, work in contradiction to one another. This work investigates effects on estimated emissions and costs of mitigation strategies using the Greenhouse Gas and Air Pollution Interaction Synergies (GAINS) model to identify policies that satisfy multiple goals. Eight scenarios that describe air pollution control options and mixes of energy production technologies are implemented in GAINS, which quantifies country-wide air pollution and greenhouse emissions and costs of controls. Emissions and costs trajectories are compared to the business as usual case, which projects CO2 emissions to increase by 60% by 2050 compared to 2015. Results show that replacing all coal generation with renewables reduces CO2 emissions in 2050 by 8 …",39
Linked Response of Aerosol Acidity and Ammonia to SO2 and NOx Emissions Reductions in the United States,"Abiola S Lawal, Xinbei Guan, Cong Liu, Lucas RF Henneman, Petros Vasilakos, Vasudha Bhogineni, Rodney J Weber, Athanasios Nenes, Armistead G Russell",2018/7/23,Journal Environmental science & technology,"Large reductions of sulfur and nitrogen oxide emissions in the United States have led to considerable improvements in air quality, though recent analyses in the Southeastern United States have shown little response of aerosol pH to these reductions. This study examines the effects of reduced emissions on the trend of aerosol acidity in fine particulate matter (PM2.5), at a nationwide scale, using ambient concentration data from three monitoring networks–the Ammonia Monitoring Network (AMoN), the Clean Air Status and Trends network (CASTNET) and the Southeastern Aerosol Research and Characterization Network (SEARCH), in conjunction with thermodynamic (ISORROPIA-II) and chemical transport (CMAQ) model results. Sulfate and ammonium experienced similar and significant decreases with little change in pH, neutralization ratio (f = [NH4+]/(2[SO42–] + [NO3–])), or nitrate. Oak Grove, MS was the only …",36
"Improved asthma outcomes observed in the vicinity of coal power plant retirement, retrofit and conversion to natural gas","Joan A Casey, Jason G Su, Lucas RF Henneman, Corwin Zigler, Andreas M Neophytou, Ralph Catalano, Rahul Gondalia, Yu-Ting Chen, Leanne Kaye, Sarah S Moyer, Veronica Combs, Grace Simrall, Ted Smith, James Sublett, Meredith A Barrett",2020/5,Journal Nature energy,"Coal-fired power plants release substantial air pollution, which included over 60% of US sulfur dioxide emissions in 2014. Such air pollution may exacerbate asthma, but direct studies of the health impacts linked to power plant air pollution are rare. Here we take advantage of a natural experiment in Louisville, Kentucky, where one coal-fired power plant was retired and converted to natural gas, and three others installed SO2 emission control systems between 2013 and 2016. Dispersion modelling indicated that exposure to SO2 emissions from these power plants decreased after the energy transitions. We used several analysis strategies, which include difference-in-differences, first-difference and interrupted time-series modelling to show that the emissions control installations and plant retirements are associated with a reduced asthma disease burden related to hospitalizations and emergency room visits at the ZIP …",29
Characterizing population exposure to coal emissions sources in the United States using the HyADS model,"Lucas RF Henneman, Christine Choirat, Cesunica Ivey, Kevin Cummiskey, Corwin M Zigler",2019/4/15,Journal Atmospheric Environment,"In anticipation of the expanding appreciation for air quality models in health outcomes studies, we develop and evaluate a reduced-complexity model for pollution transport that intentionally sacrifices some of the sophistication of full-scale chemical transport models in order to support applicability to a wider range of health studies. Specifically, we introduce the HYSPLIT average dispersion model, HyADS, which combines the HYSPLIT trajectory dispersion model with modern advances in parallel computing to estimate ZIP code level exposure to emissions from individual coal-powered electricity generating units in the United States. Importantly, the method is not designed to reproduce ambient concentrations of any particular air pollutant; rather, the primary goal is to characterize each ZIP code's exposure to these coal power plants specifically. We show adequate performance towards this goal against observed …",29
"Air quality modeling for accountability research: Operational, dynamic, and diagnostic evaluation","Lucas RF Henneman, Cong Liu, Yongtao Hu, James A Mulholland, Armistead G Russell",2017/10/1,Journal Atmospheric environment,"Photochemical grid models play a central role in air quality regulatory frameworks, including in air pollution accountability research, which seeks to demonstrate the extent to which regulations causally impacted emissions, air quality, and public health. There is a need, however, to develop and demonstrate appropriate practices for model application and evaluation in an accountability framework. We employ a combination of traditional and novel evaluation techniques to assess four years (2001-02, 2011-12) of simulated pollutant concentrations across a decade of major emissions reductions using the Community Multiscale Air Quality (CMAQ) model. We have grouped our assessments in three categories: Operational evaluation investigates how well CMAQ captures absolute concentrations; dynamic evaluation investigates how well CMAQ captures changes in concentrations across the decade of changing …",29
Quantifying the impact of daily mobility on errors in air pollution exposure estimation using mobile phone location data,"Xiaonan Yu, Cesunica Ivey, Zhijiong Huang, Sashikanth Gurram, Vijayaraghavan Sivaraman, Huizhong Shen, Naveen Eluru, Samiul Hasan, Lucas Henneman, Guoliang Shi, Hongliang Zhang, Haofei Yu, Junyu Zheng",2020/8/1,Journal Environment international,"One major source of uncertainty in accurately estimating human exposure to air pollution is that human subjects move spatiotemporally, and such mobility is usually not considered in exposure estimation. How such mobility impacts exposure estimates at the population and individual level, particularly for subjects with different levels of mobility, remains under-investigated. In addition, a wide range of methods have been used in the past to develop air pollutant concentration fields for related health studies. How the choices of methods impact results of exposure estimation, especially when detailed mobility information is considered, is still largely unknown. In this study, by using a publicly available large cell phone location dataset containing over 35 million location records collected from 310,989 subjects, we investigated the impact of individual subjects’ mobility on their estimated exposures for five chosen ambient …",26
Accountability assessment of regulatory impacts on ozone and PM2.5 concentrations using statistical and deterministic pollutant sensitivities,"Lucas RF Henneman, Howard H Chang, Kuo-Jen Liao, David Lavoué, James A Mulholland, Armistead G Russell",2017/8,"Journal Air Quality, Atmosphere & Health","Since the 1990 Clean Air Act Amendments, the USA has seen dramatic decreases in air pollutant emissions from a wide variety of source sectors, which have led to changes in pollutant concentrations: both up and down. Multiple stakeholders, including policy-makers, industry, and public health professionals, seek to quantify the benefits of regulations on air pollution and public health, a major focus of air pollution accountability research. Two methods, one empirical, the other based on a chemical transport model (CTM), are used to calculate the sensitivities of ozone (O3) and particulate matter with diameters less than 2.5 μ m (PM2.5) to electricity-generating unit (EGU) and mobile source emissions. Both methods are applied to determine impacts of controls on daily concentrations (which are important in assessing acute health responses to air pollution), accounting for nonlinear …",26
Empirical development of ozone isopleths: Applications to Los Angeles,"Yu Qian, Lucas RF Henneman, James A Mulholland, Armistead G Russell",2019/4/11,Journal Environmental Science & Technology Letters,"Understanding quantitative relationships between ambient ozone concentrations and precursor emissions is important to policymakers and stakeholders. Such relationships are often captured as ozone isopleth diagrams developed using air quality models. Model-based approaches have limitations, including errors stemming from uncertainties in inputs and modeled processes, and can be computationally burdensome. We develop and apply an empirical method based on ozone design values calculated in the South Coast Air Basin, California, for 1975–2016 to construct ozone isopleths. The study domain is the area with the highest ozone levels in the United States that has experienced high levels of emissions control. Quadratic and log-quadratic models were constructed, and both capture the actual observations very well (R2 ∼ 0.98) and re-create the general characteristics of traditional air quality model …",25
Impacts of rural worker migration on ambient air quality and health in China: From the perspective of upgrading residential energy consumption,"Huizhong Shen, Yilin Chen, Armistead G Russell, Yongtao Hu, Guofeng Shen, Haofei Yu, Lucas RF Henneman, Muye Ru, Ye Huang, Qirui Zhong, Yuanchen Chen, Yufei Li, Yufei Zou, Eddy Y Zeng, Ruifang Fan, Shu Tao",2018/4/1,Journal Environment International,"In China, rural migrant workers (RMWs) are employed in urban workplaces but receive minimal resources and welfare. Their residential energy use mix (REM) and pollutant emission profiles are different from those of traditional urban (URs) and rural residents (RRs). Their migration towards urban areas plays an important role in shaping the magnitudes and spatial patterns of pollutant emissions, ambient PM2.5 (fine particulate matter with a diameter smaller than 2.5 μm) concentrations, and associated health impacts in both urban and rural areas. Here we evaluate the impacts of RMW migration on REM pollutant emissions, ambient PM2.5, and subsequent premature deaths across China. At the national scale, RMW migration benefits ambient air quality because RMWs tend to transition to a cleaner REM upon arrival at urban areas—though not as clean as urban residents'. In 2010, RMW migration led to a …",24
Responses in ozone and its production efficiency attributable to recent and future emissions changes in the Eastern United States,"Lucas RF Henneman, Huizhong Shen, Cong Liu, Yongtao Hu, James A Mulholland, Armistead G Russell",2017/12/5,Journal Environmental Science & Technology,"Ozone production efficiency (OPE), a measure of the number of ozone (O3) molecules produced per emitted NOX (NO + NO2) molecule, helps establish the relationship between NOX emissions and O3 formation. We estimate long-term OPE variability across the eastern United States using two novel approaches: an observation-based empirical method and a chemical transport model (CTM) method. The CTM approach explicitly controls for differing O3 and NOX reaction product (NOZ) deposition rates and separately estimates OPEs from on-road mobile and electricity generating unit sources across a broad spatial scale. We find lower OPEs in urban areas and that average July OPE increased over the eastern United States domain between 2001 and 2011 from 11 to 14. CTM and empirical approaches agree at low NOZ concentrations, but CTM OPEs are greater than empirical OPEs at high NOZ. Our results …",23
On the accuracy and potential of Google Maps location history data to characterize individual mobility for air pollution health studies,"Xiaonan Yu, Amy L Stuart, Yang Liu, Cesunica E Ivey, Armistead G Russell, Haidong Kan, Lucas RF Henneman, Stefanie Ebelt Sarnat, Samiul Hasan, Anwar Sadmani, Xuchao Yang, Haofei Yu",2019/9/1,Journal Environmental pollution,"Appropriately characterizing spatiotemporal individual mobility is important in many research areas, including epidemiological studies focusing on air pollution. However, in many retrospective air pollution health studies, exposure to air pollution is typically estimated at the subjects’ residential addresses. Individual mobility is often neglected due to lack of data, and exposure misclassification errors are expected. In this study, we demonstrate the potential of using location history data collected from smartphones by the Google Maps application for characterizing historical individual mobility and exposure. Here, one subject carried a smartphone installed with Google Maps, and a reference GPS data logger which was configured to record location every 10 s, for a period of one week. The retrieved Google Maps Location History (GMLH) data were then compared with the GPS data to evaluate their effectiveness and …",22
"Impacts of Regulations on Air Quality and Emergency Department Visits in the Atlanta Metropolitan Area, 1999–2013","Armistead (Ted) G Russell, Paige E Tolbert, Lucas RF Henneman, Joseph Abrams, Cong Liu, Mitchel Klein, James A Mulholland, Stefanie Ebelt Sarnat, Yongtao Hu, Howard H Chang, Talat Odman, Matthew J Strickland, Huizhong Shen, Abiola Lawal",2018/4,Source https://www.healtheffects.org/publication/impacts-regulations-air-quality-and-emergency-department-visits-atlanta-metropolitan,"Cover paper: made with at least 55% recycled content, of which at least 30% is post-consumer waste; free of acid and elemental chlorine. Text paper: made with 100% post-consumer waste recycled content; acid free; no chlorine used in processing. The book is of permanent archival quality.",19
