titles,authors,date,source,descriptions,citations
Greenbench: A benchmark for observing power grid vulnerability under data-centric threats,"Mingkui Wei, Wenye Wang",2014/4/27,Conference IEEE INFOCOM 2014-IEEE conference on computer communications,"Smart grid is a cyber-physical system which integrates communication networks into traditional power grid. This integration, however, makes the power grid susceptible to cyber attacks. One of the most distinguished challenges in studying the aftermath of cyber attacks in smart grid lies in  data-centric  threats. Even though such attacks are critical to the information network, they will result in much more Domino-like impact than they behave in cyber world. This is because for an information-centric network, distorted or delayed information undermines services and applications. But in power grid, these data-centric attacks may result in instable power systems, and further detrimental impact of power supplies. In this paper, we present Greenbench, a benchmark that is designed to evaluate real-time power grid dynamics in response to data-centric attacks. The simulation results provide several counter-intuitive …",49
Efficient and privacy-aware authentication scheme for EVs pre-paid wireless charging services,"Khaled Rabieh, Mingkui Wei",2017/5/21,Conference 2017 IEEE International Conference on Communications (ICC),"One of the most promising technologies that will be used for charging Electric Vehicles (EVs) is wireless charging. By employing this technology, an EV is able to charge its battery without the need to stop. The charging stations should authenticate the EVs before allowing them to charge their batteries. Traditional digital signature reveals the real identity of the driver and degrades the location privacy. In this paper, we propose an efficient privacy-preserving authentication scheme for EVs wireless charging scenario. Our objective is not only to enable the EVs and the charging station to perform mutual authentication but to protect the privacy of the drivers without the need of a Third Trusted Party (TTP). The EVs use blind signature for authentication with the charging station to protect their privacy. Then, they use hash chains to authenticate themselves to the charging pads which are limited constraint devices. The …",17
Toward distributed intelligent: A case study of peer to peer communication in smart grid,"Mingkui Wei, Wenye Wang",2013/12/9,Conference 2013 IEEE Global Communications Conference (GLOBECOM),"Smart grid is an emerging cyber-physical system which aims at making power systems more intelligent and efficient. One of the major attributes of smart grid is integration of distributed renewable power resources into the traditional power grid. As a result, traditional centralized control is not always effective in smart grid, and distributed control is essential for flexible energy management. To facilitate distributed control, Intelligent Electronic Devices (IEDs), which are embedded computers equipped on power devices, are interconnected based on the peer-to-peer communication model. An open question is whether such a distributed control mechanism over peer to peer communication is delay-efficient to support time-critical smart grid applications. To answer this question, we establish a micro smart grid, called Green Hub, to measure the delay performance for both distributed and centralized control systems. Our …",17
Collaborative deep learning for medical image analysis with differential privacy,"Danni Yuan, Xiaoyan Zhu, Mingkui Wei, Jianfeng Ma",2019/12/9,Conference 2019 IEEE Global Communications Conference (GLOBECOM),"Deep learning algorithms, especially convolution neural networks, have attracted huge attention in the field of medical image analysis. A hospital could train a neural network to detect disease based on medical images possessing. However, the number of medical images would affect the results of training. If medical images of all hospitals are collected together, there's a risk of privacy leakage. In this paper, we apply collaborative deep learning to medical image analysis, which could help to improve the training effect. Besides, we also exploit differential privacy, the analytic Gaussian Mechanism, to prevent the leakage of information about medical images. We experiment on the Chest X-ray Images (Pneumonia) dataset. Results show that the analytic Gaussian Mechanism can protect the privacy of medical images effectively, while the influence on the results of training is small. The accuracy can be improved about …",12
Data-centric threats and their impacts to real-time communications in smart grid,"Mingkui Wei, Wenye Wang",2016/7/20,Journal Computer Networks,"One of the most distinguished challenges in studying the aftermath of cyber attacks in smart grid lies in data-centric threats, which refer to cyber attacks aimed at gaining advantage or sabotage the infrastructure by manipulating the data exchanged in the underlying communication network. Even though such attacks are critical by itself in the information network, they will result in more serious impacts to the power grid. This is because for an information-centric network, distorted or delayed information undermines services and applications, in the case of a power grid, however, these data-centric attacks may result in unstable systems, which may further detrimentally impact the power supplies. In this paper, we study the impacts of data-centric attacks in the real-time communication network of smart gird, and further the consequences caused to the power grid. Our study provides insights to both smart grid security …",10
"SCADA testbed for vulnerability assessments, penetration testing and incident forensics","Sundar Krishnan, Mingkui Wei",2019/6/10,Conference 2019 7th International Symposium on Digital Forensics and Security (ISDFS),"Industrial control systems are critical assets as they interact with real-life aspects of our daily life. These systems often run 24/7 to control and monitor critical industrial and infrastructure processes. The demand to integrate them with the Internet has opened them up for cyber-attacks. The need for skilled expertise starting at the academic level in defending and investigating these critical assets is ever growing. In this paper, the authors design and deploy a Supervisory Control and Data Acquisition (SCADA) lab at Sam Houston State University (SHSU) with a limited budget. The lab is designed to stimulate a near-world industrial setting specifically for Industrial cyber-security research (penetration testing, vulnerability analysis and incident forensics) as an accompaniment to the digital forensics education curriculum at the University.",9
On characterizing information dissemination during city-wide cascading failures in smart grid,"Mingkui Wei, Zhuo Lu, Wenye Wang",2017/11/9,Journal IEEE Systems Journal,"Although the smart gird is expected to eliminate cascading failures with the help of real-time system monitoring and control, it is yet unknown whether its underlying communication network is fast and reliable enough to achieve this goal. In this paper, we take an in-depth study on this issue by addressing three specific questions: 1) what is the evolution process of information dissemination and fault propagation in the smart grid?; 2) how to quantify the impact of cascading failures?; and 3) what are the conditions that information dissemination becomes either a booster or an adversary in mitigating cascading failures? To answer these questions, we build an innovative framework, the cascading failure with communications framework, to consolidate both communication networks and power grids, and provide quantitative evaluation on the impact of cascading failures. By studying and observing the progress of …",8
Claim what you need: a text-mining approach on android permission request authorization,"Mingkui Wei, Xi Gong, Wenye Wang",2015/12/6,Conference 2015 IEEE Global Communications Conference (GLOBECOM),"Android is one of the most popular mobile operating systems nowadays, whose popularity, however, also attracts even more crafty developers to develop malicious softwares, or malwares, to exploit illegitimate means for profit. As a basic countermeasure, Android enforces the permission request scheme, in which an application (App) is required to present to the user the system resources (permissions) it will access, and ask user's approval before installation. However, this approach has been proven ineffective as it delegates the whole responsibility of decision- making to the user, who usually lacks the professional knowledge to comprehend the interpretation of a permission. Alternatively, many current researches focus on identifying potential malwares based on attributes of individual Apps, such as inspecting their source code, which, unfortunately, fall in another extreme which tend to make the decision for the …",7
Safety can be dangerous: secure communications impair smart grid stability under emergencies,"Mingkui Wei, Wenye Wang",2015/12/6,Conference 2015 IEEE Global Communications Conference (GLOBECOM),"Smart grid features real-time monitoring and control by integrating advanced communication networks into traditional power grids. This integration, however, makes smart grid vulnerable to cyber attacks, i.e., the anomalies caused by attackers in the communication network can affect ordinary operations of the power grid and result in severe physical damage. To protect smart grid from cyber attacks, many traditional countermeasures, such as message encryption, have been proposed to be directly migrated to fit this system. In this regard, the very first fundamental questions that need to be addressed are how to evaluate and compare the physical impacts of cyber attacks and countermeasures, and whether traditional cyber security countermeasures can result in satisfactory performance in smart grid. Motivated by these questions, we establish a small-scale smart grid prototype, and use both experiments and cross …",6
Combat the disaster: Communications in smart grid alleviate cascading failures,"Mingkui Wei, Wenye Wang",2014/12/15,Conference 2014 11th Annual High Capacity Optical Networks and Emerging/Enabling Technologies (Photonics for Energy),"Cascading failure is one of the most catastrophic events in power grid, which refers to large scale power system outage caused by the rampant spread of small scale system fault or even single device failure. Its disastrous result is expected to be mitigated in the scope of smart gird, in which communication enabled smart devices exchange critical information to preclude such events. To carry the concept into reality, one pivotal step is quantitative study of the benefit smart grid can bring, i.e., to what extent smart grid can improve power system stability, specifically, in combating cascading failure? We identify three aspects, time, space, and scale, which are needed for thorough evaluation of the impact of a cascading failure, and further propose a new cascading failure model which is able to depict all three aspects with numerical results. Our observations explicitly suggest that communication between power devices is …",6
