titles,authors,date,source,descriptions,citations
Efficient Privacy-Preserving Electricity Theft Detection with Dynamic Billing and Load Monitoring for AMI Networks,"Mohamed I Ibrahem, Mahmoud Nabil, Mostafa M Fouda, Mohamed Mahmoud, Waleed Alasmary, Fawaz Alsolami",2020/9/25,Journal IEEE Internet of Things Journal,"In advanced metering infrastructure (AMI), smart meters (SMs) are installed at the consumer side to send fine-grained power consumption readings periodically to the system operator (SO) for load monitoring, energy management, and billing. However, fraudulent consumers launch electricity theft cyber attacks by reporting false readings to reduce their bills illegally. These attacks do not only cause financial losses but may also degrade the grid performance because the readings are used for grid management. To identify these attackers, the existing schemes employ machine-learning models using the consumers' fine-grained readings, which violates the consumers' privacy by revealing their lifestyle. In this article, we propose an efficient scheme that enables the SO to detect electricity theft, compute bills, and monitor load while preserving the consumers' privacy. The idea is that SMs encrypt their readings using …",41
Detection of False-Reading Attacks in Smart Grid Net-Metering System,"Mahmoud M Badr, Mohamed I Ibrahem, Mohamed Mahmoud, Mostafa M Fouda, Fawaz Alsolami, Waleed Alasmary",2022/1,Journal IEEE Internet of Things Journal,"In the smart grid, malicious customers may compromise their smart meters (SMs) to report false readings to achieve financial gains illegally. This causes hefty financial losses to the utility and may degrade the grid performance because the reported readings are used for energy management. This article is the first work that investigates this problem in the net-metering system, in which one SM is used to report the difference between the power consumed and the power generated. First, we prepare a benign data set for the net-metering system by processing a real power consumption and generation data set. Then, we propose a new set of attacks tailored for the net-metering system to create a malicious data set. After that, we analyzed the data and found time correlations between the net meter readings and correlations between the readings and relevant data obtained from trustworthy sources, such as solar …",25
PMBFE: Efficient and Privacy-Preserving Monitoring and Billing Using Functional Encryption for AMI Networks,"Mohamed I. Ibrahem, Mahmoud M. Badr, Mostafa M. Fouda, Mohamed Mahmoud, Waleed Alasmary, Zubair Md. Fadlullah",2020,"Conference IEEE International Symposium on Networks, Computers and Communications (ISNCC'20)","Preserving the customers' privacy, while collecting their power consumption for monitoring and billing, is a prime concern in an Advanced Metering Infrastructure (AMI) network of the Smart Grid (SG). In this paper, we address this concern by formally formulating the data aggregation privacy problem, and propose a uniquely crafted Privacy-Preserving Monitoring and Billing scheme using Functional Encryption, referred to as PMBFE. Our proposed PMBFE fulfills four key objectives: (i) data aggregation for billing, (ii) dynamic pricing flexibility, (iii) load monitoring with customers' privacy preservation; and (iv) analysis on how the adopted functional encryption is able to jointly perform data aggregation efficiently and guarantee privacy-preservation. Our envisioned PMBFE approach is evaluated with extensive computer-based simulations. In contrast with the widely employed homomorphic-based encryption in AMI …",24
A new approach for server-based load balancing using software-defined networking,"Mohamed I Hamed, Basem M ElHalawany, Mostafa M Fouda, Adly S Tag Eldien",2017/12/5,Conference 2017 Eighth International Conference on Intelligent Computing and Information Systems (ICICIS),The traditional load balancers suffer from inflexibility and difficulty to manage network flows and they are very expensive hardware dedicated devices. Software-Defined Networking (SDN) gives a promising solution for traditional load balancer limitations. SDN is a new paradigm which enables programmability and centralized control for the network which offers inexpensive and flexible solutions. This paper aims to develop a new load balancing approach using SDN. We propose a “Bandwidth-based” load balancing approach that distributes the network requests among multiple servers based on the servers' bandwidth consumption. The performance of the proposed scheme is evaluated and compared with different load balancing schemes (Round-robin and Connections-based) under a mininet emulation and a Raspberry Pi-based implementation. Emulation and hardware implementation results reveal a better …,17
A novel approach for resource utilization and management in SDN,"Mohamed I Hamed, Basem M ElHalawany, Mostafa M Fouda, Adly S Tag Eldien",2017/12/27,Conference 2017 13th International Computer Engineering Conference (ICENCO),"Software-Defined Networking (SDN) is a recent technology that makes a breakthrough into the computer networking world. SDN has a significant role in network optimization and performance improvement. The main SDN concept is separating both the data and control planes which allows network programmability and flexibility. Since the current traditional network cannot endure more user needs, we apply different load balancing strategies to distribute the user requests among a number of servers. In this paper, we propose two OpenFlow-based approaches for dynamic server load balancing in SDN environment. Hence, we implement “CPU-based” and “CPU-Memory-based” load balancing techniques and evaluate their performance compared to the static Round-robin and random-based load balancing techniques using Ryu OpenFlow controller. The results show that the proposed schemes achieve more …",16
Countering Presence Privacy Attack in Efficient AMI Networks Using Interactive Deep-Learning,"Mohamed I. Ibrahem, Mahmoud M. Badr, Mohamed Mahmoud, Mostafa M. Fouda, Waleed Alasmary",2021/11,"Conference 2021 International Symposium on Networks, Computers and Communications (ISNCC)","Reporting fine-grained power consumption readings periodically in advanced metering infrastructure (AMI) results in transmitting a massive amount of data by each smart meter (SM). To collect these readings efficiently, change and transmit (CAT) approach can be used. In CAT, the SM sends a consumption reading only when there is enough change in the consumption, which reduces the number of transmitted readings. However, using the CAT approach may trigger attackers to launch a presence-privacy attack (PPA) to infer sensitive information such as the absence of the house occupants by analyzing their SM’s transmission pattern. Therefore, in this paper, we propose a scheme, called “STID”, for collecting the power consumption readings efficiently in AMI networks while preserving the consumers’ privacy by transmitting spoofing transmissions based on an interactive deep-learning defense model. First, we …",14
Privacy preserving and efficient data collection scheme for AMI networks using deep learning,"Mohamed I Ibrahem, Mohamed Mahmoud, Mostafa M Fouda, Fawaz Alsolami, Waleed Alasmary, Xuemin Shen",2021/5/6,Journal IEEE Internet of Things Journal,"In advanced metering infrastructure, smart meters (SMs) send fine-grained power consumption readings periodically to the utility for load monitoring and energy management. Change and transmit (CAT) is an efficient approach to collect these readings, where the readings are not transmitted when there is no enough change in consumption. However, this approach causes a privacy problem, that is, by analyzing the transmission pattern of an SM, sensitive information on the house dwellers can be inferred. For instance, since the transmission pattern is distinguishable when dwellers are on travel, attackers may analyze the pattern to launch a presence-privacy attack (PPA) to infer whether the dwellers are absent from home. In this article, we propose a scheme, called “STDL,” for efficient collection of power consumption readings in advanced metering infrastructure (AMI) networks while preserving the consumers …",14
Data privacy preservation and security in smart metering systems,"Mohamed S Abdalzaher, Mostafa M Fouda, Mohamed I Ibrahem",2022/10/10,Source Energies,"Smart meters (SMs) can play a key role in monitoring vital aspects of different applications such as smart grids (SG), alternative currents (AC) optimal power flows, adversarial training, time series data, etc. Several practical privacy implementations of SM have been made in the literature, but more studies and testing may be able to further improve efficiency and lower implementation costs. The major objectives of cyberattacks are the loss of data privacy on SM-based SG/power grid (PG) networks and threatening human life. As a result, losing data privacy is very expensive and gradually hurts the national economy. Consequently, employing an efficient trust model against cyberattacks is strictly desired. This paper presents a research pivot for researchers who are interested in security and privacy and shade light on the importance of the SM. We highlight the involved SMs’ features in several applications. Afterward, we focus on the SMs’ vulnerabilities. Then, we consider eleven trust models employed for SM security, which are among the common methodologies utilized for attaining and preserving the data privacy of the data observed by the SMs. Following that, we propose a comparison of the existing solutions for SMs’ data privacy. In addition, valuable recommendations are introduced for the interested scholars, taking into consideration the vital effect of SM protection on disaster management, whether on the level of human lives or the infrastructure level.",12
Detecting Electricity Fraud in the Net-Metering System Using Deep Learning,"Mahmoud M. Badr, Mohamed I. Ibrahem, Mohamed Baza, Mohamed Mahmoud, Waleed Alasmary",2021/11,"Conference 2021 International Symposium on Networks, Computers and Communications (ISNCC)","There are different metering systems adopted in the advanced metering infrastructure (AMI) of the smart grid. Among these systems, the net-metering is a promising system that motivates customers to install renewable resources at their premises to generate electricity and sell it to the utility. In this system, the customer’s home is equipped with one smart meter to report the net readings representing the difference between the power consumed from the power grid and the power injected into the grid. However, malicious customers may compromise their meters to report false readings to the utility to illegally achieve financial gains. This not only causes huge losses to the utility, but also deteriorates the grid performance. To the best of our knowledge, this problem has not been investigated. Therefore, in this paper, we investigate the detection of false-reading attacks in the net-metering system for the first time …",10
Real-time detection of false readings in smart grid AMI using deep and ensemble learning,"Mohammed J Abdulaal, Mohamed I Ibrahem, Mohamed MEA Mahmoud, Junaid Khalid, Abdulah Jeza Aljohani, Ahmad H Milyani, Abdullah M Abusorrah",2022/4/29,Journal IEEE Access,"In the advanced metering infrastructure, smart meters are deployed at the consumers’ side to regularly transmit fine-grained electricity consumption readings to the system operator (SO) for billing and real-time load monitoring and energy management. However, fraudulent consumers may compromise their meters to launch electricity-theft cyberattacks by reporting low-consumption readings to reduce their bills. These false readings not only cause financial losses but also degrade the grid’s performance because they are used for energy management and load estimate. The existing solutions in the literature focus only on securing the billing, so they are not designed to detect the attacks in real time, and thus the SO may use false readings for a long period of time in load monitoring and energy management until they are identified. In this paper, we propose a general ensemble-based deep-learning detector that …",7
Privacy-Preserving Federated-Learning-Based Net-Energy Forecasting,"Mahmoud M. Badr, Mohamed I. Ibrahem, Mohamed Mahmoud, Waleed Alasmary, Mostafa M. Fouda, Khaled H. Almotairi, Zubair Md Fadlullah",2022,Conference IEEE SoutheastCon 2022,"Energy forecasting not only enables infrastructure planning and power dispatching but also reduces power outages and equipment failures. To preserve the customers’ privacy, federated learning (FL) can be used to build a global energy forecasting model where customers train local models on their data and only send the models’ parameters to the utility server. However, FL may still leak customers’ data privacy because revealing the model’s parameters enables adversaries to launch attacks such as model inversion and membership inference. Moreover, most existing works only focus on load forecasting while energy forecasting for net-metering systems has not been well investigated. In this paper, we address these limitations by proposing a privacy-preserving FL-based energy forecasting model for net-metering systems. First, based on the analysis of real power consumption and generation readings, we …",7
Detection of False-Reading Attacks in the AMI Net-Metering System,"Mahmoud M Badr, Mohamed I Ibrahem, Mohamed Mahmoud, Mostafa M Fouda, Waleed Alasmary",2020,Journal arXiv: 2012.01983,"In smart grid, malicious customers may compromise their smart meters (SMs) to report false readings to achieve financial gains illegally. Reporting false readings not only causes hefty financial losses to the utility but may also degrade the grid performance because the reported readings are used for energy management. This paper is the first work that investigates this problem in the net-metering system, in which one SM is used to report the difference between the power consumed and the power generated. First, we prepare a benign dataset for the net-metering system by processing a real power consumption and generation dataset. Then, we propose a new set of attacks tailored for the net-metering system to create malicious dataset. After that, we analyze the data and we found time correlations between the net meter readings and correlations between the readings and relevant data obtained from trustworthy sources such as the solar irradiance and temperature. Based on the data analysis, we propose a general multi-data-source deep hybrid learning-based detector to identify the false-reading attacks. Our detector is trained on net meter readings of all customers besides data from the trustworthy sources to enhance the detector performance by learning the correlations between them. The rationale here is that although an attacker can report false readings, he cannot manipulate the solar irradiance and temperature values because they are beyond his control. Extensive experiments have been conducted, and the results indicate that our detector can identify the false-reading attacks with high detection rate and low false alarm.",6
Detecting Electricity Theft Cyber-attacks in CAT AMI System Using Machine Learning,"Mohamed I. Ibrahem, Sherif Abdelfattah, Mohamed Mahmoud, Waleed Alasmary",2021/11,"Conference 2021 International Symposium on Networks, Computers and Communications (ISNCC)","There are two power consumption readings collection approaches adopted in the advanced metering infrastructure (AMI) of the smart grid; periodic transmission (PT) and change and transmit (CAT) AMI systems. Among these approaches, CAT is a promising approach that collects these readings efficiently by sending the readings only when there is enough change in consumption to reduce the number of transmitted readings. However, CAT AMI system suffers from electricity theft cyber-attacks that can be launched by malicious customers who may compromise their meters and manipulate their power consumption readings to illegally reduce their bills. These attacks do not only cause hefty financial losses but may also degrade the grid performance because the readings are used for grid management. Therefore, this paper is the first work that investigates this problem for CAT AMI system, in which the power …",5
Electricity Theft Detection for Change-and-Transmit Advanced Metering Infrastructure,"Mohamed I. Ibrahem, MOHAMED MAHMOUD, Fawaz Alsolami, Waleed Alasmary, ABDULAH AL-Ghamdi, Xuemin (Sherman) Shen",2022,Journal IEEE Internet of Things Journal,"The periodic transmission of the customers’ power consumption readings in the advanced metering infrastructure (AMI) is essential for energy management and billing. To collect the readings efficiently, the change and transmit approach is adopted in AMI (CAT AMI) so that the readings are reported only when there is enough change in the consumption. However, CAT AMI suffers from malicious customers who launch electricity-theft cyberattacks by manipulating their readings to illegally reduce their bills. These attacks can cause hefty financial losses and degrade the grid performance because the readings are used for grid management. In this article, the electricity-theft problem in CAT AMI networks is investigated. We first process a real power consumption readings data set to create a benign data set and propose a new set of cyberattacks to create malicious samples. We then develop a deep-learning-based …",4
DRFD: Deep Learning-Based Real-Time and Fast Detection of False Readings in AMI,"Mohammed J. Abdulaal, Mohamed I. Ibrahem, Mohamed Mahmoud, Saheed A. Bello, Abdulah J. Aljohani, Ahmad H. Milyani, Abdullah M. Abusorrah",2022,Conference IEEE SoutheastCon 2022,"Smart meters, installed at customers’ apartments, frequently send their power consumption readings to the system operator in the advanced metering infrastructure (AMI) network. These readings are used for energy management, load estimation, and billing. Nonetheless, malicious customers, who aim to lower their bills illegally, launch electricity theft cyberattacks by breaching their meters and reporting lower readings. These reported false readings are toxic to the grid’s reliability and performance because they are used in energy management, and hence causing financial losses and inefficient use of resources. Existing solutions present in the literature aim at securing billing only because they are designed to detect false readings in real-time. Therefore, the SO may continue to make use of these false readings for energy management and load monitoring for a long time until the detection is done. In this paper, we …",4
Privacy-Preserving and Communication-Efficient Energy Prediction Scheme Based on Federated Learning for Smart Grids,"Mahmoud M. Badr, Mohamed Mahmoud, Yuguang Fang, Mohammed Abdulaal, Abdulah J. Aljohani, Waleed Alasmary, Mohamed I. Ibrahem",2023,Journal IEEE Internet of Things Journal,"Energy forecasting is important because it enables infrastructure planning and power dispatching while reducing power outages and equipment failures. It is well-known that federated learning (FL) can be used to build a global energy predictor for smart grids without revealing the customers’ raw data to preserve privacy. However, it still reveals local models’ parameters during the training process, which may still leak customers’ data privacy. In addition, for the global model to converge, it requires multiple training rounds, which must be done in a communication-efficient way. Moreover, most existing works only focus on load forecasting while neglecting energy forecasting in net-metering systems. To address these limitations, in this paper, we propose a privacy-preserving and communication-efficient FL-based energy predictor for net-metering systems. Based on a dataset for real power consumption/generation …",3
UBLS: User-Based Location Selection Scheme for Preserving Location Privacy,"Muneera Alotaibi, Mohamed I Ibrahem, Waleed Alasmary, Dawood Al-Abri, Mohamed Mahmoud",2021/6,Conference 2021 IEEE International Conference on Communications Workshops (ICC Workshops),"Due to the wide availability of location-based services (LBSs) that enable many applications to provide usertailored services, it becomes possible to trace the locations of an individual by an adversary, especially when the LBS server is distrusted, which violates the user's privacy. Therefore, we propose, in this paper, a user-based location selection scheme (UBLS) to hide the users' locations using k-anonymity to preserve users' privacy. The proposed scheme uses the concept of dummy locations to hide the real locations of the users, but on top of that, it selects the dummy locations based on the users that exist in these locations. Moreover, we propose an attacker location exclusion (ALE) algorithm that can be used to attack the existing location privacy-preserving schemes. We also propose a new metric, namely location privacy level (LPL), to qualify the ability of the malicious LBS server to reduce the privacy level of …",3
Performance analysis of applying load balancing strategies on different SDN environments,"MI Hamed, BM ElHalawany, MM Fouda, AS Tag Eldien",2017/3/1,Journal Benha Journal of Applied Sciences,"Software-Defined Network (SDN) is considered a breakthrough to the global network. It plays an important role in performance improvement and network optimization. SDN is a new mechanism for managing and designing networks rather than the current traditional network system which does not afford more services and higher data rates; therefore, we analyze the effect of applying load balancing techniques and its importance in different SDN environments. In this paper, we propose a dynamic server load balancing technique in SDN architecture. Hence, we implement a server Connection-based load balancing technique and evaluate its performance with a static Round-robin and Random-based in both mininet emulation environment and Raspberry Pi OpenFlow-enabled switch using Ryu OpenFlow controller. The performance of the proposed algorithm is compared with Round-robin and random distribution of clients' requests. The results show that the proposed technique achieves more reliability and higher resource utilization than the Round-robin and Random-based load balancing strategies. In addition, the proposed scheme exhibits more scalability and low-cost characteristics.Software-Defined Network (SDN) is considered a breakthrough to the global network. It plays an important role in performance improvement and network optimization. SDN is a new mechanism for managing and designing networks rather than the current traditional network system which does not afford more services and higher data rates; therefore, we analyze the effect of applying load balancing techniques and its importance in different SDN environments. In …",3
Privacy-Preserving and Efficient Electricity Theft Detection and Data Collection for AMI using Machine Learning,Mohamed I Ibrahem,2021,Institution Tennessee Technological University,"Smart grid (SG) is an advanced upgrade to the traditional power grid that aims to create a reliable and efficient power system. Advanced metering infrastructure (AMI) is one of the most important components of the SG. It enables bi-directional communication between the smart meters (SMs) and the system operator (SO) to collect fine-grained power consumption readings periodically (every few minutes) for billing, energy management, and load monitoring. However, fraudulent customers may launch electricity theft cyber-attacks by reporting false readings to reduce their bills illegally. In addition, reporting the fine-grained readings periodically results in transmitting a massive amount of data by each SM. Change and transmit (CAT) is an efficient approach to collect the fine-grained readings, where SMs do not need to report their consumption when there is no enough change in the consumption compared to the last …",2
Load Forecasting Techniques and Their Applications in Smart Grids,"Hany Habbak, Mohamed Mahmoud, Khaled Metwally, Mostafa M Fouda, Mohamed I Ibrahem",2023/2/2,Source Energies,"The growing success of smart grids (SGs) is driving increased interest in load forecasting (LF) as accurate predictions of energy demand are crucial for ensuring the reliability, stability, and efficiency of SGs. LF techniques aid SGs in making decisions related to power operation and planning upgrades, and can help provide efficient and reliable power services at fair prices. Advances in artificial intelligence (AI), specifically in machine learning (ML) and deep learning (DL), have also played a significant role in improving the precision of demand forecasting. It is important to evaluate different LF techniques to identify the most accurate and appropriate one for use in SGs. This paper conducts a systematic review of state-of-the-art forecasting techniques, including traditional techniques, clustering-based techniques, AI-based techniques, and time series-based techniques, and provides an analysis of their performance and results. The aim of this paper is to determine which LF technique is most suitable for specific applications in SGs. The findings indicate that AI-based LF techniques, using ML and neural network (NN) models, have shown the best forecast performance compared to other methods, achieving higher overall root mean squared (RMS) and mean absolute percentage error (MAPE) values.",1
Privacy-preserving and Efficient Decentralized Federated Learning-based Energy Theft Detector,"Mohamed I Ibrahem, Mohamed Mahmoud, Mostafa M Fouda, Basem M ElHalawany, Waleed Alasmary",2022/12,Conference 2022 IEEE Global Communications Conference (GLOBECOM),"Energy theft causes economic losses and power out-ages and disrupts energy generation and distribution of smart grids. A significant challenge is how to effectively use customers' power consumption data for energy theft detection while pre-serving security and privacy. One solution is to use federated learning (FL) to compute a global model to detect energy theft cyberattacks where detection stations train local models on their customers' power consumption data and send only the parameters of the models to an aggregator server. Nevertheless, revealing the model's parameters may still leak customers' private data by launching attacks such as membership and inference. Therefore, a secure aggregation scheme is needed to protect the models' param-eters. Furthermore, the existing privacy-preserving aggregation schemes suffer from high overhead and low model accuracy. This paper addresses these …",1
Wavelet Transform Processor Based Surface Acoustic Wave Devices,"Hagar A Ali, Moataz M Elsherbini, Mohamed I Ibrahem",2022/1,Source Energies,"Due to their numerous advantages, Wavelet transform processor-based acoustic wave devices constitute an interesting approach for various engineering disciplines, such as signal analysis, speech synthesis, image recognition and atmospheric and ocean wave analysis. The major aim of this paper is to review the most recent methods for implementing wavelet transform processor-based surface acoustic wave devices. Accordingly, the goal of this paper is to compare different models, and it will provide a generalized model with small insertion loss values and side lobe attenuation, making it suitable for designing multiplexer filter banks and also to ease the way for the continued evolution of device design. In this paper, a generalized framework on surface acoustic wave devices is presented in terms of mathematical equations, types of materials, crystals types, and interdigital transducer design in addition to addressing some relevant problems.",1
