titles,authors,date,source,descriptions,citations
Impact of electronic toll collection and electronic screening on heavy-duty vehicle emissions,"Mohan Venigalla, Michael Krimmer",2006,Journal Transportation research record,"The proliferation of electronic toll collection (ETC) mechanisms such as E-ZPass has a positive effect in reducing automobile emissions at toll plazas because of decreased acceleration, deceleration, and idling events. Modeling tools such as the California Modal Emissions Model can be used to measure the emissions impacts of ETC and other electronic screening (e-screening) facilities only on light-duty gasoline-fueled vehicle operations. No such tools exist for modeling of the emissions impacts of ETC and e-screening facilities on heavy-duty vehicle operations. This paper presents a speed profile discretization (SPD) technique for modeling emissions at ETC and e-screening facilities. The SPD technique is based on the MOBILE6.2 method of representing vehicle miles of travel in various speed bins. The technique defines an emissions influence zone within which speed profiles are altered and further determine …",804
Handbook of transportation engineering,"Myer Kutz (Editor), A Chatterjee, Mohan Venigalla, et al",2004,Volume 768,,202
"Health effects of ambient levels of respirable particulate matter (PM) on healthy, young-adult population","William J. Shaughnessy, Mohan M. Venigalla, David Trump",2015/12,Journal Atmospheric Environment,"There is an absence of studies that define the relationship between ambient particulate matter (PM) levels and adverse health outcomes among the young and healthy adult sub-group. In this research, the relationship between exposures to ambient levels of PM in the 10 micron (PM10) and 2.5 micron (PM2.5) size fractions and health outcomes in members of the healthy, young-adult subgroup who are 18–39 years of age was examined. Active duty military personnel populations at three strategically selected military bases in the United States were used as a surrogate to the control group. Health outcome data, which consists of the number of diagnoses for each of nine International Classification of Diseases, 9th Revision (ICD-9) categories related to respiratory illness, were derived from outpatient visits at each of the three military bases. Data on ambient concentrations of particulate matter, specifically PM10 and …",82
A specialized equilibrium assignment algorithm for air quality modeling,"Mohan M Venigalla, Arun Chatterjee, Michael S Bronzini",1999/1/1,Journal Transportation Research Part D: Transport and Environment,"A multiple user class equilibrium assignment algorithm is formulated to determine vehicle trips and the vehicle miles of travel (VMT) in various operating modes on highway links. A heuristic solution algorithm based on the Frank–Wolfe decomposition of the equilibrium assignment problem is presented. The treatment of intrazonal trips, which are very important for emission studies is also discussed. The solution algorithm is implemented in a traffic assignment program for emission studies, referred to as TAPES. The use of the algorithm is demonstrated through a TAPES model case study on a Charlotte, NC network database for 1990 AM peak period. The operating mode mix of VMT in cold transient, hot transient and hot stabilized modes, also known as the mix of cold-starts, hot-starts and stabilized mode trips, is derived on a link by link basis. The results are aggregated by facility type and the location of link …",70
"Reaping the benefits of genomic and proteomic research: Intellectual property rights, innovation, and public health",National Research Council,2006/4/9,Publisher National Academies Press,"The patenting and licensing of human genetic material and proteins represents an extension of intellectual property (IP) rights to naturally occurring biological material and scientific information, much of it well upstream of drugs and other disease therapies. This report concludes that IP restrictions rarely impose significant burdens on biomedical research, but there are reasons to be apprehensive about their future impact on scientific advances in this area. The report recommends 13 actions that policy-makers, courts, universities, and health and patent officials should take to prevent the increasingly complex web of IP protections from getting in the way of potential breakthroughs in genomic and proteomic research. It endorses the National Institutes of Health guidelines for technology licensing, data sharing, and research material exchanges and says that oversight of compliance should be strengthened. It recommends enactment of a statutory exception from infringement liability for research on a patented invention and raising the bar somewhat to qualify for a patent on upstream research discoveries in biotechnology. With respect to genetic diagnostic tests to detect patient mutations associated with certain diseases, the report urges patent holders to allow others to perform the tests for purposes of verifying the results.",54
Mobile Source Emissions Testing,Mohan Venigalla,2012/12/14,Pages 233-240,"This Chapter provides broad review on emission testing of new and in‐use vehicles, particularly in the United States. Under a mandate from the U.S. Congress, the U.S. Environmental Protection Agency (US EPA or EPA) sets emissions standards for vehicles. All of EPA's emission regulations specify test procedures to measure engine or vehicle emission levels. EPA uses the test results to determine compliance with the applicable emission standards and also develop emission models such as the MOBILE model and its successor MOVES model. The Clean Air Act (CAA) requires every engine and motor vehicle within the chain of commerce in the United States to meet a set of emission standards and conformity requirements. Various testing for regulatory compliance have been summarized, for example, federal test procedure, testing for inspection and maintenance, emission testing with onboard portable …",52
Travel demand forecasting for urban transportation planning,"Arun Chatterjee, Mohan M Venigalla",2004,Book Handbook of Transportation Engineering,"The basic purpose of transportation planning and management is to match transportation supply with travel demand, which represents ‘need’. A thorough understanding of existing travel pattern is necessary for identifying and analyzing existing traffic related problems. Detailed data on current travel pattern and traffic volumes are needed also for developing travel forecasting/prediction models. The prediction of future travel demand is an essential task of the long-range transportation planning process for determining strategies for accommodating future needs. These strategies may include land use policies, pricing programs, and expansion of transportation supply–highways and transit service.",47
An analysis of island models in evolutionary computation,Zbigniew Maciej Skolicki,2007,Institution George Mason University,"Island models (IMs) are a class of distributed evolutionary algorithms (EAs) in which the population is split into multiple sub-populations called islands. Separate EAs run independently on each island, but they interact by means of migrating individuals. Therefore, IMs are different both from a single-population standard EA, as well as from a set of multiple isolated EAs.",43
Prediction models for free flow speed on urban streets,"Asma Tayyab Ali, Aimee Flannery, Mohan M Venigalla",2007,Source Transportation Research Board 86th Annual MeetingTransportation Research Board,"This paper investigates the relationship between vehicle free flow speed and geometric variables on urban street segments. Geometric and spot speed data were collected from 35 different two lane segments located in Fairfax County in Virginia. To gain a better understanding of the relationships between free flow speed and geometric variables, speed data were visualized and descriptive statistics were computed. In addition to this, linear regression models were developed to estimate the relationship between mean free flow speed and roadside variables and 85th percentile free flow speed and roadside variables. The results showed a significant impact of posted speed limit on free flow speed. The predicted mean free speed at sites with 45 mph posted speed was found to be 5 mph and 8 mph higher than sites with 40 mph and 35 mph posted speed respectively. The other significant factors were found to be affecting free flow speed were the presence or absence of median and spacing between the signals.",43
Impact of pricing and transit disruptions on bikeshare ridership and revenue,"Shruthi Kaviti, Mohan M. Venigalla, Shanjiang Zhu, Kimberly Lucas, Stefanie Brodie",2018/7/4,Journal Transportation,"Bikeshare operators routinely explore options to improve ridership and revenue by studying interaction among pricing, service and operations. The objective of this research is to study the impact of introducing a new $2 fare for single-trip on revenue and ridership at Capital Bikeshare (CaBi) in the metro Washington DC region. The single-trip fare (STF) at CaBi is one of the three fare products aimed at casual users—the other two being 24-h pass and 3-day pass. STF was introduced inconjuction with SafeTrack, which is a major Metrorail track maintenance program intiated by the Washington Metropolitan Area Transit Authority. The impact analysis of STF includes studying the influence of SafeTrack on CaBi ridership. The analysis was based on revenue and ridership data before and after the implementation of STF and weather data for the region. The results showed that the first-time casual members increased by …",42
