titles,authors,date,source,descriptions,citations
Ge-Doped -Ga2O3 MOSFETs,"Neil Moser, Jonathan McCandless, Antonio Crespo, Kevin Leedy, Andrew Green, Adam Neal, Shin Mou, Elaheh Ahmadi, James Speck, Kelson Chabak, Nathalia Peixoto, Gregg Jessen",2017/4/25,Journal IEEE Electron Device Letters,We report on MOSFETs fabricated on Ge-doped β-Ga 2 O 3  homoepitaxial material grown by molecular beam epitaxy on (010) Fe-doped semi-insulating substrates. The Ge-doped channel devices performed similar to previously reported devices with Sn- and Si-doped channels with the drain current  ON/OFF  ratios of >10 8  and the saturated drain current of >75 mA/mm at V G  = 0 V. Hall effect measurements showed a high carrier mobility of 111 cm 2 /(V·s) with 4 × 10 17  cm -3  active carriers. A MOSFET with a gate-drain spacing of 5.5 μm had a three-terminal breakdown voltage of 479 V.,171
Lifetime assessment of atomic-layer-deposited Al2O3–Parylene C bilayer coating for neural interfaces using accelerated age testing and electrochemical characterization,"Saugandhika Minnikanti, Guoqing Diao, Joseph J Pancrazio, Xianzong Xie, Loren Rieth, Florian Solzbacher, Nathalia Peixoto",2014/2/1,Journal Acta biomaterialia,"The lifetime and stability of insulation are critical features for the reliable operation of an implantable neural interface device. A critical factor for an implanted insulation’s performance is its barrier properties that limit access of biological fluids to the underlying device or metal electrode. Parylene C is a material that has been used in FDA-approved implantable devices. Considered a biocompatible polymer with barrier properties, it has been used as a substrate, insulation or an encapsulation for neural implant technology. Recently, it has been suggested that a bilayer coating of Parylene C on top of atomic-layer-deposited Al2O3 would provide enhanced barrier properties. Here we report a comprehensive study to examine the mean time to failure of Parylene C and Al2O3–Parylene C coated devices using accelerated lifetime testing. Samples were tested at 60 °C for up to 3 months while performing electrochemical …",89
High pulsed current density β-Ga2O3 MOSFETs verified by an analytical model corrected for interface charge,"Neil A Moser, Jonathan P McCandless, Antonio Crespo, Kevin D Leedy, Andrew J Green, Eric R Heller, Kelson D Chabak, Nathalia Peixoto, Gregg H Jessen",2017/4/3,Journal Applied Physics Letters,We report on Sn-doped -Ga2O3 MOSFETs grown by molecular beam epitaxy with as-grown carrier concentrations from 0.7 × 1018 to 1.6 × 1018 cm−3 and a fixed channel thickness of 200 nm. A pulsed current density of 450 mA/mm was achieved on the sample with the lowest sheet resistance and a gate length of 2 m. Our results are explained using a simple analytical model with a measured gate voltage correction factor based on interface charges that accurately predict the electrical performance for all doping variations.,76
"Improving the performance of poly (3, 4-ethylenedioxythiophene) for brain–machine interface applications","Himadri S Mandal, Gretchen L Knaack, Hamid Charkhkar, Daniel G McHail, Jemika S Kastee, Theodore C Dumas, Nathalia Peixoto, Judith F Rubinson, Joseph J Pancrazio",2014/6/1,Journal Acta biomaterialia,"Conducting polymers, especially poly(3,4-ethylenedioxythiophene) (PEDOT) based materials, are important for developing highly sensitive and microscale neural probes. In the present work, we show that the conductivity and stability of PEDOT can be significantly increased by switching the widely used counter anion poly(styrenesulfonate) (PSS) to the smaller tetrafluoroborate (TFB) anion during the electrodeposition of the polymer. Time-dependent impedance measurements of polymer modified implantable microwires were conducted in physiological buffer solutions under accelerated aging conditions and the relative stability of PEDOT:PSS and PEDOT:TFB modified microwires was compared over time. This study was also extended to carbon nanotube (CNT) incorporated PEDOT:PSS which, according to some reports, is claimed to enhance the stability and electrical performance of the polymer. However, no …",73
Gas sensitive porous silicon devices: responses to organic vapors,"Elisabete Galeazzo, Henrique Estanislau Maldonado Peres, G Santos, N Peixoto, FJ Ramirez-Fernandez",2003/8/1,Journal Sensors and Actuators B: Chemical,"Geometrically scaled PS-based structures were fabricated in order to develop gas sensing devices by exploring porous silicon (PS) electrical characteristics. The electrical behavior of PS devices respond to polar organic vapors (as acetone and ethanol) reversibly in a reproducible way. Devices were fabricated with three different perimeters, maintaining a constant area (5.76mm2) and constant PS porosity (60%) throughout samples, in order to evaluate their electrical impedance depending on the area/perimeter ratio. Electrical impedance was measured from 10kHz to 10MHz in acetone, ethanol and vacuum (as reference) environments. The results obtained show the general aspect for impedance variation as expected for disordered materials such as amorphous semiconductors or polymers. Measured impedance is fitted proportionally to (2πf)s, where f is the excitation frequency. The exponential factor “s” was …",70
Electrochemical characterization of multi-walled carbon nanotube coated electrodes for biological applications,"Saugandhika Minnikanti, Perry Skeath, Nathalia Peixoto",2009/3/1,Journal Carbon,"Carbon nanotubes, if used as a coating film on a conductive substrate, can substantially raise the charge storage capacity and lower the impedance of electrodes without significant increases to the geometric area. This is especially interesting in the case of stimulation of nervous tissue. We design implantable electrodes targeted at wide frequency stimulation of deep brain structures. Here we report on results in vitro with multi-walled carbon nanotubes coatings applied onto stainless steel substrates using direct current electrophoresis. We experimentally demonstrate, through electrochemical techniques such as cyclic voltammetry and impedance spectroscopy, the enhanced performance of multi-walled carbon nanotube (MWCNT) coatings for implantable electrodes by contrasting our experimental results against the more traditional stainless steel substrate characteristics. We also investigate surface morphology of …",65
Chronic intracortical neural recordings using microelectrode arrays coated with PEDOT–TFB,"Hamid Charkhkar, Gretchen L Knaack, Daniel G McHail, Himadri S Mandal, Nathalia Peixoto, Judith F Rubinson, Theodore C Dumas, Joseph J Pancrazio",2016/3/1,Journal Acta Biomaterialia,"Microelectrode arrays have been extensively utilized to record extracellular neuronal activity for brain–machine interface applications. Modifying the microelectrodes with conductive polymers such as poly(3,4-ethylenedioxythiophene) (PEDOT) has been reported to be advantageous because it increases the effective surface area of the microelectrodes, thereby decreasing impedance and enhancing charge transfer capacity. However, the long term stability and integrity of such coatings for chronic recordings remains unclear. Previously, our group has demonstrated that use of the smaller counter ion tetrafluoroborate (TFB) during electrodeposition increased the stability of the PEDOT coatings in vitro compared to the commonly used counter ion poly(styrenesulfonate) (PSS). In the current work, we examined the long-term in vivo performance of PEDOT–TFB coated microelectrodes. To do so, we selectively modified …",60
Improved sleep–wake and behavior discrimination using MEMS accelerometers,"Sridhar Sunderam, Nick Chernyy, Nathalia Peixoto, Jonathan P Mason, Steven L Weinstein, Steven J Schiff, Bruce J Gluckman",2007/7/30,Journal Journal of neuroscience methods,"State of vigilance is determined by behavioral observations and electrophysiological activity. Here, we improve automatic state of vigilance discrimination by combining head acceleration with EEG measures. We incorporated biaxial dc-sensitive microelectromechanical system (MEMS) accelerometers into head-mounted preamplifiers in rodents. Epochs (15s) of behavioral video and EEG data formed training sets for the following states: Slow Wave Sleep, Rapid Eye Movement Sleep, Quiet Wakefulness, Feeding or Grooming, and Exploration. Multivariate linear discriminant analysis of EEG features with and without accelerometer features was used to classify behavioral state. A broad selection of EEG feature sets based on recent literature on state discrimination in rodents was tested. In all cases, inclusion of head acceleration significantly improved the discriminative capability. Our approach offers a novel …",57
Real-time tracking of neuronal network structure using data assimilation,"Franz Hamilton, Tyrus Berry, Nathalia Peixoto, Timothy Sauer",2013/11/21,Journal Physical Review E,"A nonlinear data assimilation technique is applied to determine and track effective connections between ensembles of cultured spinal cord neurons measured with multielectrode arrays. The method is statistical, depending only on confidence intervals, and requiring no form of arbitrary thresholding. In addition, the method updates connection strengths sequentially, enabling real-time tracking of nonstationary networks. The ensemble Kalman filter is used with a generic spiking neuron model to estimate connection strengths as well as other system parameters to deal with model mismatch. The method is validated on noisy synthetic data from Hodgkin-Huxley model neurons before being used to find network connections in the neural culture recordings.",56
A portable wireless biometric multi-channel system,"Luciano Boquete, José Manuel Rodríguez Ascariz, Joaquín Cantos, Rafael Barea, Juan Manuel Miguel, Sergio Ortega, Nathalia Peixoto",2012/7/1,Journal Measurement,"This article presents an 8-channel system for capturing bioelectric signals and transmitting them by the ZigBee protocol. It is a small, portable system with optimised power supply so that it can be battery fed. One of its main advantages is its versatility, since it enables each channel to be configured, in a dynamic and individualised way. This makes it possible to capture diverse bioelectric signals simultaneously, such as electrocardiogram (ECG), electroencephalogram (EEG), electrooculogram (EOG), etc. The developed system can be easily integrated into a Wireless Sensor Network based on ZigBee technology.",53
