titles,authors,date,source,descriptions,citations
Fully Dense UNet for 2-D Sparse Photoacoustic Tomography Artifact Removal,"Steven Guan, Amir A Khan, Siddhartha Sikdar, Parag V Chitnis",2019/4/23,Journal IEEE journal of biomedical and health informatics,"Photoacoustic imaging is an emerging imaging modality that is based upon the photoacoustic effect. In photoacoustic tomography (PAT), the induced acoustic pressure waves are measured by an array of detectors and used to reconstruct an image of the initial pressure distribution. A common challenge faced in PAT is that the measured acoustic waves can only be sparsely sampled. Reconstructing sparsely sampled data using standard methods results in severe artifacts that obscure information within the image. We propose a modified convolutional neural network (CNN) architecture termed fully dense UNet (FD-UNet) for removing artifacts from two-dimensional PAT images reconstructed from sparse data and compare the proposed CNN with the standard UNet in terms of reconstructed image quality.",273
Acoustic field of a ballistic shock wave therapy device,"Robin O Cleveland, Parag V Chitnis, Scott R McClure",2007/8/1,Journal Ultrasound in Medicine and Biology,Shock wave therapy (SWT) refers to the use of focused shock waves for treatment of musculoskeletal indications including plantar fascitis and dystrophic mineralization of tendons and joint capsules. Measurements were made of a SWT device that uses a ballistic source. The ballistic source consists of a handpiece within which compressed air (1–4 bar) is used to fire a projectile that strikes a metal applicator placed on the skin. The projectile generates stress waves in the applicator that transmit as pressure waves into tissue. The acoustic fields from two applicators were measured: one applicator was 15 mm in diameter and the surface slightly convex and the second was 12 mm in diameter the surface was concave. Measurements were made in a water tank and both applicators generated a similar pressure pulse consisting of a rectangular positive phase (4 μs duration and up to 8 MPa peak pressure) followed by a …,120
Photoacoustic-guided convergence of light through optically diffusive media,"Fanting Kong, Ronald H Silverman, Liping Liu, Parag V Chitnis, Kotik K Lee, Ying-Chih Chen",2011/6/1,Journal Optics letters,"We demonstrate that laser beams can be converged toward a light-absorbing target through optically diffusive media by using photoacoustic-guided interferometric focusing. The convergence of light is achieved by shaping the wavefront of the incident light with a deformable mirror to maximize the photoacoustic signal, which is proportional to the scattered light intensity at the light absorber.",110
Feasibility of optoacoustic visualization of high-intensity focused ultrasound-induced thermal lesions in live tissue,"Parag V Chitnis, Hans-Peter Brecht, Richard Su, Alexander A Oraevsky",2010/3/1,Journal Journal of biomedical optics,"A 3-D optoacoustic imaging system was used to visualize thermal lesions produced in vivo using high-intensity focused ultrasound (HIFU). A , surgical, focused transducer with a radius of curvature of  and an aperture diameter of  was used to generate HIFU. A pulsed laser, which could operate at  and , was used to illuminate excised tissue and mice using a bifurcated fiber bundle resulting in two wide beams of light. Tomographic images were obtained while the specimens were rotated within a sphere outlined by a concave arc-shaped array of 64 piezo-composite transducers. These images were then combined to reconstruct 3-D volume images (voxel resolution ), which were acquired before and after HIFU exposure. In vivo optoacoustic images acquired at  provided visualization of HIFU lesions. The lesion was indicated by a negative optoacoustic contrast. The …",52
Limited-View and Sparse photoacoustic tomography for neuroimaging with Deep Learning,"Steven Guan, Amir A Khan, Siddhartha Sikdar, Parag V Chitnis",2020/5/22,Journal Scientific Reports,"Photoacoustic tomography (PAT) is a non-ionizing imaging modality capable of acquiring high contrast and resolution images of optical absorption at depths greater than traditional optical imaging techniques. Practical considerations with instrumentation and geometry limit the number of available acoustic sensors and their “view” of the imaging target, which result in image reconstruction artifacts degrading image quality. Iterative reconstruction methods can be used to reduce artifacts but are computationally expensive. In this work, we propose a novel deep learning approach termed pixel-wise deep learning (Pixel-DL) that first employs pixel-wise interpolation governed by the physics of photoacoustic wave propagation and then uses a convolution neural network to reconstruct an image. Simulated photoacoustic data from synthetic, mouse-brain, lung, and fundus vasculature phantoms were used for training and …",47
Acoustic and cavitation fields of shock wave therapy devices,"Parag V Chitnis, Robin O Cleveland",2006/5/8,Conference THERAPEUTIC ULTRASOUND: 5th International Symposium on Therapeutic Ultrasound,"Extracorporeal shock wave therapy (ESWT) is considered a viable treatment modality for orthopedic ailments. Despite increasing clinical use, the mechanisms by which ESWT devices generate a therapeutic effect are not yet understood. The mechanistic differences in various devices and their efficacies might be dependent on their acoustic and cavitation outputs. We report acoustic and cavitation measurements of a number of different shock wave therapy devices. Two devices were electrohydraulic: one had a large reflector (HMT Ossatron) and the other was a hand‐held source (HMT Evotron); the other device was a pneumatically driven device (EMS Swiss DolorClast Vet). Acoustic measurements were made using a fiber‐optic probe hydrophone and a PVDF hydrophone. A dual passive cavitation detection system was used to monitor cavitation activity. Qualitative differences between these devices were also …",30
Quantitative measurements of acoustic emissions from cavitation at the surface of a stone in response to a lithotripter shock wave,"Parag V Chitnis, Robin O Cleveland",2006/4/1,Journal The Journal of the Acoustical Society of America,"Measurements are presented of acoustic emissions from cavitation collapses on the surface of a synthetic kidney stone in response to shock waves (SWs) from an electrohydraulic lithotripter. A fiber optic probe hydrophone was used for pressure measurements, and passive cavitation detection was used to identify acoustic emissions from bubble collapse. At a lithotripter charging voltage of , the focused SW incident on the stone surface resulted in a peak pressure of  compared to  in the free field. The focused SW incident upon the stone appeared to be enhanced due to the acoustic emissions from the forced cavitation collapse of the preexisting bubbles. The peak pressure of the acoustic emission from a bubble collapse was , that is, the same magnitude as the SWs incident on the stone. These data indicate that stresses induced by focused SWs and cavitation collapses are similar …",30
An implantable compound-releasing capsule triggered on demand by ultrasound,"Olga Ordeig, Sau Yin Chin, Sohyun Kim, Parag V Chitnis, Samuel K Sia",2016/3/11,Journal Scientific reports,"Implantable devices have a large potential to improve human health, but they are often made of biofouling materials that necessitate special coatings, rely on electrical connections for external communication, and require a continuous power source. This paper demonstrates an alternative platform, which we call iTAG (implantable thermally actuated gel), where an implanted capsule can be wirelessly controlled by ultrasound to trigger the release of compounds. We constructed a millimeter-sized capsule containing a co-polymer gel (NiPAAm-co-AAm) that contracts above body temperature (i.e. at 45 °C) to release compounds through an opening. This gel-containing capsule is biocompatible and free of toxic electronic or battery components. An ultrasound hardware, with a focused ultrasound (FUS) transducer and a co-axial A-mode imaging transducer, was used to image the capsule (to monitor in real time its …",26
Rupture threshold characterization of polymer-shelled ultrasound contrast agents subjected to static overpressure,"Parag V Chitnis, Paul Lee, Jonathan Mamou, John S Allen, Marcel Böhmer, Jeffrey A Ketterling",2011/4/21,Journal Journal of applied physics,"Polymer-shelled micro-bubbles are employed as ultrasound contrast agents (UCAs) and vesicles for targeted drug delivery. UCA-based delivery of the therapeutic payload relies on ultrasound-induced shell rupture. The fragility of two polymer-shelled UCAs manufactured by Point Biomedical or Philips Research was investigated by characterizing their response to static overpressure. The nominal diameters of Point and Philips UCAs were 3 μm and 2 μm, respectively. The UCAs were subjected to static overpressure in a glycerol-filled test chamber with a microscope-reticule lid. UCAs were reconstituted in 0.1 mL of water and added over the glycerol surface in contact with the reticule. A video-microscope imaged UCAs as glycerol was injected (5 mL/h) to vary the pressure from 2 to 180 kPa over 1 h. Neither UCA population responded to overpressure until the rupture threshold was exceeded, which resulted in …",25
Mitigation of damage to solid surfaces from the collapse of cavitation bubble clouds,"Parag V Chitnis, Nicholas J Manzi, Robin O Cleveland, Ronald A Roy, R Glynn Holt",2010/5/1,Journal Journal of Fluids Engineering,"The collapse of transient bubble clouds near a solid surface was investigated to test a scheme for mitigation of cavitation-induced damage. The target was a porous ceramic disk through which air could be forced. Transient cavitation bubbles were created using a shock-wave lithotripter focused on the surface of the disk. The dynamics of bubble clouds near the ceramic disks were studied for two boundary conditions: no back pressure resulting in surface free of bubbles and 10 psi (0.7 atm) of back pressure, resulting in a surface with a sparse (30% of area) bubble layer. Images of the cavitation near the surface were obtained from a high-speed camera. Additionally, a passive cavitation detector (3.5 MHz focused acoustic transducer) was aligned with the surface. Both the images and the acoustic measurements indicated that bubble clouds near a ceramic face without a bubble layer collapsed onto the boundary …",20
