titles,authors,date,source,descriptions,citations
PR-OWL: A Bayesian ontology language for the semantic web,"Paulo Cesar G Da Costa, Kathryn B Laskey, Kenneth J Laskey",2008,"Conference Uncertainty reasoning for the semantic web I: ISWC international workshops, URSW 2005-2007, revised selected and invited papers","This paper addresses a major weakness of current technologies for the Semantic Web, namely the lack of a principled means to represent and reason about uncertainty. This not only hinders the realization of the original vision for the Semantic Web, but also creates a barrier to the development of new, powerful features for general knowledge applications that require proper treatment of uncertain phenomena. We present PR-OWL, a probabilistic extension to the OWL web ontology language that allows legacy ontologies to interoperate with newly developed probabilistic ontologies. PR-OWL moves beyond the current limitations of deterministic classical logic to a full first-order probabilistic logic. By providing a principled means of modeling uncertainty in ontologies, PR-OWL can be seen as a supporting tool for many applications that can benefit from probabilistic inference within an ontology language, thus …",214
PR-OWL: A framework for probabilistic ontologies,"Paulo CG Costa, Kathryn B Laskey",2006/11/9,Journal Frontiers in Artificial Intelligence and Applications,"Across a wide range of domains, there is an urgent need for a wellfounded approach to incorporating uncertain and incomplete knowledge into formal domain ontologies. Although this subject is receiving increasing attention from ontology researchers, there is as yet no broad consensus on the definition of a probabilistic ontology and on the most suitable approach to extending current ontology languages to support uncertainty. This paper presents two contributions to developing a coherent framework for probabilistic ontologies:(1) a formal definition of a probabilistic ontology, and (2) an extension of the OWL Web Ontology Language that is consistent with our formal definition. This extension, PR-OWL, is based on Multi-Entity Bayesian Networks (MEBN), a first-order Bayesian logic that unifies Bayesian probability with First-Order Logic. As such, PR-OWL combines the full representation power of OWL with the flexibility and inferential power of Bayesian logic.",188
Bayesian semantics for the Semantic Web,Paulo Cesar G Da Costa,2005,Institution George Mason University,Uncertainty is ubiquitous. Any representation scheme intended to model real-world actions and processes must be able to cope with the effects of uncertain phenomena.,188
Towards unbiased evaluation of uncertainty reasoning: The URREF ontology,"Paulo CG Costa, Kathryn B Laskey, Erik Blasch, Anne-Laure Jousselme",2012/7/9,Conference 2012 15th International Conference on Information Fusion,"Current advances in technology, sensor collection, data storage, and data distribution have afforded more complex, distributed, and operational information fusion systems (IFSs). IFSs notionally consist of low-level (data collection, registration, and association in time and space) and high-level information fusion (user coordination, situational awareness, and mission control), which require a common ontology for effective communication and data processing. In this paper, we describe the ontology reference model developed as part of the uncertainty representation and reasoning evaluation framework (URREF). The URREF ontology is intended to provide guidance for defining the actual concepts and criteria that together comprise the comprehensive uncertainty evaluation framework being developed by the Evaluation of Technologies for Uncertainty Representation Working Group (ETURWG).",176
URREF reliability versus credibility in information fusion (STANAG 2511),"Erik Blasch, Kathryn B Laskey, Anne-Laure Jousselme, Valentina Dragos, Paulo CG Costa, Jean Dezert",2013/7/9,Conference Proceedings of the 16th International Conference on Information Fusion,"For many operational information fusion systems, both reliability and credibility are evaluation criteria for collected information. The Uncertainty Representation and Reasoning Evaluation Framework (URREF) is a comprehensive ontology that represents measures of uncertainty. URREF supports standards such as the NATO Standardization Agreement (STANAG) 2511, which incorporates categories of reliability and credibility. Reliability has traditionally been assessed for physical machines to support failure analysis. Source reliability of a human can also be assessed. Credibility is associated with a machine process or human assessment of collected evidence for information content. Other related constructs for URREF are data relevance and completeness. In this paper, we seek to develop a mathematical relation of weight of evidence using credibility and reliability as criteria for characterizing uncertainty in …",92
Probabilistic ontologies for knowledge fusion,"Kathryn Blackmond Laskey, Paulo CG Costa, Terry Janssen",2008/6/30,Conference 2008 11th international conference on information fusion,"To cope with asymmetric threats in an increasingly network centric environment, todaypsilas command support systems must interoperate with a diverse collection of other systems. As a natural consequence, the focus is changing from data fusion to knowledge fusion. This new reality creates the need for advanced techniques that exploit not only the syntactic structure of knowledge bases, but also the semantic content. Ontologies play a major role in semantically aware systems, providing a means for highly effective knowledge sharing. However, they lack a standardized treatment of uncertainty, a ubiquitous feature of multisource fusion problems. This paper discusses the applicability of Probabilistic Ontologies designed in Probabilistic OWL (PR-OWL) to address this unmet need. The potential of PR-OWL probabilistic ontologies is demonstrated through a case study in the counterterrorism domain. A simple PR …",67
PROGNOS: predictive situational awareness with probabilistic ontologies,"Rommel N Carvalho, Paulo Cesar G Costa, Kathryn B Laskey, Kuo-Chu Chang",2010/7/26,Conference 2010 13th International Conference on Information Fusion,"Information in the battlefield comes from reports from diverse sources, in distinct syntax, and with different meanings. There are many kinds of uncertainty involved in this process, e.g., noise in sensors, incorrect, incomplete, or deceptive human intelligence, and others, which makes it essential to have a coherent, consistent, and principled means to represent such phenomena among the systems performing Predictive Situation Awareness (PSAW). PROGNOS is a PSAW system being developed to work within the operational context such as U.S. Navy's FORCENet. It employs probabilistic ontologies in a distributed system architecture as a means to provide semantic interoperability within an intrinsically complex and uncertain environment. This paper explores our current status in developing the system while addressing the major research challenges for making an effective PSAW system to support maritime …",62
UnBBayes: a java framework for probabilistic models in AI,"Shou Matsumoto, Rommel Novaes Carvalho, Marcelo Ladeira, Paulo CG Costa, Laecio Lima Santos, Danilo Silva, Michael Onishi, Emerson Machado, Ke Cai",2011/11,Journal Java in academia and research,"“Systems that think like humans, systems that act like humans, systems that think rationally, and systems that act rationally.”–Four categories of AI’s definitions (Russel & Norvig, 2002)",55
URREF self-confidence in information fusion trust,"Erik Blasch, Audun Jøsang, Jean Dezert, Paulo CG Costa, Anne-Laure Jousselme",2014/7/7,Conference 17th International Conference on Information Fusion (FUSION),"The Uncertainty Representation and Reasoning Evaluation Framework (URREF) includes an ontology that represents concepts and criteria needed to evaluate the uncertainty management aspects of a fusion system. The URREF ontology defines self-confidence as a measure of the information credibility as evaluated by the sensor itself. The concept of confidence, which is not explicitly defined in the ontology at URREF, has been extensively explored in the literature about evaluation in information fusion systems (IFS). In this paper, we provide a discussion on confidence as it relates to the evaluation of IFS, and compare it with the existing concepts in the URREF ontology. Our goal is two-fold, since we address both the distinctions between confidence and self-confidence, as well as the implications of these differences when evaluating the impact of uncertainty to the decision-making processes supported byt the …",54
Probabilistic Ontology and Knowledge Fusion for Procurement Fraud Detection in Brazil.,"Rommel N Carvalho, Shou Matsumoto, Kathryn B Laskey, Paulo Cesar G da Costa, Marcelo Ladeira, Laécio L Santos",2013/1/9,Conference URSW (LNCS Vol.),"To cope with citizens’ demand for transparency and corruption prevention, the Brazilian Office of the Comptroller General (CGU) has carried out a number of actions, including: awareness campaigns aimed at the private sector; campaigns to educate the public; research initiatives; and regular inspections and audits of municipalities and states. Although CGU has collected information from hundreds of different sources-Revenue Agency, Federal Police, and others-the process of fusing all this data has not been efficient enough to meet the needs of CGU’s decision makers. Therefore, it is natural to change the focus from data fusion to knowledge fusion. As a consequence, traditional syntactic methods should be augmented with techniques that represent and reason with the semantics of databases. However, commonly used approaches, such as Semantic Web technologies, fail to deal with uncertainty, a dominant …",54
