titles,authors,date,source,descriptions,citations
A robust comparison of the KDDCup99 and NSL-KDD IoT network intrusion detection datasets through various machine learning algorithms,"Suchet Sapre, Pouyan Ahmadi, Khondkar Islam",2019/12/31,Journal arXiv preprint arXiv:1912.13204,"In recent years, as intrusion attacks on IoT networks have grown exponentially, there is an immediate need for sophisticated intrusion detection systems (IDSs). A vast majority of current IDSs are data-driven, which means that one of the most important aspects of this area of research is the quality of the data acquired from IoT network traffic. Two of the most cited intrusion detection datasets are the KDDCup99 and the NSL-KDD. The main goal of our project was to conduct a robust comparison of both datasets by evaluating the performance of various Machine Learning (ML) classifiers trained on them with a larger set of classification metrics than previous researchers. From our research, we were able to conclude that the NSL-KDD dataset is of a higher quality than the KDDCup99 dataset as the classifiers trained on it were on average 20.18% less accurate. This is because the classifiers trained on the KDDCup99 dataset exhibited a bias towards the redundancies within it, allowing them to achieve higher accuracies.",40
Analyzing navigational data and predicting student grades using support vector machine,"SriUdaya Damuluri, Khondkar Islam, Pouyan Ahmadi, Namra Shafiq Qureshi",2020/8/1,Journal Emerging Science Journal,"The advent of Learning Management System (LMS) has unfolded a unique opportunity to predict student grades well in advance which benefits both students and educational institutions. The objective of this study is to investigate student access patterns and navigational data of Blackboard (Bb), a form of LMS, to forecast final grades. This research study consists of students who are pursuing a Networking course in Information Science and Technology Department (IST) at George Mason University (GMU). The gathered data consists of a wide variety of attributes, such as the amount of time spent on lecture slides and other learning materials, number of times course contents are accessed, time and days of the week study material is reviewed, and student grades in various assessments. By analyzing these predictors using Support Vector Machine, one of the most efficient classification algorithms available, we are able to project final grades of students and identify those individuals who are at risk for failing the course so that they can receive proper guidance from instructors. After comparing actual grades with predicted grades, it is concluded that our developed model is able to accurately predict grades of 70% of the students. This study stands unique as it is the first to employ solely online LMS data to successfully deduce academic outcomes of students.",23
An outage-aware power saving cooperative routing algorithm in wireless networks,"Pouyan Ahmadi, Bijan Jabbari",2013/4/17,Conference 2013 Wireless Telecommunications Symposium (WTS),"In this paper emphasizing the relation between outage and power, we propose a novel cooperative routing algorithm, called Outage-aware K-shortest paths Cooperative Routing (OKCR), which minimizes the transmitted power while exploiting the merit of cooperative communication. The OKCR algorithm (i.e., inherently based on Yen's Kshortest paths algorithm) finds the best route between the source and the destination considering particular outage probability as its constraint. The proposed algorithm nominates k different optimum routes and then selects the best possible relay in each route on the basis of performance analysis. Simulation results show that this strategy enhances power-efficiency in comparison to non-cooperative and other existing cooperative algorithms investigated in the literature by more than 50%.",6
Speech recognition with a competitive probabilistic radial basis neural network,"Nima Yousefian, Azarakhsh Jalalvand, Pooyan Ahmadi, Morteza Analoui",2008/9/6,Conference 2008 4th International IEEE Conference Intelligent Systems,Automatic speech recognition (ASR) has been a subject of active research in the last few decades. In this paper we study the applicability of a special model of radial basis probabilistic neural networks (RBPNN) as a classifier for speech recognition. This type of network is a combination of radial basis function (RBF) and probabilistic neural network (PNN) that applies characteristics of both networks and finally uses a competitive function for computing final result. The proposed network has been tested on the voices of single digit numbers dataset and produced lower recognition error rate in comparison with other common pattern classifiers. All of classifiers use Mel-scale frequency cepstrum coefficients (MFCC) and a special type of perceptual linear predictive (PLP) as their features for classification. Results show that PLP features yield better recognition rate by considering noisy dataset.,6
RFID implementation in supply chain management,"Pooja Reddy Podduturi, Trevor Maco, Pouyan Ahmadi, Khondkar Islam",2020/4/1,Journal International Journal of Interdisciplinary Telecommunications and Networking (IJITN),"A network that is based on a traditional telecommunications network and the Internet is known as the internet of things (IoT). The devices in such networks connect peers and form advanced collaborations. radio frequency identification (RFID) has become a hot topic in recent years with the development of the IOT. However, the traditional RFID reader systems have some drawbacks, such as: single node failure, limited effective reading distance of the reader, and slow reading speeds. The proposed system describes how to estimate the location of an object using RFID technology. This article also incorporates a peer-to-peer (P2P) system to locate individual objects in a supply chain management network, which enables scalable indexing of objects in large distributed traceable networks.",5
A Survey on Internet of Things Security Issues and Applications,"Manikya Katam, Maco Trevor, Islam Khondkar, Ahmadi Pouyan",2018/12,Conference 5th Annual Conf. on Computational Science & Computational Intelligence (CSCI'18),,5
A comprehensive data sampling analysis applied to the classification of rare iot network intrusion types,"Suchet Sapre, Khondkar Islam, Pouyan Ahmadi",2021/1/9,Conference 2021 IEEE 18th Annual Consumer Communications & Networking Conference (CCNC),"With the rapid growth of Internet of Things (IoT) network intrusion attacks, there is a critical need for sophisticated and comprehensive intrusion detection systems (IDSs). Classifying infrequent intrusion types such as root-to-local (R2L) and user-to-root (U2R) attacks is a reoccurring problem for IDSs. In this study, various data sampling and class balancing techniques-Generative Adversarial Network (GAN)-based oversampling, k-nearest-neighbor (kNN) oversampling, NearMiss-1 undersampling, and class weights-were used to resolve the severe class imbalance affecting U2R and R2L attacks in the NSL-KDD intrusion detection dataset. Artificial Neural Networks (ANNs) were trained on the adjusted datasets, and their performances were evaluated with a multitude of classification metrics. Here, we show that using no data sampling technique (baseline), GAN-based oversampling, and NearMiss-l undersampling, all …",4
A Robust Comparison of the KDDCup99 and NSL-KDD Intrusion Detection Datasets by Utilizing Principle Component Analysis and Evaluating the Performance of Various Machine …,"Suchet Sapre, Pouyan Ahmadi, Khondkar Islam",2019/11/19,Journal Journal of Student-Scientists' Research,"In recent years, as intrusion attacks on IoT networks have grown exponentially, there is an immediate need for sophisticated intrusion detection systems (IDSs). A vast majority of current IDSs are data-driven, which means that the most important aspect of this area of research is the quality of the data acquired from IoT network traffic. Two of the most cited intrusion detection datasets are the KDDCup99 (KDD) and the NSL-KDD (NSL). The main goal of our project was to conduct a robust comparison of both datasets by evaluating the performance of various machine learning classifiers with a larger set of classification metrics than previous researchers. This was done by using numerous Python ML packages and data visualization tools. From our research, we were able to conclude that the NSL dataset is of a higher quality than the KDD dataset. This is because the classifiers trained on the KDD dataset exhibited a …",3
RFID Implementation in Supply Chain Management Using P2P Network Overlays,"Pooja Podduturi, Pouyan Ahmadi, Khondkar Islam, Trevor Maco",2019,Conference Wireless Telecommunications Symposium (WTS 2019),"A network that is based on a traditional telecommunications network and the Internet is known as ""The Internet of Things (IoT)"". The devices in such networks connect peers and form advanced collaborations. Radio Frequency Identification (RFID) has become a hot topic in recent years with the development of the IOT. However, the traditional RFID reader system has some drawbacks, such as: single node failure, limited effective reading distance of the reader, and slow reading speeds. The proposed system describes how to estimate the location of an object using RFID technology. This paper also incorporates a peer-to-peer (P2P) system to locate individual objects in a supply chain management network, which enables scalable indexing of objects in large distributed traceable networks.",3
Assessment Formats and Student Learning Performance: What is the Relation?,"Khondkar Islam, Pouyan Ahmadi, Salman Yousaf",2017/7,Conference Proceedings of The 7th Research in Engineering Education Symposium ( REES 2017),"Although compelling assessments have been examined in recent years, more studies are required to yield a better understanding of the several methods where assessment techniques significantly affect student learning process. Most of the educational research in this area does not consider demographics data, differing methodologies, and notable sample size. To address these drawbacks, the objective of our study is to analyse student learning outcomes of multiple assessment formats for a web-facilitated in-class section with an asynchronous online class of a core data communications course in the Undergraduate IT program of the Information Sciences and Technology (IST) Department at George Mason University (GMU). In this study, students were evaluated based on course assessments such as home and lab assignments, skill-based assessments, and traditional midterm and final exams across all four sections of the course. All sections have equivalent content, assessments, and teaching methodologies. Student demographics such as exam type and location preferences are considered in our study to determine whether they have any impact on their learning approach. Large amount of data from the learning management system (LMS), Blackboard (BB) Learn, had to be examined to compare the results of several assessment outcomes for all students within their respective section and amongst students of other sections. To investigate the effect of dissimilar assessment formats on student performance, we had to correlate individual question formats with the overall course grade. The results show that collective assessment formats …",3
A Study of Several Classification Algorithms to Predict Students’ Learning Performance,"SriUdaya Damuluri, Pouyan Ahmadi, Khondkar Islam",2019/6,Conference ASEE Annual Conference and Exposition 2019,"Identifying students who need better pedagogical support is an invaluable asset for any academic institution. The main objective of this study is to predict the students’ performance and thereby maximize their learning productivity. We focus on the students’ past academic performance to predict their future results. This is done by analyzing the various factors of course material and students’ online behavior from the Learning Management System (LMS). We also analyze several predictors that contribute to the overall student performance from the data collected. To determine the efficient model that is more accurate and precise, we compare the performance of four well-known machine learning classification algorithms. The 2017 and 2018 academic year data collected consists of user patterns, navigational behavior and the students’ daily activities from the LMS, Blackboard (Bb) Learn of the Undergraduate IT program within the Information Sciences and Technology (IST) Department at George Mason University (GMU). This comparison effort will help us confirm the most effective algorithm to identify students’ who are at risk of failing a class so that academic advisors/instructors can offer better academic guidance and support.",2
An Empirical Study of Teaching Methodologies and Learning Outcomes for Online and in-class Networking Course Sections,"Pouyan Ahmadi, Khondkar Islam, Salman Yousaf",2017/3/5,Journal Proceedings of 2017 ASEE Zone 2 Spring Conference,"To enhance student learning, we demonstrate an experimental study to analyze student learning outcomes in online and in-class sections of a core data communications course of the Undergraduate IT program in the Information Sciences and Technology (IST) Department at George Mason University (GMU). In this study, student performance is evaluated based on course assessments. This includes home and lab assignments, skill-based assessment, and traditional midterm exam across all 4 sections of the course. All sections have analogous content, assessment plan and teaching methodologies. Student demographics such as exam type and location preferences that may play an important role in their learning process are considered in our study. We had to collect vast amount of data from the learning management system (LMS), Blackboard (BB) Learn, in order to compare and study the results of several assessment outcomes for all students within their respective section and amongst students of other sections. We then tried to understand whether demographics have any influence on student performance by correlating individual student survey response to his/her performance in the class. The numerical results up to mid-semester reveal remarkable insights on student success in the online and face-to-face (F2F) sections.",2
Optimum Outage Routing In Cooperative Multi-hop Networks,Pouyan Ahmadi,2015,"Description Recently cooperative communications has gained considerable attention in research due to multi-path fading mitigation ability through spatial diversity while providing flexibility. In cooperative communication protocols, terminals and relays cooperate to form a virtual antenna array which enhances the capacity or network throughput.","Recently cooperative communications has gained considerable attention in research due to multi-path fading mitigation ability through spatial diversity while providing flexibility. In cooperative communication protocols, terminals and relays cooperate to form a virtual antenna array which enhances the capacity or network throughput.",1
