titles,authors,date,source,descriptions,citations
Acculturation strategies among South Asian immigrants: the mediators of atherosclerosis in South Asians living in America (MASALA) study,"Belinda L Needham, Bhramar Mukherjee, Pramita Bagchi, Catherine Kim, Arnab Mukherjea, Namratha R Kandula, Alka M Kanaya",2017/4,Journal Journal of immigrant and minority health,"In the past, epidemiologic research on acculturation and health has been criticized for its conceptual ambiguity and simplistic measurement approaches. This study applied a widely-used theoretical framework from cross-cultural psychology to identify acculturation strategies among South Asian immigrants in the US and to examine sociodemographic correlates of acculturation strategies. Data were from the Mediators of Atherosclerosis in South Asians Living in America study. We used latent class analysis to identify groups of individuals that were similar based on cultural attitudes and behaviors. We used latent class regression analysis to examine sociodemographic correlates of acculturation strategies. We found that South Asian immigrants employed three acculturation strategies, including separation (characterized by a relatively high degree of preference for South Asian culture over US culture …",36
Acculturation strategies and symptoms of depression: the Mediators of Atherosclerosis in South Asians Living in America (MASALA) Study,"Belinda L Needham, Bhramar Mukherjee, Pramita Bagchi, Catherine Kim, Arnab Mukherjea, Namratha R Kandula, Alka M Kanaya",2018/8,Journal Journal of immigrant and minority health,"Using latent class analysis, we previously identified three acculturation strategies employed by South Asian immigrants in the US. Members of the Separation class showed a preference for South Asian culture over US culture, while members of the Assimilation class showed a preference for US culture, and those in the Integration class showed a similar preference for South Asian and US cultures. The purpose of this study was to examine associations between these acculturation strategies and symptoms of depression, a common yet underdiagnosed and undertreated mental disorder. We used data from the Mediators of Atherosclerosis in South Asians Living in America (MASALA) study (n = 856). Data were collected between October 2010 and March 2013 in the San Francisco Bay Area and Chicago. Depressive symptoms were assessed using the CES-D Scale. Applying a simple new method to …",19
A simple test for white noise in functional time series,"Pramita Bagchi, Vaidotas Characiejus, Holger Dette",2018/1,Journal Journal of Time Series Analysis,"We propose a new procedure for white noise testing of a functional time series. Our approach is based on an explicit representation of the L2‐distance between the spectral density operator and its best (L2‐)approximation by a spectral density operator corresponding to a white noise process. The estimation of this distance can be easily accomplished by sums of periodogram kernels, and it is shown that an appropriately standardized version of the estimator is asymptotically normal distributed under the null hypothesis (of functional white noise) and under the alternative. As a consequence, we obtain a very simple test (using the quantiles of the normal distribution) for the hypothesis of a white noise functional process. In particular, the test does not require either the estimation of a long‐run variance (including a fourth order cumulant) or resampling procedures to calculate critical values. Moreover, in contrast to all …",16
Endogenous sex steroid hormones and glucose in a South‐Asian population without diabetes: the Metabolic Syndrome and Atherosclerosis in South‐Asians Living in America pilot study,"BL Needham, C Kim, B Mukherjee, P Bagchi, FZ Stanczyk, AM Kanaya",2015/9,Journal Diabetic Medicine,"To examine the associations between endogenous sex steroid hormones (oestradiol, testosterone and sex hormone‐binding globulin) with diabetes risk in a South‐Asian population living in the USA.",14
A test for separability in covariance operators of random surfaces,"Pramita Bagchi, Holger Dette",2020/8/1,Volume 48,Supplement to “A test for separability in covariance operators of random surfaces”. We provide additional simulation results and technical details for Sections 2 and 3 in the supplement.,13
Inference for monotone functions under short-and long-range dependence: Confidence intervals and new universal limits,"Pramita Bagchi, Moulinath Banerjee, Stilian A Stoev",2016/10/1,Journal Journal of the American Statistical Association,"We introduce new point-wise confidence interval estimates for monotone functions observed with additive, dependent noise. Our methodology applies to both short- and long-range dependence regimes for the errors. The interval estimates are obtained via the method of inversion of certain discrepancy statistics. This approach avoids the estimation of nuisance parameters such as the derivative of the unknown function, which previous methods are forced to deal with. The resulting estimates are therefore more accurate, stable, and widely applicable in practice under minimal assumptions on the trend and error structure. The dependence of the errors especially long-range dependence leads to new phenomena, where new universal limits based on convex minorant functionals of drifted fractional Brownian motion emerge. Some extensions to uniform confidence bands are also developed. Supplementary materials …",9
COVID-19 symptom monitoring and social distancing in a university population,"Janusz Wojtusiak, Pramita Bagchi, Sri Surya Krishna Rama Taraka Naren Durbha, Hedyeh Mobahi, Reyhaneh Mogharab Nia, Amira Roess",2021/3,Journal Journal of healthcare informatics research,"This paper reports on our efforts to collect daily COVID-19-related symptoms for a large public university population, as well as study relationship between reported symptoms and individual movements. We developed a set of tools to collect and integrate individual-level data. COVID-19-related symptoms are collected using a self-reporting tool initially implemented in Qualtrics survey system and consequently moved to .NET framework. Individual movement data are collected using off-the-shelf tracking apps available for iPhone and Android phones. Data integration and analysis are done in PostgreSQL, Python, and R. As of September 2020, we collected about 184,000 daily symptom responses for 20,000 individuals, as well as over 15,000 days of GPS movement data for 175 individuals. The analysis of the data indicates that headache is the most frequently reported symptom, present almost always when …",8
On Effect of Compromised Nodes on Security of Wireless Sensor Network.,"Parichoy Pal Choudhury, Pramita Bagchi, Sebanti Sengupta, Anurag Ghosh",2010/7/1,Journal Adhoc & Sensor Wireless Networks,"For secure communications in wireless sensor network in adversarial conditions, one way is providing keys to sensor nodes before deployment. Two sensor nodes can communicate provided they have at least one key in common or there is a path between the two nodes where each pair of neighboring nodes on this path has at least one key in common. However node compromise poses severe security threats in sensor networks. Here we have considered dual BIBD design for the distribution of the keys such that any pair of sensors has exactly one key in common. In this scenario we study the probability of disconnection when a number of nodes, not more than the replication number of the keys are compromised and the resulting status of the network in terms of its resiliency properties.",6
"Cardiogenic shock from heart failure versus acute myocardial infarction: clinical characteristics, hospital course, and 1-year outcomes","Shashank S Sinha, Carolyn M Rosner, Behnam N Tehrani, Aneel Maini, Alexander G Truesdell, Seiyon Ben Lee, Pramita Bagchi, James Cameron, Abdulla A Damluji, Mehul Desai, Shashank S Desai, Kelly C Epps, Christopher Defilippi, M Casey Flanagan, Leonard Genovese, Hala Moukhachen, James J Park, Mitchell A Psotka, Anika Raja, Palak Shah, Matthew W Sherwood, Ramesh Singh, Daniel Tang, Karl D Young, Timothy Welch, Christopher M O’Connor, Wayne B Batchelor",2022/6,Journal Circulation: Heart Failure,"Little is known about clinical characteristics, hospital course, and longitudinal outcomes of patients with cardiogenic shock (CS) related to heart failure (HF-CS) compared to acute myocardial infarction (AMI; CS related to AMI [AMI-CS]).",4
Circulating microRNAs in cellular and antibody-mediated heart transplant rejection,"Palak Shah, Sean Agbor-Enoh, Pramita Bagchi, Christopher R deFilippi, Angela Mercado, Gouqing Diao, Dave JP Morales, Keyur B Shah, Samer S Najjar, Erika Feller, Steven Hsu, Maria E Rodrigo, Sabra C Lewsey, Moon Kyoo Jang, Charles Marboe, Gerald J Berry, Kiran K Khush, Hannah A Valantine, GRAfT Investigators",2022/10/1,Journal The Journal of Heart and Lung Transplantation,Noninvasive monitoring of heart allograft health is important to improve clinical outcomes. MicroRNAs (miRs) are promising biomarkers of cardiovascular disease and limited studies suggest they can be used to noninvasively diagnose acute heart transplant rejection.,2
