titles,authors,date,source,descriptions,citations
Toward clean and crackless transfer of graphene,"Xuelei Liang, Brent A Sperling, Irene Calizo, Guangjun Cheng, Christina Ann Hacker, Qin Zhang, Yaw Obeng, Kai Yan, Hailin Peng, Qiliang Li, Xiaoxiao Zhu, Hui Yuan, Angela R Hight Walker, Zhongfan Liu, Lian-mao Peng, Curt A Richter",2011/11/22,Journal ACS nano,"We present the results of a thorough study of wet chemical methods for transferring chemical vapor deposition grown graphene from the metal growth substrate to a device-compatible substrate. On the basis of these results, we have developed a “modified RCA clean” transfer method that has much better control of both contamination and crack formation and does not degrade the quality of the transferred graphene. Using this transfer method, high device yields, up to 97%, with a narrow device performance metrics distribution were achieved. This demonstration addresses an important step toward large-scale graphene-based electronic device applications.",928
"Recent Advances in Electrochemical Sensors for Detecting Toxic Gases: NO2, SO2 and H2S","Md Ashfaque Hossain Khan, Mulpuri V Rao, Qiliang Li",2019/2/21,Source Sensors,"Toxic gases, such as NOx, SOx, H2S and other S-containing gases, cause numerous harmful effects on human health even at very low gas concentrations. Reliable detection of various gases in low concentration is mandatory in the fields such as industrial plants, environmental monitoring, air quality assurance, automotive technologies and so on. In this paper, the recent advances in electrochemical sensors for toxic gas detections were reviewed and summarized with a focus on NO2, SO2 and H2S gas sensors. The recent progress of the detection of each of these toxic gases was categorized by the highly explored sensing materials over the past few decades. The important sensing performance parameters like sensitivity/response, response and recovery times at certain gas concentration and operating temperature for different sensor materials and structures have been summarized and tabulated to provide a thorough performance comparison. A novel metric, sensitivity per ppm/response time ratio has been calculated for each sensor in order to compare the overall sensing performance on the same reference. It is found that hybrid materials-based sensors exhibit the highest average ratio for NO2 gas sensing, whereas GaN and metal-oxide based sensors possess the highest ratio for SO2 and H2S gas sensing, respectively. Recently, significant research efforts have been made exploring new sensor materials, such as graphene and its derivatives, transition metal dichalcogenides (TMDs), GaN, metal-metal oxide nanostructures, solid electrolytes and organic materials to detect the above-mentioned toxic gases. In addition, the contemporary …",191
Silicon nanowires as enhancement-mode Schottky barrier field-effect transistors,"Sang-Mo Koo, Monica D Edelstein, Qiliang Li, Curt A Richter, Eric M Vogel",2005/6/29,Journal Nanotechnology,Silicon nanowire field-effect transistors (SiNWFETs) have been fabricated with a highly simplified integration scheme to function as Schottky barrier transistors with excellent enhancement-mode characteristics and a high on/off current ratio∼ 10 7. SiNWFETs show significant improvement in the thermal emission leakage (∼ 6× 10− 13 A µm− 1) compared to reference FETs with a larger channel width (∼ 7× 10− 10 A µm− 1). The drain current level depends substantially on the contact metal work function as determined by examining devices with different source/drain contacts of Ti (≈ 4.33 eV) and Cr (≈ 4.50 eV). The different conduction mechanisms for accumulation-and inversion-mode operation are discussed and compared with two-dimensional numerical simulation results.,182
Enhanced channel modulation in dual-gated silicon nanowire transistors,"Sang-Mo Koo, Qiliang Li, Monica D Edelstein, Curt A Richter, Eric M Vogel",2005/12/14,Journal Nano letters,"Dual-gated silicon nanowire (SiNW) field-effect transistors (FETs) have been fabricated by using electron-beam lithography. SiNW devices (W ≈ 60 nm) exhibit an on/off current ratio greater than 106, which is more than 3 orders of magnitude higher than that of control devices prepared simultaneously having a large channel width (∼5 μm). In addition, by changing the local energy-band profile of the SiNW channel, the top gate is found to suppress ambipolar conduction effectively, which is one of the factors limiting the use of nanotube or nanowire FETs for complimentary logic applications. Two-dimensional numerical simulations show that the gate-induced electrostatic control is improved as the channel width of the FETs decreases. Therefore, enhanced channel modulations can be achieved in these dual-gated SiNW devices. ",173
Ultraviolet/ozone treatment to reduce metal-graphene contact resistance,"Wei Li, Yiran Liang, Dangmin Yu, Lianmao Peng, Kurt P Pernstich, Tian Shen, AR Hight Walker, Guangjun Cheng, Christina A Hacker, Curt A Richter, Qiliang Li, David J Gundlach, Xuelei Liang",2013/5/8,Journal Applied Physics Letters,"We report reduced contact resistance of single-layer graphene devices by using ultraviolet ozone treatment to modify the metal/graphene contact interface. The devices were fabricated from mechanically transferred, chemical vapor deposition grown single layer graphene. Ultraviolet ozone treatment of graphene in the contact regions as defined by photolithography and prior to metal deposition was found to reduce interface contamination originating from incomplete removal of poly(methyl-methacrylate) and photoresist. Our control experiment shows that exposure times up to 10 min did not introduce significant disorder in the graphene as characterized by Raman spectroscopy. By using the described approach, contact resistance of less than 200 Ω μm was achieved for 25 min ultraviolet ozone treatment, while not significantly altering the electrical properties of the graphene channel region of devices.",162
Capacitance and conductance characterization of ferrocene-containing self-assembled monolayers on silicon surfaces for memory applications,"Qiliang Li, Guru Mathur, Mais Homsi, Shyam Surthi, Veena Misra, Vladimir Malinovskii, Karl-Heinz Schweikart, Lianhe Yu, Jonathan S Lindsey, Zhiming Liu, Rajeev B Dabke, Amir Yasseri, David F Bocian, Werner G Kuhr",2002/8/19,Journal Applied physics letters,"Self-assembled monolayers of 4-ferrocenylbenzyl alcohol attached to silicon provided the basis for electrolyte-molecule-silicon capacitors. Characterization by conventional capacitance and conductance techniques showed very high capacitance and conductance peaks near ∼0.6 V associated with charging and discharging of electrons into and from discrete levels in the monolayer owing to the presence of the redox-active ferrocenes. The reversible charge trapping of these molecules suggest their potential application in memory devices. Due to the molecular scalability and low-power operation, molecular-silicon hybrid devices may be strong candidates for next-generation electronic devices.",148
Multibit memory using self‐assembly of mixed ferrocene/porphyrin monolayers on silicon,"Qiliang Li, Guru Mathur, Srivardhan Gowda, Shyam Surthi, Qian Zhao, Lianhe Yu, Jonathan S Lindsey, David F Bocian, Veena Misra",2004/1/16,Journal Advanced Materials,"An alternative strategy for achieving multi‐bit functionality, which uses mixed self‐assembled monolayers of a benzyl alcohol‐tethered ferrocene (Fc‐BzOH) and a benzyl alcohol‐tethered porphyrin (Por‐BzOH) on silicon surfaces to achieve a four‐state (2‐bit) memory element, is presented. The four states include the neutral state and three distinct cationic states obtained upon oxidation of Fc‐BzOH (monopositive) and Por‐BzOH (monopositive, dipositive) molecules. Conventional cyclic voltammetry, capacitance, and conductance methods have been used to characterize the mixed monolayer.",136
"Phase transition, effective mass and carrier mobility of MoS2 monolayer under tensile strain","Sheng Yu, Hao D. Xiong, Kwesi Eshun, Hui Yuan, Qiliang Li",2014/11/22,Journal Applied Surface Science,"We report a computational study on the impact of tensile strain on MoS2 monolayer. The transition between direct and indirect bandgap structure and the transition between semiconductor and metal phases in the monolayer have been investigated with tensile strain along all direction configurations with both x-axis and y-axis components ɛxy (ɛx and ɛy). Electron effective mass and the hole effective mass are isotropic for biaxial strain ɛxy = ɛx = ɛy and anisotropic for ɛxy with ɛx ≠ ɛy. The carrier effective mass behaves differently along different directions in response to the tensile strain. In addition, the impact of strain on carrier mobility has been studied by using the deformation potential theory. The electron mobility increases over 10 times with the biaxial strain: ɛx = ɛy = 9.5%. Also, the mobility decreases monotonically with the increasing temperature as μ ∼ T−1. These results are very important for future …",126
Chemical Discrimination with an Unmodified Graphene Chemical Sensor,"Eric Nallon, V Schnee, C. Bright, M. Polcha, Qiliang Li",2015/9,Journal ACS Sensors,"A graphene chemical vapor sensor with an unmodified surface has been fabricated and thoroughly characterized upon exposure to headspace vapor of a variety of solvents and related compounds. The vapor sensor exhibits excellent discrimination toward a variety of chemical compounds. Principle component analysis (PCA) was performed to explore the extent of grouping for each compound and separation between compounds and chemical classes. The prediction accuracy of the sensor is evaluated with linear discrimination analysis, k-nearest neighbor, random forest, and support vector classifiers. The combination of PCA and prediction accuracies demonstrates the discrimination capability of an unmodified graphene chemical vapor sensor. Such a vapor sensor is very attractive for application in small, low-power, robust, and adaptable cross-reactive arrays in electronic noses.",122
Topological Insulator Bi2Se3 Nanowire High Performance Field-Effect Transistors,"Hao Zhu, Curt A. Richter, Erhai Zhao, John E. Bonevich, William A. Kimes, Hyuk-Jae Jang, Hui Yuan, Haitao Li, Abbas Arab, Oleg Kirillov, James E. Maslar, Dimitris E Ioannou, Qiliang Li",2013/4/30,Journal Scientific Reports,"Topological insulators are unique electronic materials with insulating interiors and robust metallic surfaces. Device applications exploiting their remarkable properties have so far been hampered by the difficulty to electrically tune the Fermi levels of both bulk and thin film samples. Here we show experimentally that single-crystal nanowires of the topological insulator Bi2Se3 can be used as the conduction channel in high-performance field effect transistor (FET), a basic circuit building block. Its current-voltage characteristics are superior to many of those reported for semiconductor nanowire transistors, including sharp turn-on, nearly zero cutoff current, very large On/Off current ratio and well-saturated output current. The metallic electron transport at the surface with good FET effective mobility can be effectively separated from the conduction of bulk Bi2Se3 and adjusted by field effect at a small gate voltage. This opens …",116
