titles,authors,date,source,descriptions,citations
Wavelet-based multiscale statistical process monitoring: A literature review,"Rajesh Ganesan, Tapas K Das, Vivekanand Venkataraman",2004/9/1,Source IIE transactions,"Data that represent complex and multivariate processes are well known to be multiscale due to the variety of changes that could occur in a process with different localizations in time and frequency. Examples of changes may include mean shift, spikes, drifts and variance shifts all of which could occur in a process at different times and at different frequencies. Acoustic emission signals arising from machining, images representing MRI scans and musical audio signals are some examples that contain these changes and are not suited for single scale analysis. The recent literature contains several wavelet-decomposition-based multiscale process monitoring approaches including many real life process monitoring applications. These approaches are shown to be effective in handling different data types and, in concept, are likely to perform better than existing single scale approaches. There also exists a vast literature on …",166
Accuracy of reinforcement learning algorithms for predicting aircraft taxi-out times: A case-study of Tampa Bay departures,"Poornima Balakrishna, Rajesh Ganesan, Lance Sherry",2010/12/1,Journal Transportation Research Part C: Emerging Technologies,"Taxi-out delay is a significant portion of the block time of a flight. Uncertainty in taxi-out times reduces predictability of arrival times at the destination. This in turn results in inefficient use of airline resources such as aircraft, crew, and ground personnel. Taxi-out time prediction is also a first step in enabling schedule modifications that would help mitigate congestion and reduce emissions. The dynamically changing operation at the airport makes it difficult to accurately predict taxi-out time. In this paper we investigate the accuracy of taxi out time prediction using a nonparametric reinforcement learning (RL) based method, set in the probabilistic framework of stochastic dynamic programming. A case-study of Tampa International Airport (TPA) shows that on an average, with 93.7% probability, on any given day, our predicted mean taxi-out time for any given quarter, matches the actual mean taxi-out time for the same …",116
Wavelet-based identification of delamination defect in CMP (Cu-low k) using nonstationary acoustic emission signal,"Rajesh Ganesan, Tapas K Das, Arun K Sikder, Ashok Kumar",2003/11/10,Journal IEEE Transactions on Semiconductor Manufacturing,"Wavelet-based multiscale analysis approaches have revolutionized the tasks of signal processing, such as image and data compression. However, the scope of wavelet-based methods in the fields of statistical applications, such as process monitoring, density estimation, and defect identification, are still in their early stages of evolution. Recent literature contains some applications of wavelet-based methods in monitoring, such as tool-life monitoring, bearing defect monitoring, and monitoring of ultra-precision processes. This paper presents a novel application of a wavelet-based multiscale method in a nanomachining process [chemical mechanical planarization (CMP)] of wafer fabrication. The application involves identification of delamination defect of low-k dielectric layers by analyzing the nonstationary acoustic emission (AE) signal and coefficient of friction (CoF) signal collected during copper damascene (Cu …",59
"Vulcon: A system for vulnerability prioritization, mitigation, and management","Katheryn A Farris, Ankit Shah, George Cybenko, Rajesh Ganesan, Sushil Jajodia",2018/6/12,Journal ACM Transactions on Privacy and Security (TOPS),"Vulnerability remediation is a critical task in operational software and network security management. In this article, an effective vulnerability management strategy, called VULCON (VULnerability CONtrol), is developed and evaluated. The strategy is based on two fundamental performance metrics: (1) time-to-vulnerability remediation (TVR) and (2) total vulnerability exposure (TVE). VULCON takes as input real vulnerability scan reports, metadata about the discovered vulnerabilities, asset criticality, and personnel resources. VULCON uses a mixed-integer multiobjective optimization algorithm to prioritize vulnerabilities for patching, such that the above performance metrics are optimized subject to the given resource constraints. VULCON has been tested on multiple months of real scan data from a cyber-security operations center (CSOC). Results indicate an overall TVE reduction of 8.97% when VULCON optimizes a …",53
Optimal scheduling of cybersecurity analysts for minimizing risk,"Rajesh Ganesan, Sushil Jajodia, Hasan Cam",2017/2/24,Journal ACM Transactions on Intelligent Systems and Technology (TIST),"Cybersecurity threats are on the rise with evermore digitization of the information that many day-to-day systems depend upon. The demand for cybersecurity analysts outpaces supply, which calls for optimal management of the analyst resource. Therefore, a key component of the cybersecurity defense system is the optimal scheduling of its analysts. Sensor data is analyzed by automatic processing systems, and alerts are generated. A portion of these alerts is considered to be significant, which requires thorough examination by a cybersecurity analyst. Risk, in this article, is defined as the percentage of unanalyzed or not thoroughly analyzed alerts among the significant alerts by analysts. The article presents a generalized optimization model for scheduling cybersecurity analysts to minimize risk (a.k.a., maximize significant alert coverage by analysts) and maintain risk under a pre-determined upper bound. The article …",48
Dynamic scheduling of cybersecurity analysts for minimizing risk using reinforcement learning,"Rajesh Ganesan, Sushil Jajodia, Ankit Shah, Hasan Cam",2016/7/25,Journal ACM Transactions on Intelligent Systems and Technology (TIST),"An important component of the cyber-defense mechanism is the adequate staffing levels of its cybersecurity analyst workforce and their optimal assignment to sensors for investigating the dynamic alert traffic. The ever-increasing cybersecurity threats faced by today’s digital systems require a strong cyber-defense mechanism that is both reactive in its response to mitigate the known risk and proactive in being prepared for handling the unknown risks. In order to be proactive for handling the unknown risks, the above workforce must be scheduled dynamically so the system is adaptive to meet the day-to-day stochastic demands on its workforce (both size and expertise mix). The stochastic demands on the workforce stem from the varying alert generation and their significance rate, which causes an uncertainty for the cybersecurity analyst scheduler that is attempting to schedule analysts for work and allocate sensors to …",48
Estimating taxi-out times with a reinforcement learning algorithm,"Poornima Balakrishna, Rajesh Ganesan, Lance Sherry, Benjamin S Levy",2008/10/26,Conference 2008 IEEE/AIAA 27th Digital Avionics Systems Conference,"Flight delays have a significant impact on the nationpsilas economy. Taxi-out delays in particular constitute a significant portion of the block time of a flight. In the future, it can be expected that accurate predictions of dasiawheels-offpsila time may be used in determining whether an aircraft can meet its allocated slot time, thereby fitting into an en-route traffic flow. Without an accurate taxi-out time prediction for departures, there is no way to effectively manage fuel consumption, emissions, or cost. Dynamically changing operations at the airport makes it difficult to accurately predict taxi-out time. This paper describes a method for estimating average taxi-out times at the airport in 15 minute intervals of the day and at least 15 minutes in advance of aircraft scheduled gate push-back time. A probabilistic framework of stochastic dynamic programming with a learning-based solution strategy called Reinforcement Learning (RL …",43
System for multiresolution analysis assisted reinforcement learning approach to run-by-run control,"Rajesh Ganesan, Tapas K Das, Kandethody M Ramachandran",2010/3/2,Patent office US,A new multiresolution analysis (wavelet) assisted reinforcement learning (RL) based control strategy that can effectively deal with both multiscale disturbances in processes and the lack of process models. The application of wavelet aided RL based controller represents a paradigm shift in the control of large scale stochastic dynamic systems of which the control problem is a subset. The control strategy is termed a WRL-RbR controller. The WRL-RbR controller is tested on a multiple-input-multiple-output (MIMO) Chemical Mechanical Planarization (CMP) process of wafer fabrication for which process model is available. Results show that the RL controller outperforms EWMA based controllers for low autocorrelation. The new controller also performs quite well for strongly autocorrelated processes for which the EWMA controllers are known to fail. Convergence analysis of the new breed of WRL-RbR controller is …,31
Airport taxi-out prediction using approximate dynamic programming: intelligence-based paradigm,"Poornima Balakrishna, Rajesh Ganesan, Lance Sherry",2008/1,Journal Transportation research record,"Flight delay is one of the pressing problems that have far-reaching effects on society and the nation's economy. A primary cause of flight delay in the National Airspace System is high taxi-out times (time between gate push-back and wheels-off) at major airports. Accurate prediction of taxi-out time is needed to make downstream schedule adjustments and for better departure planning, which could mitigate delays, emissions, and congestion on the ground. However, accurate prediction of taxi-out time is difficult because of uncertainties associated with the dynamically changing airport operation. A novel stochastic approximation scheme based on reinforcement learning (RL) is presented for predicting taxi-out times in the presence of weather and other departure-related uncertainties. The prediction problem is cast in a probabilistic framework of stochastic dynamic programming and solved by using approximate …",31
Online end point detection in CMP using SPRT of wavelet decomposed sensor data,"Tapas K Das, Rajesh Ganesan, Arun K Sikder, Ashok Kumar",2005/8/8,Journal IEEE transactions on semiconductor manufacturing,"Efficient end point detection (EPD) in chemical mechanical planarization (CMP) is critical to quality and productivity of the wafer fabrication process. The cost of over and under polishing, and the cost of ownership of many expensive metrology-based EPD methods have motivated the researchers to seek cost effective and efficient alternatives. This paper presents a novel method for EPD, which uses a sequential probability ratio test (SPRT) on the wavelet decomposed coefficient of friction (CoF) data from the CMP process. The method is made suitable for online application by developing a moving block data processing strategy, which matches the rate of data acquisition. Tests on both oxide and copper metal CMP show that the developed methodology is uniquely capable of identifying the start and finish of the end point event.",28
