titles,authors,date,source,descriptions,citations
Designer nanoscale DNA assemblies programmed from the top down,"Rémi Veneziano, Sakul Ratanalert, Kaiming Zhang, Fei Zhang, Hao Yan, Wah Chiu, Mark Bathe",2016/6/24,Journal Science,"Synthetic DNA can be programmed by using canonical Watson-Crick base pairing to form highly structured nanometer-scale assemblies that rival many natural protein and RNA assemblies in structural complexity. The use of a single-stranded scaffold DNA molecule that traverses the entire DNA architecture offers near-quantitative yield of target DNA-based objects, in addition to full control over their asymmetric three-dimensional (3D) structure and site-specific functionalization for applications that include cellular delivery, nanoscale photonic materials, single-molecule imaging, and structured metamaterials, among others. Design of these versatile DNA assemblies is currently limited, however, to experts who are knowledgeable in the sequence design rules needed to fold a target DNA shape.",495
Role of nanoscale antigen organization on B-cell activation probed using DNA origami,"Rémi Veneziano, Tyson J Moyer, Matthew B Stone, Eike-Christian Wamhoff, Benjamin J Read, Sayak Mukherjee, Tyson R Shepherd, Jayajit Das, William R Schief, Darrell J Irvine, Mark Bathe",2020/8,Journal Nature nanotechnology,"Vaccine efficacy can be increased by arraying immunogens in multivalent form on virus-like nanoparticles to enhance B-cell activation. However, the effects of antigen copy number, spacing and affinity, as well as the dimensionality and rigidity of scaffold presentation on B-cell activation remain poorly understood. Here, we display the clinical vaccine immunogen eOD-GT8, an engineered outer domain of the HIV-1 glycoprotein-120, on DNA origami nanoparticles to systematically interrogate the impact of these nanoscale parameters on B-cell activation in vitro. We find that B-cell signalling is maximized by as few as five antigens maximally spaced on the surface of a 40-nm viral-like nanoparticle. Increasing antigen spacing up to ~25–30 nm monotonically increases B-cell receptor activation. Moreover, scaffold rigidity is essential for robust B-cell triggering. These results reveal molecular vaccine design principles …",196
Programmed coherent coupling in a synthetic DNA-based excitonic circuit,"Étienne Boulais, Nicolas PD Sawaya, Rémi Veneziano, Alessio Andreoni, James L Banal, Toru Kondo, Sarthak Mandal, Su Lin, Gabriela S Schlau-Cohen, Neal W Woodbury, Hao Yan, Alán Aspuru-Guzik, Mark Bathe",2018/2/1,Journal Nature materials,"Natural light-harvesting systems spatially organize densely packed chromophore aggregates using rigid protein scaffolds to achieve highly efficient, directed energy transfer. Here, we report a synthetic strategy using rigid DNA scaffolds to similarly program the spatial organization of densely packed, discrete clusters of cyanine dye aggregates with tunable absorption spectra and strongly coupled exciton dynamics present in natural light-harvesting systems. We first characterize the range of dye-aggregate sizes that can be templated spatially by A-tracts of B-form DNA while retaining coherent energy transfer. We then use structure-based modelling and quantum dynamics to guide the rational design of higher-order synthetic circuits consisting of multiple discrete dye aggregates within a DX-tile. These programmed circuits exhibit excitonic transport properties with prominent circular dichroism, superradiance, and fast …",99
In vitro synthesis of gene-length single-stranded DNA,"Rémi Veneziano, Tyson R Shepherd, Sakul Ratanalert, Leila Bellou, Chaoqun Tao, Mark Bathe",2018/4/25,Journal Scientific Reports,"Single-stranded DNA (ssDNA) increases the likelihood of homology directed repair with reduced cellular toxicity. However, ssDNA synthesis strategies are limited by the maximum length attainable, ranging from a few hundred nucleotides for chemical synthesis to a few thousand nucleotides for enzymatic synthesis, as well as limited control over nucleotide composition. Here, we apply purely enzymatic synthesis to generate ssDNA greater than 15 kilobases (kb) using asymmetric PCR, and illustrate the incorporation of diverse modified nucleotides for therapeutic and theranostic applications.",73
Characterization of a membrane-active peptide from the Bordetella pertussis CyaA toxin,"Orso Subrini, Ana-Cristina Sotomayor-Pérez, Audrey Hessel, Johanna Spiaczka-Karst, Edithe Selwa, Nicolas Sapay, Rémi Veneziano, Jonathan Pansieri, Joel Chopineau, Daniel Ladant, Alexandre Chenal",2013/11/8,Journal Journal of Biological Chemistry,"Bordetella pertussis, the pathogenic bacteria responsible for whooping cough, secretes several virulence factors, among which is the adenylate cyclase toxin (CyaA) that plays a crucial role in the early stages of human respiratory tract colonization. CyaA invades target cells by translocating its catalytic domain directly across the plasma membrane and overproduces cAMP, leading to cell death. The molecular process leading to the translocation of the catalytic domain remains largely unknown. We have previously shown that the catalytic domain per se, AC384, encompassing residues 1–384 of CyaA, did not interact with lipid bilayer, whereas a longer polypeptide, AC489, spanning residues 1–489, binds to membranes and permeabilizes vesicles. Moreover, deletion of residues 375–485 within CyaA abrogated the translocation of the catalytic domain into target cells. Here, we further identified within this region a …",57
Photophysics of J-aggregate-mediated energy transfer on DNA,"James L Banal, Toru Kondo, Rémi Veneziano, Mark Bathe, Gabriela S Schlau-Cohen",2017/12/7,Journal The journal of physical chemistry letters,"Achieving nanoscale spatial and electronic control over the formation of dye aggregates is a major synthetic challenge due to their typically inhomogeneous self-assembly, which limits control over their higher-order organization. To address these challenges, synthetic DNA-templated pseudoisocyanine (PIC) J-aggregates were recently introduced. However, the dependence of the photophysics of the superradiant exciton on the underlying DNA template length and the impact of static disorder on energy transfer through these PIC J-aggregates remain unknown. We examine the delocalization length progression of superradiant PIC excitons by varying the length of poly-A DNA tracts that template PIC J-aggregates. We then investigate the energy-transfer efficiency from PIC J-aggregates with DNA duplex template length, which we found to be limited by static disorder. Utilizing the self-assembled and selective …",56
Multiplexed and high-throughput neuronal fluorescence imaging with diffusible probes,"Syuan-Ming Guo, Remi Veneziano, Simon Gordonov, Li Li, Eric Danielson, Karen Perez de Arce, Demian Park, Anthony B Kulesa, Eike-Christian Wamhoff, Paul C Blainey, Edward S Boyden, Jeffrey R Cottrell, Mark Bathe",2019/9/26,Journal Nature communications,"Synapses contain hundreds of distinct proteins whose heterogeneous expression levels are determinants of synaptic plasticity and signal transmission relevant to a range of diseases. Here, we use diffusible nucleic acid imaging probes to profile neuronal synapses using multiplexed confocal and super-resolution microscopy. Confocal imaging is performed using high-affinity locked nucleic acid imaging probes that stably yet reversibly bind to oligonucleotides conjugated to antibodies and peptides. Super-resolution PAINT imaging of the same targets is performed using low-affinity DNA imaging probes to resolve nanometer-scale synaptic protein organization across nine distinct protein targets. Our approach enables the quantitative analysis of thousands of synapses in neuronal culture to identify putative synaptic sub-types and co-localization patterns from one dozen proteins. Application to characterize synaptic …",55
Bordetella pertussis adenylate cyclase toxin translocation across a tethered lipid bilayer,"Rémi Veneziano, Claire Rossi, Alexandre Chenal, Jean-Marie Devoisselle, Daniel Ladant, Joel Chopineau",2013/12/17,Journal Proceedings of the National Academy of Sciences,"Numerous bacterial toxins can cross biological membranes to reach the cytosol of mammalian cells, where they exert their cytotoxic effects. Our model toxin, the adenylate cyclase (CyaA) from Bordetella pertussis, is able to invade eukaryotic cells by translocating its catalytic domain directly across the plasma membrane of target cells. To characterize its original translocation process, we designed an in vitro assay based on a biomimetic membrane model in which a tethered lipid bilayer (tBLM) is assembled on an amine-gold surface derivatized with calmodulin (CaM). The assembled bilayer forms a continuous and protein-impermeable boundary completely separating the underlying calmodulin (trans side) from the medium above (cis side). The binding of CyaA to the tBLM is monitored by surface plasmon resonance (SPR) spectroscopy. CyaA binding to the immobilized CaM, revealed by enzymatic activity, serves …",55
Programming structured DNA assemblies to probe biophysical processes,"Eike-Christian Wamhoff, James L Banal, William P Bricker, Tyson R Shepherd, Molly F Parsons, Rémi Veneziano, Matthew B Stone, Hyungmin Jun, Xiao Wang, Mark Bathe",2019/5/6,Source Annual review of biophysics,"Structural DNA nanotechnology is beginning to emerge as a widely accessible research tool to mechanistically study diverse biophysical processes. Enabled by scaffolded DNA origami in which a long single strand of DNA is weaved throughout an entire target nucleic acid assembly to ensure its proper folding, assemblies of nearly any geometric shape can now be programmed in a fully automatic manner to interface with biology on the 1–100-nm scale. Here, we review the major design and synthesis principles that have enabled the fabrication of a specific subclass of scaffolded DNA origami objects called wireframe assemblies. These objects offer unprecedented control over the nanoscale organization of biomolecules, including biomolecular copy numbers, presentation on convex or concave geometries, and internal versus external functionalization, in addition to stability in physiological buffer. To highlight the …",50
ANT-VDAC1 interaction is direct and depends on ANT isoform conformation in vitro,"Maya Allouche, Claire Pertuiset, Jean-Luc Robert, Cécile Martel, Rémi Veneziano, Céline Henry, Nathalie Saint, Catherine Brenner, Joel Chopineau",2012/12/7,Journal Biochemical and biophysical research communications,"The voltage-dependent anion channel (VDAC) and the adenine nucleotide translocase (ANT) have central roles in mitochondrial functions such as nucleotides transport and cell death. The interaction between VDAC, an outer mitochondrial membrane protein and ANT, an inner membrane protein, was studied in isolated mitochondria and in vitro. Both proteins were isolated from various mitochondrial sources and reconstituted in vitro using a biomimetic system composed of recombinant human VDAC isoform 1 (rhVDAC1) immobilized on a surface plasmon resonance (SPR) sensor chip surface. Two enriched-preparations of HANT (ANT from heart, mainly ANT1) and LANT (ANT from liver, mainly ANT2) isoforms interacted differently with rhVDAC1. Moreover, the pharmacological ANT inhibitors atractyloside and bongkrekic acid modulated this interaction. Thus, ANT-VDAC interaction depends both on ANT isoform …",33
