titles,authors,date,source,descriptions,citations
Modeling a no-slip flow boundary with an external force field,"D Goldstein, R Handler, L Sirovich",1993/4/1,Journal Journal of computational physics,"A novel technique related to Peskin's immersed boundary approach is used to introduce solid surfaces into a simulated flow field. The Navier-Stokes equations permit the presence of an externally imposed body force that may vary in space and time. Forces are chosen to lie along a desired surface and to have a magnitude and direction opposing the local flow such that the flow is brought to rest on an element of the surface. For unsteady viscous flow the direct calculation of the needed force is facilitated by a feedback scheme in which the velocity is used to iteratively determine the desired value. In particular, we determine the surface body force from the relation f(x5, t ) = α ∫t0 U(x5, t′ ) dt′ + βU(x5, t) for surface points x5, velocity U, time t, and negative constants α and β. Examples are presented which include 2D flow around cylinders, 3D turbulent channel flow where one boundary is simulated with a force field …",1505
Direct numerical simulation of the turbulent channel flow of a polymer solution,"R Sureshkumar, Antony N Beris, Robert A Handler",1997/3,Journal Physics of Fluids,"In this work, we present from first principles a direct numerical simulation (DNS) of a fully turbulent channel flow of a dilute polymer solution. The polymer chains are modeled as finitely extensible and elastic dumbbells. The simulation algorithm is based on a semi-implicit, time-splitting technique which uses spectral approximations in the spatial coordinates. The computations are carried out on a CRAY T3D parallel computer. The simulations are carried out under fully turbulent conditions albeit, due to computational constraints, not at as high Reynolds number as that usually encountered in polymer-induced drag reduction experiments. In order to compensate for the lower Reynolds number, we simulate more elastic fluids than the ones encountered in drag reduction experiments resulting in Weissenberg numbers (a dimensionless number characterizing the flow elasticity) of similar magnitude. The simulations show …",492
Effect of temperature on the surface tension of soluble and insoluble surfactants of hydrodynamical importance,"Supathorn Phongikaroon, Ryan Hoffmaster, K Peter Judd, Geoffrey B Smith, Robert A Handler",2005/9/8,Journal Journal of Chemical & Engineering Data,"The effect of temperature on the surface tension of soluble and insoluble surfactants was investigated at an air−water interface. Equilibrium surface tension measurements were performed using the Wilhelmy plate technique in which both temperature and concentration were varied systematically. Insoluble surfactants (oleyl alcohol and hemicyanine) and soluble surfactants (Triton X-100 and sodium dodecyl sulfate (SDS)) were used since they are commonly used in hydrodynamic experiments in which the effects of surfactants on free surface dynamics are studied. The principal result of this investigation is that the surface tension of the above-mentioned surfactants decreases linearly with temperature, independent of concentration, with the exception of oleyl alcohol whose surface tension becomes relatively independent of temperature above 23 °C. The adequacy of standard models for surfactant behavior in …",344
Direct numerical simulation of turbulent flow over a modeled riblet covered surface,"D Goldstein, R Handler, L Sirovich",1995/11,Journal Journal of Fluid Mechanics,"An immersed boundary technique is used to model a riblet covered surface on one wall of a channel bounding fully developed turbulent flow. The conjecture that the beneficial drag reduction effect of riblets is a result of the damping of cross-flow velocity fluctuations is then examined. This possibility has been discussed by others but is unverified. The damping effect is explicitly modelled by applying a cross-flow damping force field in elongated streamwise zones with a height and spacing corresponding to the riblet crests. The same trends are observed in the turbulence profiles above both riblet and damped surfaces, thus supporting cross-flow damping as a beneficial mechanism. It is found in the examples presented that the effect of the riblets on the mean flow field quantities (mean velocity profile, velocity fluctuations, Reynolds shear stress, and low–speed sreak spacing) is small. The riblests cause a relatively …",307
Vortex dynamics and the production of Reynolds stress,"Peter S Bernard, James M Thomas, Robert A Handler",1993/8,Journal Journal of Fluid Mechanics,"The physical mechanisms by which the Reynolds shear stress is produced from dynamically evolving vortical structures in the wall region of a direct numerical simulation of turbulent channel flow are explored. The complete set of quasistreamwise vortices are systematically located and tracked through the flow by the locus of the points of intersection of their centres of rotation with the (y, z) numerical grid planes. This approach assures positive identification of vortices of widely differing strengths, including those whose amplitude changes significantly in time. The process of vortex regeneration, and the means by which vortices grow, distort and interact over time are noted. Ensembles of particle paths arriving on fixed planes in the flow are used to represent the physical processes of displacement and acceleration transport (Bernard & Handler 1990a) from which the Reynolds stress is produced. By interweaving the …",235
Length scales and the energy balance for turbulence near a free surface,"RA Handler, TF Swean Jr, RI Leighton, JD Swearingen",1993/11,Journal AIAA journal,"The structure of turbulence near a free surface is examined by using results obtained from a direct simulation of flow between a no-slip wall and a shear free boundary, which serves as a model of a waveless free surface. An energy balance analysis shows that the pressure-strain term is the dominant producing term for the spanwise component of the turbulent kinetic energy. In addition, the dissipation rates for the horizontal components of the turbulence are reduced near the free surface, whereas the dissipation rate for the vertical component remains approximately constant. Two-point correlations, energy spectra, and length scales reveal important free surface induced effects. The length scales near the free surface are compared with the scales near the centerline of normal turbulent channel flow. This comparison reveals an increase by a factor of three in the streamwise length scales associated with the spanwise …",175
Empirical orthogonal function analysis of ocean surface currents using complex and real-vector methods,"James M Kaihatu, Robert A Handler, George O Marmorino, Lynn K Shay",1998/8/1,Journal Journal of atmospheric and oceanic technology,"Empirical orthogonal function (EOF) analysis has been widely used in meteorology and oceanography to extract dominant modes of behavior in scalar and vector datasets. For analysis of two-dimensional vector fields, such as surface winds or currents, use of the complex EOF method has become widespread. In the present paper, this method is compared with a real-vector EOF method that apparently has previously been unused for current or wind fields in oceanography or meteorology. It is shown that these two methods differ primarily with respect to the concept of optimal representation. Further, the real-vector analysis can easily be extended to three-dimensional vector fields, whereas the complex method cannot. To illustrate the differences between approaches, both methods are applied to Ocean Surface Current Radar data collected off Cape Hatteras, North Carolina, in June and July 1993. For this dataset …",161
"Budgets of Reynolds stress, kinetic energy and streamwise enstrophy in viscoelastic turbulent channel flow","Costas D Dimitropoulos, R Sureshkumar, Antony N Beris, Robert A Handler",2001/4,Journal Physics of Fluids,"The budgets of the Reynolds stress, turbulent kinetic energy and streamwise enstrophy are evaluated through direct numerical simulations for the turbulent channel flow of a viscoelastic polymer solution modeled with the Finitely Extensible Nonlinear Elastic with the Peterlin approximation (FENE-P) constitutive equation. The influence of viscoelasticity on the budgets is examined through a comparison of the Newtonian and the viscoelastic budgets obtained for the same constant pressure drop across the channel. It is observed that as the extensional viscosity of the polymer solution increases there is a consistent decrease in the production of Reynolds stress in all components, as well as in the other terms in the budgets. In particular, the effect of the flow elasticity, which is associated with the reduction in the intensity of the velocity-pressure gradient correlations, potentially leads to a redistribution of the turbulent …",153
Transport of a passive scalar at a shear-free boundary in fully developed turbulent open channel flow,"RA Handler, JR Saylor, RI Leighton, AL Rovelstad",1999/9,Journal Physics of Fluids,"Direct numerical simulations of fully developed turbulence in an open channel geometry were performed in which a passive scalar was introduced. The simulations were intended to explore transport at free surfaces in two cases for which (1) the free surface was maintained at constant temperature and (2) the interfacial flux was fixed. These cases can be considered models for mass and evaporative heat transport where buoyancy and surface deformation effects are negligible. Significant differences were found in the thermal fields in these two cases. The turbulent statistics reveal that the surface flux in the constant temperature case was significantly more intermittent compared to the surface temperature field in the constant flux case. The surface temperature field in the latter case formed large patches of warm fluid, reminiscent of the so-called fish scale patterns revealed in recent infrared imagery of the air–water …",122
The Karhunen–Loeve decomposition of minimal channel flow,"George Andrew Webber, RA Handler, L Sirovich",1997/4,Journal Physics of Fluids,"Minimal channel flow is analyzed by means of the Karhunen–Loéve (KL) decomposition. It is shown that the most energetic modes are streamwise rollers followed by outward tilted quasi-streamwise vortices. Both of these mode types have a strong similarity to structures seen in physical experiments. Temporal plots of roll energy, propagating energy, bulk velocity, and representational entropy have been obtained. Study of the evolution of these variables shows a consistent pattern of growth and decay in which entropy plays a key role in describing the events in the turbulent process. The roll and propagating modes are also shown to make independent contributions to the Reynolds stress with the roll modes dominating the profile near the walls and the propagating modes having larger values towards the channel center. A comparison of the KL dimension of this flow and a full channel flow shows that the dimension …",95
