titles,authors,date,source,descriptions,citations
Detecting Internet Abuse by Analyzing Passive DNS Traffic: A Survey of Implemented Systems,"Sadegh Torabi, Amine Boukhtouta, Chadi Assi, Mourad Debbabi",2018,Journal IEEE Communications Surveys and Tutorials,"Despite the ubiquitous role of domain name system (DNS) in sustaining the operations of various Internet services (domain name to IP address resolution, e-mail, Web), DNS was abused/misused to perform large-scale attacks that affected millions of Internet users. To detect and prevent threats associated to DNS, researchers introduced passive DNS replication and analysis as an effective alternative approach for analyzing live DNS traffic. In this paper, we survey state of the art systems that utilized passive DNS traffic for the purpose of detecting malicious behaviors on the Internet. We highlight the main strengths and weaknesses of the implemented systems through an in-depth analysis of the detection approach, collected data, and detection outcomes. We highlight an incremental implementation pattern in the studied systems with similarities in terms of the used datasets and detection approach. Furthermore, we …",55
"Inferring, Characterizing, and Investigating Internet-scale Malicious IoT Device Activities: A Network Telescope Perspective","Sadegh Torabi, Elias Bou-Harb, Chadi Assi, Mario Galluscio, Amine Boukhtouta, Mourad Debbabi",2018,Conference 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),"Recent attacks have highlighted the insecurity of the Internet of Things (IoT) paradigm by demonstrating the impacts of leveraging Internet-scale compromised IoT devices. In this paper, we address the lack of IoT-specific empirical data by drawing upon more than 5TB of passive measurements. We devise data-driven methodologies to infer compromised IoT devices and those targeted by denial of service attacks. We perform large-scale characterization analysis of their traffic, as well as explore a public threat repository and an in-house malware database, to underlie their malicious activities. The results expose a significant 26 thousand compromised IoT devices ""in the wild,"" with 40% being active in critical infrastructure. More importantly, we uncover new, previously unreported malware variants that specifically target IoT devices. Our empirical results render a first attempt to highlight the large-scale insecurity of the …",39
A Multi-Dimensional Deep Learning Framework for IoT Malware Classification and Family Attribution,"Mirabelle Dib, Sadegh Torabi, Elias Bou-Harb, Chadi Assi",2021/6,Journal IEEE Transactions on Network and Service Management (DOI: 10.1109/TNSM.2021.3075315),"The emergence of Internet of Things malware, which leverages exploited IoT devices to perform large-scale cyber attacks (e.g., Mirai botnet), is considered as a major threat to the Internet ecosystem. To mitigate such threat, there is an utmost need for effective IoT malware classification and family attribution, which provide essential steps towards initiating attack mitigation/prevention countermeasures. In this paper, motivated by the lack of sophisticated malware obfuscation in the implementation of IoT malware, we utilize features extracted from strings- and image-based representations of the executable binaries to propose a novel multi-dimensional classification approach using Deep Learning (DL) architectures. To this end, we analyze more than 70,000 recently detected IoT malware samples. Our in-depth experiments with four prominent IoT malware families highlight the significant accuracy of the approach (99 …",30
Inferring and Investigating IoT-Generated Scanning Campaigns Targeting A Large Network Telescope,"Sadegh Torabi, Elias Bou-Harb, Chadi Assi, Elmouatez Billah Karbab, Amine Boukhtouta, Mourad Debbabi",2020/3,Journal IEEE Transactions on Dependable and Secure Computing (DOI: 10.1109/TDSC.2020.2979183),"The analysis of recent large-scale cyber attacks, which leveraged insecure Internet of Things (IoT) devices to perform malicious activities on the Internet, highlighted the rise of IoT-tailored malware/botnets. These malware propagate by scanning the Internet for vulnerable, exploitable IoT devices that could be utilized for further malicious activities. In this article, we devise a multi-level methodology to investigate Internet-scale reconnaissance activities generated by infected IoT devices. We leverage the Shodan IoT search engine and over 6TB of passive network traffic from a large network telescope (darknet) to infer compromised IoT devices and characterize the generated scanning campaigns. The results highlight a distinctive characteristic of IoT malware/botnets, represented by the targeted ports/services over the analysis interval. Furthermore, while these ports/services are mainly associated with well-known IoT …",25
Privacy Aspects of Health Related Information Sharing in Online Social Networks.,"Sadegh Torabi, Konstantin Beznosov",2013/8/12,Conference USENIX Workshop on Health Information Technologies (HealthTech '13),"Online social networks (OSNs) have formed virtual social networks where people meet and share information. Among all shared information, health related information (HRI) has received considerable attention from researchers and individual users. While considered beneficial, sharing HRI, which is personal in nature, comes with its privacy drawback. Privacy is a process of boundary regulation that is related to the individual and her perception of the surrounding environment. As a result, the subjective privacy risk perceptions associated with sharing HRI in OSN have driven people to adopt different types of behaviour, both in terms of HRI sharing and privacy risk mitigation.",22
Power Jacking Your Station: In-Depth Security Analysis of Electric Vehicle Charging Station Management Systems,"Tony Nasr, Sadegh Torabi, Elias Bou-Harb, Claude Fachkha, Chadi Assi",2021/11/3,Journal Computers & Security,"The demand for Electric Vehicles (EVs) has been exponentially increasing, and to achieve sustainable growth, the industry dictated rapid development of the supporting infrastructure. This requires building a reliable EV charging ecosystem that serves customer demands while ensuring the security of the Internet-enabled systems and the connected critical infrastructure against possible cyber attacks. To this end, we devise a system lookup and collection approach to obtain a representative sample of widely deployed EV Charging Station Management Systems (EVCSMS). Furthermore, we leverage reverse engineering and penetration testing techniques to perform a first-of-a-kind comprehensive security and vulnerability analysis of the identified EVCSMS and their software/firmware implementations. Indeed, our systematic analysis unveils an array of vulnerabilities, which demonstrate the insecurity of the EVCSMS …",16
A Strings-Based Similarity Analysis Approach for Characterizing IoT Malware and Inferring Their Underlying Relationships,"Sadegh Torabi, Mirabelle Dib, Elias Bou-Harb, Chadi Assi, Mourad Debbabi",2021/9,Journal IEEE Networking Letters,"Mitigating threats associated with the rise of Internet-of-Things (IoT) malware requires creating a better understanding about the characteristics and inter-relations of IoT malware. In this letter, we perform a large-scale characterization of IoT malware. The analysis of 70,000 recently detected malware executables indicate that they belong to a few known families. Additionally, we highlight the lack of sophisticated IoT malware binary obfuscation. Thus, enabling reverse-engineering and static malware analysis, while performing a multi-level strings-based analysis to uncover groups of correlated IoT malware with common characteristics/features (e.g., adversarial IP addresses and malware-specific strings). Moreover, while our findings indicate malicious implementation reuse, we illustrate the rapid IoT malware evolution by identifying covid-related malware samples. Finally, this work provides a basis for developing AI …",16
Social Network Analysis of Kuwait Publicly-Held Corporations,"Khaled Mahdi, Ahmed Almajid, Maytham Safar, Hernan Riquelme, Sadegh Torabi",2012/12/31,Journal Procedia Computer Science,"Interlocking directorates is a major element in corporate governance system. Interlock occurs when a director of one company sits on the board of directors of other companies. This phenomenon has given rise to number of concerns in the economy. The relationships of some companies’ attributes and corporate interlocks in Kuwait Stock Exchange among publically listed companies are investigated and uncovered for the first time. We explored the characteristics of the whole corporate network created by the directorship interlocks, and investigated the relationships of firms’ characteristics and interlocking directorates, i.e. member and company interlocks. The findings of work will spur some focus on one of the main elements of corporate governance, i.e. outside directors’ links, and contribute to the establishment of corporate governance codes and regulations in the context of Kuwait economy. Social network …",15
Network robustness and irreversibility of information diffusion in complex networks,"Maytham Safar, Khaled Mahdi, Sadeq Torabi",2011/8/31,Journal Journal of Computational Science,"Complex networks are characterized based on a newly proposed parameter, “degree of diffusion α”. It defines the ratio of information adopters to non-adopters within a diffusion process over consecutive penetration depths. Furthermore, the perfectness of a social network is evaluated by exploring different variations of α such as the reverse diffusion (αreverse) and the random-kill-diffusion (RKD) processes. The analysis of αreverse and RKD processes shows information diffusion irreversibility in small-world and scale-free but not in random networks. It also shows that random networks are more stable toward attacks, resulting a complete information diffusion process over the entire network. Finally, a real Complex network example, represented as a “virtual friendship network” was analyzed and found to share properties of both random and small-world networks. Therefore, it is characterized to be somewhere …",14
A model of diffusion parameter characterizing social networks,"Khaled Mahdi, Maytham Safar, Sadegh Torabi",2009,Journal IADIS international conference e-society,"We introduce a new diffusion property to characterize different models of social networks; the “Degree of Diffusion α”. The degree of diffusion α introduced in this work is a totally new parameter. It relates the ratio of adopters over the non-adopters to the penetration depth in a diffusion process over a social network. It predicts the future possible adopters within any diffusion process. Each social network model is found to have a different diffusion characteristic value: Random α= 148, Small-World α= 4.56 and Scale-Free α= 1.50. A case study of a Real Social Network (Virtual Friendship Network) is found to have a value of α= 29.58 which characterizes the network to be between Random and a Small-World network models.",13
