titles,authors,date,source,descriptions,citations
"Mechanical characterization of structurally porous biomaterials built via additive manufacturing: experiments, predictive models, and design maps for load-bearing bone …","D Melancon, ZS Bagheri, RB Johnston, L Liu, M Tanzer, D Pasini",2017/11/1,Journal Acta biomaterialia,"Porous biomaterials can be additively manufactured with micro-architecture tailored to satisfy the stringent mechano-biological requirements imposed by bone replacement implants. In a previous investigation, we introduced structurally porous biomaterials, featuring strength five times stronger than commercially available porous materials, and confirmed their bone ingrowth capability in an in vivo canine model. While encouraging, the manufactured biomaterials showed geometric mismatches between their internal porous architecture and that of its as-designed counterpart, as well as discrepancies between predicted and tested mechanical properties, issues not fully elucidated. In this work, we propose a systematic approach integrating computed tomography, mechanical testing, and statistical analysis of geometric imperfections to generate statistical based numerical models of high-strength additively …",179
Compensation strategy to reduce geometry and mechanics mismatches in porous biomaterials built with Selective Laser Melting,"Zahra S Bagheri, David Melancon, Lu Liu, R Burnett Johnston, Damiano Pasini",2017/6/1,Journal Journal of the mechanical behavior of biomedical materials,"The accuracy of Additive Manufacturing processes in fabricating porous biomaterials is currently limited by their capacity to render pore morphology that precisely matches its design. In a porous biomaterial, a geometric mismatch can result in pore occlusion and strut thinning, drawbacks that can inherently compromise bone ingrowth and severely impact mechanical performance. This paper focuses on Selective Laser Melting of porous microarchitecture and proposes a compensation scheme that reduces the morphology mismatch between as-designed and as-manufactured geometry, in particular that of the pore. A spider web analog is introduced, built out of Ti–6Al–4V powder via SLM, and morphologically characterized. Results from error analysis of strut thickness are used to generate thickness compensation relations expressed as a function of the angle each strut formed with the build plane. The scheme is …",139
Biomechanical properties of an advanced new carbon/flax/epoxy composite material for bone plate applications,"Zahra S Bagheri, Ihab El Sawi, Emil H Schemitsch, Rad Zdero, Habiba Bougherara",2013/4/1,Journal Journal of the mechanical behavior of biomedical materials,"This work is part of an ongoing program to develop a new carbon fiber/flax/epoxy (CF/flax/epoxy) hybrid composite material for use as an orthopaedic long bone fracture plate, instead of a metal plate. The purpose of this study was to evaluate the mechanical properties of this new novel composite material. The composite material had a “sandwich structure”, in which two thin sheets of CF/epoxy were attached to each outer surface of the flax/epoxy core, which resulted in a unique structure compared to other composite plates for bone plate applications. Mechanical properties were determined using tension, three-point bending, and Rockwell hardness tests. Also, scanning electron microscopy (SEM) was used to characterize the failure mechanism of specimens in tension and three-point bending tests. The results of mechanical tests revealed a considerably high ultimate strength in both tension (399.8 MPa) and …",86
Biomechanical analysis of a new carbon fiber/flax/epoxy bone fracture plate shows less stress shielding compared to a standard clinical metal plate,"Zahra S Bagheri, Pouria Tavakkoli Avval, Habiba Bougherara, Mina SR Aziz, Emil H Schemitsch, Radovan Zdero",2014/9/1,Journal Journal of biomechanical engineering,"Femur fracture at the tip of a total hip replacement (THR), commonly known as Vancouver B1 fracture, is mainly treated using rigid metallic bone plates which may result in “stress shielding” leading to bone resorption and implant loosening. To minimize stress shielding, a new carbon fiber (CF)/Flax/Epoxy composite plate has been developed and biomechanically compared to a standard clinical metal plate. For fatigue tests, experiments were done using six artificial femurs cyclically loaded through the femoral head in axial compression for four stages: Stage 1 (intact), stage 2 (after THR insertion), stage 3 (after plate fixation of a simulated Vancouver B1 femoral midshaft fracture gap), and stage 4 (after fracture gap healing). For fracture fixation, one group was fitted with the new CF/Flax/Epoxy plate (n = 3), whereas another group was repaired with a standard clinical metal plate (Zimmer, Warsaw, IN) (n = 3). In …",67
Biomechanical fatigue analysis of an advanced new carbon fiber/flax/epoxy plate for bone fracture repair using conventional fatigue tests and thermography,"Zahra S Bagheri, Ihab El Sawi, Habiba Bougherara, Radovan Zdero",2014/7/1,Journal Journal of the mechanical behavior of biomedical materials,"The current study is part of an ongoing research program to develop an advanced new carbon fiber/flax/epoxy (CF/flax/epoxy) hybrid composite with a “sandwich structure” as a substitute for metallic materials for orthopedic long bone fracture plate applications. The purpose of this study was to assess the fatigue properties of this composite, since cyclic loading is one of the main types of loads carried by a femur fracture plate during normal daily activities. Conventional fatigue testing, thermographic analysis, and scanning electron microscopy (SEM) were used to analyze the damage progress that occurred during fatigue loading. Fatigue strength obtained using thermography analysis (51% of ultimate tensile strength) was confirmed using the conventional fatigue test (50–55% of ultimate tensile strength). The dynamic modulus (E⁎) was found to stay almost constant at 47 GPa versus the number of cycles, which can …",63
Fabrication and characterization of novel biomimetic PLLA/cellulose/hydroxyapatite nanocomposite for bone repair applications,"Samin Eftekhari, Ihab El Sawi, Zahra Shaghayegh Bagheri, Ginette Turcotte, Habiba Bougherara",2014/6/1,Journal Materials Science and Engineering: C,"The purpose of this research is to develop and characterize a novel biomimetic nanocomposite that closely mimics the properties of real bone such as morphology, composition and mechanical characteristics. This novel porous nanocomposite is composed of cotton-sourced cellulose microcrystals, hydroxyapatite nanoparticles and poly l-lactide acid. A unique combination of commonly used fabrication procedures has been developed including pre-treatment of particles using a coupling agent. The effect of various weight ratios of the reinforcing agents was evaluated to assess their influence on the chemical, thermal, and mechanical properties of the nanocomposites. The prepared nanocomposites were characterized using Fourier transform infrared spectroscopy, scanning electron microscopy, differential scanning calorimetry and compression testing. Our results indicated the presence of molecular interactions …",56
Osteogenesis and cytotoxicity of a new Carbon Fiber/Flax/Epoxy composite material for bone fracture plate applications,"Zahra S Bagheri, Erica Giles, Ihab El Sawi, Asma Amleh, Emil H Schemitsch, Radovan Zdero, Habiba Bougherara",2015/1/1,Journal Materials Science and Engineering: C,"This study is part of an ongoing program to develop a new CF/Flax/Epoxy bone fracture plate to be used in orthopedic trauma applications. The purpose was to determine this new plate's in-vitro effects on the level of bone formation genes, as well as cell viability in comparison with a medical grade metal (i.e. stainless steel) commonly employed for fabrication of bone plates (positive control). Cytotoxicity and osteogenesis induced by wear debris of the material were assessed using Methyl Tetrazolium (MTT) assay and reverse transcription polymerase chain reaction (RT-PCR) for 3 osteogenesis specific gene markers, including bone morphogenetic proteins (BMP2), runt-related transcription factor 2 (Runx2) and Osterix. Moreover, the Flax/Epoxy and CF/Epoxy composites were examined separately for their wettability properties by water absorption and contact angle (CA) tests using the sessile drop technique. The …",41
Evolution of the coefficient of friction with surface wear for advanced surface textured composites,"Ali Anwer, Zahra S Bagheri, Geoff Fernie, Tilak Dutta, Hani E Naguib",2017/3,Journal Advanced Materials Interfaces,"In this study, textured composite surface with protruding fibers is developed, which exhibits extremely high coefficient of friction on ice. A novel composite material with improved wear resistibility is aimed to determine with the target to maintain its slip‐resistance properties over extended use. Particularly, two thermoplastic elastomers are compared, namely, thermoplastic polyurethanes (TPU) and Styrene–Butadiene–Styrene (SBS), reinforced with five types of fibers with varying stiffnesses and ductility, including alumina, basalt, glass, carbon, and poly(p‐phenylene‐2,6‐benzobisoxazole)) (PBO). The surface science of the composite is analyzed by using Fourier tranorm infrared spectroscopy to assess the intensity of existing interfacial bonding at fiber/matrix interface and scanning electron microscopy imaging for visual characterization. The results show that TPU composites have significantly higher abrasion …",30
Biomechanical analysis using FEA and experiments of metal plate and bone strut repair of a femur midshaft segmental defect,"Jason Coquim, Joseph Clemenzi, Mohsen Salahi, Abdurahman Sherif, Pouria Tavakkoli Avval, Suraj Shah, Emil H Schemitsch, Z Shaghayegh Bagheri, Habiba Bougherara, Radovan Zdero",2018/10/18,Journal BioMed research international,"This investigation assessed the biomechanical performance of the metal plate and bone strut technique for fixing recalcitrant nonunions of femur midshaft segmental defects, which has not been systematically done before. A finite element (FE) model was developed and then validated by experiments with the femur in 15 deg of adduction at a subclinical hip force of 1 kN. Then, FE analysis was done with the femur in 15 deg of adduction at a hip force of 3 kN representing about 4 x body weight for a 75 kg person to examine clinically relevant cases, such as an intact femur plus 8 different combinations of a lateral metal plate of fixed length, a medial bone strut of varying length, and varying numbers and locations of screws to secure the plate and strut around a midshaft defect. Using the traditional “high stiffness” femur-implant construct criterion, the repair technique using both a lateral plate and a medial strut fixed with the maximum possible number of screws would be the most desirable since it had the highest stiffness (1948 N/mm); moreover, this produced a peak femur cortical Von Mises stress (92 MPa) which was below the ultimate tensile strength of cortical bone. Conversely, using the more modern “low stiffness” femur-implant construct criterion, the repair technique using only a lateral plate but no medial strut provided the lowest stiffness (606 N/mm), which could potentially permit more in-line interfragmentary motion (i.e., perpendicular to the fracture gap, but in the direction of the femur shaft long axis) to enhance callus formation for secondary-type fracture healing; however, this also generated a peak femur cortical Von Mises stress (171 MPa …",28
Slip resistance and wearability of safety footwear used on icy surfaces for outdoor municipal workers,"Z Shaghayegh Bagheri, Nidhi Patel, Yue Li, Kayla Morrone, Geoff Fernie, Tilak Dutta",2019/1/1,Journal Work,"BACKGROUND: Outdoor workers experience high injury rates in the winter due to slipping on ice and snow. Our testing program has demonstrated that most safety footwear does not provide adequate slip-resistance and/or comfort in icy conditions. OBJECTIVE: Our objective was to determine which of the most commonly worn safety footwear available to outdoor municipal workers in Toronto, Ontario, Canada would best prevent slips on icy surfaces and which models had good wearability. METHODS: We selected 45 of the most popular types of winter footwear worn by these workers and applied our Maximum Achievable Angle (MAA) test method to rate the slip-resistance of the footwear. A ten-point rating scale was used for recording participants’ perceptions of wearability. The MAA test measured the steepest ice-covered incline that participants can walk up and down without experiencing a slip.",13
