titles,authors,date,source,descriptions,citations
The traffic and behavioral effects of the I-35W Mississippi River bridge collapse,"Shanjiang Zhu, David Levinson, Henry X Liu, Kathleen Harder",2010/12/1,Journal Transportation research part A: policy and practice,"On August 1, 2007, the collapse of the I-35W bridge over the Mississippi River in Minneapolis abruptly interrupted the usual route of about 140,000 daily vehicle trips, which substantially disturbed regular traffic flow patterns on the network. It took several weeks for the network to re-equilibrate, during which period travelers continued to learn and adjust their travel decisions. A good understanding of this process is crucial for traffic management and the design of mitigation schemes. Data from loop-detectors, bus ridership statistics, and a survey are analyzed and compared, revealing the evolving traffic reactions to the bridge collapse and how individual choices could help to explain such dynamics. Findings on short-term traffic dynamics and behavioral reactions to this major network disruption have important implications for traffic management in response to future scenarios.",230
Do people use the shortest path? An empirical test of Wardrop’s first principle,"Shanjiang Zhu, David Levinson",2015/8/12,Journal PloS one,"Most recent route choice models, following either the random utility maximization or rule-based paradigm, require explicit enumeration of feasible routes. The quality of model estimation and prediction is sensitive to the appropriateness of the consideration set. However, few empirical studies of revealed route characteristics have been reported in the literature. This study evaluates the widely applied shortest path assumption by evaluating routes followed by residents of the Minneapolis—St. Paul metropolitan area. Accurate Global Positioning System (GPS) and Geographic Information System (GIS) data were employed to reveal routes people used over an eight to thirteen week period. Most people did not choose the shortest path. Using three weeks of that data, we find that current route choice set generation algorithms do not reveal the majority of paths that individuals took. Findings from this study may guide future efforts in building better route choice models.",228
Disruptions to transportation networks: a review,"Shanjiang Zhu, David M Levinson",2011/8/30,Source Network Reliability in Practice: Selected Papers from the Fourth International Symposium on Transportation Network Reliability,"Travel decisions may be very stable in a familiar environment. Major network disruptions such as the I-35W bridge collapse disrupt habitual behavior. Such “natural” experiments provide unique opportunities for behavioral studies, but the time window for such studies is limited. A well-developed methodology is crucial for both data collection and analysis, and thus the soundness of behavioral models, especially in such a limited time window. Therefore, this paper reviews both theoretical and empirical studies on traffic and behavioral impacts of network disruptions. Findings from this paper offer prospective ideas about capturing the impacts of network disruption.",97
"Analysis of Washington, DC taxi demand using GPS and land-use data","Zhuo Yang, Mark L Franz, Shanjiang Zhu, Jina Mahmoudi, Arefeh Nasri, Lei Zhang",2018/1/1,Journal Journal of Transport Geography,"Taxis remain a key asset for urban mobility despite the tremendous growth of modern mobility-on-demand service providers such as Uber and Lyft. A fundamental understanding of the factors that impact the taxi demand is essential for planning an effective multi-modal transportation system, and can also shed lights on new on-demand services. This study addressed a gap in literature by investigating the correlation between demand for taxi, land use patterns, and accessibility to other modes using detailed GPS and GIS information collected from the Washington D.C. metropolitan area. The results of the models showed a strong link between demand for taxi, land use patterns, and accessibility to other modes. Mixed land use did not show a strong correlation with taxi demand. The study also found that the taxi mode is likely to complement metro trips, but compete with bus trips, although both of these modes of travel …",91
"Agent-based model of price competition, capacity choice, and product differentiation on congested networks","Lei Zhang, David M Levinson, Shanjiang Zhu",2008/9/1,Journal Journal of Transport Economics and Policy (JTEP),"Using consistent agent-based techniques, this research explores the welfare consequences of product differentiation on congested networks. The economic analysis focuses on the source, evolution, measurement, and impact of product differentiation with heterogeneous users on a mixed ownership network. Path differentiation and space differentiation are defined and measured for a base scenario and several variants. The findings favour a fixed-rate road pricing policy compared to complete pricing freedom on toll roads. It is also shown that the impact of production differentiation on welfare is not always positive and depends on the level of user heterogeneity.",76
Potentials of using social media to infer the longitudinal travel behavior: A sequential model-based clustering method,"Zhenhua Zhang, Qing He, Shanjiang Zhu",2017/12/1,Journal Transportation Research Part C: Emerging Technologies,"This study explores the possibility of employing social media data to infer the longitudinal travel behavior. The geo-tagged social media data show some unique features including location-aggregated features, distance-separated features, and Gaussian distributed features. Compared to conventional household travel survey, social media data is less expensive, easier to obtain and the most importantly can monitor the individual’s longitudinal travel behavior features over a much longer observation period. This paper proposes a sequential model-based clustering method to group the high-resolution Twitter locations and extract the Twitter displacements. Further, this study details the unique features of displacements extracted from Twitter including the demographics of Twitter user, as well as the advantages and limitations. The results are even compared with those from traditional household travel survey, showing …",66
A portfolio theory of route choice,"David Levinson, Shanjiang Zhu",2013/10/1,Journal Transportation Research Part C: Emerging Technologies,"Although many individual route choice models have been proposed to incorporate travel time variability as a decision factor, they are typically still deterministic in the sense that the optimal strategy requires choosing one particular route that maximizes utility. In contrast, this study introduces an individual route choice model where choosing a portfolio of routes instead of a single route is the best strategy for a rational traveler who cares about both journey time and lateness when facing stochastic network conditions. The proposed model is compared with UE and SUE models and the difference in both behavioral foundation and model characteristics is highlighted. A numerical example is introduced to demonstrate how such model can be used in traffic assignment problem. The model is then tested with GPS data collected in metropolitan Minneapolis–St. Paul, Minnesota. Our data suggest there is no single dominant …",50
Indifference bands for boundedly rational route switching,"Xuan Di, Henry X Liu, Shanjiang Zhu, David M Levinson",2017/9,Journal Transportation,"The replacement I-35W bridge in Minneapolis saw less traffic than the original bridge though it provided substantial travel time saving for many travelers. This observation cannot be explained by the classical route choice assumption that travelers always take the shortest path. Accordingly, a boundedly rational route switching model is proposed assuming that travelers will not switch to the new bridge unless travel time saving goes beyond a threshold or “indifference band”. Indifference bands are assumed to follow lognormal distribution and are estimated in two specifications: the first one assumes every driver’s indifference band is drawn from a population indifference band and the second one assumes that the mean of drivers’ indifference bands is a function of their own characteristics. Route choices of 78 subjects from a GPS travel behavior study were analyzed before and after the addition of the new I …",47
Integrating an agent-based travel behavior model with large-scale microscopic traffic simulation for corridor-level and subarea transportation operations and planning applications,"Lei Zhang, Gang-Len Chang, Shanjiang Zhu, Chenfeng Xiong, Longyuan Du, Mostafa Mollanejad, Nathan Hopper, Subrat Mahapatra",2013/6/1,Journal Journal of Urban Planning and Development,"Application of microscopic traffic simulation beyond the corridor level analysis is not widely seen in literature. This is partly because of the fact that a simulation model cannot capture behavior responses such as peak spreading. This study develops a framework that integrates agent-based travel behavior models with large-scale traffic simulation to capture the regional impacts of new development. The proposed model is then applied to the I-270/I-495/I-95 corridor in the north Washington, DC metropolitan area in a case study. Findings from this study reveal the potential of the proposed model to capture network dynamics and behavioral reactions. This framework also provides a valuable tool for the evaluation of new transportation infrastructure, such as the intercounty connector (ICC) corridor currently under construction, and its operation strategies.",45
Impact of pricing and transit disruptions on bikeshare ridership and revenue,"Shruthi Kaviti, Mohan M Venigalla, Shanjiang Zhu, Kimberly Lucas, Stefanie Brodie",2020/4,Journal Transportation,"Bikeshare operators routinely explore options to improve ridership and revenue by studying interaction among pricing, service and operations. The objective of this research is to study the impact of introducing a new $2 fare for single-trip on revenue and ridership at Capital Bikeshare (CaBi) in the metro Washington DC region. The single-trip fare (STF) at CaBi is one of the three fare products aimed at casual users—the other two being 24-h pass and 3-day pass. STF was introduced inconjuction with SafeTrack, which is a major Metrorail track maintenance program intiated by the Washington Metropolitan Area Transit Authority. The impact analysis of STF includes studying the influence of SafeTrack on CaBi ridership. The analysis was based on revenue and ridership data before and after the implementation of STF and weather data for the region. The results showed that the first-time casual members increased by …",42
The roads taken: Theory and evidence on route choice in the wake of the I-35W Mississippi River bridge collapse and reconstruction,Shanjiang Zhu,2010,Institution University of Minnesota,"Route choice analysis investigates the path travelers follow to implement their travel plan. It is the most frequent, and thus arguably the most important decision travelers make on a daily basis. Long established efforts have been dedicated to a normative model of the route choice decision, while investigations of route choice from a descriptive perspective have been limited. Wardrop's first principle, or the shortest path assumption, is still widely used in route choice models. Most recent route choice models, following either the random utility maximization or rule-based paradigm, require explicit enumeration of feasible routes. The quality of model estimation and prediction is sensitive to the appropriateness of the consideration set. However, few empirical studies of revealed route characteristics have been reported in the literature. Moreover, factors beyond travel time, such as preferences for travel time reliability, inertia …",41
The co-evolution of land use and road networks,"David Matthew Levinson, Feng Xie, Shanjiang Zhu",2007/7/1,Journal Transportation and traffic theory,"Transportation and land use are interdependent shapers of urban form. First, changes in land use alter travel demand patterns, which determine traffic flows on transportation infrastructure. Second, changed traffic flows drive the improvement of transportation facilities. Third, new transportation facilities change the accessibility pattern, which drives the re-location of activities and land uses. During this process, both transportation and land use are evolving constantly, leading to salient spatial transformations such as agglomeration and centralization over space and transportation networks. For example, as cities evolved in the first half of the 20th century, we saw a concentration of activities and development at the centers of cities. As freeways were constructed from the 1960s, roads also became more differentiated with regard to their functional designs and running speeds (certainly in the pre-auto era most unpaved streets were equally slow, with paved streets and highways and then freeways, some roads got much faster). Urban agglomeration and differentiated highway networks are referred to as hierarchical systems in this study.",38
"Rationing and pricing strategies for congestion mitigation: behavioral theory, econometric model, and application in Beijing","Shanjiang Zhu, Longyuan Du, Lei Zhang",2013/6/7,Journal Procedia-Social and Behavioral Sciences,"Some travel demand management policies such as road pricing have been widely studied in literature. Rationing poli- cies, including vehicle ownership quota and vehicle usage restrictions, have been implemented in several megaregions to address congestion and other negative transportation externalities, but not well explored in literature. Other strategies such as Vehicle Mileage Fee have not been well accepted by policy makers, but attract growing research interest. As policy makers face an increasing number of policy tools, a theoretical framework is needed to analyze these policies and provide a direct comparison of their welfare implications such as efficiency and equity. However, such a comprehensive framework does not exist in literature. To bridge this gap, this study develops an analytical framework for analyzing and comparing travel demand management policies, which consists of a mathematical …",35
