titles,authors,date,source,descriptions,citations
Energy-efficient target coverage in wireless sensor networks based on modified ant colony algorithm,"Salma Begum, Nazma Tara, Sharmin Sultana",2010/12,"Journal International Journal of Ad hoc, Sensor & Ubiquitous Computing","One of the major issues in Target-coverage problem of wireless sensor network is to increase the network lifetime. This can be solved by selecting minimum working nodes that will cover all the targets. This paper proposes a completely new method, in which minimum working node is selected by modified Ant colony Algorithm. Experimental results show that the lever of algorithmic complication is depressed and the searching time is reduced, and the proposed algorithm outperforms the other algorithm in terms.",31
Enhanced-DSR: a new approach to improve performance of DSR algorithm,"Sharmin Sultana, Salma Begum, Nazma Tara, Ahsan Raja Chowdhury",2010/4,Journal International Journal of Computer Science and Information Technology,"High overhead involved in flooding while route creation is a limiting factor of Dynamic Source Routing (DSR) protocol applied for mobile ad hoc networks (MANETs). During data delivery, it seems that we fully benefit from DSR if the route is not long enough. In this paper, we propose two modifications of DSR algorithm to enhance its performance. In the modified approach of DSR, to reduce broadcasting overhead, multicasting approach is used. Again, for shortening packet length, in case of longer route, the route is truncated after a predetermined number of hops. Some simulations show that the new modified algorithm (Enhanced DSR) performs better than the DSR algorithm.",21
MRI-based medial axis extraction and boundary segmentation of cranial nerves through discrete deformable 3D contour and surface models,"Sharmin Sultana, Jason E Blatt, Benjamin Gilles, Tanweer Rashid, Michel A Audette",2017/4/12,Journal IEEE transactions on medical imaging,"This paper presents a segmentation technique to identify the medial axis and the boundary of cranial nerves. We utilize a 3-D deformable one-simplex discrete contour model to extract the medial axis of each cranial nerve. This contour model represents a collection of two-connected vertices linked by edges, where vertex position is determined by a Newtonian expression for vertex kinematics featuring internal and external forces, the latter of which include attractive forces toward the nerve medial axis. We exploit multiscale vesselness filtering and minimal path techniques in the medial axis extraction method, which also computes a radius estimate along the path. Once we have the medial axis and the radius function of a nerve, we identify the nerve surface using a two-simplex deformable model, which expands radially and can accommodate any nerve shape. As a result, the method proposed here combines the …",14
CNN-based hierarchical coarse-to-fine segmentation of pelvic CT images for prostate cancer radiotherapy,"Sharmin Sultana, Adam Robinson, Daniel Y Song, Junghoon Lee",2020/3/16,"Conference Medical Imaging 2020: Image-Guided Procedures, Robotic Interventions, and Modeling","Accurate segmentation of organs-at-risk is important in prostate cancer radiation therapy planning. However, poor soft tissue contrast in CT makes the segmentation task very challenging. We propose a deep convolutional neural network approach to automatically segment the prostate, bladder, and rectum from pelvic CT. A hierarchical coarse-to-fine segmentation strategy is used where the first step generates a coarse segmentation from which an organ-specific region of interest (ROI) localization map is produced. The second step produces detailed and accurate segmentation of the organs. The ROI localization map is generated using a 3D U-net. The localization map helps adjusting the ROI of each organ that needs to be segmented and hence improves computational efficiency by eliminating irrelevant background information. For the fine segmentation step, we designed a fully convolutional network (FCN) by …",11
Automatic multi-organ segmentation in computed tomography images using hierarchical convolutional neural network,"Sharmin Sultana, Adam Robinson, Daniel Y Song, Junghoon Lee",2020/9/1,Journal Journal of Medical Imaging,"Purpose: Accurate segmentation of treatment planning computed tomography (CT) images is important for radiation therapy (RT) planning. However, low soft tissue contrast in CT makes the segmentation task challenging. We propose a two-step hierarchical convolutional neural network (CNN) segmentation strategy to automatically segment multiple organs from CT.",8
Towards a statistical shape-aware deformable contour model for cranial nerve identification,"Sharmin Sultana, Praful Agrawal, Shireen Y Elhabian, Ross T Whitaker, Tanweer Rashid, Jason E Blatt, Justin S Cetas, Michel A Audette",2016,"Conference Clinical Image-Based Procedures. Translational Research in Medical Imaging: 5th International Workshop, CLIP 2016, Held in Conjunction with MICCAI 2016, Athens, Greece, October 17, 2016, Proceedings 5"," This paper presents a cranial nerve segmentation technique that combines a 3D deformable contour and a 3D contour Statistical Shape Model (SSM). A set of training data for the construction of the 3D contour shape model is produced using a 1-simplex based discrete deformable contour model where the centerline identification proceeds by optimizing internal and external forces. Point-correspondence for the training dataset is performed using an entropy-based energy minimization of particles on the centerline curve. The resulting average shape is used as a prior knowledge, which is incorporated into the 1-simplex as a reference shape model, making the approach stable against low resolution and image artifacts during segmentation using MRI data. Shape variability is shown using the first 3 modes of variation. The segmentation result is validated quantitatively, with ground truth provided by an expert.",7
Watertight and 2-manifold surface meshes using dual contouring with tetrahedral decomposition of grid cubes,"Tanweer Rashid, Sharmin Sultana, Michel A Audette",2016/1/1,Journal Procedia engineering,"The Dual Contouring algorithm (DC) is a grid-based process used to generate surface meshes from volumetric data. The advantage of DC is that it can reproduce sharp features by inserting vertices anywhere inside the grid cube, as opposed to the Marching Cubes (MC) algorithm that can insert vertices only on the grid edges. However, DC is unable to guarantee 2-manifold and watertight meshes due to the fact that it produces only one vertex for each grid cube. We present a modified Dual Contouring algorithm that is capable of overcoming this limitation. Our method decomposes an ambiguous grid cube into a maximum of twelve tetrahedral cells; we introduce novel polygon generation rules that produce 2-manifold and watertight surface meshes. We have applied our proposed method on realistic data, and a comparison of the results of our proposed method with results from traditional DC shows the …",6
A deformable multimodal image registration using PET/CT and TRUS for intraoperative focal prostate brachytherapy,"Sharmin Sultana, Daniel Y Song, Junghoon Lee",2019/3/8,"Conference Medical Imaging 2019: Image-Guided Procedures, Robotic Interventions, and Modeling","In this paper, a deformable registration method is proposed that enables automatic alignment of preoperative PET/CT to intraoperative ultrasound in order to achieve PET-determined focal prostate brachytherapy. Novel PET imaging agents such as prostate specific membrane antigen (PSMA) enables highly accurate identification of intra/extra-prostatic tumors. Incorporation of PSMA PET into the standard transrectal ultrasound (TRUS)-guided prostate brachytherapy will enable focal therapy, thus minimizing radiation toxicities. Our registration method requires PET/CT and TRUS volume as well as prostate segmentations. These input volumes are first rigidly registered by maximizing spatial overlap between the segmented prostate volumes, followed by the deformable registration. To achieve anatomically accurate deformable registration, we extract anatomical landmarks from both prostate boundary and inside the …",5
Patient-specific cranial nerve identification using a discrete deformable contour model for skull base neurosurgery planning and simulation,"Sharmin Sultana, Jason E Blatt, Yueh Lee, Matthew Ewend, Justin S Cetas, Anthony Costa, Michel A Audette",2016,"Conference Clinical Image-Based Procedures. Translational Research in Medical Imaging: 4th International Workshop, CLIP 2015, Held in Conjunction with MICCAI 2015, Munich, Germany, October 5, 2015. Revised Selected Papers 4","In this paper, we present a minimally supervised method for the identification of the intra-cranial portion of cranial nerves, using a novel, discrete 1-Simplex 3D active contour model. The clinical applications include planning and personalized simulation of skull base neurosurgery. The centerline of a cranial nerve is initialized from two user-supplied end points by computing a Minimal Path. The 1-Simplex is a Newtonian model for vertex motion, where every non-endpoint vertex has 2-connectivity with neighboring vertices, with which it is linked by edges. The segmentation behavior of the model is governed by the equilibrium between internal and external forces. The external forces include an image force that favors a centered path within high-vesselness points. The method is validated quantitatively using synthetic and real MRI datasets.",5
Deformable registration of PET/CT and ultrasound for disease-targeted focal prostate brachytherapy,"Sharmin Sultana, Daniel Y Song, Junghoon Lee",2019/7/1,Journal Journal of Medical Imaging,"We propose a deformable registration algorithm for prostate-specific membrane antigen (PSMA) PET/CT and transrectal ultrasound (TRUS) fusion. Accurate registration of PSMA PET to intraoperative TRUS will allow physicians to customize dose planning based on the regions involved. The inputs to the registration algorithm are the PET/CT and TRUS volumes as well as the prostate segmentations. PET/CT and TRUS volumes are first rigidly registered by maximizing the overlap between the segmented prostate binary masks. Three-dimensional anatomical landmarks are then automatically extracted from the boundary as well as within the prostate. Then, a deformable registration is performed using a regularized thin plate spline where the landmark localization error is optimized between the extracted landmarks that are in correspondence. The proposed algorithm was evaluated on 25 prostate cancer patients …",4
