titles,authors,date,source,descriptions,citations
Optimal Linear Combinations of Neural Networks,Sherif Hashem,1997,Journal Neural Networks,"Neural network-based modeling often involves trying multiple networks with different architectures and training parameters in order to achieve acceptable model accuracy. Typically, one of the trained networks is chosen as best, while the rest are discarded. Hashem and Schmeiser (1995) proposed using optimal linear combinations of a number of trained neural networks instead of using a single best network. Combining the trained networks may help integrate the knowledge acquired by the components networks and thus improve model accuracy. In this paper, we extend the idea of optimal linear combinations (OLCs) of neural networks and discuss issues related to the generalization ability of the combined model. We then present two algorithms for selecting the component networks for the combination to improve the generalization ability of OLCs. Our experimental results demonstrate significant improvements in …",705
Treating harmful collinearity in neural network ensembles,S. Hashem,1999,Book Combining artificial neural nets: ensemble and modular multi-net systems,"In the last decade, several techniques have been developed for combining neural networks [48, 49]. Combining a number of trained neural networks to form what is often referred to as a neural network ensemble, may yield better model accuracy without requiring extensive efforts in training the individual networks or optimising their architecture [21, 48]. However, because the corresponding outputs of the individual networks approximate the same physical quantity (or quantities), they may be highly positively correlated or collinear (linearly dependent). Thus, the estimation of the optimal weights for combining such networks may be subjected to the harmful effects of Collinearity, resulting in a neural network ensemble with inferior generalisation ability compared to the individual networks [20, 42, 48].",687
Improving model accuracy using optimal linear combinations of trained neural networks,"Sherif Hashem, Bruce Schmeiser",1995/5,Journal IEEE Transactions on neural networks,"Neural network (NN) based modeling often requires trying multiple networks with different architectures and training parameters in order to achieve an acceptable model accuracy. Typically, only one of the trained networks is selected as ""best"" and the rest are discarded. The authors propose using optimal linear combinations (OLC's) of the corresponding outputs on a set of NN's as an alternative to using a single network. Modeling accuracy is measured by mean squared error (MSE) with respect to the distribution of random inputs. Optimality is defined by minimizing the MSE, with the resultant combination referred to as MSE-OLC. The authors formulate the MSE-OLC problem for trained NN's and derive two closed-form expressions for the optimal combination-weights. An example that illustrates significant improvement in model accuracy as a result of using MSE-OLC's of the trained networks is included.< >",248
Electronic noses and their applications,"Paul E Keller, Lars J. Kangas, Lars H. Liden, Sherif Hashem, Richard T. Kouzes",1995/10/10,Conference Northcon 95. I EEE Technical Applications Conference and Workshops Northcon95,"Electronic/artificial noses are being developed as systems for the automated detection and classification of odors, vapors, and gases. An electronic nose is generally composed of a chemical sensing system (eg, sensor array or spectrometer) and a pattern recognition system (eg, artificial neural network). We are developing electronic noses for the automated identification of volatile chemicals for environmental and medical applications. In this paper, we briefly describe an electronic nose, show some results from a prototype electronic nose, and discuss applications of electronic noses in the environmental, medical, and food industries.",172
Sensitivity analysis for feedforward artificial neural networks with differentiable activation functions,Sherif Hashem,1992/6/7,Journal Proceedings of the International Joint Conference on Neural Networks,A method for computing the network output sensitivities with respect to variations in the inputs for multilayer feedforward arti cial neural networks with di erentiable activation functions is presented. It is applied to obtain expressions for the rst and second order sensitivities. An example is introduced along with a discussion to illustrate how the sensitivities are calculated and to show how they compare to the actual derivatives of the function being modeled by the neural network.,165
Optimal linear combinations of neural networks: An overview,"Sherif Hashem, Bruce Schmeiser, Yuehwern Yih",1994/6/28,Conference Proceedings of 1994 IEEE International Conference on Neural Networks (ICNN'94),"Neural networks based modeling often involves trying multiple networks with different architectures and/or training parameters in order to achieve acceptable model accuracy. Typically, one of the trained NNs is chosen as best, while the rest are discarded. Hashem and Schmeiser (1992) propose using optimal linear combinations of a number of trained neural networks instead of using a single best network. In this paper, we discuss and extend the idea of optimal linear combinations of neural networks. Optimal linear combinations are constructed by forming weighted sums of the corresponding outputs of the networks. The combination-weights are selected to minimize the mean squared error with respect to the distribution of random inputs. Combining the trained networks may help integrate the knowledge acquired by the component networks and thus improve model accuracy. We investigate some issues …",113
Approximating a function and its derivatives using MSE-optimal linear combinations of trained feedforward neural networks,"Sherif Hashem, Bruce Schmeiser",1993,"Publisher Purdue University, Department of Statistics","In this paper, we show that using MSE-optimal linear combinations of a set of trained feedforward networks may signi cantly improve the accuracy of approximating a function and its rst and second order derivatives. Our results are compared to the accuracies achieved by the single best network and by the simple averaging of the outputs of the trained networks.",83
Self-generating prototypes for pattern classification,"Hatem A Fayed, Sherif R Hashem, Amir F Atiya",2007/5/1,Journal Pattern Recognition,"Prototype classifiers are a type of pattern classifiers, whereby a number of prototypes are designed for each class so as they act as representatives of the patterns of the class. Prototype classifiers are considered among the simplest and best performers in classification problems. However, they need careful positioning of prototypes to capture the distribution of each class region and/or to define the class boundaries. Standard methods, such as learning vector quantization (LVQ), are sensitive to the initial choice of the number and the locations of the prototypes and the learning rate. In this article, a new prototype classification method is proposed, namely self-generating prototypes (SGP). The main advantage of this method is that both the number of prototypes and their locations are learned from the training set without much human intervention. The proposed method is compared with other prototype classifiers such …",81
Transmission of Olfactory Information for Tele-medicine,"Paul E Keller, Richard T Kouzes, Lars J Kangas, Sherif Hashem",1995,Publisher Pacific Northwest Laboratory,"While the inclusion of visual, aural, and tactile senses into virtual reality systems is widespread, the sense of smell has been largely ignored. We have developed a chemical vapor sensing system for the automated identification of chemical vapors (smells). Our prototype chemical vapor sensing system is composed of an array of tin-oxide vapor sensors coupled to an artificial neural network. The artificial neural network is used in the recognition of different smells and is constructed as a standard multilayer feed-forward network trained with the backpropagation algorithm. When a chemical sensor array is combined with an automated pattern identifier, it is often referred to as an electronic or artificial nose. Applications of electronic noses include monitoring food and beverage odors, automated flavor control, analyzing fuel mixtures, and quantifying individual components in gas mixtures. Our prototype electronic nose …",76
Nuclear spectral analysis via artificial neural networks for waste handling,"Paul E Keller, Lars J Kangas, Gary L Troyer, Sherif Hashem, Richard T Kouzes",1995/8,Journal IEEE transactions on nuclear science,"In this paper two applications of artificial neural networks (ANNs) in nuclear spectroscopy analysis are discussed. In the first application, an ANN assigns quality coefficients to alpha particle energy spectra. These spectra are used to detect plutonium contamination in the work environment. The quality coefficients represent the levels of spectral degradation caused by miscalibration and foreign matter affecting the instruments. A set of spectra was labeled with quality coefficients by an expert and used to train the ANN expert system. Our investigation shows that the expert knowledge of spectral quality can be transferred to an ANN system. The second application combines a portable gamma-ray spectrometer with an ANN to automatically identify radioactive isotopes in real-time. Two neural network paradigms are examined and compared: the linear perceptron and the optimal linear associative memory (OLAM). Both …",60
