titles,authors,date,source,descriptions,citations
Wastewater-based resource recovery technologies across scale: a review,"Nancy Diaz-Elsayed, Nader Rezaei, Tianjiao Guo, Shima Mohebbi, Qiong Zhang",2019/6/1,"Source Resources, Conservation and Recycling","Over the past few decades, wastewater has been evolving from a waste to a valuable resource. Wastewater can not only dampen the effects of water shortages by means of water reclamation, but it also provides the medium for energy and nutrient recovery to further offset the extraction of precious resources. Since identifying viable resource recovery technologies can be challenging, this article offers a review of technologies for water, energy, and nutrient recovery from domestic and municipal wastewater through the lens of the scale of implementation. The system scales were classified as follows: small scale (design flows of 17 m3/day or less), medium scale (8 to 20,000 m3/day), and large scale (3800 m3/day or more). The widespread implementation of non-potable reuse (NPR) projects across all scales highlighted the ease of implementation associated with lower water quality requirements and treatment …",137
"Cyber-physical-social interdependencies and organizational resilience: A review of water, transportation, and cyber infrastructure systems and processes","Shima Mohebbi, Qiong Zhang, E Christian Wells, Tingting Zhao, Hung Nguyen, Mingyang Li, Noha Abdel-Mottaleb, Shihab Uddin, Qing Lu, Mathews J Wakhungu, Zhiqiang Wu, Yu Zhang, Anwesh Tuladhar, Xinming Ou",2020/11/1,Source Sustainable Cities and Society,"Building resilience in critical infrastructures for smart and connected cities requires consideration of different types of interdependencies. Previous research has mainly conceptualized three types of interdependencies including cyber, physical, and social. To develop resilient and sustainable design, operations, and managerial strategies, domain knowledge for each infrastructure along with its organizational characteristics needs to be integrated with those of other infrastructures. In this review paper, an infrastructure-oriented approach is taken to systematically examine different types of interdependencies and resilience quantification techniques for water, transportation, and cyber infrastructures. Design, operations, and managerial strategies are identified and categorized into short-term, mid-term, and long-term plans that can potentially improve the resilience and sustanability of the underlying infrastructures …",61
Community resilience-driven restoration model for interdependent infrastructure networks,"Deniz Berfin Karakoc, Yasser Almoghathawi, Kash Barker, Andrés D González, Shima Mohebbi",2019/8/1,Journal International Journal of Disaster Risk Reduction,"Critical interdependent infrastructure networks such as water distribution, natural gas pipeline, electricity power, communication and transportation systems provide the essential necessities for societies and their utilization is the backbone of everyday processes such as production, health, convenience and many more. Often cascading dysfunctionality or disruption in these critical infrastructure networks triggers chain reactions of blackouts or blockages through the system of highly interconnected infrastructure networks, and the disruption of surrounding societies. For the planning of restoration processes and resilience of these, social aspects and demographics should also be considered to assign and mitigate the possible social risks associated with these disruptions. In this work, we study the restoration planning of critical interdependent infrastructure networks after a possible disruptive event by mainly …",56
Coalitional game theory approach to modeling suppliers' collaboration in supply networks,"Shima Mohebbi, Xueping Li",2015/11/1,Journal International Journal of Production Economics,"Suppliers' collaboration is a new paradigm to improve the utilization of collective intelligence in supply networks. Although existing literature advocates the notion of cooperation in supply networks, there is a dearth of studies quantitatively analyzing cost and benefit of cooperation. In this study, we first develop a model for suppliers' dynamic coalition formation using coalitional game theory. The proposed cost structure influences the utility of each possible coalition and restricts the coalition size and search space for finding possible coalitions. To distribute the profit earned by cooperation in a fair manner, a criterion named Shared Capacity Index is developed according to suppliers' capacity share in the corresponding coalition. A suppliers' cooperation algorithm is then proposed to resolve possible conflicts among network members whereby each supplier is able to explore coalitional structures autonomously. The …",50
Socio-technical strategies and behavior change to increase the adoption and sustainability of wastewater resource recovery systems,"Christine Prouty, Shima Mohebbi, Qiong Zhang",2018/6/15,Journal Water research,"Given the increasing vulnerability of communities to the negative impacts of untreated wastewater, resource recovery (RR) systems provide a paradigm shift away from a traditional approach of waste separation and treatment towards a productive recovery of water, energy and nutrients. The aim of this research is to understand the relationships between factors that influence the adoption and sustainability of wastewater-based RR systems to inform technology implementation strategies. The study presents a theory-informed, community-influenced system dynamics (SD) model to provide decision-makers with an adaptable tool that simulates system-level responses to the strategies that are developed for the coastal town of Placencia, Belize. The modeling framework is informed by literature-based theories such as the theory of diffusion of innovations (TDI) and the theory of planned behavior (TPB). Various methods …",38
Agent-based web service for the design of a dynamic coordination mechanism in supply networks,"Iraj Mahdavi, Shima Mohebbi, Mahdi Zandakbari, Namjae Cho, Nezam Mahdavi-Amiri",2009/12,Journal Journal of Intelligent Manufacturing,"The theory of network coordination presents an effective approach to improve the business processes within supply networks. The automation of the negotiation process among buyers and suppliers has become an important policy in the transactional networks. This leads to assessing the roles of both quantifiable and non-quantifiable parameters in coordination mechanisms with the aim of achieving higher performance. Here, we develop an e-based supply chain multi-agent model for the design of mass-customized on-line services. The model addresses the bullwhip effect in multi-stage supply chain and also clarifies the evaluation of inventory policies in various supply and demand uncertainties. To illustrate the feasibility of the approach, we implement a prototype system and evaluate its performance by simulation using Colored Petri Nets (CPNs). The validation results reveal the model efficiency in …",33
e-Supply network coordination: the design of intelligent agents for buyer-supplier dynamic negotiations,"Shima Mohebbi, Rasoul Shafaei",2012,Journal Journal of Intelligent Manufacturing,"This paper concentrates on the problem of automated negotiations in e-supply network coordination (e-SNC). Supply network is considered as a collection of agent-mediated decisions and coordination mechanisms in a web-based environment. The proposed agent based coordination model is composed of two negotiator agents and a coordinator agent. The coordination mechanism begins with determining the feasible and most promising partners in the network based on the similarity of profiles. In response to autonomy levels and conflict objectives, the model allows agents to negotiate in a cooperative manner through an iterative process of generating offers for re-establishing global optimality. The dynamic negotiation model is then defined based on the protocol, rule of bargain, proposal generation, and dynamic strategy. To illustrate the model efficiency, a prototype system has been modeled and is …",30
Game theory methodology for optimizing retailers’ pricing and shelf-space allocation decisions on competing substitutable products,"Xueping Li, Sirisha Nukala, Shima Mohebbi",2013/9,Journal The International Journal of Advanced Manufacturing Technology,"This paper examines the influence of competition among supply chain partners on product demand. A power law demand function that depends on product pricing and shelf-space allocation (SSA) is used. The exponents in the power law are given by the elasticities of demand. In order to achieve the optimal pricing and SSA strategies in the presence of competition, game-theory-based methodologies—Cournot and Stackelberg games—are employed. For each type of game, a Nash equilibrium is achieved by optimizing the profit as a function of demand and price. A case study is presented to demonstrate the potential of this methodology. The results of this study indicate (1) how to achieve optimal pricing and SSA strategies, (2) how manufacturers can influence demand for a product, (3) that both prices and profits decrease using the Stackelberg game as compared with the Cournot game, and (4) that …",27
Designing intelligent agents to support long-term partnership in two echelon e-Supply Networks,"Shima Mohebbi, Xueping Li",2012/12/15,Journal Expert Systems with Applications,"Realizing the dynamic nature of information flow and the conflicting objectives of members play vital role in effective design of e-Supply Networks (e-SN). While there are some research in the SN literature proposing different dynamic and intelligent coordination mechanisms, the impact of the proper definition of data structure and long-term relationship in modeling both coordination and negotiation mechanisms have not been addressed deeply. In this paper, we propose three overlapping services including intelligent matching of partners, proposal generations, and long-term contract management. The process begins with the selection of qualified partners based on the similarity of users profiles in a multidimensional space defined by network attributes. Then, a coordination mechanism for long-term agreements is proposed such that the generated proposals in e-SN encourage buyers to reveal their demand in …",26
"A multi-criteria sustainability assessment of water reuse applications: a case study in Lakeland, Florida","Nader Rezaei, Nancy Diaz-Elsayed, Shima Mohebbi, Xiongfei Xie, Qiong Zhang",2019,Journal Environmental Science: Water Research & Technology,"Water shortage and water contamination necessitate adopting a reverse logistics and a closed-loop supply chain approach, which is the process of moving wastewater from its typical final destination back to the water supply chain with different levels of treatment for reuse. Hence, the incorporation of sustainability concepts through life cycle assessments for selecting reclaimed water applications considering reverse logistics and closed-loop systems is receiving more attention. However, no prior studies have evaluated the trade-off between the reclaimed water quality and corresponding costs, environmental impacts and social benefits for different types of water reuse. The aim of this study is therefore to design possible scenarios for water reuse based on water reuse guidelines and evaluate the different types of end use based on the three dimensions of sustainability (i.e., economic, environmental and social …",23
"Extreme weather events and wastewater infrastructure: A system dynamics model of a multi-level, socio-technical transition","Christine Prouty, Shima Mohebbi, Qiong Zhang",2020/4/20,Journal Science of the Total Environment,"Coastal communities and their wastewater treatment systems are vulnerable to the impacts of extreme events. Decision-making about transitioning critical infrastructure across scale – onsite, community, or centralized – to an improved treatment portfolio is complex as it couples financial, social, policy, technological, and environmental factors with impacts to public health and aquatic ecosystems. In this paper, we propose a system dynamics approach to consider important factors and dynamics that influence municipalities' decision-making process for wastewater infrastructure transitions in the Florida Keys, particularly considering some impacts of a changing climate. Our research utilizes social-technical transition theories to develop an adaptable and dynamic decision-making tool for transitioning to an improved portfolio of wastewater technologies and to determine strategies that improve the portfolio's performance …",21
