titles,authors,date,source,descriptions,citations
UnBBayes: a java framework for probabilistic models in AI,"Shou Matsumoto, Rommel Novaes Carvalho, Marcelo Ladeira, Paulo CG Costa, Laecio Lima Santos, Danilo Silva, Michael Onishi, Emerson Machado, Ke Cai",2011/11,Journal Java in academia and research,"“Systems that think like humans, systems that act like humans, systems that think rationally, and systems that act rationally.”–Four categories of AI’s definitions (Russel & Norvig, 2002)",55
Probabilistic Ontology and Knowledge Fusion for Procurement Fraud Detection in Brazil.,"Rommel N Carvalho, Shou Matsumoto, Kathryn B Laskey, Paulo Cesar G da Costa, Marcelo Ladeira, Laécio L Santos",2013/1/9,Conference URSW (LNCS Vol.),"To cope with citizens’ demand for transparency and corruption prevention, the Brazilian Office of the Comptroller General (CGU) has carried out a number of actions, including: awareness campaigns aimed at the private sector; campaigns to educate the public; research initiatives; and regular inspections and audits of municipalities and states. Although CGU has collected information from hundreds of different sources-Revenue Agency, Federal Police, and others-the process of fusing all this data has not been efficient enough to meet the needs of CGU’s decision makers. Therefore, it is natural to change the focus from data fusion to knowledge fusion. As a consequence, traditional syntactic methods should be augmented with techniques that represent and reason with the semantics of databases. However, commonly used approaches, such as Semantic Web technologies, fail to deal with uncertainty, a dominant …",54
A first-order Bayesian tool for probabilistic ontologies,"Paulo CG Costa, Marcelo Ladeira, Rommel N Carvalho, Kathryn B Laskey, Laécio L Santos, Shou Matsumoto",2008/5/15,Journal Proceedings of the Twenty-First International Florida Artificial Intelligence Research Society Conference,"One of the major weaknesses of current research on the Semantic Web (SW) is the lack of proper means to represent and reason with uncertainty. A number of recent efforts from the SW community, the W3C, and others have recently emerged to address this gap. Such efforts have the positive side effect of bringing together two fields of research that have been apart for historical reasons, the artificial intelligence and the SW communities. One example of the potential research gains of this convergence is the current development of Probabilistic OWL (PROWL), an extension of the OWL Web Ontology Language that provides a framework to build probabilistic ontologies, thus enabling proper representation and reasoning with uncertainty within the SW context. PR-OWL is based on Multi-Entity Bayesian Networks (MEBN), a first-order probabilistic logic that combines the representational power of first-order logic (FOL) and Bayesian Networks (BN). However, PR-OWL and MEBN are still in development, lacking a software tool that implements their underlying concepts. The development of UnBBayes-MEBN, an open source, Java-based application that is currently in alpha phase (public release March 08), addresses this gap by providing both a GUI for building probabilistic ontologies and a reasoner based on the PR-OWL/MEBN framework. This work focuses on the major challenges of UnBBayes-MEBN implementation, describes the features already implemented, and provides an overview of the major algorithms, mainly the one used for building a Situation Specific Bayesian Network (SSBN) from a MEBN Theory.",47
Multi-entity bayesian networks learning in predictive situation awareness,"Cheol Y Park, Kathryn B Laskey, Paulo Costa, Shou Matsumoto",2013/6/1,Publisher GEORGE MASON UNIV FAIRFAX VA VOLGENAU SCHOOL OF INFORMATION TECHNOLOGY AND ENGINEERING,"Over the past two decades, machine learning has led to substantial changes in Data Fusion Systems globally. One of the most important application areas for data fusion is situation awareness to support command and control. Situation awareness is perception of elements in the environment, comprehension of the current situation, and projection of future status before decision making. Traditional fusion systems focus on lower levels of the JDL hierarchy, leaving higher-level fusion and situation awareness largely to unaided human judgment. This becomes untenable in todays increasingly data-rich environments, characterized by information and cognitive overload. Higher-level fusion to support situation awareness requires semantically rich representations amenable to automated processing. Ontologies are an essential tool for representing domain semantics and expressing information about entities and relationships in the domain. Probabilistic ontologies augment standard ontologies with support for uncertainty management, which is essential for higher-level fusion to support situation awareness. PROGNOS is a prototype Predictive Situation Awareness PSAW System for the maritime domain. The core logic for the PROGNOS probabilistic ontologies is Multi-Entity Bayesian Networks MEBN, which combine First-Order Logic with Bayesian Networks for representing and reasoning about uncertainty in complex, knowledge-rich domains. MEBN goes beyond standard Bayesian networks to enable reasoning about an unknown number of entities interacting with each other in various types of relationships, a key requirement for PSAW. The …",31
Multi-entity bayesian networks learning for hybrid variables in situation awareness,"Cheol Young Park, Kathryn Blackmond Laskey, Paulo CG Costa, Shou Matsumoto",2013/7/9,Conference Proceedings of the 16th International Conference on Information Fusion,"Over the past two decades, machine learning has led to substantial changes in Data Fusion Systems throughout the world. One of the most important application areas for data fusion is situation awareness. Situation Awareness is perception of elements in the environment, comprehension of the current situation, and projection of future status before decision making. Traditional fusion systems focus on lower levels of the JDL hierarchy, leaving higher-level fusion and situation awareness largely to unaided human judgment. This becomes untenable in today's increasingly data-rich environments, characterized by information and cognitive overload. Higher-level fusion to support situation awareness requires semantically rich representations amenable to automated processing. Multi-Entity Bayesian Networks (MEBN) combine First-Order Logic with Bayesian Networks for representing and reasoning about uncertainty …",23
High-level information fusion with bayesian semantics,"Paulo CG Costa, Kathryn B Laskey, Kuo-Chu Chang, Wei Sun, Cheol Y Park, Shou Matsumoto",2012/8,Journal Proceedings of the 9th Bayesian Modelling Applications Workshop,"In an increasingly interconnected world information comes from various sources, usually with distinct, sometimes inconsistent semantics. Transforming raw data into high-level information fusion (HLIF) products, such as situation displays, automated decision support, and predictive analysis, relies heavily on human cognition. There is a clear lack of automated solutions for HLIF, making such systems prone to scalability issues. In this paper, we propose to address this issue with the use of highly expressive Bayesian models, which can provide a tighter link between information coming from low-level sources and the high-level information fusion systems, and allow for greater automation of the overall process. We illustrate our ideas with a naval HLIF system, and show the results of a preliminary set of experiments.",22
Predictive situation awareness reference model using multi-entity bayesian networks,"Cheol Young Park, Kathryn Blackmond Laskey, Paulo CG Costa, Shou Matsumoto",2014/7/7,Conference 17th International Conference on Information Fusion (FUSION),"Predictive Situation Awareness (PSAW) emphasizes the ability to make predictions about aspects of a temporally evolving situation. Higher-level fusion to support PSAW requires a semantically rich representation to handle complex real world situations and the ability to reason under uncertainty about the situation. Multi-Entity Bayesian Networks (MEBN) are rich enough to represent and reason about uncertainty in complex, knowledge-rich domains. In previous applications of MEBN to PSAW, the models, called MTheories, were constructed from scratch for each application. Designing models from scratch is inefficient and fails to build on the experience gained from prior work. In this paper, we argue that applications of MEBN to PSAW share similar goals and common model elements. We propose a reference model for designing a MEBN model for PSAW and evaluate our model on a case study of a defense system.",21
UnBBayes-MEBN: comments on implementing a probabilistic ontology tool,"Rommel N Carvalho, Marcelo Ladeira, Laécio L Santos, Shou Matsumoto, Paulo CG Costa",2008,Conference IADIS International Conference Applied Computing 2008,"Paper Abstract: The quest for principled approaches to represent and reason under uncertainty in the Semantic Web (SW) is a very active research subject. Recently, the World Wide Web Consortium (W3C) created the Uncertainty Reasoning for the World Wide Web Incubator Group-URW3-XG [Laskey, KJ et al., 2007] to better define the challenge of reasoning with and representing uncertain information available through the World Wide Web and related WWW technologies. One of the most promising approaches is the use of a Bayesian framework to handle uncertainty in SW ontologies. Working within this approach, Costa [2005] proposed a probabilistic ontology language, denoted PR-OWL, to represent and to reason with probabilistic ontologies. PR-OWL language is based on MEBN Multi-Entity Bayesian Network [Laskey & Mahoney, 1997; Laskey & Costa, 2005; Laskey, 2007], a formalism that brings together …",20
A process for human-aided multi-entity bayesian networks learning in predictive situation awareness,"Cheol Young Park, Kathryn Blackmond Laskey, Paulo CG Costa, Shou Matsumoto",2016/7/5,Conference 2016 19th international conference on information fusion (FUSION),"Predictive Situation Awareness (PSAW) is the ability to estimate and predict aspects of a temporally evolving situation. PSAW systems reason about complex and uncertain situations involving multiple targets observed by multiple sensors at different times. Multi-Entity Bayesian Networks (MEBN) are rich enough to represent and reason about uncertainty in complex, knowledge-rich domains, and have been applied to representation and reasoning for PSAW. To overcome a labor-intensive and insufficiently agile process for manual MEBN modeling by a domain expert, MEBN machine learning was developed. Although technologies for machine learning have improved dramatically, the necessary capabilities to build a MEBN model efficiently do not yet exist. The search space for components of an MEBN model is too large and complex to investigate all possible structures, variables, and parameters. For this reason …",17
A GUI Tool for Plausible Reasoning in the Semantic Web Using MEBN.,"Rommel N Carvalho, Marcelo Ladeira, Laécio L Santos, Shou Matsumoto, Paulo Cesar G da Costa",2009,Journal Innovative Applications in Data Mining,"As the work with semantics and services grows more ambitious in the Semantic Web community, there is an increasing appreciation on the need for principled approaches for representing and reasoning under uncertainty. Reacting to this trend, the World Wide Web Consortium (W3C) has recently created the Uncertainty Reasoning for the World Wide Web Incubator Group (URW3-XG) to better define the challenge of reasoning with and representing uncertain information available through the World Wide Web and related WWW technologies. In according to the URW3-XG effort this Chapter presents the implementation of a graphical user interface (GUI) for building probabilistic ontologies, an application programming interface (API) for saving and loading these ontologies and a grammar proposal to specify formulas for creating conditional probabilistic tables dynamically. The language used for building probabilistic …",15
