titles,authors,date,source,descriptions,citations
Deep learning for short-term traffic flow prediction,"Nicholas Polson, Vadim Sokolov",2017/6,Journal Transportation Research Part C: Emerging Technologies,"We develop a deep learning model to predict traffic flows. The main contribution is development of an architecture that combines a linear model that is fitted using ℓ 1 regularization and a sequence of tanh layers. The challenge of predicting traffic flows are the sharp nonlinearities due to transitions between free flow, breakdown, recovery and congestion. We show that deep learning architectures can capture these nonlinear spatio-temporal effects. The first layer identifies spatio-temporal relations among predictors and other layers model nonlinear relations. We illustrate our methodology on road sensor data from Interstate I-55 and predict traffic flows during two special events; a Chicago Bears football game and an extreme snowstorm event. Both cases have sharp traffic flow regime changes, occurring very suddenly, and we show how deep learning provides precise short term traffic flow predictions.",880
POLARIS: Agent-based modeling framework development and implementation for integrated travel demand and network and operations simulations,"Joshua Auld, Michael Hope, Hubert Ley, Vadim Sokolov, Bo Xu, Kuilin Zhang",2016/3/1,Journal Transportation Research Part C: Emerging Technologies,"This paper discusses the development of an agent-based modeling software development kit, and the implementation and validation of a model using it that integrates dynamic simulation of travel demand, network supply and network operations. A description is given of the core utilities in the kit: a parallel discrete event engine, interprocess exchange engine, and memory allocator, as well as a number of ancillary utilities: visualization library, database IO library, and scenario manager. The overall framework emphasizes the design goals of: generality, code agility, and high performance. This framework allows the modeling of several aspects of transportation system that are typically done with separate stand-alone software applications, in a high-performance and extensible manner. The issue of integrating such models as dynamic traffic assignment and disaggregate demand models has been a long standing …",205
Deep learning: A Bayesian perspective,"Nicholas G Polson, Vadim Sokolov",2017/12/1,Volume 12,"Deep learning is a form of machine learning for nonlinear high dimensional pattern matching and prediction. By taking a Bayesian probabilistic perspective, we provide a number of insights into more efficient algorithms for optimisation and hyper-parameter tuning. Traditional high-dimensional data reduction techniques, such as principal component analysis (PCA), partial least squares (PLS), reduced rank regression (RRR), projection pursuit regression (PPR) are all shown to be shallow learners. Their deep learning counterparts exploit multiple deep layers of data reduction which provide predictive performance gains. Stochastic gradient descent (SGD) training optimisation and Dropout (DO) regularization provide estimation and variable selection. Bayesian regularization is central to finding weights and connections in networks to optimize the predictive bias-variance trade-off. To illustrate our methodology …",116
Analysis of the effects of connected–automated vehicle technologies on travel demand,"Joshua Auld, Vadim Sokolov, Thomas S Stephens",2017,Journal Transportation Research Record,"Connected–automated vehicle (CAV) technologies are likely to have significant effects not only on how vehicles operate in the transportation system, but also on how individuals behave and use their vehicles. While many CAV technologies—such as connected adaptive cruise control and ecosignals—have the potential to increase network throughput and efficiency, many of these same technologies have a secondary effect of reducing driver burden, which can drive changes in travel behavior. Such changes in travel behavior—in effect, lowering the cost of driving—have the potential to increase greatly the utilization of the transportation system with concurrent negative externalities, such as congestion, energy use, and emissions, working against the positive effects on the transportation system resulting from increased capacity. To date, few studies have analyzed the potential effects on CAV technologies from a …",103
Deep learning for spatio‐temporal modeling: dynamic traffic flows and high frequency trading,"Matthew F Dixon, Nicholas G Polson, Vadim O Sokolov",2019/5,Journal Applied Stochastic Models in Business and Industry,"Deep learning applies hierarchical layers of hidden variables to construct nonlinear high dimensional predictors. Our goal is to develop and train deep learning architectures for spatio‐temporal modeling. Training a deep architecture is achieved by stochastic gradient descent and dropout for parameter regularization with a goal of minimizing out‐of‐sample predictive mean squared error. To illustrate our methodology, we first predict the sharp discontinuities in traffic flow data, and secondly, we develop a classification rule to predict short‐term futures market prices using order book depth. Finally, we conclude with directions for future research.",69
Coordinated platoon routing in a metropolitan network,"Jeffrey Larson, Todd Munson, Vadim Sokolov",2016,Book 2016 proceedings of the seventh siam workshop on combinatorial scientific computing,"Platooning vehicles—connected and automated vehicles traveling with small intervehicle distances—use less fuel because of reduced aerodynamic drag. Given a network defined by vertex and edge sets and a set of vehicles with origin/destination nodes/times, we model and solve the combinatorial optimization problem of coordinated routing of vehicles in a manner that routes them to their destination on time while using the least amount of fuel. Common approaches decompose the platoon coordination and vehicle routing into separate problems. Our model addresses both problems simultaneously to obtain the best solution. We use modern modeling techniques and constraints implied from analyzing the platoon routing problem to address larger numbers of vehicles and larger networks than previously considered. While the numerical method used is unable to certify optimality for candidate solutions to all …",55
An optimization technique for damped model updating with measured data satisfying quadratic orthogonality constraint,"Biswa Nath Datta, S Deng, VO Sokolov, DR Sarkissian",2009/8/1,Journal Mechanical Systems and Signal Processing,"A two-stage optimization procedure for matrix updating of a damped finite element model in structural dynamics is proposed. In Stage I, the measured data is updated to satisfy a recently established orthogonality relation between the eigenvectors of a quadratic matrix pencil associated with the model. This updated data is then used in Stage II to update the stiffness matrix so that (i) the updated model reproduces the measured data, and (ii) the symmetry of the original model is preserved. The results of the paper generalize some well known and recent results in several ways. Our contribution also includes mathematically proved results to demonstrate that Stage I is essential to obtain a symmetric updated matrix K in Stage II, unless, of course, the measured eigenvector matrix is such that the orthogonality constraint has been already satisfied, which is extremely unlikely to happen in practice.",41
Clusters of driving behavior from observational smartphone data,"Josh Warren, Jeff Lipkowitz, Vadim Sokolov",2019/6/21,Journal IEEE Intelligent Transportation Systems Magazine,"Understanding driving behaviors is essential for improving safety and mobility of our transportation systems. Data is usually collected via simulator-based studies or naturalistic driving studies. Those techniques allow for understanding relations between demographics, road conditions and safety. On the other hand, they are very costly and time consuming. Thanks to the ubiquity of smartphones, we have an opportunity to substantially complement more traditional data collection techniques with data extracted from phone sensors, such as GPS, accelerometer gyroscope and camera. We developed statistical models that provided insight into driver behavior in the San Francisco metro area based on tens of thousands of driver logs. We used novel data sources to support our work. We used cell phone sensor data drawn from five hundred drivers in San Francisco to understand the speed of traffic across the city as well …",35
Bayesian analysis of traffic flow on interstate I-55: The LWR model,"Nicholas Polson, Vadim Sokolov",2015/12/1,Volume 9," Transportation departments take actions to manage traffic flow and reduce travel times based on estimated current and projected traffic conditions. Travel time estimates and forecasts require information on traffic density which are combined with a model to project traffic flow such as the Lighthill–Whitham–Richards (LWR) model. We develop a particle filtering and learning algorithm to estimate the current traffic density state and the LWR parameters. These inputs are related to the so-called fundamental diagram, which describes the relationship between traffic flow and density. We build on existing methodology by allowing real-time updating of the posterior uncertainty for the critical density and capacity parameters. Our methodology is applied to traffic flow data from interstate highway I-55 in Chicago. We provide a real-time data analysis of how to learn the drop in capacity as a result of a major traffic accident …",34
Analyzing stochastic computer models: A review with opportunities,"Evan Baker, Pierre Barbillon, Arindam Fadikar, Robert B Gramacy, Radu Herbei, David Higdon, Jiangeng Huang, Leah R Johnson, Pulong Ma, Anirban Mondal, Bianica Pires, Jerome Sacks, Vadim Sokolov",2022/2,Source Statistical Science,Supplementary code for the fish example.,32
