titles,authors,date,source,descriptions,citations
Designing delay constrained hybrid ad hoc network infrastructure for post-disaster communication,"Sujoy Saha, Subrata Nandi, Partha Sarathi Paul, Vijay K Shah, Akash Roy, Sajal K Das",2015/2/1,Journal Ad Hoc Networks,"Following a disaster-strike, rapid and reliable communication between relief/rescue workers in the affected regions, and the control stations located at a distance, is essential. This is to facilitate seamless information exchange about the status of victims, requirement of relief personnel/commodities, supply chain of goods and services, and so on, thus rendering relief operations more timely and effective. However, the availability of Internet in a post-disaster scenario is ruled out more often than not; wireless communication and mobile phones may not be usable either except in only selected areas. Besides, geographical obstructions such as broken bridges or closed roads add to the worries of personnel trying to develop a temporary network infrastructure for effective communication. Furthermore, availability of resources – both technological and financial – may prove to be a bottleneck in case of disasters in under …",56
3D placement and orientation of mmWave-based UAVs for guaranteed LoS coverage,"Javad Sabzehali, Vijay K Shah, Harpreet S Dhillon, Jeffrey H Reed",2021/4/29,Journal IEEE Wireless Communications Letters,"Unmanned aerial vehicles (UAVs), as aerial base stations, are a promising solution for providing wireless communications, thanks to their high flexibility and autonomy. Moreover, emerging services, such as extended reality, require high-capacity communications. To achieve this, millimeter wave (mmWave), and recently, terahertz bands have been considered for UAV communications. However, communication at these high frequencies requires a line-of-sight (LoS) to the terminals, which may be located in 3D space and may have extremely limited direct-line-of-view (LoV) due to blocking objects, like buildings and trees. In this letter, we investigate the problem of determining 3D placement and orientation of UAVs such that users have guaranteed LoS coverage by at least one UAV and the signal-to-noise ratio (SNR) between the UAV-user pairs are maximized. We formulate the problem as an integer linear …",28
$ QnQ $ Q n Q: Quality and Quantity Based Unified Approach for Secure and Trustworthy Mobile Crowdsensing,"Shameek Bhattacharjee, Nirnay Ghosh, Vijay K Shah, Sajal K Das",2018/12/23,Journal IEEE transactions on mobile computing,"A major challenge in mobile crowdsensing applications is the generation of false (or spam) contributions resulting from selfish and malicious behaviors of users, or wrong perception of an event. Such false contributions induce loss of revenue owing to undue incentivization, and also affect the operational reliability of the applications. To counter these problems, we propose an event-trust and user-reputation model, called QnQ, to segregate different user classes such as honest, selfish, or malicious. The resultant user reputation scores, are based on both `quality' (accuracy of contribution) and `quantity' (degree of participation) of their contributions. Specifically, QnQ exploits a rating feedback mechanism for evaluating an event-specific expected truthfulness, which is then transformed into a robust quality of information (QoI) metric to weaken various effects of selfish and malicious user behaviors. Eventually, the QoIs of …",26
Toward Next Generation Open Radio Access Networks: What O-RAN Can and Cannot Do!,"Aly S Abdalla, Pratheek S Upadhyaya, Vijay K Shah, Vuk Marojevic",2022/7/25,Journal IEEE Network,"The open radio access network (O-RAN) describes an industry-driven open architecture and interfaces for building next generation RANs with artificial intelligence (AI) controllers. We circulated a survey among researchers, developers, and practitioners to gather their perspectives on O-RAN as a framework for 6G wireless research and development (R&D). The majority responded in favor of O-RAN and identified R&D of interest to them. Motivated by these responses, this article identifies the limitations of the current O-RAN specifications and the technologies for overcoming them. We recognize end-to-end security, deterministic latency, physical layer real-time control, and testing of AI-based RAN control applications as the critical features to enable and discuss R&D opportunities for extending the architectural capabilities of O-RAN as a platform for 6G wireless.",25
Fast initial access with deep learning for beam prediction in 5G mmWave networks,"Tarun S Cousik, Vijay K Shah, Jeffrey H Reed, Tugba Erpek, Yalin E Sagduyu",2021/11/29,Conference MILCOM 2021-2021 IEEE Military Communications Conference (MILCOM),"We present DeepIA, a deep learning solution for a fast, reliable and secure initial access (IA) in directional networks such as the mmWave networks in 5G systems. By utilizing only a subset of beams during the IA process, DeepIA removes the need for an exhaustive beam search thereby reducing the beam sweep time in IA. A deep neural network (DNN) is trained to learn the complex mapping from the received signal strengths (RSSs) collected with a reduced number of beams to the optimal spatial beam of the receiver (among a larger set of beams). In test time, DeepIA measures the RSSs only from a small number of beams and runs the DNN to predict the best beam for IA. We show that DeepIA reduces the IA time by sweeping fewer beams and significantly outperforms the conventional IA's beam prediction accuracy in both line of sight (LoS) and non-line of sight (NLoS) mmWave channel conditions.",22
QnQ: A reputation model to secure mobile crowdsourcing applications from incentive losses,"Shameek Bhattacharjee, Nirnay Ghosh, Vijay K Shah, Sajal K Das",2017/10/9,Conference 2017 IEEE Conference on Communications and Network Security (CNS),"A major limitation of mobile Crowd Sourcing (CS) applications is the generation of false (or spam) contributions due to selfish and malicious behaviors of users, or wrong perception of an event. Such false contributions induce loss of revenue through disbursement of undue incentives and also negatively affects the application's operational reliability. In this work, we propose a reputation model, called QnQ, to segregate different user classes such as honest, selfish, or malicious based on their reputation scores. The resultant score is then used as an indicator to decide an incentive for a user. Unlike existing works, QnQ ensures fairness to different user behaviors by unifying `quantity' (degree of participation) and `quality' (accuracy of contribution). Specifically, QnQ utilizes evidences from a rating feedback mechanism to propose an event-specific expected truthfulness metric by considering total feedback volume …",19
Characterization of e. coli gene regulatory network and its topological enhancement by edge rewiring,"Satyaki Roy, Vijay Shah, Sajal Das",2016/5/24,Book Proceedings of the 9th EAI International Conference on Bio-inspired Information and Communications Technologies (formerly BIONETICS),The innate resilience of biological organisms have long inspired,17
"Optimizing number, placement, and backhaul connectivity of multi-UAV networks","Javad Sabzehali, Vijay K Shah, Qiang Fan, Biplav Choudhury, Lingjia Liu, Jeffrey H Reed",2022/6/20,Journal IEEE Internet of Things Journal,"Multi unmanned aerial vehicle (UAV) network is a promising solution to providing wireless coverage to ground users in challenging rural areas (such as Internet of Things (IoT) devices in farmlands), where the traditional cellular networks are sparse or unavailable. A key challenge in such networks is the 3-D placement of all UAV base stations (BSs) such that the formed multi-UAV network: 1) utilizes a minimum number of UAVs while ensuring—2) backhaul connectivity directly (or via other UAVs) to the nearby terrestrial BS; and 3) wireless coverage to all ground users in the area of operation. This joint backhaul-and-coverage-aware drone deployment (BoaRD) problem is largely unaddressed in the literature and, thus, is the focus of this article. We first formulate the BoaRD problem as integer linear programming (ILP). However, the problem is NP-hard and, therefore, we propose a low complexity algorithm with a …",16
Joint age of information and self risk assessment for safer 802.11 p based V2V networks,"Biplav Choudhury, Vijay K Shah, Avik Dayal, Jeffrey H Reed",2021/5/10,Conference IEEE INFOCOM 2021-IEEE Conference on Computer Communications,"Emerging 802.11p vehicle-to-vehicle (V2V) networks rely on periodic Basic Safety Messages (BSMs) to disseminate time-sensitive safety-critical information, such as vehicle position, speed, and heading - that enables several safety applications and has the potential to improve on-road safety. Due to mobility, lack of global-knowledge and limited communication resources, designing an optimal BSM broadcast rate-control protocol is challenging. Recently, minimizing Age of Information (AoI) has gained momentum in designing BSM broadcast rate-control protocols. In this paper, we show that minimizing AoI solely does not always improve the safety of V2V networks. Specifically, we propose a novel metric, termed Trackability-aware Age of Information TAoI, that in addition to AoI, takes into account the self risk assessment of vehicles, quantified in terms of self tracking error (self-TE) - which provides an indication of …",16
Ctr: Cluster based topological routing for disaster response networks,"Vijay K Shah, Satyaki Roy, Simone Silvestri, Sajal K Das",2017/5/21,Conference 2017 IEEE International Conference on Communications (ICC),"Large scale disasters require prompt rescue and relief operations to restrict further casualties. To carry out such operations, it is essential to have a communication infrastructure between survivors and responders, which is often impaired due to the disaster. Off-the-shelf wireless devices such as smartphones, PDAs and Laptops offer an effective solution towards the establishment of makeshift communication infrastructure. However, in the absence of bonafide power sources, it becomes imperative to judiciously utilize energy (battery power) of such devices such that the network is functional until primary infrastructure is restored. This paper proposes a novel approach, called Cluster based Topological Routing (CTR) that prolongs the longevity of the network by exploiting the natural gathering of survivors in shelter points. In particular, the clustering algorithm identifies such survivor groups combined with a data …",16
