titles,authors,date,source,descriptions,citations
"Users’ Privacy Concerns About Wearables: impact of form factor, sensors and type of data collected","Vivian Genaro Motti, Kelly Caine",2015,Conference 1st Workshop on Wearable Security and Privacy,"Wearables have become popular in several application domains, including healthcare, entertainment and security. Their pervasiveness, small size and autonomy, enlarges the potential of these devices to be employed in different activities and scenarios. Wearable devices collect data ubiquitously and continuously, about the individual user and also her surroundings, which can pose many privacy challenges that neither users nor stakeholders are ready to deal with. Before designing effective solutions for developing privacy-enhanced wearables, we need first to identify and understand what are the potential privacy concerns that users have and how they are perceived. To contribute to that purpose, in this paper we present findings from a qualitative content analysis of online comments regarding privacy concerns of wearable device users. We also discuss how form factors, sensors employed, and the type …",204
Human Factors Considerations in the Design of Wearable Devices,"Vivian Genaro Motti, Kelly Caine",2014/9/1,Journal Proceedings of the Human Factors and Ergonomics Society Annual Meeting,"Wearable devices have great potential to support several application domains ranging from medical and safety critical, to leisure and entertainment. Wearable devices’ solutions are promising, and extensive research has been conducted in this domain since the early 90’s. However most of these works focuses on the feasibility of individual solutions. As such, the human aspects are often neglected, which can decrease not only the acceptance levels for novel devices, but also their sustained engagement. To facilitate the consideration of human factors in the early design stage, we present and define a list of 20 human-centered design principles. We explain how each principle can be incorporated during the design phase of the wearable device creation process. By adopting these principles, we expect practitioners to achieve better wearable solutions, improving the user acceptance, satisfaction and engagement for …",174
A computational framework for context-aware adaptation of user interfaces,"Vivian Genaro Motti, Jean Vanderdonckt",2013/5/29,Conference IEEE 7th International Conference on Research Challenges in Information Science (RCIS),"In order to address challenges posed by different users conducting their interactive tasks on heterogeneous platforms and devices in various environments, this paper provides a computational framework to support the adaptation of the user interface of interactive systems. This framework consists of: a meta-model for understanding fundamental concepts required by adaptation, a reference framework for characterizing seven dimensions for conducting adaptation based on the meta-model, and a design space for consistently assessing the adaptation coverage. In this way, development phases are considered with a standard approach, a unified terminology, and an extensive catalog of techniques.",63
Showing user interface adaptivity by animated transitions,"Charles-Eric Dessart, Vivian Genaro Motti, Jean Vanderdonckt",2011/6/13,Journal Proceedings of the 3rd ACM SIGCHI symposium on Engineering interactive computing systems,"In order to reduce the inevitable end user disruption and cognitive perturbation induced by adapting a graphical user interface, the results of the adaptation could be conveyed to the end user by animating a transition scenario showing the evolution from the user interface before adaptation to the user interface after adaptation. A transition scenario consists of a sequence of adaptation operations (e.g., set/change a property of a widget, replace a widget by another, resize a widget) belonging to a catalogue of operations defined as an Extended Backus-Naur Form grammar. Each transition operation has a range from a single widget (e.g., this Ok button) to a selection of widgets based on a selector mechanism (e.g., all validation widgets of this family of interfaces). A transition scenario is built either automatically by any adaptation algorithm or interactively by a specific editor for designers. An animator then executes the …",51
Assisting Students with Intellectual and Developmental Disabilities in Inclusive Education with Smartwatches,"Hui Zheng, Vivian Genaro Motti",2018,Conference ACM CHI Conference on Human Factors in Computing Systems,"Smartwatches have a large potential to support everyday activities. However, their potential as assistive technologies in inclusive academic environments is unclear. To investigate how smartwatches can support students with intellectual and developmental disabilities (IDDs) to perform activities that require emotional and behavioral skills and involve communication, collaboration and planning, we implemented WELI. WELI (Wearable Life) is a wearable application designed to assist young adults with IDDs attending a postsecondary education program. This paper reports on the user-centric design process adopted in the development of WELI, and describes how smartwatches can assist students with IDDs in special education. The results reported are drawn from 8 user studies with 58 participants in total. WELI features include behavioral intervention, mood regulation, reminders, checklists, surveys and rewards …",47
Smart Wearables or Dumb Wearables? Understanding how Context Impacts the Wrist-Worn Interaction,"Vivian Genaro Motti, Kelly E. Caine",2016,Conference ACM Special Interest Group on the Design of Communication (ACM SIGDOC),"Recent advances in technology fostered the commercialization and usage of wearable devices. Among diverse form factors, wrist worn devices stand out. Benefitting from a conventional format and easy access, wrist worn devices, such as smart watches and fitness trackers, have been gaining popularity. While their continuous usage and close contact with the human body enable various applications, their limited computational resources summed with continuous changes in the context of use challenge designers in providing effective interactive solutions for end users. Seeking to understand how the context of use impacts the user experience and interaction with ten popular wrist worn wearables, in this study we analyzed the users' feedback: 545 users' comments were collected from Amazon, coded and aggregated. Based on the users' feedback, we identify 31 major problems that are currently faced in wrist worn …",43
Understanding the wearability of head-mounted devices from a human-centered perspective,"Vivian Genaro Motti, Kelly Caine",2014/9/13,Conference Proceedings of the 2014 ACM International Symposium on Wearable Computers,"Extensive efforts have been dedicated to developing wearables, but existing solutions focus mainly on feasibility and innovation. Thus, although many devices are named 'wearable', users face some wearability issues. Previously adopted trial and error approaches have effectively produced wearables, but not focusing on human factors. Through an extensive analysis of online comments about head-mounted devices, this paper presents their problem space from a human perspective. The analysis of online comments from existing and potential users enabled us to identify key aspects of the wearability of head-mounted devices, bridging the gap between design decisions and users' requirements.",41
Wearable Privacy: Skeletons in The Data Closet,"Byron Lowens, Vivian Genaro Motti, Kelly Caine",2017,Conference IEEE International Conference on Healthcare Informatics (ICHI 2017),"Equipped with sensors that are capable of collecting physiological and environmental data continuously, wearable technologies have the potential to become a valuable component of personalized healthcare and health management. However, in addition to the potential benefits of wearable devices, the widespread and continuous use of wearables also poses many privacy challenges. In some instances, users may not be aware of the risks associated with wearable devices, while in other cases, users may be aware of the privacy-related risks, but may beunable to negotiate complicated privacy settings to meet their needs and preferences. This lack of awareness could have an adverse impact on users in the future, even becoming a ""skeleton in the closet."" In this work, we conducted 32 semi-structured interviews to understand how users perceive privacy in wearable computing. Results suggest that user concerns …",36
A social approach to authoring media annotations,"Roberto Fagá Jr, Vivian Genaro Motti, Renan Gonçalves Cattelan, Cesar Augusto Camillo Teixeira, Maria da Graça Campos Pimentel",2010/9/21,Conference Proceedings of the 10th ACM symposium on Document engineering,"End-user generated content is responsible for the success of several collaborative applications, as it can be noted in the context of the web. The collaborative use of some of these applications is made possible, in many cases, by the availability of annotation features which allow users to include commentaries on each other's content. In this paper we first discuss the opportunity of defining vocabularies that allow third-party applications to integrate annotations to end-user generated documents, and present a proposal for such a vocabulary. We then illustrate the usefulness of our proposal by detailing a tool which allows users to add multimedia annotations to end-user generated video content.",35
Collaborative synchronous video annotation via the watch-and-comment paradigm,"Vivian G Motti, Roberto Fagá Jr, Renan G Catellan, Maria da Graça C Pimentel, Cesar AC Teixeira",2009/6/3,Conference Proceedings of the 7th European Conference on Interactive TV and Video,"Earlier work has described the WaCTool, which allows a user to perform multimodal annotations (text, digital ink and audio comments) and edit operations on a linear video, producing an interactive video as a result. The fact that the prototype had been extended to allow users to use an integrated chat and share resources in a peer-to-peer-based environment lead users to identify an opportunity to share digital ink notes. The work reported in this paper aims at evaluating a prototype designed to allow the synchronous collaborative editing comments on top of video frames selected by users for annotation. We discuss our aim in allowing this new form of collaboration and present the results of evaluation using four complementary methods: think aloud, heuristics, cognitive walkthrough and questionnaires.",35
