titles,authors,date,source,descriptions,citations
Privacy as a service: Privacy-aware data storage and processing in cloud computing architectures,"Wassim Itani, Ayman Kayssi, Ali Chehab",2009/12/12,"Conference 2009 Eighth IEEE International Conference on Dependable, Autonomic and Secure Computing","In this paper we present PasS (privacy as a service); a set of security protocols for ensuring the privacy and legal compliance of customer data in cloud computing architectures. PasS allows for the secure storage and processing of users' confidential data by leveraging the tamper-proof capabilities of cryptographic coprocessors. Using tamper-proof facilities provides a secure execution domain in the computing cloud that is physically and logically protected from unauthorized access. PasS central design goal is to maximize users' control in managing the various aspects related to the privacy of sensitive data. This is achieved by implementing user-configurable software protection and data privacy mechanisms. Moreover, PasS provides a privacy feedback process which informs users of the different privacy operations applied on their data and makes them aware of any potential risks that may jeopardize the …",425
Energy-efficient incremental integrity for securing storage in mobile cloud computing,"Wassim Itani, Ayman Kayssi, Ali Chehab",2010/12/16,Conference 2010 International Conference on Energy Aware Computing,We present an energy-efficient protocol for ensuring the integrity of storage services in mobile cloud computing. The proposed protocol applies the concepts of incremental cryptography and trusted computing to design secure integrity data structures that protect the customer data while highly reducing the mobile client energy consumption and efficiently supporting dynamic data operations. The system design is analytically analyzed and experimentally implemented to demonstrate the energy savings it provides on mobile clients.,107
J2ME application-layer end-to-end security for m-commerce,"Wassim Itani, Ayman Kayssi",2004/1/31,Journal Journal of Network and Computer Applications,"This paper shows an end-to-end application-layer security solution for wireless enterprise applications using the Java 2 Platform Micro Edition (J2ME). The proposed solution uses pure Java components to provide end-to-end client authentication and data confidentiality and integrity between wireless J2ME-based clients and J2EE-based servers. This solution can be implemented with the available limited resources of a Java MIDP device, without any modification to the underlying protocols or wireless network infrastructure. A mobile banking application is used to illustrate the implementation of the proposed solution.",61
CENTERA: A Centralized Trust-Based Efficient Routing Protocol with Authentication for Wireless Sensor Networks,"Ayman Tajeddine, Ayman Kayssi, Ali Chehab, Imad Elhajj, Wassim Itani",2015/2/2,Journal Sensors,"In this paper, we present CENTERA, a CENtralized Trust-based Efficient Routing protocol with an appropriate authentication scheme for wireless sensor networks (WSN). CENTERA utilizes the more powerful base station (BS) to gather minimal neighbor trust information from nodes and calculate the best routes after isolating different types of “bad” nodes. By periodically accumulating these simple local observations and approximating the nodes' battery lives, the BS draws a global view of the network, calculates three quality metrics—maliciousness, cooperation, and compatibility—and evaluates the Data Trust and Forwarding Trust values of each node. Based on these metrics, the BS isolates “bad”, “misbehaving” or malicious nodes for a certain period, and put some nodes on probation. CENTERA increases the node's bad/probation level with repeated “bad” behavior, and decreases it otherwise. Then it uses a very efficient method to distribute the routing information to “good” nodes. Based on its target environment, and if required, CENTERA uses an authentication scheme suitable for severely constrained nodes, ranging from the symmetric RC5 for safe environments under close administration, to pairing-based cryptography (PBC) for hostile environments with a strong attacker model. We simulate CENTERA using TOSSIM and verify its correctness and show some energy calculations.",38
Type-aware virtual machine management for energy efficient cloud data centers,"Auday Al-Dulaimy, Wassim Itani, Rached Zantout, Ahmed Zekri",2018/9/1,Journal Sustainable Computing: Informatics and Systems,"To meet the growing demands on cloud services and applications, a sizeable number of large scale cloud data centers, hosting thousands of heterogeneous servers, is established by cloud service providers. The ever growth in establishing cloud data centers is accompanied by consuming enormous amounts of energy. Thus, proposing efficient management approaches to reduce the energy consumption in cloud data centers becomes a top priority for ensuring the scalability of the cloud computing architecture. In general, the main source of energy overconsumption in today’s data centers is due to the inefficient use of the physical servers’ resources, which results in poor server utilization patterns. So, the key aspect is to utilize the physical resources optimally while serving the cloud user demands. This paper investigates the design and implementation of virtual machine management strategies for energy efficient …",37
Type-aware virtual machine management for energy efficient cloud data centers,"Auday Al-Dulaimy, Wassim Itani, Rached Zantout, Ahmed Zekri",2018/9/1,Journal Sustainable Computing: Informatics and Systems,"To meet the growing demands on cloud services and applications, a sizeable number of large scale cloud data centers, hosting thousands of heterogeneous servers, is established by cloud service providers. The ever growth in establishing cloud data centers is accompanied by consuming enormous amounts of energy. Thus, proposing efficient management approaches to reduce the energy consumption in cloud data centers becomes a top priority for ensuring the scalability of the cloud computing architecture. In general, the main source of energy overconsumption in today’s data centers is due to the inefficient use of the physical servers’ resources, which results in poor server utilization patterns. So, the key aspect is to utilize the physical resources optimally while serving the cloud user demands. This paper investigates the design and implementation of virtual machine management strategies for energy efficient …",37
J2ME end-to-end security for M-commerce,"Wassim Itani, Ayman I Kayssi",2003/3/20,"Conference 2003 IEEE Wireless Communications and Networking, 2003. WCNC 2003.","This paper shows an end-to-end application-layer security solution for wireless enterprise applications using the Java 2 Platform Micro Edition (J2ME). The proposed solution uses pure Java components to provide end-to-end client authentication and data confidentiality between wireless J2ME based clients and J2EE based servers. This solution can be implemented with the available limited resources of a Java MIDP device, without any modification to the underlying protocols or wireless network infrastructure. A mobile banking application is used to illustrate the implementation of the proposed solution.",32
Sine: Cache-friendly integrity for the web,"Camille Gaspard, Sharon Goldberg, Wassim Itani, Elisa Bertino, Cristina Nita-Rotaru",2009/10/13,Conference 2009 5th IEEE Workshop on Secure Network Protocols,"In this paper we present SINE, a cache-friendly protocol for integrity-enforced web documents. SINE operates by decoupling integrity from confidentiality and provides web documents with an integrity-enforcement authentication tag that can be incrementally verified by multiple parties. We developed a prototype implementation of SINE with minimal changes to the standard web client/server architecture and conducted experiments using the standard Squid web proxy. Our experimental results show that SINE provides the required integrity services to web pages while maintaining the standard caching mechanisms. Moreover, by taking advantage of caching, SINE shows a performance gain that reached a factor of 5 over SSL/TLS.",31
Security analysis and solution for thwarting cache poisoning attacks in the Domain Name System,"Ramzi Bassil, Roula Hobeica, Wassim Itani, Cesar Ghali, Ayman Kayssi, Ali Chehab",2012/4/23,"Conference Telecommunications (ICT), 2012 19th International Conference on","The Domain Name System is a crucial part of the Internet's infrastructure, as it provides basic information that is vital for the proper operation of the Internet. The importance of DNS has caused it to be targeted by malicious attackers who are interested in causing damage and gaining personal benefits. Thus nowadays, DNS faces many security threats such as DNS spoofing and cache poisoning attacks. This paper presents S-DNS, an efficient security solution for thwarting cache poisoning attacks in the DNS hierarchy. The contribution of the S-DNS protocol lies in: (1) decreasing the success probability of DNS spoofing and cache poisoning by preventing man-in-the-middle attacks, (2) providing a backward compatible and simple security solution with low computation and communication overheads, (3) targeting the different DNS query interaction models from iterative, recursive, and caching schemes, and (4 …",26
Power management in virtualized data centers: state of the art,"Auday Al-Dulaimy, Wassim Itani, Ahmed Zekri, Rached Zantout",2016/12,Source Journal of Cloud Computing,"Cloud computing is an emerging technology in the field of computing that provides access to a wide range of shared resources. The rapid growth of cloud computing has led to establishing numerous data centers around the world. As data centers consume huge amounts of power, enhancing their power efficiency has become a major challenge in cloud computing. This paper surveys previous studies and researches that aimed to improve power efficiency of virtualized data centers. This survey is a valuable guide for researchers in the field of power efficiency in virtualized data centers following the cloud computing model.",25
