titles,authors,date,source,descriptions,citations
Intelligent approach to estimation of tunnel-induced ground settlement using wavelet packet and support vector machines,"Limao Zhang, Xianguo Wu, Wenying Ji, Simaan M AbouRizk",2017/3/1,Journal Journal of Computing in Civil Engineering,"This paper proposes a novel hybrid approach that integrates wavelet packet transformation (WPT) and least-squares support vector machines (LSSVMs) to enhance the accuracy and reliability regarding the estimation of tunnel-induced ground settlement on a daily basis. The original time-domain signal, measured settlements over a given time period, is decomposed into a series of sequences using WPT. LSSVM models are then built to predict the target sequences within high- and low-frequency regions. The predicted sequences are reconstructed to recover the estimated tunnel-induced ground settlement over time. Two indicators, mean absolute error (MAE) and root mean square error (RMSE), are proposed to illustrate the correspondence between individual pairs of model predictions and actual observations for performance analysis. A realistic tunnel case in the Wuhan, China, metro system is utilized to …",60
Rapid assessment of disaster impacts on highways using social media,"Yudi Chen, Qi Wang, Wenying Ji",2020/9/1,Journal Journal of Management in Engineering,"A timely and reliable assessment of disaster impacts on highways is desired for executing evacuations, providing emergency services, and planning relief and recovery activities in disaster management. Although social media—a near-real-time and human-centered information source—has been increasingly investigated to assess disaster impacts on communities, the employment of social media for assessing disaster impacts on highways is still less explored due to the lack of a systematic and reliable approach. To fill this gap, this research presents a social media–based approach to assess disaster impacts on highways. Two social media–based indicators, namely, the number of impact-related tweets (NIT) and the geolocation of impact-related tweets (GIT), are designed to indicate the severity and location of disaster impacts on highways, respectively. Disaster impacts on highways during Hurricane Harvey in …",36
Bayesian inference with Markov chain Monte Carlo–based numerical approach for input model updating,"Lingzi Wu, Wenying Ji, Simaan M AbouRizk",2020/1/1,Journal Journal of Computing in Civil Engineering,"Stochastic, discrete-event simulation modeling has emerged as a useful tool for facilitating decision making in construction. Owing to the rigidity inherent to distribution-based inputs, current simulation models have difficulty incorporating new data in real-time, and fusing these data with subjective judgments. Accordingly, application of this valuable technique is often limited to project planning stages. To expand implementation of simulation-based decision-support systems to the execution phase, this research proposes the use of Bayesian inference with Markov chain Monte Carlo (MCMC)–based numerical approximation approach as a universal input model updating methodology of stochastic simulation models for any given univariate continuous probability distribution. Found capable of (1) fusing actual performance with expert judgment, (2) integrating actual performance with historical data, and (3) processing …",26
Credible interval estimation for fraction nonconforming: analytical and numerical solutions,"Wenying Ji, Simaan M AbouRizk",2017/11/1,Journal Automation in Construction,"This paper proposes a Bayesian statistics-based analytical solution and a Markov Chain Monte Carlo (MCMC) method-based numerical solution to estimate the credible interval for fraction nonconforming. Both solutions provide a more accurate, reliable, and interpretable estimation of sampling uncertainty and can be used to improve the functionality of automated, nonconforming quality management systems. To reveal how the inherent mathematical mechanism functions for an analytical solution, a step-by-step proof with a calculation example is provided. For the numerical solution, a specialized Metropolis-Hastings algorithm and an illustrative simulation example are provided to elaborate the stochastic processes of the method. An industrial case study, from a pipe fabrication company in Alberta, Canada, is presented to demonstrate the feasibility and applicability of the proposed credible interval estimation …",24
Simulation-based analytics for quality control decision support: pipe welding case study,"Wenying Ji, Simaan M. AbouRizk",2018/2/21,Journal Journal of Computing in Civil Engineering,"This research aims to enhance industrial pipe welding quality management decision support processes from both an operational and tactical management level by introducing a quantitatively driven analytics approach that allows simulation models to be adjusted by real-time data and measurements. The approach sources and extracts useful information from multirelational data located in both quality management and engineering design systems. The approach implements a Bayesian statistics–based fraction nonconforming estimation to recalibrate and realign models with real-time data, which are generated by actual quality control systems. The approach also develops descriptive and predictive analytical metrics, namely operator quality performance measurements and project quality performance forecasts, for supporting and improving decision-making processes. For practical purposes, a C#-based prototype is deployed to facilitate implementation at an industrial company in Edmonton, Canada. The prototype system was shown to generate accurate and reliable decision metrics in a real time manner and to reduce the data interpretation load of practitioners. DOI: 10.1061/(ASCE) CP. 1943-5487.0000755.© 2018 American",22
Complexity analysis approach for prefabricated construction products using uncertain data clustering,"Wenying Ji, Simaan M AbouRizk, Osmar R Zaiane, Yitong Li",2018,Journal Journal of Construction Engineering and Management,"This paper proposes an uncertain data clustering approach to quantitatively analyze the complexity of prefabricated construction components through the integration of quality performance-based measures with associated engineering design information. The proposed model is constructed in three steps, which (1) measure prefabricated construction product complexity (hereafter referred to as product complexity) by introducing a Bayesian-based nonconforming quality performance indicator, (2) score each type of product complexity by developing a Hellinger distance-based distribution similarity measurement, and (3) cluster products into homogeneous complexity groups by using the agglomerative hierarchical clustering technique. An illustrative example is provided to demonstrate the proposed approach, and a case study of an industrial company in Edmonton, Canada, is conducted to validate the feasibility and …",20
Integrated framework of horizontal and vertical cross-project knowledge transfer mechanism within project-based organizations,"Qianwen Zhou, Xiaopeng Deng, Bon-Gang Hwang, Wenying Ji",2020/9/1,Journal Journal of Management in Engineering,"Although the importance of cross-project knowledge transfer (CPKT) is increasingly valued from academia and industry, the research on the integrated CPKT mechanism within project-based organizations (PBOs) including horizontal transfer and vertical transfer is still in the early stage. This paper aims to explore how critical factors affect the effectiveness of horizontal and vertical CPKT and how to form the CPKT mechanism within PBOs. First, a theoretical model and 14 hypotheses were proposed based on the literature reviews and the pilot study carried out. Then, structural equation modeling (SEM) was done to examine the influencing factors and their relationships with the effectiveness of knowledge transfer according to the data collected from a survey questionnaire developed for this study. The results indicated that the project task context (i.e., temporary nature and time urgency) plays a negative role in the …",18
Simulation-based dynamic adjustments of prices and subsidies for transportation PPP projects based on stakeholders’ satisfaction,"Jingfeng Yuan, Wenying Ji, Jiyue Guo, Mirosław J Skibniewski",2019/12/1,Journal Transportation,"Public–private partnership (PPP) has been well acknowledged by many as an innovative approach to the procurement of public projects. In their long-term concession periods, various uncertain factors lead to the difficulties in implementing the concession contracts. Historical projects have proven that unexpected changes of projects will inevitably result in the adjustment of prices of the private sector and subsidies from the public sector. Therefore, a dynamic price and subsidy adjustment model is desired, to balance the satisfaction of all involved stakeholders (i.e., public sector, private sector, and general public). In the present study, a system dynamics model, which balances the tripartite satisfaction in PPPs, was established. A PPP bridge case study was conducted to demonstrate that the proposed model is applicable and can function for future PPP projects. Model validation, sensitivity analysis, model …",18
Data-driven simulation model for quality-induced rework cost estimation and control using absorbing Markov chains,"Wenying Ji, Simaan M. AbouRizk",2018,Journal Journal of Construction Engineering and Management,"This paper aims to develop a novel, data-driven simulation model to quantitatively assist decision support systems in quality-induced rework cost estimation and control for construction product fabrication. At the core of the model is a specialized absorbing Markov chain, which stochastically models the construction product fabrication process while considering quality-induced rework uncertainty. The model parameters are dynamically updated using real-time quality management and cost management information to achieve more accurate and reliable simulation outputs. Furthermore, two types of decision-support metrics are developed to support rework cost management processes, namely (1) rework cost estimation during the project planning phase, and (2) rework cost control during the project execution phase. An illustrative example is provided to demonstrate the functionalities of the model and the …",18
Integrated data-driven approach for analyzing pipe welding operator-quality performance,"Wenying Ji, Yitong Li, Simaan M AbouRizk",2019/10/1,Journal Automation in Construction,"This paper proposes an integrated, data-driven approach for quantifying and comparing pipe-welding operator quality performance for industrial construction projects using a Metropolis-Hastings algorithm-based fraction nonconforming estimation and an A/B testing algorithm. Existing quality-management and engineering-design data from a pipe fabrication company in Alberta, Canada are processed and analyzed to demonstrate the feasibility and applicability of the proposed approach. Through the use of a specialized Metropolis-Hastings algorithm, operator welding performances are quantified as Bayesian posterior distributions to account for uncertainty. Using an A/B testing algorithm, probabilistic differences between operator-quality performance distributions are computed to quantitatively compare their quality performance. Both visualized and quantitative decision metrics are provided for practitioners to (1 …",16
