titles,authors,date,source,descriptions,citations
A distributed algorithm for least squares solutions,"Xuan Wang, Jingqiu Zhou, Shaoshuai Mou, Martin J Corless",2019/1/22,Journal IEEE Transactions on Automatic Control,"In this technical note, a distributed algorithm is proposed for multiagent networks to achieve a least squares solution of a system of linear equations, in which each agent only knows part of the overall equations and communicates only with its nearby neighbors. The proposed algorithm is discrete time but does not involve small or time-varying step sizes. Given that the network is fixed, connected, and undirected, the proposed algorithm enables all agents in the network to achieve exponentially fast the same least squares solution; this is validated by simulations.",55
Improvement of a distributed algorithm for solving linear equations,"Xuan Wang, Shaoshuai Mou, Dengfeng Sun",2016/12/6,Journal IEEE Transactions on Industrial Electronics,"This paper performs further improvement to a distributed algorithm for solving linear algebraic equations via multi-agent networks recently developed by Mou et al., in which all agents' states converge exponentially fast to the same solution to a group of linear equations by assuming each agent knows only part of the linear equations and its nearby neighbors' states. We first prove that the algorithm proposed by Mou et al. with special initialization is able to achieve the solution that is closest to a given point in the Euclidean distance. Second, we eliminate the required initialization step used by Mou et al. by a modification to the update equation. Both analytical and numerical results are provided for validation.",54
"Scalable, distributed algorithms for solving linear equations via double-layered networks","Xuan Wang, Shaoshuai Mou, Brian DO Anderson",2019/5/27,Journal IEEE Transactions on Automatic Control,"This paper proposes scalable, distributed algorithms for solving linear equations by integrating two mechanisms, termed consensus and conservation, in double-layered multiagent networks. The multiagent network considered in this paper is composed of clusters and each cluster consists of an aggregator and a subnetwork of agents. By achieving consensus and conservation through agent-agent communications in the same cluster and aggregator-aggregator communications among different clusters, respectively, distributed algorithms are devised for agents to cooperatively achieve a solution to the overall linear equation. These algorithms outperform existing algorithms, including but not limited to the following aspects-first, each agent does not have to know as much as a complete row or column of the overall equation; second, each agent only needs to control as few as two scalar states when the number of …",24
A resilient convex combination for consensus-based distributed algorithms,"Xuan Wang, Shaoshuai Mou, Shreyas Sundaram",2018/6/27,Journal arXiv preprint arXiv:1806.10271,"Consider a set of vectors in , partitioned into two classes: normal vectors and malicious vectors. The number of malicious vectors is bounded but their identities are unknown. The paper provides a way for achieving a resilient convex combination, which is a convex combination of only normal vectors. Compared with existing approaches based on Tverberg points, the proposed method based on the intersection of convex hulls has lower computational complexity. Simulations suggest that the proposed method can be applied to resilience for consensus-based distributed algorithms against Byzantine attacks.",19
Finite-Time Distributed Linear Equation Solver for Solutions With Minimum -Norm,"Jingqiu Zhou, Xuan Wang, Shaoshuai Mou, Brian DO Anderson",2019/7/30,Journal IEEE Transactions on Automatic Control,"This paper proposes a continuous-time distributed algorithm for multiagent networks to achieve a solution with the minimum l 1 -norm to underdetermined linear equations. The proposed algorithm comes from a combination of the Filippov set-valued map with the projection-consensus flow. Given the underlying network is undirected and fixed, it is shown that the proposed algorithm drives all agents' individual states to converge in finite time to a common value, which is the minimum l 1 -norm solution.",17
A distributed linear equation solver for least square solutions,"Xuan Wang, Jingqiu Zhou, Shaoshuai Mou, Martin J Corless",2017/12/12,Conference 2017 IEEE 56th Annual Conference on Decision and Control (CDC),"This paper proposes a distributed update for achieving the least square solution of linear equations by multiagent networks, in which each agent only knows part of these linear equations and is able to communicate with its nearby neighbors. It has been analytically proved that for undirected and connected network, the proposed update enables all agents to achieve an exact least square solution exponentially fast by iteratively updating its own state based on those from its neighbors. Moreover, the exponential convergence does not rely on any time-varying small step size.",13
Online Deflection Estimation of X-Axis Beam on Positioning Machine,"Xuan Wang, Huijun Gao, Okyay Kaynak, Weichao Sun",2015/7/14,Journal IEEE/ASME Transactions on Mechatronics,"For high-precision devices, one of the most important factors that influence their positioning accuracy is the deflection in the mechanical structures. The finite-element method (FEM) is the most common method used to investigate deflections. However, it has such a high computational complexity that it cannot be used in real-time deflection correction applications. In this paper, to improve the accuracy of a positioning machine, an online deflection estimation method that has high accuracy and low computational complexity is proposed. First, by analyzing the mechanical characteristics of the beam, the effect of the positioning head on the beam is represented by four forces located at their contact points and a deflection estimation model is developed. Then, the uncertain parameters of this estimation model are identified by the use of the deflection values obtained from the FEM analysis. The final mathematical model is …",13
A distributed algorithm for achieving the conservation principle,"Xuan Wang, Shaoshuai Mou",2018/6/27,Conference 2018 Annual American Control Conference (ACC),"A distributed and continuous update is proposed for multi-agent networks to achieve the conservation principle, in which each agent can only communicate with its nearby neighbors. The information known to each agent is part of the overall conservation constraint, which is determined by states of its neighbors. Different from achieving consensus, agents in the networks control states that might not necessarily be in the same dimension. Given the underlying network to be undirected and connected, the proposed update drives all agents' states to converge asymptotically to constants satisfying the nonlinear conservation principle, under mild assumptions. The assumption is relaxed when the conservation principle is linear, for which the convergence is exponentially fast. Both analytical results and numerical simulations are provided, followed by applications in achieving least square solutions in a distributed way.",9
Distributed Algorithm for Achieving Minimum l1Norm Solutions of Linear Equation,"Jingqiu Zhou, Wang Xuan, Shaoshuai Mou, Brian DO Anderson",2018/6/27,Conference 2018 Annual American Control Conference (ACC),"Ahstract- This paper proposes a distributed algorithm for multi-agent networks to achieve a minimum l1 -norm solution to a linear equation Ax=b where A has full row rank. When the underlying network is undirected and fixed, it is proved that the proposed algorithm drive all agents' individual states to converge in finite-time to the same minimum l1 -norm solution. Numerical simulations are also provided as validation of the proposed algorithms.",7
Further discussions on a distributed algorithm for solving linear algebra equations,"Xuan Wang, Shaoshuai Mou, Dengfeng Sun",2017/5/24,Conference 2017 American Control Conference (ACC),"In [2], a distributed algorithm has recently been developed for solving linear algebraic equations via multi-agent networks. To adopt the algorithm, each agent only has to know part of the linear equation as well as its nearby neighbors' estimates to the solution. In this paper, we would like to further discuss this algorithm from the following two perspectives. The first one is to improve the numerical stability of the algorithm and meanwhile eliminate initialization step that is necessary in [2]. The second one is to achieve a specific solution with minimum l 2  norm when the linear equation has more than one solutions.",7
