titles,authors,date,source,descriptions,citations
Uav assisted usv visual navigation for marine mass casualty incident response,"Xuesu Xiao, Jan Dufek, Tim Woodbury, Robin Murphy",2017/9/24,Conference 2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"This research teams an Unmanned Surface Vehicle (USV) with an Unmanned Aerial Vehicle (UAV) to augment and automate marine mass casualty incident search and rescue in emergency response phase. The demand for real-time responsiveness of those missions requires fast and comprehensive situational awareness and precise operations, which are challenging to achieve because of the large area and the flat nature of the water field. The responders, drowning victims, and rescue vehicle are far apart and all located at the sea level. The long distances mean responders cannot clearly discern the rescue vehicle and victims from the surrounding water. Furthermore, being at the same elevation makes depth perception difficult. Rescue vehicle and victims at different distances from the responder will always appear to be close together. This makes it almost impossible for the responders to accurately drive the …",82
Motion planning and control for mobile robot navigation using machine learning: a survey,"Xuesu Xiao, Bo Liu, Garrett Warnell, Peter Stone",2022/6,Journal Autonomous Robots,"Moving in complex environments is an essential capability of intelligent mobile robots. Decades of research and engineering have been dedicated to developing sophisticated navigation systems to move mobile robots from one point to another. Despite their overall success, a recently emerging research thrust is devoted to developing machine learning techniques to address the same problem, based in large part on the success of deep learning. However, to date, there has not been much direct comparison between the classical and emerging paradigms to this problem. In this article, we survey recent works that apply machine learning for motion planning and control in mobile robot navigation, within the context of classical navigation systems. The surveyed works are classified into different categories, which delineate the relationship of the learning approaches to classical methods. Based on this classification, we …",54
A lifelong learning approach to mobile robot navigation,"Bo Liu, Xuesu Xiao, Peter Stone",2021/2/2,Journal IEEE Robotics and Automation Letters,"This letter presents a self-improving lifelong learning framework for a mobile robot navigating in different environments. Classical static navigation methods require environment-specific in-situ system adjustment, e.g., from human experts, or may repeat their mistakes regardless of how many times they have navigated in the same environment. Having the potential to improve with experience, learning-based navigation is highly dependent on access to training resources, e.g., sufficient memory and fast computation, and is prone to forgetting previously learned capability, especially when facing different environments. In this work, we propose Lifelong Learning for Navigation (LLfN) which (1) improves a mobile robot's navigation behavior purely based on its own experience, and (2) retains the robot's capability to navigate in previous environments after learning in new ones. LLfN is implemented and tested entirely …",47
Appld: Adaptive planner parameter learning from demonstration,"Xuesu Xiao, Bo Liu, Garrett Warnell, Jonathan Fink, Peter Stone",2020/6/15,Journal IEEE Robotics and Automation Letters,"Existing autonomous robot navigation systems allow robots to move from one point to another in a collision-free manner. However, when facing new environments, these systems generally require re-tuning by expert roboticists with a good understanding of the inner workings of the navigation system. In contrast, even users who are unversed in the details of robot navigation algorithms can generate desirable navigation behavior in new environments via teleoperation. In this letter, we introduce appld, Adaptive Planner Parameter Learning from Demonstration, that allows existing navigation systems to be successfully applied to new complex environments, given only a human-teleoperated demonstration of desirable navigation. appld is verified on two robots running different navigation systems in different environments. Experimental results show that appld can outperform navigation systems with the default and …",44
Locomotive reduction for snake robots,"Xuesu Xiao, Ellen Cappo, Weikun Zhen, Jin Dai, Ke Sun, Chaohui Gong, Matthew J Travers, Howie Choset",2015/5/26,Conference 2015 IEEE International Conference on Robotics and Automation (ICRA),"Limbless locomotion, evidenced by both biological and robotic snakes, capitalizes on these systems' redundant degrees of freedom to negotiate complicated environments. While the versatility of locomotion methods provided by a snake-like form is of great advantage, the difficulties in both representing the high dimensional workspace configuration and implementing the desired translations and orientations makes difficult further development of autonomous behaviors for snake robots. Based on a previously defined average body frame and set of motion primitives, this work proposes locomotive reduction, a simplifying methodology which reduces the complexity of controlling a redundant snake robot to that of navigating a differential-drive vehicle. We verify this technique by controlling a 16-DOF snake robot using locomotive reduction combined with a visual tracking system. The simplicity resulting from the …",35
Indoor uav localization using a tether,"Xuesu Xiao, Yiming Fan, Jan Dufek, Robin Murphy",2018/8/6,"Conference 2018 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR)","This paper presents an approach to localize a UAV in indoor environments using only a quasi-taut tether. In indoor GPS-denied environments, UAV localization usually depends on vision-based methods combined with inertial sensing, such as visual odometry or SLAM using 2D/3D cameras or laser range finders. This necessitates either heavy and sophisticated sensor payload mounted onto the UAV platform or computationally expensive algorithms running online. In this work, we investigate another indoor localization possibility for a tethered UAV: using the tether's sensory feedback, which is fed into a catenary-based mechanics model, to localize the UAV in an indoor global frame defined by the tether reel center. Our localization method is tested on a physical robot, Fotokite Pro. Our approach could reduce the error of the state-of-the-art tether-based indoor aerial vehicle localization by 31.12%. Since the UAV is …",34
Benchmarking metric ground navigation,"Daniel Perille, Abigail Truong, Xuesu Xiao, Peter Stone",2020/11/4,"Conference 2020 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR)","Metric ground navigation addresses the problem of autonomously moving a robot from one point to another in an obstacle-occupied planar environment in a collision-free manner. It is one of the most fundamental capabilities of intelligent mobile robots. This paper presents a standardized testbed with a set of environments and metrics to benchmark difficulty of different scenarios and performance of different systems of metric ground navigation. Current benchmarks focus on individual components of mobile robot navigation, such as perception and state estimation, but the navigation performance as a whole is rarely measured in a systematic and standardized fashion. As a result, navigation systems are usually tested and compared in an ad hoc manner, such as in one or two manually chosen environments. The introduced benchmark provides a general testbed for ground robot navigation in a metric world. The …",33
Learning inverse kinodynamics for accurate high-speed off-road navigation on unstructured terrain,"Xuesu Xiao, Joydeep Biswas, Peter Stone",2021/6/16,Journal IEEE Robotics and Automation Letters,"This letter presents a learning-based approach to consider the effect of unobservable world states in kinodynamic motion planning in order to enable accurate high-speed off-road navigation on unstructured terrain. Existing kinodynamic motion planners either operate in structured and homogeneous environments and thus do not need to explicitly account for terrain-vehicle interaction, or assume a set of discrete terrain classes. However, when operating on unstructured terrain, especially at high speeds, even small variations in the environment will be magnified and cause inaccurate plan execution. In this letter, to capture the complex kinodynamic model and mathematically unknown world state, we learn a kinodynamic planner in a data-driven manner with onboard inertial observations. Our approach is tested on a physical robot in different indoor and outdoor environments, enables fast and accurate off-road …",32
Two case studies and gaps analysis of flood assessment for emergency management with small unmanned aerial systems,"Robin Murphy, Jan Dufek, Traci Sarmiento, Grant Wilde, Xuesu Xiao, Jeff Braun, Lachlan Mullen, Richard Smith, Sam Allred, Justin Adams, Adam Wright, Jess Gingrich",2016/10/23,"Conference 2016 IEEE international symposium on safety, security, and rescue robotics (SSRR)","This paper documents the successful use of small unmanned aerial systems (SUAS) for two floods in Fort Bend County, Texas, and identifies gaps in informatics, manpower, human-robot interaction, and cost-benefit analysis. The case studies focus on how emergency managers can use SUAS for flood assessment including flood mapping and projection of impact, verification of flood inundation models, providing justification for publicly accountable decisions, and public information. The case studies are particularly informative because they were flown at the direction of County experts during two actual flood events and represent 21 flights over four days.",29
Appli: Adaptive planner parameter learning from interventions,"Zizhao Wang, Xuesu Xiao, Bo Liu, Garrett Warnell, Peter Stone",2021/5/30,Conference 2021 IEEE international conference on robotics and automation (ICRA),"While classical autonomous navigation systems can typically move robots from one point to another safely and in a collision-free manner, these systems may fail or produce suboptimal behavior in certain scenarios. The current practice in such scenarios is to manually re-tune the system’s parameters, e.g. max speed, sampling rate, inflation radius, to optimize performance. This practice requires expert knowledge and may jeopardize performance in the originally good scenarios. Meanwhile, it is relatively easy for a human to identify those failure or suboptimal cases and provide a teleoperated intervention to correct the failure or suboptimal behavior. In this work, we seek to learn from those human interventions to improve navigation performance. In particular, we propose Adaptive Planner Parameter Learning from Interventions (APPLI), in which multiple sets of navigation parameters are learned during training and …",24
