titles,authors,date,source,descriptions,citations
Speech enhancement using a minimum-mean square error short-time spectral amplitude estimator,"Yariv Ephraim, David Malah",1984/12,"Journal IEEE Transactions on acoustics, speech, and signal processing","This paper focuses on the class of speech enhancement systems which capitalize on the major importance of the short-time spectral amplitude (STSA) of the speech signal in its perception. A system which utilizes a minimum mean-square error (MMSE) STSA estimator is proposed and then compared with other widely used systems which are based on Wiener filtering and the ""spectral subtraction"" algorithm. In this paper we derive the MMSE STSA estimator, based on modeling speech and noise spectral components as statistically independent Gaussian random variables. We analyze the performance of the proposed STSA estimator and compare it with a STSA estimator derived from the Wiener estimator. We also examine the MMSE STSA estimator under uncertainty of signal presence in the noisy observations. In constructing the enhanced signal, the MMSE STSA estimator is combined with the complex …",4875
Speech enhancement using a minimum mean-square error log-spectral amplitude estimator,"Yariv Ephraim, David Malah",1985/4,"Journal IEEE transactions on acoustics, speech, and signal processing","In this correspondence we derive a short-time spectral amplitude (STSA) estimator for speech signals which minimizes the mean-square error of the log-spectra (i.e., the original STSA and its estimator) and examine it in enhancing noisy speech. This estimator is also compared with the corresponding minimum mean-square error STSA estimator derived previously. It was found that the new estimator is very effective in enhancing the noisy speech, and it significantly improves its quality.",2571
A signal subspace approach for speech enhancement,"Yariv Ephraim, Harry L Van Trees",1995/7,Journal IEEE Transactions on speech and audio processing,"A comprehensive approach for nonparametric speech enhancement is developed. The underlying principle is to decompose the vector space of the noisy signal into a signal-plus-noise subspace and a noise subspace. Enhancement is performed by removing the noise subspace and estimating the clean signal from the remaining signal subspace. The decomposition can theoretically be performed by applying the Karhunen-Loeve transform (KLT) to the noisy signal. Linear estimation of the clean signal is performed using two perceptually meaningful estimation criteria. First, signal distortion is minimized while the residual noise energy is maintained below some given threshold. This criterion results in a Wiener filter with adjustable input noise level. Second, signal distortion is minimized for a fixed spectrum of the residual noise. This criterion enables masking of the residual noise by the speech signal. It results in a …",1385
Hidden markov processes,"Yariv Ephraim, Neri Merhav",2002/6,Journal IEEE Transactions on information theory,"An overview of statistical and information-theoretic aspects of hidden Markov processes (HMPs) is presented. An HMP is a discrete-time finite-state homogeneous Markov chain observed through a discrete-time memoryless invariant channel. In recent years, the work of Baum and Petrie (1966) on finite-state finite-alphabet HMPs was expanded to HMPs with finite as well as continuous state spaces and a general alphabet. In particular, statistical properties and ergodic theorems for relative entropy densities of HMPs were developed. Consistency and asymptotic normality of the maximum-likelihood (ML) parameter estimator were proved under some mild conditions. Similar results were established for switching autoregressive processes. These processes generalize HMPs. New algorithms were developed for estimating the state, parameter, and order of an HMP, for universal coding and classification of HMPs, and for …",1041
Statistical-model-based speech enhancement systems,Yariv Ephraim,1992/10,Journal Proceedings of the IEEE,"Since the statistics of the speech signal as well as of the noise are not explicitly available, and the most perceptually meaningful distortion measure is not known, model-based approaches have recently been extensively studied and applied to the three basic problems of speech enhancement: signal estimation from a given sample function of noisy speech, signal coding when only noisy speech is available, and recognition of noisy speech signals in man-machine communication. Research on the model-based approach is integrated and put into perspective with other more traditional approaches for speech enhancement. A unified statistical approach for the three basic problems of speech enhancement is developed, using composite source models for the signal and noise and a fairly large set of distortion measures.< >",546
A Bayesian estimation approach for speech enhancement using hidden Markov models,Yariv Ephraim,1992/4,Journal IEEE Transactions on Signal Processing,"A Bayesian estimation approach for enhancing speech signals which have been degraded by statistically independent additive noise is motivated and developed. In particular, minimum mean square error (MMSE) and maximum a posteriori (MAP) signal estimators are developed using hidden Markov models (HMMs) for the clean signal and the noise process. It is shown that the MMSE estimator comprises a weighted sum of conditional mean estimators for the composite states of the noisy signal, where the weights equal the posterior probabilities of the composite states given the noisy signal. The estimation of several spectral functionals of the clean signal such as the sample spectrum and the complex exponential of the phase is also considered. A gain-adapted MAP estimator is developed using the expectation-maximization algorithm. The theoretical performance of the MMSE estimator is discussed, and …",337
On the application of hidden Markov models for enhancing noisy speech,"Yariv Ephraim, David Malah, B-H Juang",1989/12,"Journal IEEE Transactions on Acoustics, Speech, and Signal Processing","A maximum-a-posteriori approach for enhancing speech signals which have been degraded by statistically independent additive noise is proposed. The approach is based on statistical modeling of the clean speech signal and the noise process using long training sequences from the two processes. Hidden Markov models (HMMs) with mixtures of Gaussian autoregressive (AR) output probability distributions (PDs) are used to model the clean speech signal. The model for the noise process depends on its nature. The parameter set of the HMM model is estimated using the Baum or the EM (estimation-maximization) algorithm. The noisy speech is enhanced by reestimating the clean speech waveform using the EM algorithm. Efficient approximations of the training and enhancement procedures are examined. This results in the segmental k-means approach for hidden Markov modeling, in which the state sequence …",284
A Bayesian approach to robust adaptive beamforming,"Kristine L Bell, Yariv Ephraim, Harry L Van Trees",2000/2,Journal IEEE Transactions on Signal Processing,"An adaptive beamformer that is robust to uncertainty in source direction-of-arrival (DOA) is derived using a Bayesian approach. The DOA is assumed to be a discrete random variable with a known a priori probability density function (PDF) that reflects the level of uncertainty in the source DOA. The resulting beamformer is a weighted sum of minimum variance distortionless response (MVDR) beamformers pointed at a set of candidate DOAs, where the relative contribution of each MVDR beamformer is determined from the a posteriori PDF of the DOA conditioned on previously observed data. A simple approximation to the a posteriori PDF results in a straightforward implementation. Performance of the approximate Bayesian beamformer is compared with linearly constrained minimum variance (LCMV) beamformers and data-driven approaches that attempt to estimate signal characteristics or the steering vector from …",279
Extended Ziv-Zakai lower bound for vector parameter estimation,"Kristine L Bell, Yossef Steinberg, Yariv Ephraim, Harry L Van Trees",1997/3,Journal IEEE Transactions on information theory,"The Bayesian Ziv-Zakai bound on the mean square error (MSE) in estimating a uniformly distributed continuous random variable is extended for arbitrarily distributed continuous random vectors and for distortion functions other than MSE. The extended bound is evaluated for some representative problems in time-delay and bearing estimation. The resulting bounds have simple closed-form expressions, and closely predict the simulated performance of the maximum-likelihood estimator in all regions of operation.",225
Extension of the signal subspace speech enhancement approach to colored noise,"Hanoch Lev-Ari, Yariv Ephraim",2003/3/20,Journal IEEE Signal Processing Letters,"The signal subspace approach for speech enhancement is extended to colored-noise processes. Explicit forms for the linear time-domain- and spectral-domain-constrained estimators are presented. These estimators minimize the average signal distortion power for given constraints on the residual noise power in the time and spectral domains, respectively. Equivalent implementations of the two estimators using the whitening approach are described.",159
