titles,authors,date,source,descriptions,citations
Your attention is unique: Detecting 360-degree video saliency in head-mounted display for head movement prediction,"Anh Nguyen, Zhisheng Yan, Klara Nahrstedt",2018/10/15,Book Proceedings of the 26th ACM international conference on Multimedia,"Head movement prediction is the key enabler for the emerging 360-degree videos since it can enhance both streaming and rendering efficiency. To achieve accurate head movement prediction, it becomes imperative to understand user's visual attention on 360-degree videos under head-mounted display (HMD). Despite the rich history of saliency detection research, we observe that traditional models are designed for regular images/videos fixed at a single viewport and would introduce problems such as central bias and multi-object confusion when applied to the multi-viewport 360-degree videos switched by user interaction. To fill in this gap, this paper shifts the traditional single-viewport saliency models that have been extensively studied for decades to a fresh panoramic saliency detection specifically tailored for 360-degree videos, and thus maximally enhances the head movement prediction performance. The …",136
Medium access control for wireless body area networks with QoS provisioning and energy efficient design,"Bin Liu, Zhisheng Yan, Chang Wen Chen",2016/3/31,Journal IEEE transactions on mobile computing,"With the promising applications in e-Health and entertainment services, wireless body area network (WBAN) has attracted significant interest. One critical challenge for WBAN is to track and maintain the quality of service (QoS), e.g., delivery probability and latency, under the dynamic environment dictated by human mobility. Another important issue is to ensure the energy efficiency within such a resource-constrained network. In this paper, a new medium access control (MAC) protocol is proposed to tackle these two important challenges. We adopt a TDMA-based protocol and dynamically adjust the transmission order and transmission duration of the nodes based on channel status and application context of WBAN. The slot allocation is optimized by minimizing energy consumption of the nodes, subject to the delivery probability and throughput constraints. Moreover, we design a new synchronization scheme to …",133
MAC protocol in wireless body area networks for E-health: Challenges and a context-aware design,"Bin Liu, Zhisheng Yan, Chang Wen Chen",2013/8,Journal IEEE Wireless Communications,"Wireless Body Area Networks (WBAN) is a promising low power technology that enables the communications between body area sensor nodes and a central coordinator. It targets at many applications in e-Health services. In WBAN, different data sources generate time-varying traffic. Large traffic volume may result in intolerant latency and thus it is extremely important that the most significant data can always be delivered in a real-time fashion. Besides, data transmission may suffer from deep fading and packets loss due to the dynamic on-body channel induced by movements and surrounding environment. Hence, energy-efficient medium access control (MAC) is crucially needed to allocate transmission bandwidth and to ensure reliable transmission considering WBAN contexts, i.e., time-varying human and environment conditions. To improve both efficiency and reliability, we investigate the challenges in the …",111
CA-MAC: A hybrid context-aware MAC protocol for wireless body area networks,"Bin Liu, Zhisheng Yan, Chang Wen Chen",2011/6/13,"Conference 2011 IEEE 13th International Conference on e-Health Networking, Applications and Services","In wireless body area network (WBAN), various data sources are generated by different type of sensors and transmitted to the master node, which may result in temporally different traffic loads. With time-varying channel caused by frequent body movement, transmitted data may also experience deep fading and packet loss. To meet the complex transmission requirements in WBAN, a traffic-aware and channel-aware MAC protocol is required. In this paper, we introduce CA-MAC, a context-aware MAC protocol using a hybrid of contention-based and TDMA-based approaches. A dynamic control mechanism is proposed to address fading channel by adaptively modifying MAC frame structure. Schedule-based and polling-based techniques are also used to manage periodic, bursty, and emergency traffic requirement. Simulation results confirm the advantage of CA-MAC on reliability over existing TDMA-based approach.",60
A context aware MAC protocol for medical wireless body area network,"Zhisheng Yan, Bin Liu",2011/7/4,Conference 2011 7th International Wireless Communications and Mobile Computing Conference,"During long-term medical monitoring in Wireless Body Area Networks (WBAN), network requirements (i.e. traffic loads and latency) of various data sources may be different at different time. High traffic loads may lead to data overload and unacceptable latency, which makes potential danger of patients undiagnosed. It is important that real-time transmission of life-critical data can be always guaranteed. To address this problem, a context-aware MAC protocol is presented in this paper. According to analysis of collected life parameters, the protocol can switch between normal state and emergency state. As a result, data rate and duty cycle of sensor nodes are dynamically changed to meet the requirement of latency and traffic loads in a contexta-ware way. To save the power consumption, a TDMA-based MAC frame structure is used. Moreover, a novel optional synchronization scheme is proposed to decrease the …",50
Prius: Hybrid edge cloud and client adaptation for HTTP adaptive streaming in cellular networks,"Zhisheng Yan, Jingteng Xue, Chang Wen Chen",2016/3/8,Journal IEEE transactions on circuits and systems for video technology,"In this paper, we present Prius, a hybrid edge cloud and client adaptation framework for HTTP adaptive streaming (HAS) by taking advantage of the new capabilities empowered by recent advances in edge cloud computing. In particular, emerging edge clouds are capable of accessing an application layer and radio access networks (RANs) information in real time. Coupled with powerful computation support, an edge cloud-assisted strategy is expected to significantly enrich mobile services. Meanwhile, although HAS has established itself as the dominant technology for video streaming, one key challenge for adapting HAS to mobile cellular networks is in overcoming the inaccurate bandwidth estimation and unfair bitrate adaptation under the highly dynamic cellular links. Edge cloud-assisted HAS presents a new opportunity to resolve these issues and achieve systematic enhancement of quality of experience (QoE …",40
RnB: Rate and brightness adaptation for rate-distortion-energy tradeoff in HTTP adaptive streaming over mobile devices,"Zhisheng Yan, Chang Wen Chen",2016/10/3,Book Proceedings of the 22nd Annual International Conference on Mobile Computing and Networking,"Video streaming is a prevalent mobile service that drains a significant amount of battery power. While various efforts have been made toward saving both video transfer and display energy, they are independently designed in an ad-hoc way and thereby can cause some non-apparent yet critical performance issues. To fill in this gap, this paper presents a fundamentally new design by jointly considering the end-to-end pipeline from the initial video encoding to the final mobile display. In essence, we shift the classic R-D tradeoff that has governed streaming system designs for decades to a fresh rate-distortion-energy (R-D-E) tradeoff specifically tailored for mobile devices. We present RnB, a video bitrate and display brightness adaptation platform that is standard-compliant, backward compatible, and device-neutral in order to achieve the proposed R-D-E tradeoff. RnB is empowered by some new discovery about the …",34
Larm: A lifetime aware regression model for predicting youtube video popularity,"Changsha Ma, Zhisheng Yan, Chang Wen Chen",2017/11/6,Book Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,"Online content popularity prediction provides substantial value to a broad range of applications in the end-to-end social media systems, from network resource allocation to targeted advertising. While using historical popularity can predict the near-term popularity with a reasonable accuracy, the bursty nature of online content popularity evolution makes it difficult to capture the correlation between historical data and future data in the long term. Although various existing efforts have been made toward long-term prediction, they need to accumulate a long enough historical data before the prediction and their model assumptions cannot be applied to the complex YouTube networks with inherent unpredictability.",33
Prediction-based dynamic relay transmission scheme for wireless body area networks,"Hui Feng, Bin Liu, Zhisheng Yan, Chi Zhang, Chang Wen Chen",2013/9/8,"Conference 2013 IEEE 24th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)","To support long-term pervasive healthcare services, communications in Wireless Body Area Networks (WBANs) need to be both reliable and energy-efficient. As a cooperative transmission method, relay transmission scheme works effectively in resisting shadowing effect and improving reliability in WBANs. However, the extra energy consumption introduced by relay transmission is very high, which can shorten the lifetime of the whole network. In this paper, temporal and spatial correlation models for on-body channels are first presented to better characterize the slow fading effect of on-body channels. Then a prediction-based dynamic relay transmission (PDRT) scheme that makes full use of the correlation characteristics of on-body channels is proposed. In the PDRT scheme, “when to relay” and “who to relay” are decided in an optimal way based on the last known channel states. Moreover, neither extra signaling …",31
QoS-driven scheduling approach using optimal slot allocation for wireless body area networks,"Zhisheng Yan, Bin Liu, Chang Wen Chen",2012/10/10,"Conference 2012 IEEE 14th international conference on e-health networking, applications and services (Healthcom)","Wireless Body Area Network (WBAN) is a promising type of networks that mainly targets at applications in ubiquitous communication and e-Health services. Different from other types of networks, one important challenge for WBAN is that its quality of service (QoS) requirement, in terms of delivery probability and data rate, will be time varying since human body is a highly dynamic physical environment. Another significant challenge for WBAN is that energy efficiency needs to be guaranteed in such a resource-limited network. In this paper, a QoS-driven scheduling approach is proposed to address these challenges. We model the WBAN channel as a Markov model as suggested by the emerging IEEE 802.15.6 BAN standard and propose a threshold-based scheme to adjust the transmission order of nodes. The number of slots for each node is optimally assigned according to the QoS requirement while minimizing the …",30
QoE continuum driven HTTP adaptive streaming over multi-client wireless networks,"Zhisheng Yan, Jingteng Xue, Chang Wen Chen",2014/7/14,Conference 2014 IEEE International Conference on Multimedia and Expo (ICME),"Different from traditional HTTP adaptive streaming (HAS) in which only one client is considered, HAS over multi-client wireless networks faces new challenges. The Quality of Experience (QoE) of users becomes unstable due to users' competition for shared bandwidth. It is thus important to accurately estimate the perceived experience of users and then adapt the streaming process accordingly. Furthermore, the QoE fairness among multiple clients subscribing to the same services shall also be addressed. In this research, we propose a QoE continuum driven HAS adaptation algorithm to address these challenges. We model the QoE continuum as an integrated consideration of cumulative playback quality and playback smoothness. Based on this model, we jointly optimize the quality adaptation of multiple users by considering both QoE history and channel status. Moreover, we propose to use quantization parameter …",28
Scalable access control for privacy-aware media sharing,"Changsha Ma, Zhisheng Yan, Chang Wen Chen",2018/6/28,Journal IEEE Transactions on Multimedia,"The prevalence of social networks has made it easier than ever for users to share their photos, videos, and other media content with anybody from anywhere. However, the easy access of user-generated media content also brings about privacy concerns. Traditional access control mechanisms, where a single access policy is made for a specific piece of content, cannot satisfy the user privacy requirements in large-scale media sharing systems. Instead, configuring multiple levels of access privileges for the shared media content is desired. On one hand, it conforms to the principle of social networks in information propagation. On the other hand, it accords with the diverse and complex social relationship among social network users. In this paper, we propose a scalable media access control (SMAC) system to enable such a configuration in a secure and efficient manner. The proposed SMAC system is empowered by …",26
Pdmove: Towards passive medication adherence monitoring of parkinson's disease using smartphone-based gait assessment,"Hanbin Zhang, Chenhan Xu, Huining Li, Aditya Singh Rathore, Chen Song, Zhisheng Yan, Dongmei Li, Feng Lin, Kun Wang, Wenyao Xu",2019/9/9,"Journal Proceedings of the ACM on interactive, mobile, wearable and ubiquitous technologies","The medicine adherence in Parkinson's disease (PD) treatment has attracted tremendous attention due to the critical consequences it can lead to otherwise. As a result, clinics need to ensure that the medicine intake is performed on time. Existing approaches, such as self-report, family reminder, and pill counts, heavily rely on the patients themselves to log the medicine intake (hereafter, patient involvement). Unfortunately, PD patients usually suffer from impaired cognition or memory loss, which leads to the so-called medication non-adherence, including missed doses, extra doses, and mistimed doses. These instances can nullify the treatment or even harm the patients. In this paper, we present PDMove, a smartphone-based passive sensing system to facilitate medication adherence monitoring without the need for patient involvement. Specifically, PDMove builds on the fact that PD patients will present gait …",25
A saliency dataset for 360-degree videos,"Anh Nguyen, Zhisheng Yan",2019/6/18,Book Proceedings of the 10th ACM Multimedia Systems Conference,"Despite the increasing popularity, realizing 360-degree videos in everyday applications is still challenging. Considering the unique viewing behavior in head-mounted display (HMD), understanding the saliency of 360-degree videos becomes the key to various 360-degree video research. Unfortunately, existing saliency datasets are either irrelevant to 360-degree videos or too small to support saliency modeling. In this paper, we introduce a large saliency dataset for 360-degree videos with 50,654 saliency maps from 24 diverse videos. The dataset is created by a new methodology supported by psychology studies in HMD viewing. We describe an open-source software implementing this methodology that can generate saliency maps from any head tracking data. Evaluation of the dataset shows that the generated saliency is highly correlated with the actual user fixation and that the saliency data can provide useful …",23
OcuLock: Exploring human visual system for authentication in virtual reality head-mounted display,"Shiqing Luo, Anh Nguyen, Chen Song, Feng Lin, Wenyao Xu, Zhisheng Yan",2020/1,Journal 2020 Network and Distributed System Security Symposium (NDSS),"The increasing popularity of virtual reality (VR) in a wide spectrum of applications has generated sensitive personal data such as medical records and credit card information. While protecting such data from unauthorized access is critical, directly applying traditional authentication methods (eg, PIN) through new VR input modalities such as remote controllers and head navigation would cause security issues. The authentication action can be purposefully observed by attackers to infer the authentication input. Unlike any other mobile devices, VR presents immersive experience via a head-mounted display (HMD) that fully covers users’ eye area without public exposure. Leveraging this feature, we explore human visual system (HVS) as a novel biometric authentication tailored for VR platforms. While previous works used eye globe movement (gaze) to authenticate smartphones or PCs, they suffer from a high error rate and low stability since eye gaze is highly dependent on cognitive states. In this paper, we explore the HVS as a whole to consider not just the eye globe movement but also the eyelid, extraocular muscles, cells, and surrounding nerves in the HVS. Exploring HVS biostructure and unique HVS features triggered by immersive VR content can enhance authentication stability. To this end, we present OcuLock, an HVS-based system for reliable and unobservable VR HMD authentication. OcuLock is empowered by an electrooculography (EOG) based HVS sensing framework and a record-comparison driven authentication scheme. Experiments through 70 subjects show that OcuLock is resistant against common types of attacks such as …",21
A measurement study of YouTube 360 live video streaming,"Jun Yi, Shiqing Luo, Zhisheng Yan",2019/6/21,Book Proceedings of the 29th ACM Workshop on Network and Operating Systems Support for Digital Audio and Video,"360° live video streaming is becoming increasingly popular. While providing viewers with enriched experience, 360° live video streaming is challenging to achieve since it requires a significantly higher bandwidth and a powerful computation infrastructure. A deeper understanding of this emerging system would benefit both viewers and system designers. Although prior works have extensively studied regular video streaming and 360° video on demand streaming, we for the first time investigate the performance of 360° live video streaming. We conduct a systematic measurement of YouTube's 360° live video streaming using various metrics in multiple practical settings. Our key findings suggest that viewers are advised not to live stream 4K 360° video, even when dynamic adaptive streaming over HTTP (DASH) is enabled. Instead, 1080p 360° live video can be played smoothly. However, the extremely large one-way …",18
Exploring QoE for power efficiency: A field study on mobile videos with LCD displays,"Zhisheng Yan, Qian Liu, Tong Zhang, Chang Wen Chen",2015/10/13,Book Proceedings of the 23rd ACM international conference on Multimedia,"Display power consumption has become a major concern for both mobile users and design engineers, especially considering the prevalence of today's video-rich mobile services. The power consumption of liquid crystal display (LCD), a dominant mobile display technology, can be reduced by dynamic backlight scaling (DBS). However, such dynamic changes of screen brightness may degrade users' quality of experience (QoE) in viewing videos. How would QoE be impacted by different DBS strategies has not yet been understood clearly and thus obscures the way to achieve systematic power saving. In this paper, we take a first step to explore the QoE of DBS on smartphones and aim at maximally enhancing the display power performance without negatively impacting users' QoE. In particular, we conduct three motivational studies to uncover the inherent relationship between QoE and backlight scaling frequency …",16
SSPA-LBS: Scalable and social-friendly privacy-aware location-based services,"Changsha Ma, Zhisheng Yan, Chang Wen Chen",2019/1/10,Journal IEEE Transactions on Multimedia,"Privacy-aware location-based service (PA-LBS) preserves LBS users' privacy but undesirably sacrifices service quality. In order to balance the two factors with satisfactory user experience, existing frameworks are faced with two barriers, that is, scalability and social-friendliness. First, existing schemes do not enable LBS users to flexibly scale their privacy level on service provision. Such a lack of scalability easily results in either unacceptable service-quality degradation or insufficient privacy protection and fails to meet dynamic user requirements. Second, existing schemes handle privacy protection by merely considering the trust relationship between users and servers but ignore the complex trust relationships among users. As a result, users cannot preserve privacy in location-based social services that involve user-to-user interactions. In this paper, we present the first scalable and social-friendly PA-LBS system. In …",15
Exploring Eye Adaptation in Head-Mounted Display for Energy Efficient Smartphone Virtual Reality,"Zhisheng Yan, Chen Song, Feng Lin, Wenyao Xu",2018/2/12,Conference Proceedings of the 19th International Workshop on Mobile Computing Systems & Applications,"Smartphone virtual reality (VR) can offer immersive experience while being affordable and easy to use. To enhance the VR experience under limited smartphone computation and battery resources, solutions have been proposed for efficient rendering and content delivery. However, efforts towards optimizing the distinct head-mounted display (HMD) are unfortunately limited. This paper unveils the opportunity of optimizing smartphone VR by leveraging human vision in HMD. In particular, we shift the default fixed full brightness in VR video/game Apps to a dark adaptation based dynamically scaled brightness. By exploiting the time-varying sensitivity of human eyes in dark HMD, we can reduce VR display energy while maintaining brightness perception. The proposed system, Strix, is empowered by a dark adaptation model trained from classic experimental data, a varying trend of perceptual full brightness derived …",14
