titles,authors,date,source,descriptions,citations
Fairness-aware tensor-based recommendation,"Ziwei Zhu, Xia Hu, James Caverlee",2018/10/17,Book Proceedings of the 27th ACM international conference on information and knowledge management,"Tensor-based methods have shown promise in improving upon traditional matrix factorization methods for recommender systems. But tensors may achieve improved recommendation quality while worsening the fairness of the recommendations. Hence, we propose a novel fairness-aware tensor recommendation framework that is designed to maintain quality while dramatically improving fairness. Four key aspects of the proposed framework are: (i) a new sensitive latent factor matrix for isolating sensitive features; (ii) a sensitive information regularizer that extracts sensitive information which can taint other latent factors; (iii) an effective algorithm to solve the proposed optimization model; and (iv) extension to multi-feature and multi-category cases which previous efforts have not addressed. Extensive experiments on real-world and synthetic datasets show that the framework enhances recommendation fairness while …",131
Measuring and mitigating item under-recommendation bias in personalized ranking systems,"Ziwei Zhu, Jianling Wang, James Caverlee",2020/7/25,Book Proceedings of the 43rd international ACM SIGIR conference on research and development in information retrieval,"Recommendation algorithms typically build models based on user-item interactions (e.g., clicks, likes, or ratings) to provide a personalized ranked list of items. These interactions are often distributed unevenly over different groups of items due to varying user preferences. However, we show that recommendation algorithms can inherit or even amplify this imbalanced distribution, leading to item under-recommendation bias. Concretely, we formalize the concepts of ranking-based statistical parity and equal opportunity as two measures of item under-recommendation bias. Then, we empirically show that one of the most widely adopted algorithms -- Bayesian Personalized Ranking -- produces biased recommendations, which motivates our effort to propose the novel debiased personalized ranking model. The debiased model is able to improve the two proposed bias metrics while preserving recommendation …",60
"Infusing disease knowledge into BERT for health question answering, medical inference and disease name recognition","Yun He, Ziwei Zhu, Yin Zhang, Qin Chen, James Caverlee",2020/10/8,Journal arXiv preprint arXiv:2010.03746,"Knowledge of a disease includes information of various aspects of the disease, such as signs and symptoms, diagnosis and treatment. This disease knowledge is critical for many health-related and biomedical tasks, including consumer health question answering, medical language inference and disease name recognition. While pre-trained language models like BERT have shown success in capturing syntactic, semantic, and world knowledge from text, we find they can be further complemented by specific information like knowledge of symptoms, diagnoses, treatments, and other disease aspects. Hence, we integrate BERT with disease knowledge for improving these important tasks. Specifically, we propose a new disease knowledge infusion training procedure and evaluate it on a suite of BERT models including BERT, BioBERT, SciBERT, ClinicalBERT, BlueBERT, and ALBERT. Experiments over the three tasks show that these models can be enhanced in nearly all cases, demonstrating the viability of disease knowledge infusion. For example, accuracy of BioBERT on consumer health question answering is improved from 68.29% to 72.09%, while new SOTA results are observed in two datasets. We make our data and code freely available.",55
Popularity-opportunity bias in collaborative filtering,"Ziwei Zhu, Yun He, Xing Zhao, Yin Zhang, Jianling Wang, James Caverlee",2021/3/8,Book Proceedings of the 14th ACM International Conference on Web Search and Data Mining,"This paper connects equal opportunity to popularity bias in implicit recommenders to introduce the problem of popularity-opportunity bias. That is, conditioned on user preferences that a user likes both items, the more popular item is more likely to be recommended (or ranked higher) to the user than the less popular one. This type of bias is harmful, exerting negative effects on the engagement of both users and item providers. Thus, we conduct a three-part study: (i) By a comprehensive empirical study, we identify the existence of the popularity-opportunity bias in fundamental matrix factorization models on four datasets; (ii) coupled with this empirical study, our theoretical study shows that matrix factorization models inherently produce the bias; and (iii) we demonstrate the potential of alleviating this bias by both in-processing and post-processing algorithms. Extensive experiments on four datasets show the effective …",48
Improving top-k recommendation via jointcollaborative autoencoders,"Ziwei Zhu, Jianling Wang, James Caverlee",2019/5/13,Book The World Wide Web Conference,"In this paper, we propose a Joint Collaborative Autoencoder framework that learns both user-user and item-item correlations simultaneously, leading to a more robust model and improved top-K recommendation performance. More specifically, we show how to model these user-item correlations and demonstrate the importance of careful normalization to alleviate the influence of feedback heterogeneity. Further, we adopt a pairwise hinge-based objective function to maximize the top-K precision and recall directly for top-K recommenders. Finally, a mini-batch optimization algorithm is proposed to train the proposed model. Extensive experiments on three public datasets show the effectiveness of the proposed framework over state-of-the-art non-neural and neural alternatives. ",40
Session-based recommendation with hypergraph attention networks,"Jianling Wang, Kaize Ding, Ziwei Zhu, James Caverlee",2021,Book Proceedings of the 2021 SIAM International Conference on Data Mining (SDM),"Session-based recommender systems aim to improve recommendations in short-term sessions that can be found across many platforms. A critical challenge is to accurately model user intent with only limited evidence in these short sessions. For example, is a flower bouquet being viewed meant as part of a wedding purchase or for home decoration? Such different perspectives greatly impact what should be recommended next. Hence, this paper proposes a novel session-based recommendation system empowered by hypergraph attention networks. Three unique properties of the proposed approach are: (i) it constructs a hypergraph for each session to model the item correlations defined by various contextual windows in the session simultaneously, to uncover item meanings; (ii) it is equipped with hypergraph attention layers to generate item embeddings by flexibly aggregating the contextual information from …",34
Recommendation for new users and new items via randomized training and mixture-of-experts transformation,"Ziwei Zhu, Shahin Sefati, Parsa Saadatpanah, James Caverlee",2020/7/25,Book Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval,"The cold start problem is a long-standing challenge in recommender systems. That is, how to recommend for new users and new items without any historical interaction record? Recent ML-based approaches have made promising strides versus traditional methods. These ML approaches typically combine both user-item interaction data of existing warm start users and items (as in CF-based methods) with auxiliary information of users and items such as user profiles and item content information (as in content-based methods). However, such approaches face key drawbacks including the error superimposition issue that the auxiliary-to-CF transformation error increases the final recommendation error; the ineffective learning issue that long distance from transformation functions to model output layer leads to ineffective model learning; and the unified transformation issue that applying the same transformation function …",30
Content-collaborative disentanglement representation learning for enhanced recommendation,"Yin Zhang, Ziwei Zhu, Yun He, James Caverlee",2020/9/22,Book Proceedings of the 14th ACM Conference on Recommender Systems," Modern recommenders usually consider both collaborative features from user behavior data (e.g., clicks) and content information about the users and items (e.g., user ages or item images) for improved recommendations. While encouraging, the uncovered user preference representations derived from these collaborative and content-based perspectives can be entangled by intermixing the influence from each other, leading to sub-optimal performance and unstable recommendations. Hence, we propose to disentangle representations learned from user behavior data and content information. Specifically, we propose a novel two-level disentanglement generative recommendation model (DICER) that supports both content-collaborative disentanglement and feature disentanglement: for the content-collaborative disentanglement, DICER decomposes the features by their marginal distributions based on content and …",24
Modeling and detecting student attention and interest level using wearable computers,"Ziwei Zhu, Sebastian Ober, Roozbeh Jafari",2017/5/9,Conference 2017 IEEE 14th international conference on wearable and implantable body sensor networks (BSN),"The cognitive states of students in a lecture can give good indications of student concentration and learning, and therefore, modeling them would have a positive impact on their quality of education by enabling the intervention of instructors. In a traditional class, the instructor would assess the students' level of attention. However, the assessment may not be accurate for a variety of reasons. Additionally, this creates a burden for the instructors. Wearable sensors and signal processing techniques could provide opportunities to assist teachers with this assessment. In this paper, we propose a methodology to model students' cognitive states by leveraging hand motion and heart activity captured with smart watches. Following the application of a sequence of signal processing techniques to the raw data, we generate features, which describe characteristics of the hand motion and heart activity in a group of students. The …",24
Popularity bias in dynamic recommendation,"Ziwei Zhu, Yun He, Xing Zhao, James Caverlee",2021/8/14,Book Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery & Data Mining,"Popularity bias is a long-standing challenge in recommender systems: popular items are overly recommended at the expense of less popular items that users may be interested in being under-recommended. Such a bias exerts detrimental impact on both users and item providers, and many efforts have been dedicated to studying and solving such a bias. However, most existing works situate the popularity bias in a static setting, where the bias is analyzed only for a single round of recommendation with logged data. These works fail to take account of the dynamic nature of real-world recommendation process, leaving several important research questions unanswered: how does the popularity bias evolve in a dynamic scenario? what are the impacts of unique factors in a dynamic recommendation process on the bias? and how to debias in this long-term dynamic process? In this work, we investigate the popularity …",21
