names,ProfileLinks,topics,citations,titles
Lance Liotta,https://scholar.google.com//citations?hl=en&user=hETQx7cAAAAJ,"cancer, bioengineering, proteomics",151910,Professor George Mason University
Zoltan Acs,https://scholar.google.com//citations?hl=en&user=eupbxcwAAAAJ,"Innovation, entrepreneurship, economic geography, economic development, small business",72495,George Mason University
Joseph A Maxwell,https://scholar.google.com//citations?hl=en&user=jlr-Bb0AAAAJ,"qualitative and mixed methods research, causation, validity, cultural theory",71863,George Mason University
Raja Parasuraman,https://scholar.google.com//citations?hl=en&user=F5iBMtEAAAAJ,"Human Factors, Attention, Automation, Brain Stimulation, Neuroimaging",51408,"Professor of Psychology, George Mason University"
Emanuel Petricoin,https://scholar.google.com//citations?hl=en&user=U2vvL6oAAAAJ,"personalized medicine, cancer, cell sgnaling, oncology, biomarkers",51254,George Mason University
June Tangney,https://scholar.google.com//citations?hl=en&user=cVlspjMAAAAJ,"Shame, guilt, empathy, jail inmates, inmate rehabilitation",49886,"University Professor and Professor of Psychology, George Mason University"
Gerald Matthews,https://scholar.google.com//citations?hl=en&user=9-y-tKAAAAAJ,"Human Factors, Cognitive Science, Stress, Personality, Emotional Intelligence",46179,"Professor of Psychology, George Mason University"
Todd Kashdan,https://scholar.google.com//citations?hl=en&user=rC3rn04AAAAJ,"well-being, personality psychology, anxiety, positive psychology, emotion regulation",41742,"Professor of Psychology, George Mason University"
David Weisburd,https://scholar.google.com//citations?hl=en&user=QtXbGTEAAAAJ,"Criminology, policing, evidence based crime policy, criminal justice, crime prevention",35053,"Distinguished Professor, George Mason University; Walter E. Mayer Professor, Hebrew …"
Thomas E. Lovejoy,https://scholar.google.com//citations?hl=en&user=CZdhwD0AAAAJ,Conservation Biology,34129,"University Professor, George Mason University"
Stephen Zaccaro,https://scholar.google.com//citations?hl=en&user=EtEt5w0AAAAJ,,33460,George Mason University
Edward Maibach,https://scholar.google.com//citations?hl=en&user=eb0BEfkAAAAJ,"climate change, public health, communication",31571,"Professor of Communication, George Mason University"
Susanne Denham,https://scholar.google.com//citations?hl=en&user=Tf16EoEAAAAJ,"early chilhood, social development, emotional development, socialization of emotional competence",30983,"Professor of Psychology Emerita, George Mason University"
II Mazin,https://scholar.google.com//citations?hl=en&user=UIfDhcIAAAAJ,,30528,George Mason University
David B. Wilson,https://scholar.google.com//citations?hl=en&user=JIJTmWAAAAAJ,"Meta-analysis, Research Methods, Criminology, Crime Policy, Correctional Effectiveness",29561,"Professor, George Mason University"
Tim Stockwell,https://scholar.google.com//citations?hl=en&user=o4ZcZg8AAAAJ,"Viral Genomics, Vaccines, Informatics, Synthetic Biology, NGS",29182,"PhD Student, George Mason University"
Thomas E Scruggs,https://scholar.google.com//citations?hl=en&user=sLEraaEAAAAJ,"Learning and Memory, Inclusion, Research Synthesis, Content Area Instruction",28542,"University Professor Emeritus of Special Education, George Mason University"
Margo Mastropieri,https://scholar.google.com//citations?hl=en&user=PK0_6A0AAAAJ,special education,28196,George Mason University
Deborah Rupp,https://scholar.google.com//citations?hl=en&user=ioOrO_MAAAAJ,"Industrial-Organizational Psychology, Employment Discrimination, Organizational Justice, Corporate Social Responsibility",27362,"Professor of Psychology, George Mason University"
zhi wang,https://scholar.google.com//citations?hl=en&user=NK-ZG28AAAAJ,,25053,"Retired research Professor, George Mason University"
Paul R. Houser,https://scholar.google.com//citations?hl=en&user=GQzfaL8AAAAJ,"hydrometeorology, hydroclimatology, remote sensing, modeling, data assimilation",24912,George Mason University
Paul Dirmeyer,https://scholar.google.com//citations?hl=en&user=dknplHYAAAAJ,,24038,George Mason University
Jeff Offutt,https://scholar.google.com//citations?hl=en&user=fAeRp3kAAAAJ,"Software Engineering, Software Testing, Web Applications, Software Maintenance, Education",23378,"Professor of Software Engineering, George Mason University"
Giuseppe Ateniese,https://scholar.google.com//citations?hl=en&user=EyZJ08MAAAAJ,"Cloud Security, Cybersecurity, Applied Cryptography",23123,George Mason University
Virginia Espina,https://scholar.google.com//citations?hl=en&user=QwQihUoAAAAJ,"proteomics, breast cancer, tumor microenvironment, clinical laboratory medicine",22405,"Research Associate Professor, George Mason University"
"Lawrence J. Cheskin, MD",https://scholar.google.com//citations?hl=en&user=wzBFAwoAAAAJ,"Nutrition, Obesity, Behavior change",22108,George Mason University- Professor and Chair; Johns Hopkins SOM; SON
Jack Goldstone,https://scholar.google.com//citations?hl=en&user=Yv4hXyEAAAAJ,"political demography, revolutions, economic growth",21416,"Professor of Public Policy, George Mason University"
James E. Maddux,https://scholar.google.com//citations?hl=en&user=DIADvBwAAAAJ,"Senior Scholar, Center for Consciousness and Transformation, George Mason University",20788,"University Professor Emeritus, Department of Psychology, George Mason University"
