,Name,About
0,Ariela Sofer,"   Professor Ariela Sofer is Interim Divisional Dean of the Volgenau School of Engineering in the College of Engineering and Computing at George Mason University. (2020-). She served as Associate Dean for Administration and Faculty Affairs of the School (May 2018-Nov. 2020). Prior to that she served almost 16 years as Chair of the Systems Engineering and Operations Research (SEOR) Department at Mason. Dr. Sofer received the B.Sc. in mathematics, and the M.Sc. in operations research from the Technion in Israel and the D.Sc. degree in operations research from the George Washington University in 1984, and joined Mason upon graduation. Her major areas of interest are nonlinear programming, optimization in medical applications, and systems thinking. She is coauthor of the textbook ""Linear and Nonlinear Optimization"", published by SIAM Books in 2008 (and an earlier edition “Linear and Nonlinear Programming,” McGraw Hill, 1996). She is also co-editor of three refereed volumes, and author or coauthor of over 40 refereed publications. Dr. Sofer is a member of the Executive Board of the International Federation of Engineering Education Societies (IFEES) (201 - 2022). She is the incoming VP for Meetings of the Institute of Operations Research and Management Science (INFORMS), and was co-General Chair of the 2020 INFORMS Annual Meeting. She has previously served as Director of Academic Matters on the Board of Directors of the International Council on Systems Engineering (INCOSE), as Secretary of the Institute of Industrial and Systems Engineers (IISE) and as Vice President for Sections and Societies of INFORMS. She has also served as Chair of the Association of Chairs of Operations Research Departments (ACORD), as Chair of the INFORMS Computing Society and as Secretary/ Treasurer of the SIAM Special Interest Group on Optimization  SIAG/OPT. She has served as Associate Editor of the INFORMS journals Operations Research, and Management Science and as a member of the editorial boards of MOS-SIAM Book Series on Optimization, and the SEBoK Systems Engineering Body of Knowledge. Dr. Sofer was elected Fellow of INFORMS in 2016, Fellow of IISE in 2018, and Fellow of INCOSE in 2022.Professor Ariela Sofer is Interim Divisional Dean of the Volgenau School of Engineering in the College of Engineering and Computing at George Mason University. (2020-). She served as Associate Dean for Administration and Faculty Affairs of the School (May 2018-Nov. 2020). Prior to that she served almost 16 years as Chair of the Systems Engineering and Operations Research (SEOR) Department at Mason. Dr. Sofer received the B.Sc. in mathematics, and the M.Sc. in operations research from the Technion in Israel and the D.Sc. degree in operations research from the George Washington University in 1984, and joined Mason upon graduation. Her major areas of interest are nonlinear programming, optimization in medical applications, and systems thinking. She is coauthor of the textbook ""Linear and Nonlinear Optimization"", published by SIAM Books in 2008 (and an earlier edition “Linear and Nonlinear Programming,” McGraw Hill, 1996). She is also co-editor of three refereed volumes, and author or coauthor of over 40 refereed publications. Dr. Sofer is a member of the Executive Board of the International Federation of Engineering Education Societies (IFEES) (201 - 2022). She is the incoming VP for Meetings of the Institute of Operations Research and Management Science (INFORMS), and was co-General Chair of the 2020 INFORMS Annual Meeting. She has previously served as Director of Academic Matters on the Board of Directors of the International Council on Systems Engineering (INCOSE), as Secretary of the Institute of Industrial and Systems Engineers (IISE) and as Vice President for Sections and Societies of INFORMS. She has also served as Chair of the Association of Chairs of Operations Research Departments (ACORD), as Chair of the INFORMS Computing Society and as Secretary/ Treasurer of the SIAM Special Interest Group on Optimization  SIAG/OPT. She has served as Associate Editor of the INFORMS journals Operations Research, and Management Science and as a member of the editorial boards of MOS-SIAM Book Series on Optimization, and the SEBoK Systems Engineering Body of Knowledge. Dr. Sofer was elected Fellow of INFORMS in 2016, Fellow of IISE in 2018, and Fellow of INCOSE in 2022. "
1,Arthur Pyster,
2,Deborah Goodings,
3,Abolfazl Safikhani,
4,Brett Hunter,
5,David Kepplinger,
6,Adetokunbo Fadahunsi,   I am a Computational Statistician who possesses good problem analysis and solving skills with rooted interest and knowledge in economic and financial market price processes and the application of mathematical and statistical models in the evaluation of various economic and market parameters.I am a Computational Statistician who possesses good problem analysis and solving skills with rooted interest and knowledge in economic and financial market price processes and the application of mathematical and statistical models in the evaluation of various economic and market parameters.  
7,Jiayang Sun,
8,Martin Slawski,"   At a broad level, my research is about methods and theory for massive and high-dimensional data at the interface of statistics and computation.The latest focus of my research is on data compression by means of random projections and quantization. Past work evolves around structured representations for high-dimensional data (sparsity, non-negativity, low-rank structure) and applications in computational biology (genomics, proteomics and epigenetics). At a broad level, my research is about methods and theory for massive and high-dimensional data at the interface of statistics and computation.The latest focus of my research is on data compression by means of random projections and quantization. Past work evolves around structured representations for high-dimensional data (sparsity, non-negativity, low-rank structure) and applications in computational biology (genomics, proteomics and epigenetics).  "
9,Pramita Bagchi,
