,Name,Link
0,Ariela Sofer,https://www.linkedin.com/in/ariela-sofer-86287811?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAJxIcoBG7riI6b5-JMQK4RNav0Sa-Jb_No
1,Arthur Pyster,https://www.linkedin.com/in/art-pyster-ba838511?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAJeZHABL454gZtHkif60cGuppfUnEtdPfQ
2,Deborah Goodings,https://www.linkedin.com/in/deborah-goodings-553134106?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABq3PQ8BDL67otqXsZQVDsD4BQU9RnQBViA
3,Sanjeev Setia,
4,Giacomo Francisci,
5,Abolfazl Safikhani,https://www.linkedin.com/in/abolfazl-safikhani-3aaa433a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAhXMnIBMhyyynzaXNgv-JyHR0N6n8crbno
6,Anand Vidyashankar,
7,Brett Hunter,https://www.linkedin.com/in/hunterbevis?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAEbRBYB1mYYo8G9HZgOPHj2O-mYhTMU9So
8,David Kepplinger,https://www.linkedin.com/in/dakep?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABYzSAIBuPonW1f6vFhvZGLlvv2vq54aM-Y
9,Adetokunbo Fadahunsi,https://www.linkedin.com/in/tokunbo-fadahunsi-phd-18a32b14?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALlUToBmg1uMWhLFISTNgALoG7HVijXy-4
10,Clifton Sutton,
11,Jiayang Sun,https://www.linkedin.com/in/jiayang-sun-b700206?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAESCIQB0X-8IcY3Ct6W4yzpAO4EcIQ6b4Y
12,Martin Slawski,https://www.linkedin.com/in/martin-slawski-7740a7b8?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABjuHYgB-hUtmCu2WLf6emFv9Qk5OAJMctA
13,Pramita Bagchi,https://www.linkedin.com/in/pramita-bagchi-341814a9?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABcUXeEBgaCfuJE1RUfKnhImHdY9gY5KD00
14,Wanli Qiao,
15,Ilhan Izmirli,https://www.linkedin.com/in/ilhan-izmirli-150b719a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABUsYowBmvzjJzLk3UBzn6cficGczaT30L4
16,Inchi Hu,
17,Isuru Dassanayake,https://www.linkedin.com/in/isuru-dassanayake-b6a62485?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABIRW4IB4tuoi5sGOUcCoh6bOfdDH3LLa24
18,Jason Goldberg,
19,John Stufken,
20,Jonathan Auerbach,https://www.linkedin.com/in/jonathan-auerbach-11a9807a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABDflKYB9m4FmG8YoAhadcX7CpyPAWBESAU
21,Kenneth Pasiah,
22,Kenneth Strazzeri,
23,Lily Wang,
24,Michael Holland,
25,Nicholas Rios,https://www.linkedin.com/in/nicholas-rios-079ab799?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABT8cp0BvQf8BDYyaV-cLNEFC2HJ1l5YgyM
26,Niloofar Ramezani,https://www.linkedin.com/in/niloofar-ramezani-0b92bb24?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUHHc0BQQ44hflzrOhwYc7p6WUu1hpCxWU
27,Saad Karamat,
28,Seiyon Lee,https://www.linkedin.com/in/ben-seiyon-lee-b5a06418?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAORR3YBJAI8mjaL-8uNBsOquj53mw-DeNQ
29,William Rosenberger,
30,Ahmed Bin Zaman,https://www.linkedin.com/in/ahmed-bin-zaman?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABpZW-0BhVUyKEwANzDsaeW6Rytjy9kNQ9A
31,Antonios Anastasopoulos,https://www.linkedin.com/in/anastasopoulosantonios?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAcA4EIBqHChTtD54UA2lGe1TJbo-NgMgSc
32,Bo Han,https://www.linkedin.com/in/bo-han-88134b17?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAANupyEBz1wLkpOwfBPqozhy2NfWGEqa-PY
33,Brian Hrolenok,
34,David Rosenblum,https://www.linkedin.com/in/dsrosenblum?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAnQkQBKKnkiYhWk_lQxhagF0HA2JZEFNY
35,Alexander Brodsky,https://www.linkedin.com/in/alexander-brodsky-0721219?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAGehRYBDkQwRWcnUfKmC7nPpjTzjezYAFU
36,Ana Gonzalez Hernandez,
37,Brittany Johnson-Matthews,https://www.linkedin.com/in/brittany-i-johnson-phd?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAVBlGQBvZf5doN666tZRST6G7STrcAyHZE
38,Carlotta Domeniconi,https://www.linkedin.com/in/carlotta-domeniconi-24739180?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABEkRRcBWME6QjSVOGuVlnOM0ifFOudMXwU
39,Dana Richards,
40,Daniel Barbara,https://www.linkedin.com/in/daniel-tillson-3a355976?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABAZb-sBA-3AmTliYuD_WRYjHzht2-hpiQ8
41,Elizabeth White,https://www.linkedin.com/in/elizabeth-humphrey-165157?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAFkR0BwQNhgqEAdWPs1uHUUF36SHGt8Ks
42,Eric Osterweil,https://www.linkedin.com/in/eric-osterweil?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAJ5FOABAQ0Qp3uzFudwYI7kqdH3CGT6wIc
43,Fei Li,
44,Gheorghe Tecuci,https://www.linkedin.com/in/gheorghe-tecuci-5ba4847?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAFQxl4BmvAZZufxv4F4xrasGp_zfmlAX-k
45,Hakan Aydin,
46,Jana Kosecka,
47,Jeff Offutt,https://www.linkedin.com/in/jeff-offutt?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAADh-5MB5y1Ci1HEjFudUjquU0QorBL6JUk
48,Jim Chen,https://www.linkedin.com/in/jim-chen-7206b118?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAOpjcgBbTZUpUCyNMNx7enzsoIFI1rrr_8
49,Paul Ammann,
50,Robert Simon,
51,Robert Pettit,https://www.linkedin.com/in/rgpettit?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAI6tYMBhoH2rwBzx40IQ5H7QuiiY7aPUPM
52,Samuel Gordon,
53,Sean Luke,
54,Socrates Dimitriadis,
