,Name,Title,Descriptions,Date
0,Brett Hunter,Time In Flight Podcast,"This Podcast looks at what Covid-19 has does to various aspects of the aviation industry and what the signs may look like when a full recovery begins. As two pilots in different aspects of the industry (Part 121 & 91), they express their opinions on how things will look as the aviation industry continues to deal with the ever changing pandemic and its effect on air travel. ",30-Oct-20
0,David Kepplinger,Analysis of energy intensity in manufacturing industry using mixed-effects models,,15-Sep-13
0,Ilhan Izmirli,"Review of the Paper ""Parsimonious graphs for the most common trichords and tetrachords"" by Luis Naño.",,8-Mar-22
1,Ilhan Izmirli,"Review of the Paper ""Quantum GestART: identifying and applying correlations between mathematics, art, and perceptual organization"" by Maria Mannone, Frederico Favali, Balandino DiDonato, and Luca Turchet.",,9-Sep-21
2,Ilhan Izmirli,Review of the paper “Quasiperiodic Music” by Darren C. Ong.,,11-May-21
3,Ilhan Izmirli,On the Applications of Ricatti Differential Equations to Some Special Cases of the Two Body Problem with Variable Masses.,,5-May-21
4,Ilhan Izmirli,"Review of the book ""Significant Statistics: An Introduction to Statistics"".  Adapted by John Morgan Russell from Barbara Illowsky, Susan Dean, et al.",,12-Feb-21
5,Ilhan Izmirli,A Modification of the Formula for the Average Velocity of a Planet.,,10-Feb-21
6,Ilhan Izmirli,Harmonic Numbers as Expected Values: Some Interesting Problems in Probability and Their Pedagogical Implications.,,15-Oct-20
7,Ilhan Izmirli,"Review of the Paper ""Modulation in Tetradic Harmony and its Role in Jazz"" by Octavio A. Augustín-Aquino and Guerino Mazzola.",,13-Oct-20
8,Ilhan Izmirli,Essential Probability and Statistics for Engineering and Sciences.,,10-Aug-20
9,Ilhan Izmirli,Some Reflections on the Philosophy of Mathematics Education: A Denunciation of the Time and Content Arguments.,,15-Feb-20
10,Ilhan Izmirli,"Review of the Paper ""Consonance based interval systems and their matrices: Leibniz’s harmonic equations"" by Walter Bühler.",,10-Feb-20
11,Ilhan Izmirli,Magribȋ’nin Mekke Problemi Sudoku ile Buluşuyor.,,6-Sep-19
12,Ilhan Izmirli,"Review of the Paper ""Harmonic qualities in Debussy’s 'Les Sons et les perfums tournent dans l’air du soir' "" by Jason Yust.",,16-Jan-19
13,Ilhan Izmirli,"Review of the Paper ""Mathematics and Flamenco: An Unexpected Partnership"" by J.M. Díaz-Báñez.",,8-Jun-18
14,Ilhan Izmirli,"Review of the Paper ""Stråhle’s Equal-Tempered Triumph"" by L. Ramshaw.",,19-May-17
15,Ilhan Izmirli,Bernoulli’s Ars Conjectandi and Its Pedagogical Implications.,,4-Oct-16
16,Ilhan Izmirli,Al-Maghribi’s Mecca Problem Meets Sudoku.,,3-Aug-16
17,Ilhan Izmirli,From Measurement Errors to Normal Distributions: A Brief History and Its Pedagogical Implications.,,10-Nov-15
18,Ilhan Izmirli,A Passage through Brobdingnag: René Descartes and the Differential Calculus,,2-Nov-15
19,Ilhan Izmirli,An Algorithm to Generalize the Pascal and Fibonacci Matrices.,,15-Jun-15
20,Ilhan Izmirli,"Review of ""Tridiagonal Matrices via K-Balancing Numbers.""  British Journal of Mathematics and Computer Science.  June, 2015.",,2-Jun-15
21,Ilhan Izmirli,An Algorithm to Generalize the Pascal and Fibonacci Matrices.,,1-Jun-15
22,Ilhan Izmirli,"Review of ""A Voronoskaya type theorem for Bernstein-Durrmeyer type operators.""",,1-May-15
23,Ilhan Izmirli,AlMaghribi’s Mecca Problem Meets Sudoku,,30-Mar-15
24,Ilhan Izmirli,"Review of Rigueur-contraintes: mathématiques-musique.  By Thierry Paul. Gazette des Mathématiciens (139, 71 – 77, 2014).",,1-Jul-14
25,Ilhan Izmirli,On Some Properties of Digital Roots,,1-Jun-14
26,Ilhan Izmirli,Interval Vectors,,1-May-14
27,Ilhan Izmirli,On the Insolvability of the Demarcation Problem.,,1-May-14
28,Ilhan Izmirli,Wittengstein’s Language Games and Forms of Life from a Social Constructivist Point of View.,,1-Jan-14
29,Ilhan Izmirli,Review of The geometry of musical rhythm: What makes a “good” rhythm good? By Godfried T. Toussaint.,,1-Aug-13
30,Ilhan Izmirli,An Elementary Proof of Mean Inequalities.,,1-May-13
31,Ilhan Izmirli,On the Significance of History-Based Research Projects in Undergraduate Mathematics.,,1-May-13
32,Ilhan Izmirli,Wittgenstein Was a Social Constructivist,,1-May-13
33,Ilhan Izmirli,Wittgenstein as a Social Constructivist.,,1-Apr-13
34,Ilhan Izmirli,The Basic Process of Data Analysis: Theory and Practice,A statistics textbook. ,1-Jan-13
35,Ilhan Izmirli,Review of Statistics: Principles and Methods by Richard Johnson (Seventh Edition).,,1-Aug-12
36,Ilhan Izmirli,Review of Mind on Statistics (Fourth Edition) by Jessica M. Utts and Robert F. Heckard.,,1-Jul-12
37,Ilhan Izmirli,Bloom’s Taxonomy and the Teaching of Introductory Statistics Classes,,1-Jan-12
38,Ilhan Izmirli,Categorizing Musical Pieces by Their Correlation Coefficients.,,1-Aug-11
39,Ilhan Izmirli,Pedagogy on the Ethnomathematics-Epistemology Nexus: A Manifesto.,,1-Jul-11
0,Isuru Dassanayake,Assessing inter-rater agreement between multiple medical instruments with heteroscedastic measurements,,27-Jan-17
1,Isuru Dassanayake,Statistical methods for assessing agreement between multiple methods of heteroscedastic clinical measurements,,6-Oct-16
0,Ahmed Bin Zaman,Guiding Protein Conformation Sampling with Conformation Space Maps,Finalist for best paper award,22-Mar-22
1,Ahmed Bin Zaman,Adaptive Stochastic Optimization to Improve Protein Conformation Sampling,,9-Dec-21
2,Ahmed Bin Zaman,Protein Decoy Generation via Adaptive Stochastic Optimization for Protein Structure Determination,,19-Dec-20
3,Ahmed Bin Zaman,Reducing Ensembles of Protein Tertiary Structures Generated De Novo via Clustering,,9-May-20
4,Ahmed Bin Zaman,Decoy Ensemble Reduction in Template-free Protein Structure Prediction,,1-Sep-19
5,Ahmed Bin Zaman,Using Sequence-Predicted Contacts to Guide Template-free Protein Structure Prediction,,1-Sep-19
6,Ahmed Bin Zaman,Using Subpopulation EAs to Map Molecular Structure Landscapes,,1-Jul-19
7,Ahmed Bin Zaman,Balancing Multiple Objectives in Conformation Sampling to Control Decoy Diversity in Template-free Protein Structure Prediction,,1-Apr-19
8,Ahmed Bin Zaman,Equipping Decoy Generation Algorithms for Template-free Protein Structure Prediction with Maps of the Protein Conformation Space,Finalist for best paper award,18-Mar-19
9,Ahmed Bin Zaman,A Multi-Objective Stochastic Optimization Approach for Decoy Generation in Template-free Protein Structure Prediction,,15-Feb-19
10,Ahmed Bin Zaman,Building Maps of Protein Structure Spaces in Template-free Protein Structure Prediction,,1-Jan-19
11,Ahmed Bin Zaman,Collaborative Cognitive Assistants for Advanced Persistent Threat Detection,,9-Nov-17
0,David Rosenblum,Nested Reachability Approximation for Discrete-time Markov Chains with Univariate Parameters,,28-Jun-14
1,David Rosenblum,Perturbation Analysis in Discrete-Time Probabilistic Model Checking,,10-Jun-14
2,David Rosenblum,Perturbation Analysis of Stochastic Systems with Empirical Distribution Parameters,,7-Jan-14
3,David Rosenblum,Asymptotic Bounds for Quantitative Verification of Perturbed Probabilistic Systems,,27-Oct-13
4,David Rosenblum,Cascading Verification: An Integrated Method for Domain-Specific Model Checking,"Model checking is an established formal method for verifying the desired behavioral properties of system models. But popular model checkers tend to support low-level modeling languages that require intricate models to represent even the simplest systems. Modeling complexity arises in part from the need to encode domain knowledge, including domain objects and concepts, and their relationships, at relatively low levels of abstraction. We will demonstrate that, once formalized, domain knowledge can be reused to enhance the abstraction level of model and property specifications, and the effectiveness of probabilistic model checking.

This paper describes a novel method for domain-specific model checking called cascading verification. The method uses composite reasoning over high-level system specifications and formalized domain knowledge to synthesize both low-level system models and the behavioral properties that need to be verified with respect to those models. In particular, model builders use a high-level domain-specific language (DSL) to encode system specifications that can be analyzed with model checking. Domain knowledge is encoded in the Web Ontology Language (OWL), the Semantic Web Rule Language (SWRL) and Prolog, which are combined to overcome their individual limitations. Synthesized models and properties are analyzed with the probabilistic model checker PRISM. Cascading verification is illustrated with a prototype system that verifies the correctness of uninhabited aerial vehicle (UAV) mission plans. An evaluation of this prototype reveals non-trivial reductions in the size and complexity of input system specifications compared to the artifacts synthesized for PRISM.",1-Aug-13
5,David Rosenblum,Context-Aware Mobile Music Recommendation for Daily Activities,"Existing music recommendation systems rely on collaborative filtering or content-based technologies to satisfy users' long-term music playing needs. Given the popularity of mobile music devices with rich sensing and wireless communication capabilities, we present in this paper a novel approach to employ contextual information collected with mobile devices for satisfying users' short-term music playing needs. We present a probabilistic model to integrate contextual information with music content analysis to offer music recommendation for daily activities, and we present a prototype implementation of the model. Finally, we present evaluation results demonstrating good accuracy and usability of the model and prototype.",1-Jul-12
6,David Rosenblum,"A Daily, Activity-Aware, Mobile Music Recommender System","Existing music recommender systems rely on collaborative filtering or content-based technologies to satisfy users' long-term music playing needs. Given the popularity of mobile music devices with rich sensing and wireless communication capabilities, we demonstrate in this demo a novel system to employ contextual information collected with mobile devices for satisfying users' short-term music playing needs. In our system, contextual information is integrated with music content analysis to offer recommendation for daily activities.",1-Jul-12
7,David Rosenblum,Context-aware adaptive applications: fault patterns and their automated identification,"Applications running on mobile devices are intensely context-aware and adaptive. Streams of context values continuously drive these applications, making them very powerful but, at the same time, susceptible to undesired configurations. Such configurations are not easily exposed by existing validation techniques, thereby leading to new analysis and testing challenges. In this paper, we address some of these challenges by defining and applying a new model of adaptive behavior called an Adaptation Finite-State Machine (A-FSM) to enable the detection of faults caused by both erroneous adaptation logic and asynchronous updating of context information, with the latter leading to inconsistencies between the external physical context and its internal representation within an application. We identify a number of adaptation fault patterns, each describing a class of faulty behaviors. Finally, we describe three classes of algorithms to detect such faults automatically via analysis of the A-FSM. We evaluate our approach and the trade-offs between the classes of algorithms on a set of synthetically generated Context-Aware Adaptive Applications (CAAAs) and on a simple but realistic application in which a cell phone's configuration profile changes automatically as a result of changes to the user's location, speed, and surrounding environment. Our evaluation describes the faults our algorithms are able to detect and compares the algorithms in terms of their performance and storage requirements.",1-Sep-10
8,David Rosenblum,"Multi-layer faults in the architectures of mobile, context-aware adaptive applications","Modern hand-held devices are equipped with multiple context sensors exploited by increasingly sophisticated software applications, called Context-Aware Adaptive Applications (CAAAs), that adapt automatically to changes in the surrounding environment, such as by responding to the location and speed of the user. The architecture of CAAAs is typically layered and incorporates a context-awareness component to support processing of context values and triggering of adaptive changes. While this layered architecture is very natural for the design and implementation of CAAAs, it exhibits new kinds of failures that arise as a result of faults that are specific to the choice of technology for specific layers. In this paper we investigate the occurrence of such faults and failures that manifest across architectural layers, and we describe samples of such failures in four CAAAs.",30-Jun-10
9,David Rosenblum,A model to design and verify context-aware adaptive service composition,"The introduction of mobile clients and context-aware behaviors into Web Service compositions may generate faults and inconsistencies. We introduce an extension of a composition model where context-awareness is made explicit and a number of correctness properties are verifiable. In particular, our extended model enables the verification of properties commonly used to validate context dependent applications. We also propose a set of algorithms to verify these properties efficiently.",21-Sep-09
