,Doc_ID,Name,descriptions,titles,date,source,citations,Location
16108,16108,ahmed bashatah,objective sonomyography ultrasoundbased sensing muscle deformation emerging modality upper limb prosthesis control although prior studies shown individuals upper limb loss achieve successful motion classification sonomyography important better understand timecourse proficiency develops study characterized user performance initial subsequent exposures sonomyography method ultrasound images corresponding series hand gestures collected individuals transradial limb loss three scenarios initial exposure sonomyography experiment subsequent exposure sonomyography provided biofeedback part training protocol experiment testing sessions held different days experiment user performance,classification performance feature space characteristics individuals upper limb loss using sonomyography,1/6/2022,journal ieee journal translational engineering health medicine,3,Google Scholar
16109,16109,ahmed bashatah,controlling multiarticulated prosthetic hands surface electromyography challenging users sonomyography ultrasoundbased sensing muscle deformation avoids problems electromyography enables classification multiple motion patterns individuals upper limb loss sonomyography previously studied individuals transradial limb loss purpose study assess feasibility individual transhumeral limb loss using modality motion classification secondary aim compare motion classification performance electromyography sonomyography single individual transhumeral limb loss created two datasets containing motions individual flexion finger thumb abduction power grasp key grasp tripod point pinch wrist pronation electromyography sonomyography signals associated every motion acquired crossvalidation accuracy computed dataset motions usually predicted successfully electromyography sonomyography crossvalidation accuracies typically higher sonomyography although exploratory study results suggest controlling upper limb prosthesis using sonomyography may feasible individuals transhumeral limb loss,motion prediction using electromyography sonomyography individual transhumeral limb loss,12/26/2020,journal medrxiv,3,Google Scholar
16110,16110,ahmed bashatah,ultrasoundbased sensing muscle deformation known sonomyography shown promise accurately classifying intended hand grasps individuals upper limb loss offline settings building upon previous work present first demonstration realtime prosthetic hand control using sonomyography perform functional tasks individual congenital bilateral limb absence fitted sockets containing lowprofile ultrasound transducer placed forearm muscle tissue residual limbs classifier trained using linear discriminant analysis recognize ultrasound images muscle contractions three discrete hand configurations rest tripod grasp index finger point variety arm positions designed cover reachable workspace prosthetic hand mounted socket controlled using classifier using realtime sonomyographic,first demonstration functional task performance using sonomyographic prosthesis case study,2022,journal frontiers bioengineering biotechnology,1,Google Scholar
16111,16111,ahmed bashatah,N/A,volitional control target position using sonomyography,5/4/2021,conference assistive technology,1,Google Scholar
16112,16112,ahmed bashatah,although myoelectric upper limb prostheses commercially available decades many patients receive devices abandon due limited functionality functional limitations related difficulties sensing activity different muscle compartments surface electromyography believe possible overcome limitations myoelectric control use sonomyography ultrasoundbased sensing muscle deformation sonomyography better distinguish individual muscle activity provides access control signals directly proportional muscle deformation potential significantly improve prosthesis functionality paper describe work towards developing lowpower wearable imaging system enable sonomyographicallycontrolled prostheses,novel method achieving dexterous proportional prosthetic control using sonomyography,7/23/2020,journal symposium,1,Google Scholar
16113,16113,ahmed bashatah,ultrasoundbased sensing muscle deformation known sonomyography shown promise accurately classifying intended hand grasps individuals upper limb loss ine settings building upon previous work present rstinhuman demonstration realtime prosthetic hand control using sonomyography perform functional tasks individual congenital bilateral limb absence tted sockets containing lowpro le ultrasound transducer placed forearm muscle tissue residual limbs classi er trained using linear discriminant analysis recognize ultrasound images muscle contractions three discrete hand con gurations rest tripod grasp index nger point variety arm positions designed cover reachable workspace prosthetic hand mounted socket controlled using classi er using realtime sonomyographic control participant able complete three functional tasks required selecting different hand grasps order grasp move oneinch wooden blocks broad range arm positions additionally tests successfully repeated without retraining classi er across three hours prosthesis use following simulated donning ng socket study supports feasibility using sonomyography control upper limb prostheses realworld applications,firstinhuman demonstration functional task performance using sonomyographic prosthesis,2/21/2022,description ultrasoundbased sensing muscle deformation known sonomyography shown promise accurately classifying intended hand grasps individuals upper limb loss ine settings building upon previous work present rstinhuman demonstration realtime prosthetic hand control using sonomyography perform functional tasks individual congenital bilateral limb absence tted sockets containing lowpro le ultrasound transducer placed forearm muscle tissue residual limbs classi er trained using linear discriminant analysis recognize ultrasound images muscle contractions three discrete hand con gurations rest tripod grasp index nger point variety arm positions designed cover reachable workspace prosthetic hand mounted socket controlled using classi er using realtime sonomyographic control participant able complete three functional tasks required selecting different hand grasps order grasp move oneinch wooden blocks broad range arm positions additionally tests successfully repeated without retraining classi er across three hours prosthesis use following simulated donning ng socket study supports feasibility using sonomyography control upper limb prostheses realworld applications,N/A,Google Scholar
16114,16114,ahmed bashatah,wearable ultrasound applications power safety concern developed imaging method based timedelay spectrometry tds employs lowvoltage wideband chirp establish relationship reflector depth frequency mixing transmit receive signals show low power channel ultrasound mmode system capable tracking vivo muscle interfaces forearm battery powered imaging system consists power regulation subsystem rf chirp subsystem four channels consisting transmit rf amplifier mixing unit receive amplifier sampled ksps processor four channel adc processor performs fft demodulated return get scanlines tracked time produce mmode images sent host computer wearable system provide mmodes images,miniature ultrasound mmode imaging system based time delay spectrometry,2021/10,journal journal acoustical society america,N/A,Google Scholar
16115,16115,ahmed bashatah,frequency modulated continuous wave fmcw ultrasound emerging imaging method adapted radar implemented wearable ultrasound systems due reduced size power signal processing requirements acoustic reflections encoded frequency domain thus evaluating signal quality currently requires extracting frequency information timevarying acquisition signal requires additional signal processing question differentiate fmcw ultrasound signal quality using acquired fmcw timeseries collected fmcw ultrasound images custom ultrasound transducer contacting losing contact tissue simulate moments poor signal quality used two potential timedomain signal quality metrics mean absolute value mav signal sample entropy sample entropy information theory method assessing,measuring signal quality low power wearable ultrasound imaging,2021/10,journal journal acoustical society america,N/A,Google Scholar
16116,16116,ahmed bashatah,traditionally electromyography using surface electrodes dominant method sensing muscle activity major challenges surface electromyography include difficulty resolving signals overlying muscles low signal noise ratio recent years ultrasound investigated alternative complementary modality sensing functional muscle activity overcomes several limitations surface electromyography ultrasound imaging noninvasively resolve individual muscles including deep overlying muscles detect dynamic activity within different functional compartments realtime use ultrasound biomechanics community long history continuing miniaturization ultrasound instrumentation opened new opportunities using ultrasound rehabilitation engineering biosignal sensing modality assistive devices,new applications ultrasoundbased muscle activity sensing rehabilitation engineering,2021/10,journal journal acoustical society america,N/A,Google Scholar
16117,16117,ahmed bashatah,sonomyography uses ultrasound detect muscle deformation emerging method classifying hand gestures individuals upper limb loss sikdar although individuals limb loss achieve classification accuracy five grasps minimal training dhawan explored whether training would facilitate performance improvements goal work determine effect training classification accuracy using sonomyography,upperlimb prostheses,2021,description sonomyography uses ultrasound detect muscle deformation emerging method classifying hand gestures individuals upper limb loss sikdar although individuals limb loss achieve classification accuracy five grasps minimal training dhawan explored whether training would facilitate performance improvements goal work determine effect training classification accuracy using sonomyography,N/A,Google Scholar
