,Doc_ID,Name,descriptions,titles,date,source,citations,Location
18159,18159,david kepplinger,N/A,analysis of energy intensity in manufacturing industry using mixedeffects models,15-Sep-13,N/A,N/A,LinkedIn Publication
18160,18160,ilhan izmirli,N/A,review of the paper parsimonious graphs for the most common trichords and tetrachords by luis naño,8-Mar-22,N/A,N/A,LinkedIn Publication
18161,18161,ilhan izmirli,N/A,review of the paper quantum gestart identifying and applying correlations between mathematics art and perceptual organization by maria mannone frederico favali balandino didonato and luca turchet,9-Sep-21,N/A,N/A,LinkedIn Publication
18162,18162,ilhan izmirli,N/A,review of the paper quasiperiodic music by darren c ong,11-May-21,N/A,N/A,LinkedIn Publication
18163,18163,ilhan izmirli,N/A,on the applications of ricatti differential equations to some special cases of the two body problem with variable masses,5-May-21,N/A,N/A,LinkedIn Publication
18164,18164,ilhan izmirli,N/A,review of the book significant statistics an introduction to statistics adapted by john morgan russell from barbara illowsky susan dean et al,12-Feb-21,N/A,N/A,LinkedIn Publication
18165,18165,ilhan izmirli,N/A,a modification of the formula for the average velocity of a planet,10-Feb-21,N/A,N/A,LinkedIn Publication
18166,18166,ilhan izmirli,N/A,harmonic numbers as expected values some interesting problems in probability and their pedagogical implications,15-Oct-20,N/A,N/A,LinkedIn Publication
18167,18167,ilhan izmirli,N/A,review of the paper modulation in tetradic harmony and its role in jazz by octavio a augustínaquino and guerino mazzola,13-Oct-20,N/A,N/A,LinkedIn Publication
18168,18168,ilhan izmirli,N/A,essential probability and statistics for engineering and sciences,10-Aug-20,N/A,N/A,LinkedIn Publication
18169,18169,ilhan izmirli,N/A,some reflections on the philosophy of mathematics education a denunciation of the time and content arguments,15-Feb-20,N/A,N/A,LinkedIn Publication
18170,18170,ilhan izmirli,N/A,review of the paper consonance based interval systems and their matrices leibnizs harmonic equations by walter bühler,10-Feb-20,N/A,N/A,LinkedIn Publication
18171,18171,ilhan izmirli,N/A,magribȋnin mekke problemi sudoku ile buluşuyor,6-Sep-19,N/A,N/A,LinkedIn Publication
18172,18172,ilhan izmirli,N/A,review of the paper harmonic qualities in debussys les sons et les perfums tournent dans lair du soir by jason yust,16-Jan-19,N/A,N/A,LinkedIn Publication
18173,18173,ilhan izmirli,N/A,review of the paper mathematics and flamenco an unexpected partnership by jm díazbáñez,8-Jun-18,N/A,N/A,LinkedIn Publication
18174,18174,ilhan izmirli,N/A,review of the paper stråhles equaltempered triumph by l ramshaw,19-May-17,N/A,N/A,LinkedIn Publication
18175,18175,ilhan izmirli,N/A,bernoullis ars conjectandi and its pedagogical implications,4-Oct-16,N/A,N/A,LinkedIn Publication
18176,18176,ilhan izmirli,N/A,almaghribis mecca problem meets sudoku,3-Aug-16,N/A,N/A,LinkedIn Publication
18177,18177,ilhan izmirli,N/A,from measurement errors to normal distributions a brief history and its pedagogical implications,10-Nov-15,N/A,N/A,LinkedIn Publication
18178,18178,ilhan izmirli,N/A,a passage through brobdingnag rené descartes and the differential calculus,2-Nov-15,N/A,N/A,LinkedIn Publication
18179,18179,ilhan izmirli,N/A,an algorithm to generalize the pascal and fibonacci matrices,15-Jun-15,N/A,N/A,LinkedIn Publication
18180,18180,ilhan izmirli,N/A,review of tridiagonal matrices via kbalancing numbers british journal of mathematics and computer science june 2015,2-Jun-15,N/A,N/A,LinkedIn Publication
18181,18181,ilhan izmirli,N/A,an algorithm to generalize the pascal and fibonacci matrices,1-Jun-15,N/A,N/A,LinkedIn Publication
18182,18182,ilhan izmirli,N/A,review of a voronoskaya type theorem for bernsteindurrmeyer type operators,1-May-15,N/A,N/A,LinkedIn Publication
18183,18183,ilhan izmirli,N/A,almaghribis mecca problem meets sudoku,30-Mar-15,N/A,N/A,LinkedIn Publication
18184,18184,ilhan izmirli,N/A,review of rigueurcontraintes mathématiquesmusique by thierry paul gazette des mathématiciens 139 71 77 2014,1-Jul-14,N/A,N/A,LinkedIn Publication
18185,18185,ilhan izmirli,N/A,on some properties of digital roots,1-Jun-14,N/A,N/A,LinkedIn Publication
18186,18186,ilhan izmirli,N/A,interval vectors,1-May-14,N/A,N/A,LinkedIn Publication
18187,18187,ilhan izmirli,N/A,on the insolvability of the demarcation problem,1-May-14,N/A,N/A,LinkedIn Publication
18188,18188,ilhan izmirli,N/A,wittengsteins language games and forms of life from a social constructivist point of view,1-Jan-14,N/A,N/A,LinkedIn Publication
18189,18189,ilhan izmirli,N/A,review of the geometry of musical rhythm what makes a good rhythm good by godfried t toussaint,1-Aug-13,N/A,N/A,LinkedIn Publication
18190,18190,ilhan izmirli,N/A,an elementary proof of mean inequalities,1-May-13,N/A,N/A,LinkedIn Publication
18191,18191,ilhan izmirli,N/A,on the significance of historybased research projects in undergraduate mathematics,1-May-13,N/A,N/A,LinkedIn Publication
18192,18192,ilhan izmirli,N/A,wittgenstein was a social constructivist,1-May-13,N/A,N/A,LinkedIn Publication
18193,18193,ilhan izmirli,N/A,wittgenstein as a social constructivist,1-Apr-13,N/A,N/A,LinkedIn Publication
18194,18194,ilhan izmirli,a statistics textbook,the basic process of data analysis theory and practice,1-Jan-13,N/A,N/A,LinkedIn Publication
18195,18195,ilhan izmirli,N/A,review of statistics principles and methods by richard johnson seventh edition,1-Aug-12,N/A,N/A,LinkedIn Publication
18196,18196,ilhan izmirli,N/A,review of mind on statistics fourth edition by jessica m utts and robert f heckard,1-Jul-12,N/A,N/A,LinkedIn Publication
18197,18197,ilhan izmirli,N/A,blooms taxonomy and the teaching of introductory statistics classes,1-Jan-12,N/A,N/A,LinkedIn Publication
18198,18198,ilhan izmirli,N/A,categorizing musical pieces by their correlation coefficients,1-Aug-11,N/A,N/A,LinkedIn Publication
18199,18199,ilhan izmirli,N/A,pedagogy on the ethnomathematicsepistemology nexus a manifesto,1-Jul-11,N/A,N/A,LinkedIn Publication
18200,18200,wassim itani,N/A,dr wassim itani google scholar citations page,N/A,N/A,N/A,LinkedIn Publication
18201,18201,hoda hassan,the proliferation of cloudcomputing services has encouraged businessowners to migrate their applications to the cloud with the existence of the service level agreement sla in the cloud the businessowners can guarantee the quality of service they were promised to get from the providers however in such shared environment there is a high probability of overload situations to occur violating the sla and causing profit losses to both providers and clients this paper proposes an slaaware profit oriented sessionbased admission control poac mechanism that manages the overload problem in threetier webbased applications hosted on a cloud environment the proposed admission control ac was validated using simulation our experiments show that the proposed approach makes profitaware decisions while taking the sla in consideration thus benefiting both the service providers and the businessowners,a profit oriented sessionbased admission control mechanism for the cloud environment,15-Oct-14,N/A,N/A,LinkedIn Publication
18202,18202,hoda hassan,business process modeling notation is used by business modelers to model business processes logic and artifacts however it is inadequate in expressing the execution semantics of business processes and takes a processoriented approach for modeling systems uml on the other hand is known for its expressiveness to present the objectoriented approach for modeling softwarebased system there is a rising need to transform business process models to flawless uml models this paper proposes a modeling transformation technique for transforming a business processmodeling notation model to different uml diagrams using coloured petri nets cpn as a formal intermediate step to ensure flawless transformation this transformation would allow modeler to take advantages of the presentation power in bpmn as well as the implementation power in uml furthermore this step will bridge the gap between the different modeling notations previously mentioned,transformation of coloured petri nets to uml 2 diagrams,15-Apr-14,N/A,N/A,LinkedIn Publication
