,Doc_ID,Name,descriptions,titles,date,source,citations,Location,loc
18141,18141,david kepplinger,N/A,,,,,LinkedIn About,LinkedIn About david kepplinger
18142,18142,ilhan izmirli,director of undergraduate studiesdirector of undergraduate studies,,,,,LinkedIn About,LinkedIn About ilhan izmirli
18143,18143,wassim itani,specialties cloud computing security and privacycomputer and network securityspecialties cloud computing security and privacycomputer and network security,,,,,LinkedIn About,LinkedIn About wassim itani
18144,18144,ye wang,summary strong analytical and problem solving skills with knowledge in finance and economic policies and practical experiences in economic analysis highly selfmotivated and fast learner outstanding academic performance adaptive in both us and china environment strong communication and collaboration skills fluent in both english and chinesesummary strong analytical and problem solving skills with knowledge in finance and economic policies and practical experiences in economic analysis highly selfmotivated and fast learner outstanding academic performance adaptive in both us and china environment strong communication and collaboration skills fluent in both english and chinese,,,,,LinkedIn About,LinkedIn About ye wang
18145,18145,kirin furst,environmental engineering professor conducting research on drinking water and wastewater systems with focus on physicochemical treatment technologies and contaminant fate and transport areas of interest include wastewater reuse contaminants of emerging concern and combining systems thinking with experimental research to develop engineering and policy solutions advocate for evidencebased practices that promote diversity equity and inclusion in stemenvironmental engineering professor conducting research on drinking water and wastewater systems with focus on physicochemical treatment technologies and contaminant fate and transport areas of interest include wastewater reuse contaminants of emerging concern and combining systems thinking with experimental research to develop engineering and policy solutions advocate for evidencebased practices that promote diversity equity and inclusion in stem,,,,,LinkedIn About,LinkedIn About kirin furst
18146,18146,ting zhang,ting zhang is an associate professor of the department of finance and economics at the merrick school of business harry y wright chair associate director of the jacob france institute university of baltimore an appointed member of the maryland governors office of equal pay commission appam entrepreneurship faculty fellow and a newly elected counciloratlarge for the north america regional science council dr zhangs research interests include human capital entrepreneurship and employment dr zhang has been a principal investigator and lead economist for many workforcerelated national state and local grants with a total of 9 million usd including grants from us dept of labor usdol us dept of agriculture us dept of education the gates foundation the kauffman foundation abell foundation maryland dol maryland dept of disability maryland dept of human services etc dr zhang is a published author of peerreviewed books and journal articles including articles in small business economics applied economics archives of gerontology and geriatrics papers in regional science international journal of manpower southern economic journal accounting education applied economics letters etc her 2008 book elderly entrepreneurship in an aging us economy was favorably reviewed by dr jan wassel in the gerontologist her 2013 book entrepreneurship and economic growth in china was regarded as one of the best economics books on china studies in english by 海外汉学研究 she has given invited talks at the us congress joint economic committee the house committee on small businesses the us national press club usdol office of planning research evaluation the ewing marion kauffman foundation cambridge university etc and given invited keynote speeches at the university of lisbon portugal uddevalla symposium gran sasso science institute italy leadership in motion sweden johns hopkins university george washington university umbc national medical device conference etc dr zhangs research has been quoted in popular media such as forbes time bloomberg businessweek academic times market watch baltimore sun and so on dr zhang was a winner of the kauffman dissertation fellowship 2007 the finalist of the charles m tiebout prize in regional science 2008 usdol eta research fellowship 20092011 kauffman research grants 20152019 t rowe price excellence in teaching awards 20162019 labor employment relations association best paper selection 20172021 appam entrepreneurship faculty 2021 etcting zhang is an associate professor of the department of finance and economics at the merrick school of business harry y wright chair associate director of the jacob france institute university of baltimore an appointed member of the maryland governors office of equal pay commission appam entrepreneurship faculty fellow and a newly elected counciloratlarge for the north america regional science council dr zhangs research interests include human capital entrepreneurship and employment dr zhang has been a principal investigator and lead economist for many workforcerelated national state and local grants with a total of 9 million usd including grants from us dept of labor usdol us dept of agriculture us dept of education the gates foundation the kauffman foundation abell foundation maryland dol maryland dept of disability maryland dept of human services etc dr zhang is a published author of peerreviewed books and journal articles including articles in small business economics applied economics archives of gerontology and geriatrics papers in regional science international journal of manpower southern economic journal accounting education applied economics letters etc her 2008 book elderly entrepreneurship in an aging us economy was favorably reviewed by dr jan wassel in the gerontologist her 2013 book entrepreneurship and economic growth in china was regarded as one of the best economics books on china studies in english by 海外汉学研究 she has given invited talks at the us congress joint economic committee the house committee on small businesses the us national press club usdol office of planning research evaluation the ewing marion kauffman foundation cambridge university etc and given invited keynote speeches at the university of lisbon portugal uddevalla symposium gran sasso science institute italy leadership in motion sweden johns hopkins university george washington university umbc national medical device conference etc dr zhangs research has been quoted in popular media such as forbes time bloomberg businessweek academic times market watch baltimore sun and so on dr zhang was a winner of the kauffman dissertation fellowship 2007 the finalist of the charles m tiebout prize in regional science 2008 usdol eta research fellowship 20092011 kauffman research grants 20152019 t rowe price excellence in teaching awards 20162019 labor employment relations association best paper selection 20172021 appam entrepreneurship faculty 2021 etc,,,,,LinkedIn About,LinkedIn About ting zhang
18147,18147,yang shen,i am an interdisciplinary engineerresearcherlearner i received my phd degree of civil engineering from texas am university tamu now i am a postdoc research fellow in george mason university gmumy phd dissertation is hybrid building energystructure performance analysis which is tightly associated with building science building operational energy simulation embodied carbon quantificationoptimizationdecarbonization parametric modeling lifecycle analysis structural analysissimulation data analytics and machine learning the experience and skills built there include developing automated multiphysics simulation platform interpretability energy modeling for buildingurban level scales building energystructural system calibrationidentification processinganalyzingorganizingvisualizing largesmall datasets from simulation data automation and data analysisaiml besides i also worked as a oneyear teaching assistant and twoyear experience of federal proposal grant writing in tamu my postdoc job in gmu is about project management advisingmentoring undergraduatemasterphd students and collaboration with a multidisciplinary and diverse team the research focus on the studies of computer vision deep learning data analytics applications in civil engineering and medical informatics the experience and skills there include developing multiimage input model through deep learning eg cnn and timeseries prediction model eg rnn data fusion image processing photogrammetry and rigidnonrigid 3d point cloud reconstructioncorrespondencei am an interdisciplinary engineerresearcherlearner i received my phd degree of civil engineering from texas am university tamu now i am a postdoc research fellow in george mason university gmumy phd dissertation is hybrid building energystructure performance analysis which is tightly associated with building science building operational energy simulation embodied carbon quantificationoptimizationdecarbonization parametric modeling lifecycle analysis structural analysissimulation data analytics and machine learning the experience and skills built there include developing automated multiphysics simulation platform interpretability energy modeling for buildingurban level scales building energystructural system calibrationidentification processinganalyzingorganizingvisualizing largesmall datasets from simulation data automation and data analysisaiml besides i also worked as a oneyear teaching assistant and twoyear experience of federal proposal grant writing in tamu my postdoc job in gmu is about project management advisingmentoring undergraduatemasterphd students and collaboration with a multidisciplinary and diverse team the research focus on the studies of computer vision deep learning data analytics applications in civil engineering and medical informatics the experience and skills there include developing multiimage input model through deep learning eg cnn and timeseries prediction model eg rnn data fusion image processing photogrammetry and rigidnonrigid 3d point cloud reconstructioncorrespondence,,,,,LinkedIn About,LinkedIn About yang shen
18148,18148,ping xu,experienced research assistant with a demonstrated history of working in the higher education industry skilled in distributeddecentralized optimization and learning machine learning deep learning recommendation systems strong research professional with focus in mathematical modeling and optimization system design and technical reportingexperienced research assistant with a demonstrated history of working in the higher education industry skilled in distributeddecentralized optimization and learning machine learning deep learning recommendation systems strong research professional with focus in mathematical modeling and optimization system design and technical reporting,,,,,LinkedIn About,LinkedIn About ping xu
18149,18149,paulo costa,director center of excellence in c4i cyber george mason universityassociate professor at the department of system engineering and operations research and at the department of cybersecurity engineering cyse dept associate chair for graduate programs and research retired brazilian air force officer former fighter pilotspecialties ontology engineering bayesian logic command and control system engineering electronic warfare multisensor data fusion cyberphysical systems safety and securitydirector center of excellence in c4i cyber george mason universityassociate professor at the department of system engineering and operations research and at the department of cybersecurity engineering cyse dept associate chair for graduate programs and research retired brazilian air force officer former fighter pilotspecialties ontology engineering bayesian logic command and control system engineering electronic warfare multisensor data fusion cyberphysical systems safety and security,,,,,LinkedIn About,LinkedIn About paulo costa
18150,18150,shima mohebbi,httpsseorgmueduprofileview587766httpsseorgmueduprofileview587766,,,,,LinkedIn About,LinkedIn About shima mohebbi
