,Name,similar_area,area_score
0,giacomo francisci,artificial intelligence,0.0
0,giacomo francisci,autonomous systems,0.0
0,giacomo francisci,computer engineering,0.0
0,giacomo francisci,computer networks communications,0.0
0,giacomo francisci,data analytics,0.0
0,giacomo francisci,electrical engineering,0.0
0,giacomo francisci,human centered computing,0.0
1,david kepplinger,autonomous systems,0.1658902332014283
1,david kepplinger,biomedical imaging devices,0.160675602081711
1,david kepplinger,design results clinical studies,0.1514864104042789
1,david kepplinger,computational biomedicine,0.1094819682407245
1,david kepplinger,software engineering,0.0884747910407617
1,david kepplinger,multiscale transport engineering,0.0811018917873649
1,david kepplinger,statistical modeling,0.0774154421606665
1,david kepplinger,bioinformatics biostatistics computational biology,0.0755497356519374
1,david kepplinger,geotechnical engineering,0.0716727723851245
1,david kepplinger,electrical engineering,0.0652019862276467
2,ilhan izmirli,autonomous systems,0.1827985564294135
2,ilhan izmirli,biomedical imaging devices,0.1517592216447311
2,ilhan izmirli,applied probability statistics,0.1516557141494713
2,ilhan izmirli,design results clinical studies,0.1466569654678616
2,ilhan izmirli,multiscale transport engineering,0.1462388451435308
2,ilhan izmirli,computational biomedicine,0.10340647907388
2,ilhan izmirli,visual computing,0.0799201198003493
2,ilhan izmirli,bioinformatics biostatistics computational biology,0.0799201198003493
2,ilhan izmirli,software engineering,0.0731194225717654
2,ilhan izmirli,geotechnical engineering,0.0710802026557383
3,jason goldberg,artificial intelligence,0.0
3,jason goldberg,autonomous systems,0.0
3,jason goldberg,computer engineering,0.0
3,jason goldberg,computer networks communications,0.0
3,jason goldberg,data analytics,0.0
3,jason goldberg,electrical engineering,0.0
3,jason goldberg,human centered computing,0.0
4,kenneth pasiah,data analytics,0.2015170887439513
4,kenneth pasiah,applied probability statistics,0.1718543507124302
4,kenneth pasiah,autonomous systems,0.1481086953617828
4,kenneth pasiah,design results clinical studies,0.1317358420292073
4,kenneth pasiah,optimization techniques,0.080786561106427
4,kenneth pasiah,theory computation,0.0742801844076204
4,kenneth pasiah,visual computing,0.073583636818555
4,kenneth pasiah,multiscale transport engineering,0.0718102765390462
4,kenneth pasiah,biomedical imaging devices,0.0698634804181292
4,kenneth pasiah,stochastic modeling,0.0685575058158106
5,saad karamat,artificial intelligence,0.0
5,saad karamat,autonomous systems,0.0
5,saad karamat,computer engineering,0.0
5,saad karamat,computer networks communications,0.0
5,saad karamat,data analytics,0.0
5,saad karamat,electrical engineering,0.0
5,saad karamat,human centered computing,0.0
6,ana gonzalez hernandez,artificial intelligence,0.0
6,ana gonzalez hernandez,autonomous systems,0.0
6,ana gonzalez hernandez,computer engineering,0.0
6,ana gonzalez hernandez,computer networks communications,0.0
6,ana gonzalez hernandez,data analytics,0.0
