,Name,similar_categories,category_score
1,david kepplinger,digital value chain,0.6413945636668352
1,david kepplinger,puerto rico,0.6144660227796854
1,david kepplinger,native american,0.5489716413565446
1,david kepplinger,infrastructure,0.4380463439167664
1,david kepplinger,value chain,0.3925679419426603
1,david kepplinger,survey sampling,0.337868689199743
1,david kepplinger,unmanned autonomous vehicles,0.2999584861272488
1,david kepplinger,interdependencies,0.2871883858197815
1,david kepplinger,medical image analysis,0.2628001654121231
1,david kepplinger,image,0.2470246356342049
2,ilhan izmirli,puerto rico,0.6190585860273095
2,ilhan izmirli,native american,0.5526818861547884
2,ilhan izmirli,infrastructure,0.5455566044965939
2,ilhan izmirli,digital value chain,0.5152570752799821
2,ilhan izmirli,value chain,0.3460642701029913
2,ilhan izmirli,unmanned autonomous vehicles,0.3383089007949746
2,ilhan izmirli,survey sampling,0.3276291711797649
2,ilhan izmirli,image,0.3266430766296306
2,ilhan izmirli,medical image analysis,0.3159120118032816
2,ilhan izmirli,power aware computing,0.2388070341170243
4,kenneth pasiah,puerto rico,0.5343528749093224
4,kenneth pasiah,infrastructure,0.483698258770496
4,kenneth pasiah,digital value chain,0.4702065404025533
4,kenneth pasiah,native american,0.4405077407737433
4,kenneth pasiah,value chain,0.3504891433324414
4,kenneth pasiah,data mining big data analysis,0.2964056445657164
4,kenneth pasiah,big data,0.2879415244264045
4,kenneth pasiah,survey sampling,0.2879415244264045
4,kenneth pasiah,photoacoustic imaging microscopy,0.242359683319281
4,kenneth pasiah,big data analytics  characterization,0.2230385457570081
8,robert simon,puerto rico,0.6396021490668313
8,robert simon,infrastructure,0.5567022142689042
8,robert simon,digital value chain,0.4648299895573856
8,robert simon,native american,0.4545454545454546
8,robert simon,value chain,0.3098753415048174
8,robert simon,survey sampling,0.2461829819586654
8,robert simon,photoacoustic imaging microscopy,0.201455741006345
8,robert simon,unmanned autonomous vehicles,0.1928473039599675
8,robert simon,image,0.1928473039599675
8,robert simon,precipitation,0.1685499656158105
9,sean luke,puerto rico,0.6717514421272202
9,sean luke,infrastructure,0.5785300076028639
9,sean luke,digital value chain,0.5249999999999999
9,sean luke,native american,0.5125692857821981
9,sean luke,unmanned autonomous vehicles,0.2345207879911714
9,sean luke,image,0.2345207879911714
9,sean luke,medical image analysis,0.2309401076758502
9,sean luke,survey sampling,0.2177324215807269
9,sean luke,interdependencies,0.2041241452319315
9,sean luke,value chain,0.1897366596101027
10,zoran duric,puerto rico,0.6864064729836441
10,zoran duric,native american,0.6062754572551408
10,zoran duric,digital value chain,0.531587688049178
10,zoran duric,infrastructure,0.4950218379492162
10,zoran duric,unmanned autonomous vehicles,0.2956561979945413
10,zoran duric,image,0.2956561979945413
10,zoran duric,value chain,0.2850438562747845
10,zoran duric,survey sampling,0.2830692585361489
10,zoran duric,photoacoustic imaging microscopy,0.2594372608313854
10,zoran duric,interdependencies,0.254762332682534
13,gregory stein,infrastructure,0.5354866611934024
13,gregory stein,puerto rico,0.529779093444114
