,area,top10,top10_scores
0,artificial intelligence,"['nora mcdonald', 'omoche cheche agada', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'hoda hassan', 'gregory stein', 'zhi tian', 'paulo costa', 'david binning', 'shima mohebbi']","[0.12388592261650216, 0.11899282346174592, 0.10139588008391645, 0.04925451038046181, 0.03914801463431356, 0.031201286018707364, 0.02315708393236368, 0.02135244837651487, 0.02087414303617165, 0.014234965584343246]"
1,autonomous systems,"['david lattanzi', 'zoran duric', 'david binning', 'ilhan izmirli', 'shanjiang zhu', 'quentin sanders', 'filipe veiga', 'david kepplinger', 'wenying ji', 'kenneth pasiah']","[0.24080189735978125, 0.1853123291652753, 0.18365772167311326, 0.18279855642941356, 0.17498355231908666, 0.16955971636402928, 0.16721186493883003, 0.1658902332014283, 0.15118578920369088, 0.14810869536178287]"
2,computer engineering,"['pilgyu kang', 'md tanvir arafin', 'zhi tian', 'omoche cheche agada', 'mohamed ibrahem', 'david kepplinger', 'ilhan izmirli', 'filipe veiga', 'david binning', 'shima mohebbi']","[0.07436365992237534, 0.07332355751067665, 0.06834156265917701, 0.06828374691170541, 0.06350006350009525, 0.06306363177516375, 0.06254223992758301, 0.05959317538304523, 0.051336758636141455, 0.04901220555896551]"
3,computer networks communications,"['shima mohebbi', 'peggy brouse', 'pilgyu kang', 'zhi tian', 'omoche cheche agada', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'nathalia peixoto', 'mohamed ibrahem', 'nora mcdonald']","[0.12015693891575661, 0.10596258856520352, 0.10074907413892013, 0.0987629232924629, 0.08810658179868874, 0.08446181593655168, 0.07877480566078832, 0.07647191129018727, 0.06882472016116853, 0.06879720678003265]"
4,cybersecurity,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,data analytics,"['kenneth pasiah', 'pilgyu kang', 'omoche cheche agada', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'robert simon', 'pei dong', 'jyh ming lien', 'jill nelson', 'nora mcdonald']","[0.20151708874395136, 0.19518001458970663, 0.19202384316064214, 0.17180824278583556, 0.171685708586216, 0.1507556722888818, 0.129580263837204, 0.1270001270001905, 0.12677313820927746, 0.11995202878081342]"
6,electrical engineering,"['pilgyu kang', 'md tanvir arafin', 'david kepplinger', 'ilhan izmirli', 'david binning', 'shima mohebbi', 'omoche cheche agada', 'jyh ming lien', 'hoda hassan', 'nora mcdonald']","[0.07688517444384896, 0.07580980435789035, 0.06520198622764671, 0.0646629150846087, 0.0636929755298482, 0.05067410584971755, 0.05042793173887751, 0.050027800947380255, 0.04977157493014015, 0.04725141904048616]"
7,human centered computing,"['lap fai craig yu', 'shima mohebbi', 'zoran duric', 'maryam parsa', 'ilhan izmirli', 'omoche cheche agada', 'nathalia peixoto', 'hoda hassan', 'shanjiang zhu', 'paulo costa']","[0.14907119849998599, 0.10676224188257434, 0.0895143592549291, 0.07628214415734115, 0.07064007333008537, 0.06941248035268512, 0.06885303726590963, 0.06850902561004873, 0.06762006882779828, 0.0640573451295446]"
8,software engineering,"['lap fai craig yu', 'md tanvir arafin', 'omoche cheche agada', 'zoran duric', 'pilgyu kang', 'hoda hassan', 'david kepplinger', 'ilhan izmirli', 'jyh ming lien', 'shima mohebbi']","[0.1543033499620919, 0.11572751247156893, 0.11290516775980161, 0.09265616458263765, 0.09128709291752768, 0.09117460107822462, 0.08847479104076177, 0.07311942257176543, 0.06788442333021306, 0.06630565154520815]"
9,theory computation,"['shima mohebbi', 'kenneth pasiah', 'peggy brouse', 'david binning', 'ilhan izmirli', 'gregory stein', 'zoran duric', 'kuochu chang', 'david lattanzi', 'mohamed ibrahem']","[0.09754485808711882, 0.07428018440762048, 0.06810052246069989, 0.05959987832101264, 0.048405989374682115, 0.04276125570936298, 0.04089304100547654, 0.0393768304498976, 0.03125763218963633, 0.02948839123097943]"
10,visual computing,"['lap fai craig yu', 'omoche cheche agada', 'hoda hassan', 'shima mohebbi', 'nora mcdonald', 'filipe veiga', 'robert simon', 'quentin sanders', 'ilhan izmirli', 'md tanvir arafin']","[0.15811388300841897, 0.0981640711127233, 0.09688639316269662, 0.0905907662518161, 0.08760057597568055, 0.08567058737562386, 0.08257228238447703, 0.08176329719869563, 0.07992011980034935, 0.07905694150420949]"
11,bioinformatics biostatistics computational biology,"['lap fai craig yu', 'nora mcdonald', 'omoche cheche agada', 'ilhan izmirli', 'zoran duric', 'david kepplinger', 'hoda hassan', 'david lattanzi', 'shanjiang zhu', 'robert simon']","[0.15811388300841897, 0.08760057597568055, 0.08414063238233425, 0.07992011980034935, 0.07595545253127499, 0.07554973565193743, 0.0692045665447833, 0.05805847497871376, 0.05737753105492469, 0.05504818825631802]"
12,biomaterials nanomedicine,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,biomedical imaging devices,"['md tanvir arafin', 'david kepplinger', 'lap fai craig yu', 'zoran duric', 'ilhan izmirli', 'david binning', 'sai manoj pudukotai dinakarrao', 'david lattanzi', 'shima mohebbi', 'pilgyu kang']","[0.26020824993326663, 0.16067560208171103, 0.16012815380508716, 0.15384615384615385, 0.15175922164473118, 0.14574577203253436, 0.14295309897962222, 0.1322957322085173, 0.1223264470366515, 0.12179969144117253]"
14,communitybased healthcare,"['mohamed ibrahem', 'peggy brouse', 'jill nelson', 'maryam parsa', 'shima mohebbi', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah']","[0.09486832980505137, 0.03651483716701107, 0.02672612419124244, 0.02076136996343499, 0.017434201093860166, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,computational biomedicine,"['lap fai craig yu', 'omoche cheche agada', 'zoran duric', 'hoda hassan', 'nora mcdonald', 'david kepplinger', 'ilhan izmirli', 'pilgyu kang', 'shanjiang zhu', 'robert simon']","[0.1636634176769943, 0.14515638137083725, 0.1310356045902398, 0.11461365101225056, 0.11334401336131951, 0.10948196824072454, 0.10340647907388009, 0.0922138891954147, 0.0890870806374748, 0.08547043234472845]"
16,design results clinical studies,"['md tanvir arafin', 'david lattanzi', 'sai manoj pudukotai dinakarrao', 'gregory stein', 'david kepplinger', 'ilhan izmirli', 'pilgyu kang', 'filipe veiga', 'kenneth pasiah', 'paulo costa']","[0.17927719707289436, 0.17323557290126324, 0.16365836157734132, 0.15483397620843253, 0.15148641040427896, 0.14665696546786167, 0.14035248376434134, 0.1329249607559881, 0.1317358420292073, 0.12253863530893723]"
17,experimental understanding disease mechanisms,"['mohamed ibrahem', 'pilgyu kang', 'maryam parsa', 'zhi tian', 'ilhan izmirli', 'gregory stein', 'sara lynn gopalkrishna', 'nathalia peixoto', 'filipe veiga', 'omoche cheche agada']","[0.06565321642986127, 0.06407097870320745, 0.06034482758620689, 0.051816512433904977, 0.050293378399140096, 0.04442855196217142, 0.04376881095324086, 0.04376881095324085, 0.04107590266330869, 0.04034234539110201]"
18,neuroengineering,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,construction engineering management,"['pilgyu kang', 'jyh ming lien', 'ilhan izmirli', 'md tanvir arafin', 'paulo costa', 'david kepplinger', 'shima mohebbi', 'wenying ji', 'omoche cheche agada', 'gregory stein']","[0.07045948486252365, 0.06549531463278077, 0.06208054557895583, 0.059549133417541374, 0.05686409402392008, 0.051216617822002236, 0.05117768462152808, 0.048621663832631515, 0.047533793189796635, 0.0448700649450898]"
20,environmental water resources engineering,"['david binning', 'shima mohebbi', 'pei dong', 'md tanvir arafin', 'pilgyu kang', 'wenying ji', 'david kepplinger', 'ilhan izmirli', 'nora mcdonald', 'zoran duric']","[0.15667199731347392, 0.09040417333228196, 0.08370563600601104, 0.06454972243679029, 0.05819143739626463, 0.05621826951410452, 0.04934888067984035, 0.04894087842323963, 0.044703481732151676, 0.041344911529736156]"
