,Category,top10,top10_scores
0,cognitive systems,"['md tanvir arafin', 'david lattanzi', 'pilgyu kang', 'gregory stein', 'jyh ming lien', 'maryam parsa', 'filipe veiga', 'kenneth pasiah', 'sai manoj pudukotai dinakarrao', 'lap fai craig yu']","[0.09643959372630745, 0.07082408745875918, 0.0521640530957301, 0.05167423893288018, 0.0509133174976598, 0.04386640039647477, 0.04180296623470751, 0.040393280553213506, 0.03935801514662893, 0.03857583749052298]"
1,intelligent agents,"['gregory stein', 'sean luke', 'wenying ji', 'paulo costa', 'david kepplinger', 'shanjiang zhu', 'mohamed ibrahem', 'sai manoj pudukotai dinakarrao', 'sara lynn gopalkrishna', 'ilhan izmirli']","[0.048837737566270426, 0.04330127018922194, 0.040824829046386304, 0.0397879383799519, 0.03583638619256225, 0.0302406141084343, 0.02886751345948129, 0.02834101006325679, 0.02405626121623441, 0.02369340088524613]"
2,knowledge representation reasoning,"['paulo costa', 'filipe veiga', 'david lattanzi', 'kenneth pasiah', 'gregory stein', 'ilhan izmirli', 'nathalia peixoto', 'zhi tian', 'sean luke', 'wenying ji']","[0.06539514552561412, 0.050599141255528085, 0.04572100439634054, 0.04346029305428736, 0.041698350628299755, 0.0413024278280637, 0.03594425773447947, 0.03481631271085842, 0.03234983196103153, 0.030499714066520932]"
3,machine learning,"['ilhan izmirli', 'zoran duric', 'jyh ming lien', 'kenneth pasiah', 'david lattanzi', 'filipe veiga', 'quentin sanders', 'mohamed ibrahem', 'zhi tian', 'maryam parsa']","[0.10322383575366637, 0.09513029883089882, 0.08712136837380642, 0.08639973900406264, 0.08180466150381731, 0.08047350426922262, 0.07040297388442665, 0.06859943405700353, 0.06767725217946871, 0.06755660236665674]"
4,natural language processing,"['david binning', 'david lattanzi', 'shima mohebbi', 'zhi tian', 'ilhan izmirli', 'zoran duric', 'sean luke', 'filipe veiga', 'david kepplinger', 'wenying ji']","[0.19097885354754401, 0.18028869304837586, 0.17191231140823288, 0.16610264925668733, 0.14476907070343215, 0.14413916504926377, 0.1322875655532295, 0.1256264338176643, 0.1251222494179709, 0.12472191289246472]"
5,robotics,"['sean luke', 'jyh ming lien', 'gregory stein', 'filipe veiga', 'kenneth pasiah', 'robert simon', 'peggy brouse', 'david lattanzi', 'pei dong', 'david binning']","[0.09486832980505137, 0.08032193289024989, 0.07642723006446787, 0.07419290502442469, 0.06372529878771661, 0.04767312946227961, 0.03651483716701107, 0.033520076157699544, 0.027317918235407652, 0.025565499628245683]"
6,unmanned autonomous vehicles,"['ilhan izmirli', 'david binning', 'david kepplinger', 'zoran duric', 'david lattanzi', 'quentin sanders', 'shanjiang zhu', 'sean luke', 'wenying ji', 'filipe veiga']","[0.3383089007949746, 0.31025261399701143, 0.29995848612724885, 0.29565619799454135, 0.2937899995586196, 0.2705237222964848, 0.25684299723290976, 0.23452078799117146, 0.22110831935702666, 0.21675700090726724]"
7,computer architecture,"['lap fai craig yu', 'md tanvir arafin', 'omoche cheche agada', 'hoda hassan', 'mohamed ibrahem', 'sai manoj pudukotai dinakarrao', 'filipe veiga', 'jill nelson', 'zoran duric', 'zhi tian']","[0.17817416127494962, 0.1559023911155809, 0.09481575127130373, 0.08188394740675291, 0.07715167498104596, 0.07574453546558527, 0.07240486142559965, 0.06520506636966264, 0.06419407387663695, 0.06089162029438153]"
8,computing components,"['shima mohebbi', 'lap fai craig yu', 'ilhan izmirli', 'peggy brouse', 'hoda hassan', 'mohamed ibrahem', 'nora mcdonald', 'md tanvir arafin', 'wenying ji', 'zoran duric']","[0.14960572664742225, 0.13055824196677338, 0.11548576725622445, 0.1044465935734187, 0.09143006417649888, 0.09045340337332908, 0.09041724370633414, 0.08703882797784893, 0.08528028654224418, 0.08362420100070908]"
9,devices,"['md tanvir arafin', 'lap fai craig yu', 'sai manoj pudukotai dinakarrao', 'pilgyu kang', 'peggy brouse', 'gregory stein', 'david binning', 'david kepplinger', 'shima mohebbi', 'ilhan izmirli']","[0.29704426289300234, 0.14852213144650117, 0.11785948221436582, 0.08368274087557231, 0.07921180343813394, 0.07460727303463552, 0.06932419423397525, 0.05677329558036595, 0.03782009224993602, 0.0375359402740605]"
10,subsystems,"['peggy brouse', 'shima mohebbi', 'david binning', 'md tanvir arafin', 'kuochu chang', 'pilgyu kang', 'kenneth pasiah', 'zhi tian', 'zoran duric', 'maryam parsa']","[0.2921186973360886, 0.27894721750176266, 0.1533929977694741, 0.13693063937629155, 0.13271325975902365, 0.12344267996967352, 0.09558794818157493, 0.09075686330415036, 0.08770580193070293, 0.08304547985373996]"
11,real time,"['david lattanzi', 'filipe veiga', 'ilhan izmirli', 'david binning', 'zoran duric', 'kenneth pasiah', 'gregory stein', 'quentin sanders', 'peggy brouse', 'shima mohebbi']","[0.14742015650132123, 0.14502127843930934, 0.14495037205275088, 0.11243619908556624, 0.11020775375559677, 0.10676636181716462, 0.09923671643847393, 0.09391910622653854, 0.0917662935482247, 0.08762859919328021]"
12,embedded systems,"['david lattanzi', 'gregory stein', 'peggy brouse', 'md tanvir arafin', 'pilgyu kang', 'maryam parsa', 'jyh ming lien', 'kenneth pasiah', 'ilhan izmirli', 'filipe veiga']","[0.13918454046250334, 0.12693871989191835, 0.10613372610104647, 0.09476225544736294, 0.07688517444384894, 0.06896551724137931, 0.06670373459650701, 0.06615122520811101, 0.0646629150846087, 0.06161385399496304]"
13,distributed systems,"['kenneth pasiah', 'david lattanzi', 'md tanvir arafin', 'filipe veiga', 'kuochu chang', 'gregory stein', 'jyh ming lien', 'pei dong', 'sean luke', 'pilgyu kang']","[0.08060683549758055, 0.0741998516004452, 0.07216878364870322, 0.062564950960462, 0.053413331560156097, 0.0531705068975115, 0.0508000508000762, 0.043193421279068014, 0.04, 0.03903600291794133]"
14,cloud computing,"['lap fai craig yu', 'david lattanzi', 'ilhan izmirli', 'shima mohebbi', 'gregory stein', 'david binning', 'omoche cheche agada', 'hoda hassan', 'pei dong', 'sai manoj pudukotai dinakarrao']","[0.11009637651263608, 0.09096014909391323, 0.06782249720289894, 0.057822703547937865, 0.0553048245578203, 0.05395801717400271, 0.051264514195113915, 0.05059726864729314, 0.04941997354933901, 0.046803637720090906]"
15,internet things,"['lap fai craig yu', 'mohamed ibrahem', 'zhi tian', 'robert simon', 'hoda hassan', 'kuochu chang', 'md tanvir arafin', 'zoran duric', 'omoche cheche agada', 'filipe veiga']","[0.23145502494313788, 0.14699368305183338, 0.1294372392198475, 0.12087344460380703, 0.10130511230913847, 0.09176987139073335, 0.07715167498104596, 0.07412493166611012, 0.06158463695989178, 0.05225370779338438]"
16,mobile,"['shanjiang zhu', 'robert simon', 'jyh ming lien', 'ilhan izmirli', 'gregory stein', 'filipe veiga', 'zoran duric', 'david lattanzi', 'pei dong', 'sara lynn gopalkrishna']","[0.06625386599999376, 0.04767312946227961, 0.04016096644512494, 0.03460642701029913, 0.030570892025787152, 0.024730968341474896, 0.021926450482675733, 0.016760038078849772, 0.013658959117703826, 0.013176156917368249]"
